as_number; country; address 
198482; BG; 57 Krakra str., 2300, Pernik, BULGARIA 
198920; UA; LPR, Lugansk, st. ak. Vernadsky, 7 
400856; US; One Batesville Blvd, Batesville, IN, 47006, US 
151149; ;  
272982; AR; Av. de las AmA©ricas, 567, -, 3364 - AristA³bulo del Valle - Misiones 
208020; PL; ul. Optykow 3/65; 04-175 Warszawa 
49592; GB; 27 Old Gloucester Street, London, United Kingdom, WC1N 3AX 
198469; DE; Kirchstr. 15, 53332 Bornheim, Germany 
329250; CI;  
139839; BD; 1# No. Bangladesh Forest Research Institute, Clube Market Sholosahar, Chittagong, Chittagong Chittagong 4211 
151215; BD; Daisy Garden, House 14, Road main, Block A, Dhaka 1219, Dhaka Dhaka 1219 
198862; GB; 61 Bridge Street, Kington, United Kingdom, HR5 3DJ 
198513; NL; Ubbo J. Mansholt plein 2, 9951BX Winsum, Netherlands 
151321; AU; 17 Raine Square, 300 Murray St, Perth WA 6000, Perth Western Australia 6000 
151197; LK; No. 49, Sri Jinarathna Road, Colombo 2 Colombo 00200 
198839; US; 30 N Gould St Ste R Sheridan WY 82801 
329252; LY;  
141696; BD; Ratan Diya Bazar Kalukhali Rajbari-7722 
198998; US; 601 W. 1st Street, Claremont, California, 91711, United States of America 
151080; BD; 14, Puran Polton, 8th floor, Darus Salam Arcade, Dhaka-1000, Dhaka Polton 1000 
263503; BR;  
329243; ZA;  
151156; ;  
198738; SC; Francis Rachel str. Sound & Vision House, suite 1, no, Victoria, SEYCHELLES 
198749; NL; Orinocostraat 37, 1448 XH Purmerend, The Netherlands 
211830; RU; Svobody st., n. 95, bl. 2, apt. III, room 9, 125481, Moscow, RUSSIAN FEDERATION 
211664; DE; Grenzstrasse 4, 28832, Achim, GERMANY 
59888; GB; Windsor House, Troon Way Business Centre, Humberstone Lane, LE4 9HA, Leicester, UNITED KINGDOM 
198890; AL; Ibrahim Rugova, Nr.42, Hyrja.7, Kati 2, 1019, Tirana, ALBANIA 
151160; ;  
151148; ;  
201967; AL; Godina Nr.43, Hyrja 1, Apartamenti 1, 4501, Lezhe, ALBANIA 
30399; US; 2200 NE 123RD ST, NORTH MIAMI, FL, 33181, US 
61427; GB; Unit A, 82 James Carter Road, IP28 7DE, Mildenhall, UNITED KINGDOM 
151200; BD; 1/E, Plot-58, Zoo Road, Mirpur-1, DHaka-1216, DHaka Dhaka 1216 
272979; PE; Martir Jose Olaya, 129, , - Lima - 
151359; BD; ABG World, Plot# 440, 441, 442, Block# A, Bashundhara, Dhaka-1229, www.bashundharagroup.com, Dhaka Dhaka 1229 
203701; EE; Tallinn, Kesklinna linnaosa, Raua tn 36, 10120 
46427; US; 66 West Flagler Street, Suite 900 - #4488, Miami, FL, 33130, US 
140036; BD; 38, Shohid faruk road amena tower, jatrabari, Dhaka 1204, Dhaka Dhaka 1204 
329251; TZ; Sokoine Drive & Azikiwe Street, , Dar es Salaam 
198691; RS; Gospodar Jovanova 34, 11000, Belgrade, SERBIA 
329253; UG; Plot  18B George Street, Kampala 35319 
151206; HK; No.9 Lai Yip Street, Kwun Tong 
151361; SG; 100 PECK SEAH STREET, #08-14, PS100, SINGAPORE 079333, Singapore NA 079333 
151188; TW; No. 6, Aly. 10, Ln. 251, Xinfeng St., Zhongzheng Dist., Keelung City Taiwan 202011 
138493; BD; Khaja Market, Unit-1, 3rd Floor, Bonorupa, Rangamati, Rangamati Chittagong 4500 
400852; US; 12423 Research Parkway, Orlando, FL, 32826, US 
198687; NL; Houtplein 33, 2012 DE, Haarlem 
151114; ;  
48991; RU; Kosino, d. 2, kv. 16, 142060 Domodedovo, Russia 
138219; AU; 6 Cordelia Street, South Brisbane, QLD 4101 
61613; ;  
201369; UA; 15-B Degtyarivska str., Kyiv, Ukraine 
11721; US; 30 N GOULD ST STE 27060, SHERIDAN, WY, 82801, US 
211381; LV; Ernesta Birznieka-Upisa 18, LV-1050, Riga, LATVIA 
273006; CO; Calle 11 15 51, 51, -, - - PLATO - 
198953; RU; DISTRICT No. 54, ISKROVSKY PR-KT, D. 21, LIT. U, kv.218, 193230, ST. PETERSBURG, RUSSIAN FEDERATION 
198834; US; 30 N Gould St, STE 4000, Sheridan, WY 82801, UNITED STATES 
198659; TR; Maslak Mahallesi Eski Buyukdere Caddesi IZ PLAZAGIZ no:9 D33, 34398, Istanbul, TURKEY 
59867; RU; Russia, Donetsk People Republic, Donetsk, Baumana str., 5B 
18470; US; 88 Glocker Way, Suite #264, Pottstown, PA, 19465, US 
49217; US; 30 N Gould St Ste R Sheridan, WY 82801 
46308; US; 8 THE GREEN, STE A, DOVER, DE, 19901, US 
198711; FR; 7 RUE DU GENERAL BLAISE, 75011 PARIS, FRANCE 
198786; ID; Menara Cakrawala Lt 12, Unit 1205A Jl. M.H. Thamrin No.9, RT.2/RW.1, Kb. Sirih, Kec. Menteng Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Banten 10340 
49775; GB; 7 Kilburn House, M15 6SE, Manchester, UNITED KINGDOM 
59538; GB; 128 City Road, EC1V 2NX, London, UNITED KINGDOM 
198578; US; 5830 E 2nd St, Ste 7000 # 8711 Casper, Wyoming 82609 Us 
198883; EE; HARJU MAAKOND, TALLINN, LASNAMAeE LINNAOSA, SEPAPAJA TN 6, 15551, ESTONIA 
151184; BD; Asif hossains house West Imambari Aganagar South Keraniganj, Dhaka Dhaka 1310 
64150; HN; Hacienda Campisa Bloque G7, G7, -, 21101 - San Pedro Sula - 
137271; AU; 3/47-51 Lilyfield Road, Rozelle, NSW 2039 
58064; GB; 31 Molyneux Place, Molyneux Park Road, TN4 8DQ, Tunbridge Wells, UNITED KINGDOM 
198895; GB; Holtby House, Thwaite Street, HU16 4QZ, Cottingham, UNITED KINGDOM 
16589; US; 8025 Ghost Pony Trl, Raleigh, NC, 27613, US 
198810; PL; ul. Cisowa 18 lok. d, 76-251, Kobylnica, POLAND 
151166; ;  
151176; ;  
329248; ZA; 19 Montgomery cres, Durban 4000 
198825; FR; 40 RUE DU SOLEIL LEVANT, 80000 AMIENS, FRANCE 
151189; PK; Alhafeez Executive, 1713 Firdaus MRKET Lahore Pakistan, Lahore Punjab 54000 
202656; UA; Tsilinogradska Street, building 58 A, apartment 120, 61202, Kharkiv, UKRAINE 
329255; KE; Haile Sellasie Avenue, Tayedi Building Next to Pride-inn Hotel, Mombasa 80100 
48779; TR; Muallimkoy Mh, Kocaeli Bilisim Vadisi Muallimkoy Teknoloji Gelistirme Bolgesi, Deniz Cd N:143 D:13 1.2.B Blok K:3 D:335, 41400 Gebze/Kocaeli 
198802; TR; Turkey 
30344; US; 30 N GOULD ST STE R, SHERIDAN, WY, 82801, US 
151330; PK; House # 14 Block B, Shershah Colony, Raiwind Road Lahore, Lahore Punjab 54000 
198745; DE; Lange Wende 43, 59494, Soest, GERMANY 
198769; RU; STR. NOVORYAZANSKAYA, 26-28, BLD. 1, FLOOR 1, FLAT 2, 105066, MOSCOW, RUSSIAN FEDERATION 
17024; US; 2060D E Avenida De Los Arboles, Ste 216, Thousand Oaks, CA, 91362, US 
202832; RU; Seleznevskaya street, 15A, building 1, Moscow 127473, Russia 
151095; ;  
151207; NP; Bakhundole, Lalitpur Province-3 Bagmati 44600 
273756; ;  
198427; HR; Balokoviceva 15, 10020 Zagreb, Croatia 
151084; ;  
151329; AF; Aino Mena, Street # 19, House # 805, Kandahar Afghanistan, Kandahar Kandahar 3801 
198926; IR; First Floor, 33 No, Bahar Aley, Ehteshami St, Azadi St, Sari 
208949; GB; 124 City Road, London, United Kingdom, EC1V 2NX 
151204; BD; New Market, Sadar Powrasava, Bagerhat Bagerhat 9300 
207924; GB; Third Floor, Burlington Arcade, BH1 2HZ, Bournemouth, UNITED KINGDOM 
137259; MM; No.1245, Bo Min Yaung Street, Yangon North Dagon 11421 
400860; US; 9002 Red Deer Cir. Unit 206, Louisville, KY, 40220, US 
151196; HK; 19H MAXGRAND PLAZA NO 3 TAI YAU ST SAN PO KONG KLN HONGKONG, Hong Kong Hong Kong 999077 
151183; BD; Bus Stand, Dumuria Bazar, Dumuria, Khulna, Khulna Khulna 9250 
395898; US; 1309 Coffeen Avenue STE 1200, Sheridan, WY, 82801, US 
400861; US; PO Box 8112, Cave Creek, AZ, 85327, US 
265076; BR;  
212448; TR; Hocapasa Mah. Mehmet Murat Sk. Kocaoglu Is Merkezi No: 6 Ic Kapi No: 9 
200174; GB; 61 Bridge Street, Kington, United Kingdom, HR5 3DJ 
207400; AM; 24/6 M. Baghramyan ave., 0019, Yerevan, ARMENIA 
151203; AU; 5/56 Osborne Road, Manly New South Wales 2095 
210020; TR; Yeni Mah. 119. Sk. No:38 Reyhanli / HATAY 
60566; RU; ul. Zhukova, d. 30, 357812 Obilnoe, Russia 
329247; ZA;  
14956; US; 1309 Coffeen Avenue STE 1200, Sheridan, WY 82801, Sheridan, WY, 82801, US 
151214; BD; Hazi Anab Ali Market, Kalikaccha Bazar, Sarail, Brahmanbaria, Brahmanbaria Brahmanbaria 3430 
134486; AU; PO Box 1099, Joondalup DC WA 6919 
273744; ;  
140305; TH; 39/234-236 Moo2, Samutsakhon Rama2 Rd., Amphur Muang, 74000 
270179; MX; IGNACIO MORONES PRIETO, 1101, NUEVO REPUEBLO, 64700 - MONTERREY - NL 
58236; RU; ul. Kuibysheva, d. 144, str. 41, 640006 Kurgan, Russia 
198483; KZ; Mangilik El avenue, 20 BC "Palazzo degli Affari" 4th floor, 010017, Astana, Kazakhstan 
198681; RU; 24 Maksima Gor'kogo st., office 401, Russian Federation, Novosibirskaya oblast', Novosibirsk 
151332; AU; PO Box 116, Collins St West VIC 8007 
198448; FR; 34 AVENUE DES CHAMPS ELYSEES, 75008 PARIS, FRANCE 
