u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
86643514,86643521,0,False,residential,Finnigan Lane,130.175,,,,,,,,,,,10298957,
86643514,86813445,0,False,residential,Gold Cliff Road,959.038,,,,,,,,,,,10309069,
86643521,86643527,0,False,residential,Finnigan Lane,102.215,,,,,,,,,,,10298957,
86643521,86643514,0,False,residential,Finnigan Lane,130.175,,,,,,,,,,,10298957,
86643521,86926872,0,False,residential,Sycamore Street,54.267,,,,,,,,,,,10306933,
86643527,86643551,0,False,residential,Finnigan Lane,167.83,,,,,,,,,,,10298957,
86643527,86643521,0,False,residential,Finnigan Lane,102.215,,,,,,,,,,,10298957,
86643527,86859561,0,False,residential,Bush Street,162.285,,,,,,,,,,,10305151,
86643551,86843771,0,False,primary,South Main Street,10.498,2,,,,,,,,,,10305955,CA 49
86643551,86643527,0,False,residential,Finnigan Lane,167.83,,,,,,,,,,,10298957,
86643551,86883075,0,False,primary,South Main Street,310.53,2,,,,,,,,,,10305955,CA 49
86644523,86644536,0,False,residential,,129.47,,,,,,,,,,,"[10298985, 10298982]",
86644536,86644523,0,False,residential,,129.47,,,,,,,,,,,"[10298985, 10298982]",
86644536,86781405,0,False,residential,Suzanne Drive,94.587,,,,,,,,,,,10308164,
86644536,86999272,0,False,residential,Dutsch Court,354.11,,,,,,,,,,,10308388,
86644536,86843701,0,False,residential,Kurt Drive,99.648,,,,,,,,,,,10308774,
86644536,86990404,0,False,residential,Kurt Drive,134.828,,,,,,,,,,,10308774,
86660768,86660778,0,False,residential,El Dorado Court,134.789,,,,,,,,,,,10299456,
86660768,86799342,0,False,residential,Blair Mine Road,256.721,,,,,,,,,,,"[10299966, 10303766]",
86660768,86681427,0,False,residential,Blair Mine Road,495.324,,,,,,,,,,,10299966,
86660778,86660768,0,False,residential,El Dorado Court,134.789,,,,,,,,,,,10299456,
86670443,86800238,0,False,residential,McCauley Ranch Road,11.904,,,,,,,,,,,10303784,
86670457,86974017,0,False,residential,Sierra Avenue,27.775,,,,,,,,,,,10307758,
86681427,86660768,0,False,residential,Blair Mine Road,495.324,,,,,,,,,,,10299966,
86691615,86691640,0,False,residential,,212.791,,,,,,,,,,,10300274,
86691615,86805367,0,False,residential,Purdy Road,77.713,,,,,,,,,,,10303910,
86691615,86805358,0,False,residential,Purdy Road,118.153,,,,,,,,,,,10303910,
86691640,86691615,0,False,residential,,212.791,,,,,,,,,,,10300274,
86723591,86723592,0,False,residential,,74.581,,,,,,,,,,,10301178,
86723591,86859236,0,False,tertiary,San Joaquin Avenue,23.325,,,,,,,,,,,10305141,
86723591,86859230,0,False,tertiary,San Joaquin Avenue,27.148,,,,,,,,,,,10305141,
86723592,86723591,0,False,residential,,74.581,,,,,,,,,,,10301178,
86723592,86988030,0,False,residential,Big Horn Mobile Home Park,12.476,,,,,,,,,,,10308048,
86723592,86859230,0,False,residential,Big Horn Mobile Home Park,99.625,,,,,,,,,,,10308048,
86732438,86732453,0,False,residential,,53.996,,,,,,,,,,,10301453,
86732438,86776423,0,False,residential,Fairview Drive,54.264,,,,,,,,,,,10309116,
86732438,86903863,0,False,residential,Fairview Drive,144.971,,,,,,,,,,,10309116,
86732453,86732438,0,False,residential,,53.996,,,,,,,,,,,10301453,
86746551,86746556,0,False,residential,,31.195,,,,,,,,,,,255028480,
86746556,86746551,0,False,residential,,31.195,,,,,,,,,,,255028480,
86746556,86830234,0,False,residential,Live Oak Drive,60.008,,,,,,,,,,,10308842,
86746556,87019475,0,False,residential,Live Oak Drive,404.028,,,,,,,,,,,10308842,
86756644,86888242,0,False,tertiary,Greenhorn Creek Road,54.461,,,,,,,,,,,255168943,
86772349,86853651,0,False,residential,Bret Harte Drive,13.044,,,,,,,,,,,10305042,
86772349,86772353,0,False,residential,,51.938,,,,,,,,,,,10302860,
86772349,86805300,0,False,residential,Bret Harte Drive,77.703,,,,,,,,,,,10305042,
86772353,86772349,0,False,residential,,51.938,,,,,,,,,,,10302860,
86772353,86805315,0,False,residential,Purdy Road,106.467,,,,,,,,,,,10303910,
86772353,86805300,0,False,residential,Purdy Road,72.77,,,,,,,,,,,10303910,
86776423,86776432,0,False,residential,Fairview Court,62.664,,,,,,,,,,,10303033,
86776423,86984579,0,False,residential,Fairview Drive,90.923,,,,,,,,,,,10309116,
86776423,86732438,0,False,residential,Fairview Drive,54.264,,,,,,,,,,,10309116,
86776432,86776423,0,False,residential,Fairview Court,62.664,,,,,,,,,,,10303033,
86777603,86833742,0,False,residential,Gardner Lane,39.298,,,,,,,,,,,10309510,
86777603,86777606,0,False,residential,Easy Street,43.792,,,,,,,,,,,10303050,
86777603,86777680,0,False,residential,Gardner Lane,103.753,,,,,,,,,,,10309510,
86777606,86777692,0,False,residential,"['Easy Circle', 'Easy Street']",220.011,,,,,,,,,,,"[10309816, 10303050, 10309815]",
86777606,86777692,1,False,residential,Kirby Way,108.183,,,,,,,,,,,10309305,
86777606,86777603,0,False,residential,Easy Street,43.792,,,,,,,,,,,10303050,
86777680,86777692,0,False,residential,Easy Street,46.578,,,,,,,,,,,10303053,
86777680,86777603,0,False,residential,Gardner Lane,103.753,,,,,,,,,,,10309510,
86777680,86813556,0,False,residential,Gardner Lane,167.569,,,,,,,,,,,10309510,
86777692,86777680,0,False,residential,Easy Street,46.578,,,,,,,,,,,10303053,
86777692,86777606,0,False,residential,Kirby Way,108.183,,,,,,,,,,,10309305,
86777692,86777606,1,False,residential,"['Easy Circle', 'Easy Street']",220.011,,,,,,,,,,,"[10309816, 10303050, 10309815]",
86777692,87041637,0,False,residential,Kirby Way,46.382,,,,,,,,,,,10309305,
86779286,86779288,0,False,residential,Lightner Place,44.547,,,,,,,,,,,10303099,
86779286,86888185,0,False,residential,Smith Flat Road,208.778,,,,,,,,,,,10306112,
86779286,86888137,0,False,residential,Smith Flat Road,73.651,,,,,,,,,,,10306112,
86779288,86779286,0,False,residential,Lightner Place,44.547,,,,,,,,,,,10303099,
86779347,86967197,0,False,residential,"['Highland Avenue', 'Highland Alley']",191.674,,,,,,,,,,,"[10307608, 10303101]",
86779347,86859485,0,False,residential,Echo Street,34.211,,,,,,,,,,,10306976,
86779347,86858413,0,False,residential,Echo Street,61.552,,,,,,,,,,,10306976,
86780398,86780459,0,False,residential,Tryon Road,539.056,,,,,,,,,,,10303119,
86780398,86843729,0,False,secondary,Vallecito Road,248.492,,,,,,,,,,,181470874,CA 4 Business
86780398,86843771,0,False,secondary,Vallecito Road,187.638,,,,,,,,,,,181470874,CA 4 Business
86780459,86780398,0,False,residential,Tryon Road,539.056,,,,,,,,,,,10303119,
86780943,86780948,0,False,residential,Martina Street,56.77,,,,,,,,,,,10303129,
86780943,86811264,0,False,primary,South Main Street,73.568,2,,,,,,,,,,10305955,CA 49
