u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
87341056,87341057,0,False,residential,Lincoln Street,82.839,,,,,,,,,,,10320325,
87341056,87555096,0,False,secondary,18th Avenue,122.276,,,,,,,,,,,10342223,
87341056,87540746,0,False,secondary,18th Avenue,104.469,,,,,,,,,,,10342223,
87341056,87627305,0,False,residential,Lindquist Street,118.905,,,,,,,,,,,10348726,
87341057,87341059,0,False,residential,Lincoln Street,161.571,,,,,,,,,,,10320325,
87341057,87341056,0,False,residential,Lincoln Street,82.839,,,,,,,,,,,10320325,
87341057,87540746,0,False,residential,Earl Street,65.05,,,,,,,,,,,10341096,
87341057,87540744,0,False,residential,Earl Street,119.329,,,,,,,,,,,10341096,
87341059,87341061,0,False,residential,Lincoln Street,149.589,,,,,,,,,,,10320325,
87341059,87341057,0,False,residential,Lincoln Street,161.571,,,,,,,,,,,10320325,
87341059,87606409,0,False,residential,Lewis Street,121.731,,,,,,,,,,,10350466,
87341059,87619375,0,False,residential,Lewis Street,123.177,,,,,,,,,,,10350466,
87341061,87341062,0,False,residential,Lincoln Street,154.991,,,,,,,,,,,10320325,
87341061,87341059,0,False,residential,Lincoln Street,149.589,,,,,,,,,,,10320325,
87341061,87614589,0,False,secondary,Draper Street,125.825,,,,,,,,,,,224490825,
87341061,87606414,0,False,secondary,Draper Street,124.046,,,,,,,,,,,224490825,
87341062,87341061,0,False,residential,Lincoln Street,154.991,,,,,,,,,,,10320325,
87341062,87531070,0,False,residential,Ellis Street,95.274,,,,,,,,,,,41291210,
87341062,87531068,0,False,residential,Ellis Street,125.311,,,,,,,,,,,41291210,
87341062,87341064,0,False,residential,Lincoln Street,82.027,,,,,,,,,,,10320325,
87341064,87499780,0,False,residential,14th Avenue,118.124,,,,,,,,,,,10341788,
87341064,87531070,0,False,primary,East Conejo Avenue,111.217,,,,,,,,,,,224490833,CA 201
87341064,87556435,0,False,primary,East Conejo Avenue,210.167,,,,,,,,,,,224490833,CA 201
87341064,87341062,0,False,residential,Lincoln Street,82.027,,,,,,,,,,,10320325,
87341761,87341763,0,False,residential,Ventura Street,194.06,,,,,,,,,,,10320467,
87341761,87568882,0,False,tertiary,10th Avenue,95.872,,,,,,,,,,,10343398,
