u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
34351114,34485314,0,False,residential,Dwight Way,41.398,,,,25 mph,,,,,,,188703407,
34485314,34351114,0,False,residential,Dwight Way,41.398,,,,25 mph,,,,,,,188703407,
34485314,53020998,0,False,residential,Dwight Way,57.977,,,,25 mph,,,,,,,188703408,
34485314,35719092,0,False,residential,Fernwald Road,156.814,,,,25 mph,,,,,,,5150501,
35719055,2844488378,0,False,residential,Avalon Avenue,16.337,,,,,,,,,,,34815521,
35719055,35719057,0,False,secondary,Claremont Avenue,107.077,,,,"['25 mph', '20 mph']",,,,,,,"[188702003, 201989356]",
35719055,53082604,0,False,secondary,Claremont Avenue,93.026,,,,25 mph,,,,,,,201989356,
35719057,394180791,0,False,residential,Tanglewood Road,272.053,,,,,,,,,,,34815519,
35719057,35719055,0,False,secondary,Claremont Avenue,107.077,,,,"['25 mph', '20 mph']",,,,,,,"[188702003, 201989356]",
35719092,34485314,0,False,residential,Fernwald Road,156.814,,,,25 mph,,,,,,,5150501,
35719098,53020998,0,False,residential,Dwight Way,65.4,,,,25 mph,,,,,,,475997181,
35719098,1419660758,0,False,residential,Dwight Way,77.373,,,,25 mph,,,,,,,475997181,
35719098,35719102,0,False,residential,Hillside Avenue,201.534,,,,25 mph,,,,,,,"[5149917, 435440767]",
35719102,35725887,0,False,residential,Hillside Court,84.225,,,,25 mph,,,,,,,7779006,
35719102,35719103,0,False,residential,Hillside Avenue,23.204,,,,25 mph,,,,,,,435440767,
35719102,35719098,0,False,residential,Hillside Avenue,201.534,,,,25 mph,,,,,,,"[5149917, 435440767]",
35719103,53020995,0,False,tertiary,Prospect Street,159.853,,,,25 mph,,,,,,,311941950,
35719103,53055000,0,False,tertiary,Prospect Street,70.607,,,,25 mph,,,,,,,311941950,
35719103,35719102,0,False,residential,Hillside Avenue,23.204,,,,25 mph,,,,,,,435440767,
35719109,35719112,0,False,tertiary,Canyon Road,103.931,,,,15 mph,,,,,,,5149920,
35719109,53147743,0,False,residential,Panoramic Way,197.801,,,,25 mph,,,,,,,6399401,
35719109,53055000,0,False,tertiary,"['Bancroft Way', 'Prospect Street']",179.913,,,,25 mph,,,,,,,"[24025453, 311941950]",
35719112,35719109,0,False,tertiary,Canyon Road,103.931,,,,15 mph,,,,,,,5149920,
35719112,35719115,0,False,tertiary,Stadium Rim Way,136.552,,,,25 mph,,,,,,,60787285,
35719112,56795014,0,False,residential,Canyon Road,175.526,,,,15 mph,,,,,,,475997182,
35719115,4969676696,0,False,tertiary,Centennial Drive,105.272,,,,25 mph,,,,,,,5149909,
35719115,53034977,0,False,residential,Stadium Rim Way,429.54,,,,25 mph,,,,,,,7779009,
35719115,35719112,0,False,tertiary,Stadium Rim Way,136.552,,,,25 mph,,,,,,,60787285,
35719172,35719176,0,False,residential,Panoramic Way,164.394,,,,25 mph,,,,,,,5149915,
35719172,35719237,0,False,residential,Mosswood Road,209.481,,,,25 mph,,,,,,,5150502,
35719172,53147743,0,False,residential,Panoramic Way,146.987,,,,25 mph,,,,,,,6399404,
35719176,35719172,0,False,residential,Panoramic Way,164.394,,,,25 mph,,,,,,,5149915,
35719176,35719236,0,False,residential,Arden Road,184.358,,,,25 mph,,,,,,,5150503,
35719176,35719182,0,False,residential,Panoramic Way,190.064,,,,25 mph,,,,,,,28135114,
35719182,35719176,0,False,residential,Panoramic Way,190.064,,,,25 mph,,,,,,,28135114,
35719236,35719176,0,False,residential,Arden Road,184.358,,,,25 mph,,,,,,,5150503,
35719237,35719172,0,False,residential,Mosswood Road,209.481,,,,25 mph,,,,,,,5150502,
35725887,35719102,0,False,residential,Hillside Court,84.225,,,,25 mph,,,,,,,7779006,
35833153,86276581,0,True,motorway,Eastshore Freeway,411.699,5,,,65 mph,,,,,,,203317482,I 80;I 580
52978704,53082156,0,False,tertiary,College Avenue,83.242,2,,,25 mph,,,,,,,195430724,
52978704,53090680,0,False,tertiary,College Avenue,44.203,2,,,25 mph,,,,,,,195430724,
52978706,743433416,0,False,residential,Forest Avenue,190.597,,,,25 mph,,,,,,,6318448,
52978706,52978708,0,False,residential,Forest Avenue,365.35,,,,25 mph,,,,,,,6318448,
52978706,53055629,0,False,residential,Piedmont Avenue,81.087,,,,25 mph,,,,,,,24620185,
52978706,53058938,0,False,residential,"['Derby Street', 'Piedmont Avenue']",173.776,,,,25 mph,,,,,,,"[24620184, 24620185]",
52978708,52978706,0,False,residential,Forest Avenue,365.35,,,,25 mph,,,,,,,6318448,
52978708,53082160,0,False,residential,Claremont Boulevard,80.911,,,,25 mph,,,,,,,6405157,
52978708,53111879,0,False,residential,Claremont Boulevard,83.086,,,,25 mph,,,,,,,6405157,
