u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
10537785,26740014,0,True,motorway,Golden State Freeway,459.78,4,,,65 mph,,,yes,,,,"[31978310, 31973422, 31973427, 31973432, 31973434]",I 5
10537865,26959286,0,False,residential,Amherst Drive,168.946,,,,,,,,,,,133801387,
10537865,21490272,0,False,residential,Amherst Drive,174.781,,,,,,,,,,,133801387,
10537865,122730799,0,False,secondary,Glenoaks Boulevard,101.895,,,,,,,,,,,"[402510945, 402510964]",
10537865,14940484,0,False,secondary,Glenoaks Boulevard,113.434,,,,,,,,,,,"[402510995, 402510980, 402510940]",
10537871,35528299,0,False,residential,Verdugo Avenue,170.156,,,,,,,,,,,167711486,
10537871,123013555,0,False,secondary,Glenoaks Boulevard,120.251,,,,,,,,,,,"[402510969, 402510954, 402511006]",
10537871,35528322,0,False,secondary,Glenoaks Boulevard,116.921,,,,,,,,,,,"[402511010, 402511004, 402510982]",
10537871,20930413,0,False,secondary,Verdugo Avenue,171.497,2,,,,,,,,,,"[402525357, 402525358, 402525359]",
10729807,20930309,0,True,motorway,Golden State Freeway,347.241,4,,,65 mph,,,yes,,,,"[31973425, 31973436, 31973421]",I 5
14758466,1884813467,0,False,secondary,Burbank Boulevard,256.437,,,,,,,yes,,,,"[100707603, 77557475, 77557436]",
14758466,118435621,0,True,secondary,Victory Boulevard,140.019,,,,,,,,,,,402516223,
14758466,1830103173,0,False,secondary,Victory Place,175.253,"['3', '4']",,,,,,,,,,"[402516226, 402516227, 402516228, 402516230]",
14758466,1164154749,0,True,secondary,Burbank Boulevard,44.041,,,,,,,,,,,402531657,
14758467,1897841344,0,False,secondary,West Magnolia Boulevard,112.124,5,,,,,,,,,,"[405553021, 161695669]",
14758467,122932334,0,False,secondary,Victory Boulevard,213.967,6,,,,,,,,,,"[402516218, 405150947]",
14758467,1831073719,0,False,secondary,North Victory Boulevard,199.368,"['5', '6']",,,,,,,,,,"[405538465, 172279892, 405538470]",
14758467,14759300,0,False,secondary,West Magnolia Boulevard,93.321,"['5', '6']",,,,,,,,,,"[405553033, 405553028]",
