u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
95176436,470548235,0,True,motorway,El Camino Real,863.807,3,,,65 mph,,,,,,,10733322,US 101
95176460,95176436,0,True,motorway_link,,340.038,,,,,,,,,,,10714792,
95176460,95232671,0,True,primary,North Las Posas Road,156.758,,,,,,,yes,,,,"[30624369, 30624371]",
95176462,95619836,0,True,primary,North Las Posas Road,23.394,,,,,,,,,,,30624370,
95176462,95176500,0,True,motorway_link,,394.491,,,,,,,,,,,39269360,
95176500,95176436,0,True,motorway,El Camino Real,179.063,3,,,65 mph,,,,,,,10733322,US 101
95190113,95190127,0,False,residential,,93.209,,,,,,,,,,,10715137,
95190113,95292959,0,False,residential,Paseo Camarillo,212.91,,,,,,,,,,,10738395,
95190113,95401675,0,False,residential,Paseo Camarillo,130.512,,,,,,,,,,,10738395,
95190127,95329852,0,False,residential,,55.723,,,,,,,,,,,10723730,
95190127,95190142,0,False,residential,,130.101,,,,,,,,,,,10715137,
95190127,95190113,0,False,residential,,93.209,,,,,,,,,,,10715137,
95190142,95190145,0,False,residential,,48.045,,,,,,,,,,,10715137,
95190142,95190127,0,False,residential,,130.101,,,,,,,,,,,10715137,
95190142,95218988,0,False,residential,,145.439,,,,,,,,,,,10718588,
95190145,95401675,0,False,residential,,76.059,,,,,,,,,,,10727176,
95190145,95190151,0,False,residential,,130.886,,,,,,,,,,,10715137,
95190145,95190142,0,False,residential,,48.045,,,,,,,,,,,10715137,
95190151,95401675,0,False,residential,Paseo Camarillo,56.915,,,,,,,,,,,10738395,
95190151,95190145,0,False,residential,,130.886,,,,,,,,,,,10715137,
95190151,95602973,0,False,residential,Paseo Camarillo,63.278,,,,,,,,,,,10738395,
95191726,297162604,0,True,motorway,El Camino Real,129.737,3,,,65 mph,,,yes,,,,"[30624376, 30624374]",US 101
95193137,95513533,0,True,motorway_link,,422.174,,,,,,,,,,,27085370,
95193141,95193137,0,True,motorway_link,,55.779,,,,,,,,,,,27085370,
95193141,95502074,0,False,primary,East Daily Drive,41.443,,,,,,,,,,,186246447,
95193141,297165355,0,False,secondary,East Daily Drive,49.824,,,,,,,,,,,209414686,
95194612,95194644,0,True,motorway_link,,398.088,,,,,,,,,,,10715362,
95194612,95239195,0,True,primary,"['Pleasant Valley Road', 'Santa Rosa Road']",242.683,,,,,,,yes,,,,"[10740782, 50841934, 37048280]",
95194644,95401958,0,True,motorway,El Camino Real,1768.104,"['3', '4']",,,65 mph,,,yes,,,,"[122900673, 130624069, 37048285, 130624068]",US 101
95195157,1969327150,0,True,motorway_link,,126.946,,,,,,,yes,,,,"[40097764, 40097765]",
95195157,1969327147,0,True,motorway,El Camino Real,173.753,3,,,65 mph,,,yes,,,,"[40097766, 40097767]",US 101
95195822,1969327150,0,False,tertiary,,90.527,,,,,,,,,,,10715387,
95195822,482539717,0,False,tertiary,Camarillo Springs Road,134.253,,,,,,,,,,,10737386,
95204494,95204495,0,False,residential,,25.837,,,,,,,,,,,10716755,
95204495,95204496,0,False,residential,,39.632,,,,,,,,,,,10716755,
95204495,95204494,0,False,residential,,25.837,,,,,,,,,,,10716755,
95204495,95301723,0,False,residential,,141.403,,,,,,,,,,,10722309,
95204496,95204495,0,False,residential,,39.632,,,,,,,,,,,10716755,
95204496,95472315,0,False,residential,Mission Verde Drive,10.87,,,,,,,,,,,10743074,
95204496,95521442,0,False,residential,Mission Verde Drive,36.451,,,,,,,,,,,10743074,
95204558,95619809,0,True,primary,East Las Posas Road,172.108,,,,,,,,,,,10739336,
95204558,95619732,0,False,residential,Getman Street,13.248,,,,,,,,,,,10744103,
95204558,95619731,0,False,residential,Getman Street,13.797,,,,,,,,,,,10744104,
95204558,95204563,0,False,residential,,52.449,,,,,,,,,,,10716772,
95204563,95204567,0,False,residential,,83.45,,,,,,,,,,,10716772,
95204563,95204558,0,False,residential,,52.449,,,,,,,,,,,10716772,
95204563,95478461,0,False,residential,Calle Portilla,200.917,,,,,,,,,,,10731395,
95204563,95478450,0,False,residential,Calle Portilla,172.047,,,,,,,,,,,10731395,
95204567,95553568,0,False,residential,Via la Silva,160.373,,,,,,,,,,,10736133,
95204567,95567215,0,False,residential,Sausalito Drive,87.359,,,,,,,,,,,10736379,
95204567,95204563,0,False,residential,,83.45,,,,,,,,,,,10716772,
95204567,95567208,0,False,residential,Sausalito Drive,168.444,,,,,,,,,,,10736379,
95206332,95521471,0,True,residential,Woodcreek Road,12.241,,,,,,,,,,,10733862,
95206332,95206335,0,True,primary_link,,20.332,,,,,,,,,,,10717120,
95206335,2956754400,0,True,primary,Santa Rosa Road,631.662,,,,,,,,,,,10740783,
95208440,95208441,0,False,residential,,54.338,,,,,,,,,,,10717624,
95208440,95306591,0,False,residential,Paseo Lunar,84.065,,,,,,,,,,,10734707,
95208440,95469597,0,False,residential,Paseo Lunar,224.077,,,,,,,,,,,10734707,
95208441,95208440,0,False,residential,,54.338,,,,,,,,,,,10717624,
95218988,95190142,0,False,residential,,145.439,,,,,,,,,,,10718588,
95219639,95530770,0,False,residential,Calle Tierra Vista,225.75,,,,,,,,,,,10718617,
95219639,95657064,0,False,residential,Via Aracena,366.498,,,,,,,,,,,10743191,
95219639,95683060,0,False,residential,Via Aracena,142.53,,,,,,,,,,,10743191,
95224795,3588380615,0,False,tertiary,Antonio Avenue,7.585,,,,,,,,,,,10732009,
95224795,95576800,0,False,residential,Calle Cita,70.457,,,,,,,,,,,10740071,
95224795,3588380619,0,False,residential,,33.828,,,,,,,,,,,10718773,
95224805,3588380619,0,False,residential,,22.673,,,,,,,,,,,10718773,
95226376,95368378,0,False,residential,,23.302,,,,,,,,,,,202067518,
95226376,692072719,0,False,residential,,7.054,,,,,,,,,,,202067518,
95226376,95226378,0,False,residential,,39.785,,,,,,,,,,,10718840,
95226378,95477990,0,False,residential,Paseo Encantada,21.291,,,,,,,,,,,10731348,
95226378,95384256,0,False,residential,Paseo Encantada,10.207,,,,,,,,,,,10731348,
95226378,95226376,0,False,residential,,39.785,,,,,,,,,,,10718840,
95231427,692123596,0,False,residential,,17.477,,,,,,,,,,,55024066,
95231427,95231437,0,False,residential,,71.176,,,,,,,,,,,10719042,
95231427,692123262,0,False,residential,,171.397,,,,,,,,,,,10719042,
95231437,95231427,0,False,residential,,71.176,,,,,,,,,,,10719042,
95231437,95231449,0,False,residential,,67.216,,,,,,,,,,,10719043,
95231437,95231439,0,False,residential,,58.145,,,,,,,,,,,10719043,
95231439,95231437,0,False,residential,,58.145,,,,,,,,,,,10719043,
95231449,95231437,0,False,residential,,67.216,,,,,,,,,,,10719043,
95231449,3374593525,0,False,residential,,77.237,,,,,,,,,,,10723359,
95231449,692123262,0,False,residential,,81.825,,,,,,,,,,,10723359,
95232671,95257704,0,True,primary,North Las Posas Road,88.268,,,,,,,,,,,10739334,
95232671,95232709,0,True,motorway_link,,404.208,,,,,,,,,,,10719107,
95232709,95278054,0,True,motorway,Ventura Freeway,238.606,3,,,65 mph,,,,,,,30624372,US 101
95239038,95509170,0,False,primary,Calle Cuesta,14.755,,,,,,,,,,,186246435,
95239038,95509166,0,True,primary,Pleasant Valley Road,189.703,,,,,,,,,,,10733031,
95239038,1969327155,0,False,motorway_link,,195.638,,,,,,,,,,,186246512,
95239195,95239233,0,True,motorway_link,,406.192,,,,,,,,,,,10719371,
95239195,95382424,0,True,primary,Santa Rosa Road,84.399,,,,,,,,,,,37048280,
95239233,95513653,0,True,motorway,El Camino Real,183.814,3,,,65 mph,,,,,,,130624067,US 101
95243696,95619836,0,True,motorway_link,,530.375,,,,,,,,,,,10719561,
95243696,95176500,0,True,motorway,El Camino Real,637.327,3,,,65 mph,,,,,,,10733322,US 101
95243988,95243991,0,False,residential,,77.451,,,,,,,,,,,10719580,
95243988,95539224,0,False,residential,Avocado Place,181.957,,,,,,,,,,,10735000,
95243991,95243988,0,False,residential,,77.451,,,,,,,,,,,10719580,
95248980,95248981,0,False,residential,,45.994,,,,,,,,,,,10719820,
95248980,95653925,0,False,residential,Calle Lozano,128.115,,,,,,,,,,,10741114,
95248980,95522931,0,False,residential,Calle Lozano,43.719,,,,,,,,,,,10741114,
95248981,95248980,0,False,residential,,45.994,,,,,,,,,,,10719820,
95249064,694827439,0,False,residential,,7.47,,,,,,,,,,,10719824,
95249064,95474896,0,True,primary,Santa Rosa Road,271.489,,,,,,,,,,,37048280,
95249680,95461294,0,True,residential,Woodcreek Road,259.601,,,,,,,,,,,10733861,
95249685,95521466,0,True,primary,Santa Rosa Road,15.017,,,,,,,,,,,10740783,
95249685,95249680,0,True,primary_link,,21.911,,,,,,,,,,,10719865,
95251752,95576095,0,True,primary,North Las Posas Road,63.595,,,,,,,,,,,186246452,
95251752,95465451,0,False,residential,,255.633,,,,,,,,,,,10719946,
95256065,95390726,0,False,residential,,23.076,,,,,,,,,,,10726651,
95256065,95256065,0,False,residential,,421.49,,,,,,,,,,,10720131,
95256065,95256065,1,False,residential,,421.49,,,,,,,,,,,10720131,
