u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
29946559,86398175,0,True,secondary,East 8th Street,36.602,2,,,35 mph,,,,,,,538874621,CA 32
29946559,86398178,0,True,trunk,,57.361,,,,35 mph,,,,,,,173190217,
86370357,86370358,0,False,residential,Coit Tower Way,82.637,,,,,,,,,,,10287588,
86370357,86512271,0,False,residential,Ashford Way,65.725,,,,,,,,,,,10294085,
86370357,86442632,0,False,tertiary,East 8th Street,167.927,,,,25 mph,,,,,,,161727773,
86370357,86483231,0,False,tertiary,"['East 8th Street', 'Chico Canyon Road']",86.899,,,,25 mph,,,,,,,"[10293960, 161727773]",
86370358,86370359,0,False,residential,Coit Tower Way,81.836,,,,,,,,,,,10287588,
86370358,86370357,0,False,residential,Coit Tower Way,82.637,,,,,,,,,,,10287588,
86370358,86543933,0,False,residential,Burlingame Drive,313.166,,,,,,,,,,,10295206,
86370359,86370358,0,False,residential,Coit Tower Way,81.836,,,,,,,,,,,10287588,
86370359,86370361,0,False,residential,Coit Tower Way,89.174,,,,,,,,,,,10287588,
86370359,86426284,0,False,residential,Bloomington Avenue,208.509,,,,,,,,,,,10290467,
86370361,86451529,0,False,residential,Farmington Avenue,85.306,,,,,,,,,,,10295632,
86370361,86556883,0,False,residential,Farmington Avenue,52.51,,,,,,,,,,,10295632,
86370361,86370366,0,False,residential,Coit Tower Way,124.728,,,,,,,,,,,10287588,
86370361,86370359,0,False,residential,Coit Tower Way,89.174,,,,,,,,,,,10287588,
86370366,86370361,0,False,residential,Coit Tower Way,124.728,,,,,,,,,,,10287588,
86370366,86436020,0,False,residential,Sausalito Street,80.354,,,,,,,,,,,10290702,
86370366,86435998,0,False,residential,Sausalito Street,97.408,,,,,,,,,,,10290702,
86370475,86370476,0,False,residential,College Drive,131.275,,,,,,,,,,,10287600,
86370475,86480120,0,False,residential,Warner Street,51.857,,,,,,,,,,,10292774,
86370475,86480116,0,False,residential,Warner Street,95.139,,,,,,,,,,,10292774,
86370476,86370475,0,False,residential,College Drive,131.275,,,,,,,,,,,10287600,
