u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
54143450,54143457,0,False,tertiary,Philadelphia Street,402.986,2,,,40 mph,,,,,,,97901891,
54143450,54454428,0,False,primary,Ramona Avenue,269.677,"['5', '4']",,,,,,,,,,"[474884943, 474884944, 474884945, 474884946, 97901904]",
54143450,1884806766,0,False,secondary,Philadelphia Street,400.889,"['3', '2', '4']",,,,,,,,,,"[474897093, 474897096, 474897101, 474897105, 185930035, 474884947, 474897108]",
54143457,1133086466,0,False,residential,Yorba Avenue,56.466,,,,,,,,,,,7789726,
54143457,54143461,0,False,tertiary,Philadelphia Street,250.534,2,,,40 mph,,,,,,,97901891,
54143457,54143450,0,False,tertiary,Philadelphia Street,402.986,2,,,40 mph,,,,,,,97901891,
54143461,54626315,0,False,residential,Carlisle Avenue,241.65,,,,,,,,,,,7286737,
54143461,54143463,0,False,tertiary,Philadelphia Street,151.087,2,,,40 mph,,,,,,,97901891,
54143461,54143457,0,False,tertiary,Philadelphia Street,250.534,2,,,40 mph,,,,,,,97901891,
54143463,54744104,0,False,tertiary,Monte Vista Avenue,159.847,,,,,,,,,,,97901884,
54143463,54143461,0,False,tertiary,Philadelphia Street,151.087,2,,,40 mph,,,,,,,97901891,
54143463,54672375,0,False,tertiary,Monte Vista Avenue,84.686,,,,,,,,,,,97901894,
54143463,54143470,0,False,tertiary,Philadelphia Street,240.404,2,,,40 mph,,,,,,,185930040,
54143470,54702534,0,False,residential,Abacherli Avenue,200.957,,,,,,,,,,,7397626,
54143470,54143463,0,False,tertiary,Philadelphia Street,240.404,2,,,40 mph,,,,,,,185930040,
54143470,54143476,0,False,tertiary,Philadelphia Street,160.904,2,,,40 mph,,,,,,,185930040,
54143476,54672379,0,False,residential,Telephone Avenue,100.554,,,,,,,,,,,7347942,
54143476,54708850,0,False,residential,Telephone Avenue,155.891,,,,,,,,,,,7347942,
54143476,54143470,0,False,tertiary,Philadelphia Street,160.904,2,,,40 mph,,,,,,,185930040,
54143476,1917622566,0,False,tertiary,Philadelphia Street,198.999,2,,,40 mph,,,,,,,185930040,
54143484,54528115,0,False,tertiary,West Philadelphia Street,136.06,4,,,,,,,,,,7221431,
54143484,54556177,0,False,tertiary,South Benson Avenue,91.992,,,,,,,,,,,341355671,
54143484,4701792129,0,True,residential,Philadelphia Street,596.712,4,,,40 mph,,,,,,,476691704,
