u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
90239786,90239788,0,False,residential,,32.672,,,,,,,,,,,10496764,
90239786,90239833,0,False,residential,Huntington Square Lane,31.148,,,,,,,,,,,10512345,
90239786,90281607,0,False,residential,Huntington Square Lane,44.71,,,,,,,,,,,10512345,
90239788,90239786,0,False,residential,,32.672,,,,,,,,,,,10496764,
90239833,90239835,0,False,residential,,42.232,,,,,,,,,,,10496769,
90239833,90239786,0,False,residential,Huntington Square Lane,31.148,,,,,,,,,,,10512345,
90239833,90249549,0,False,residential,Huntington Square Lane,43.277,,,,,,,,,,,10512345,
90239835,90239833,0,False,residential,,42.232,,,,,,,,,,,10496769,
90239866,90268579,0,True,motorway,,1665.043,5,,,65 mph,,,,,,,"[123741330, 125083387]",I 80
90240083,90270007,0,True,motorway,,233.937,5,,,65 mph,,,,,,,123741404,I 80
90242337,90281176,0,False,residential,,43.991,,,,,,,,,,,10499884,
90242357,90242359,0,False,residential,,52.971,,,,,,,,,,,10496931,
90242357,90439038,0,False,residential,Saint Ives Lane,62.185,,,,,,,,,,,10516492,
90242357,90439072,0,False,residential,Saint Ives Lane,109.651,,,,,,,,,,,10516492,
90242359,3053143420,0,False,residential,,10.98,,,,,,,,,,,10496931,
90242359,90242357,0,False,residential,,52.971,,,,,,,,,,,10496931,
90242359,90337414,0,True,secondary,Auburn Boulevard,187.629,2,,,40 mph,,,,,,,493810657,
90243830,90243832,0,False,residential,,144.888,,,,,,,,,,,10497037,
90243832,90243830,0,False,residential,,144.888,,,,,,,,,,,10497037,
90243832,4856825498,0,False,secondary,Old Auburn Road,83.274,,,,,,,,,,,10509215,
90243832,90372563,0,False,secondary,Old Auburn Road,39.207,,,,,,,,,,,10509215,
90243837,90243839,0,False,residential,,14.578,,,,,,,,,,,10497038,
90243837,90364865,0,False,residential,Sherlock Way,38.259,,,,,,,,,,,10504894,
90243837,90364863,0,False,residential,Sherlock Way,52.534,,,,,,,,,,,10504894,
90243839,90243837,0,False,residential,,14.578,,,,,,,,,,,10497038,
90248404,90248406,0,False,residential,,47.341,,,,,,,,,,,10497506,
90248404,90277509,0,False,residential,Huntington Square Lane,46.002,,,,,,,,,,,10512345,
