u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
48878544,49146775,0,False,residential,Birchview Drive,47.809,,,,,,,,,,,5965849,
48881075,48881077,0,False,residential,,91.929,,,,,,,,,,,5940117,
48881075,49318658,0,False,secondary,Manchester Avenue,99.48,3,,,,,,,,,,"[436263174, 436263175]",
48881075,2315490658,0,False,secondary,Manchester Avenue,376.293,3,,,,,,,,,,"[436263170, 436263165, 436263175]",
48881077,48881075,0,False,residential,,91.929,,,,,,,,,,,5940117,
48892098,49524876,0,False,residential,Lone Jack Road,20.5,,,,,,,,,,,6011375,
48892098,49524870,0,False,residential,Lone Jack Road,191.654,,,,,,,,,,,6011375,
48892098,49057948,0,False,residential,Lone Jack Road,404.314,,,,,,,,,,,6011388,
48894636,49300446,0,False,residential,Newport Avenue,72.028,,,,,,,,,,,33196512,
48894636,49449591,0,False,secondary,San Elijo Avenue,142.234,,,,25 mph,,,,,,,345784863,
48894636,49449569,0,False,secondary,San Elijo Avenue,118.37,,,,25 mph,,,,,,,345784863,
48896660,49750382,0,True,motorway_link,,512.164,,,,,,,,,,,33093767,
48896660,48939540,0,False,primary,Santa Fe Drive,230.473,"['5', '4']",,,35 mph,,,,,,,"[436412065, 345781027, 175955557, 436412054, 436412056, 436412057, 436412059, 396343935]",
48896660,49029345,0,False,primary,Santa Fe Drive,150.831,4,,,35 mph,,,,,,,"[436412058, 436412061]",
48908039,49410145,0,False,residential,Shadow Mountain Drive,291.115,,,,,,,,,,,"[5942485, 5995455]",
48908039,49349173,0,False,residential,Wandering Road,53.847,,,,,,,,,,,"[6024760, 5942485]",
48908039,49238197,0,False,residential,Flair Encinitas Drive,321.311,,,,,,,,,,,6006898,
48910478,49121581,0,False,residential,Sealane Drive,147.051,,,,,,,,,,,32869691,
48912214,49752085,0,True,motorway_link,,337.807,,,,,,,,,,,289666737,
48912214,291696015,0,False,secondary,Birmingham Drive,131.584,,,,,,,yes,,,,"[26598817, 33804589, 436402215]",
48912214,49056401,0,False,secondary,Birmingham Drive,49.845,3,,,,,,,,,,"[32776216, 436402218]",
48919134,49373514,0,False,residential,McCain Lane,222.025,,,,,,,,,,,6002239,
48919443,48919444,0,False,tertiary,Santa Fe Drive,5.286,,,,35 mph,,,,,,,32869328,
48919443,49165748,0,False,residential,Cornish Drive,96.006,,,,25 mph,,,,,,,5995546,
48919443,49114813,0,False,tertiary,Santa Fe Drive,83.703,,,,35 mph,,,,,,,32869328,
48919444,49048570,0,False,tertiary,Santa Fe Drive,90.562,,,,35 mph,,,,,,,32869328,
48919444,48919443,0,False,tertiary,Santa Fe Drive,5.286,,,,35 mph,,,,,,,32869328,
48919444,49410425,0,False,residential,Cornish Drive,281.715,,,,,,,,,,,5962548,
48919471,4343186922,0,False,secondary,Rancho Santa Fe Road,87.308,,,,40 mph,,,,,,,436428481,S10
48919471,49098614,0,False,residential,9th Street,168.944,,,,,,,,,,,5996940,
48919471,49591392,0,False,secondary,Rancho Santa Fe Road,252.8,,,,40 mph,,,,,,,"[6027200, 436428481]",S10
48927365,48969252,0,False,primary,Encinitas Boulevard,189.234,5,,,40 mph,,,,,,,"[225061040, 205296074, 225061039]",S9
48927365,291697249,0,True,motorway_link,,320.516,2,,,,,,,,,,205296086,
48927365,49373654,0,False,primary,Encinitas Boulevard,58.986,6,,,40 mph,,,,,,,"[225063273, 169543036]",S9
48939528,48939529,0,False,secondary,La Costa Avenue,17.647,,,,,,,,,,,32675241,
48939528,48963538,0,False,secondary,La Costa Avenue,93.168,,,,,,,,,,,157272941,
48939528,49334259,0,False,residential,Sheridan Road,331.701,,,,,,,,,,,"[5986661, 5986662]",
48939529,48939528,0,False,secondary,La Costa Avenue,17.647,,,,,,,,,,,32675241,
48939529,3536348795,0,False,residential,Sheridan Road,165.613,,,,,,,,,,,5986664,
48939529,49522810,0,False,secondary,La Costa Avenue,133.762,,,,,,,,,,,32675241,
48939540,1865223908,0,True,primary,Santa Fe Drive,84.789,,,,35 mph,,,,,,,32673771,
48939540,48896660,0,False,primary,Santa Fe Drive,230.473,"['5', '4']",,,35 mph,,,,,,,"[436412065, 345781027, 175955557, 436412054, 436412056, 436412057, 436412059, 396343935]",
48939560,48939561,0,False,residential,,15.315,,,,,,,,,,,5945648,
48939560,49157224,0,False,residential,Hygeia Avenue,255.072,,,,,,,,,,,5988447,
48939560,49097056,0,False,residential,East Glaucus Street,152.518,,,,,,,,,,,6049392,
48939561,48939560,0,False,residential,,15.315,,,,,,,,,,,5945648,
48939561,49349140,0,False,residential,Hygeia Avenue,68.89,,,,,,,,,,,5988445,
48939561,49324698,0,False,residential,East Glaucus Street,345.15,,,,,,,,,,,6049394,
48939563,49144559,0,False,residential,Burgundy Road,202.812,,,,,,,,,,,5965486,
48939563,49323124,0,False,residential,Capri Road,199.446,,,,,,,,,,,"[5945650, 5985523]",
48939563,49144556,0,False,residential,Burgundy Road,885.813,,,,,,,,,,,5965484,
48939563,49323129,0,False,residential,Capri Road,106.035,,,,,,,,,,,5985524,
48939569,49535152,0,False,residential,Puebla Street,105.071,,,,,,,,,,,6013471,
48939569,48939570,0,False,tertiary,Saxony Road,8.451,,,,40 mph,,,,,,,345786740,
48939569,49415869,0,False,tertiary,Saxony Road,161.026,,,,40 mph,,,,,,,345786740,
48939570,49537951,0,False,residential,Puebla Street,118.098,,,,,,,,,,,6013472,
48939570,49415930,0,False,tertiary,Saxony Road,100.228,,,,40 mph,,,,,,,345786740,
48939570,48939569,0,False,tertiary,Saxony Road,8.451,,,,40 mph,,,,,,,345786740,
48939632,291696015,0,False,secondary,Birmingham Drive,18.999,,,,,,,,,,,26598817,
48939632,49542143,0,False,secondary,Birmingham Drive,16.082,,,,,,,,,,,309683968,
48948419,367742673,0,False,residential,Regal Road,99.298,,,,25 mph,,,,,,,6046802,
