u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
90238814,90238816,0,False,residential,Ceres Court,36.613,,,,,,,,,,,10496685,
90238816,90238814,0,False,residential,Ceres Court,36.613,,,,,,,,,,,10496685,
90238816,90525542,0,False,residential,School Street,82.763,,,,,,,,,,,10514787,
90238816,90320177,0,False,residential,School Street,92.683,,,,,,,,,,,10514787,
90239716,90239738,0,True,motorway_link,,608.339,,,,,,,yes,,,,"[10496760, 39998858, 39998859]",
90239716,90255430,0,True,motorway,El Dorado Freeway,855.095,3,,,65 mph,,,yes,,,,"[39998860, 31899932, 39998861]",US 50
90239738,1324280604,0,True,motorway_link,,12.702,,,,,,,,,,,537926951,
90239738,1739983635,0,True,secondary,East Bidwell Street,192.678,,,,45 mph,,,,,,,537926950,
90243674,90248342,0,True,motorway,El Dorado Freeway,355.164,4,,,65 mph,,,yes,,,,"[186082341, 39998862, 39998863]",US 50
90246045,90246052,0,False,residential,,129.957,,,,,,,,,,,10497250,
90246045,90683734,0,False,residential,"['Folsom Prison Road', 'Prison Road']",698.144,,,,,,,,,,,"[10504762, 10524203]",
90246045,90368730,0,False,residential,Ryan Parkway,124.077,,,,,,,,,,,10508882,
90246045,775338573,0,False,residential,Ryan Parkway,135.009,,,,,,,,,,,10508882,
90246052,775345637,0,False,residential,,993.528,,,,,,,,,,,10497250,
90246052,90246045,0,False,residential,,129.957,,,,,,,,,,,10497250,
90246052,90627945,0,False,residential,2nd Street,52.343,,,,,,,,,,,10520163,
90246897,90246899,0,False,residential,,34.683,,,,,,,,,,,10497308,
90246897,90368748,0,False,residential,1st Street,180.38,,,,,,,,,,,10505165,
90246897,90368730,0,False,residential,1st Street,189.673,,,,,,,,,,,10505165,
90246899,90246897,0,False,residential,,34.683,,,,,,,,,,,10497308,
90246899,90368748,0,False,residential,Ryan Parkway,190.051,,,,,,,,,,,10508882,
90246899,90368730,0,False,residential,Ryan Parkway,164.12,,,,,,,,,,,10508882,
90248322,90248342,0,True,motorway_link,,790.031,,,,,,,yes,,,,"[10497496, 39998865, 39998864]",
90248322,90470725,0,False,secondary,Scott Road,1989.403,,,,55 mph,,,,,,,10510981,
90248322,90255756,0,False,secondary,Scott Road,211.889,,,,55 mph,,,,,,,536184209,
90248821,90264179,0,True,primary,Folsom Boulevard,12.541,,,,50 mph,,,,,,,546318047,
90248821,90248825,0,True,motorway_link,,61.155,,,,,,,,,,,546318046,
90248825,90620941,0,True,motorway_link,,248.778,,,,,,,,,,,546318046,
90248845,90248821,0,True,primary,Folsom Boulevard,60.249,,,,50 mph,,,,,,,540663901,
90248845,90248825,0,True,motorway_link,,92.053,,,,,,,,,,,10499919,
90249208,90272201,0,True,motorway,El Dorado Freeway,455.53,3,,,65 mph,,,,,,,31998947,US 50
90253878,90253880,0,False,residential,,28.143,,,,,,,,,,,10498025,
90253878,90435601,0,False,residential,3rd Street,208.009,,,,,,,,,,,10510335,
90253878,90459301,0,False,residential,3rd Street,210.976,,,,,,,,,,,10510335,
90253880,90253878,0,False,residential,,28.143,,,,,,,,,,,10498025,
90253880,90435601,0,False,residential,2nd Street,170.055,,,,,,,,,,,10520163,
90253880,90627945,0,False,residential,2nd Street,238.971,,,,,,,,,,,10520163,
90254360,90254362,0,False,tertiary,Folsom Point,107.786,,,,,,,,,,,10498059,
90254360,90417553,0,False,tertiary,Briggs Ranch Drive,162.404,,,,,,,,,,,10522554,
90254360,2493190618,0,False,secondary,East Natoma Street,439.611,,,,,,,,,,,567752676,
90254360,90671617,0,False,secondary,East Natoma Street,256.519,,,,,,,,,,,567752676,
90254362,90254360,0,False,tertiary,Folsom Point,107.786,,,,,,,,,,,10498059,
90255430,90255924,0,True,motorway,El Dorado Freeway,444.956,3,,,65 mph,,,,,,,39998861,US 50
90255664,5279486652,0,True,primary_link,,16.58,,,,,,,,,,,540663902,
90255664,90248845,0,True,primary,Folsom Boulevard,259.755,,,,50 mph,,,,,,,540663901,
90255740,90255756,0,True,motorway_link,,654.807,,,,,,,,,,,10498188,
90255740,90243674,0,True,motorway,El Dorado Freeway,866.169,3,,,65 mph,,,,,,,31998947,US 50
90255756,1324280589,0,True,secondary,"['Scott Road', 'East Bidwell Street']",214.48,,,,45 mph,,,yes,,,,"[31998994, 117573707, 31998996]",
90255756,90248322,0,False,secondary,Scott Road,211.889,,,,55 mph,,,,,,,536184209,
90255909,90255664,0,True,primary,Folsom Boulevard,16.702,,,,50 mph,,,,,,,540663904,
90255909,977321644,0,True,motorway_link,,116.921,,,,,,,,,,,540663905,
90255924,90274602,0,True,motorway,El Dorado Freeway,2343.589,3,,,65 mph,,,,,,,39998861,US 50
90258146,977323971,0,True,primary_link,,201.485,,,,,,,,,,,10498450,
90258148,90258146,0,True,primary_link,,75.388,,,,,,,,,,,10498450,
90258148,90354748,0,False,residential,Reading Street,63.371,,,,,,,,,,,10523260,
90258148,90282979,0,False,tertiary,Leidesdorff Street,56.484,,,,,,,,,,,509663412,
90258148,90269046,0,False,tertiary,Leidesdorff Street,48.684,,,,,,,,,,,509663412,
90262328,90262329,0,False,residential,,132.099,,,,,,,,,,,10498705,
90262329,90262328,0,False,residential,,132.099,,,,,,,,,,,10498705,
90262329,90262342,0,False,residential,,288.316,,,,,,,,,,,10498705,
90262329,90271798,0,False,residential,,172.165,,,,,,,,,,,10499810,
90262342,90262329,0,False,residential,,288.316,,,,,,,,,,,10498705,
90262342,90484070,0,False,secondary,Prairie City Road,887.239,,,,55 mph,,,,,,,39465589,
90262342,90484044,0,False,secondary,Prairie City Road,1458.42,,,,55 mph,,,,,,,39465589,
90264155,90264179,0,True,motorway_link,,557.738,,,,,,,,,,,10498818,
