u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
14969859,332177035,0,True,primary,Beach Boulevard,163.321,,,,,,,,,,,269473280,CA 39
14973077,122749912,0,False,primary,Chapman Avenue,245.776,5,,,,,,,,,,"[401494281, 401483100, 401469687]",
14973077,122668305,0,False,secondary,West Street,157.739,5,,,40 mph,,,,,,,"[401484044, 401484038]",
14973077,122854149,0,False,secondary,West Street,158.12,5,,,40 mph,,,,,,,"[401484043, 401484039]",
14973077,1823199665,0,True,primary,Chapman Avenue,163.907,"['3', '2']",,,,,,,,,,"[405100547, 405100542]",
15243105,14969859,0,True,primary,Beach Boulevard,17.471,,,,,,,,,,,269473280,CA 39
15243105,2273136903,0,True,primary,Garden Grove Boulevard,19.681,,,,,,,,,,,401283154,
15249633,4037096278,0,False,tertiary,Lampson Avenue,12.2,4,,,,,,,,,,401260464,
15249633,122798135,0,False,tertiary,Lampson Avenue,241.624,4,,,,,,,,,,"[401260466, 401260463]",
15249633,123081357,0,True,secondary,Magnolia Street,179.928,3,,,,,,,,,,"[401266676, 401280548]",
15251483,4037096239,0,False,secondary,,13.829,,,,,,,,,,,401278183,
15251483,15251485,0,True,secondary,Magnolia Street,91.238,3,,,,,,,,,,"[401278153, 401278156]",
15251485,4037096237,0,False,secondary,,14.69,,,,,,,,,,,401278187,
15251485,122956103,0,True,secondary,Magnolia Street,111.633,3,,,,,,,,,,"[401278148, 401278159]",
18305391,2243664672,0,True,primary,Chapman Avenue,14.668,,,,,,,,,,,171259437,
18305391,122780154,0,True,primary,Euclid Street,144.293,4,,,,,,,,,,"[401469719, 401469735]",
18305845,122864580,0,False,primary,Chapman Avenue,296.043,,,,,,,,,,,"[400262010, 400261981]",
18305845,122659369,0,False,primary,Chapman Avenue,126.213,,,,,,,,,,,"[400262000, 400261982]",
18305845,123068305,0,False,secondary,Knott Street,294.123,"['7', '6']",,,,,,,,,,"[400262040, 400262042]",
18305847,122924089,0,False,residential,Saint Mark Street,60.814,,,,,,,,,,,13350197,
18305847,122769563,0,False,residential,Saint Mark Street,68.02,,,,,,,,,,,13350197,
18305847,122864614,0,False,tertiary,Chapman Avenue,87.132,,,,,,,,,,,270541696,
18306453,122701375,0,False,residential,Santa Catalina Avenue,75.546,,,,,,,,,,,13364752,
18306453,122924089,0,False,residential,Saint Mark Street,304.705,,,,,,,,,,,13350197,
18306453,2755672709,0,False,residential,Santa Catalina Avenue,386.766,,,,,,,,,,,13364752,
18306455,122629098,0,True,secondary,Valley View Avenue,82.875,,,,,,,,,,,102642922,
18306455,4060030327,0,False,secondary_link,,15.047,,,,,,,,,,,477627921,
20972458,622053939,0,True,motorway,Garden Grove Freeway,1063.682,5,,,,,,yes,,,,"[66196977, 49014213]",CA 22
25522162,122689704,0,False,residential,Nelson Street,247.013,,,,,,,,,,,276668439,
25522162,122812268,0,False,tertiary,Lampson Avenue,160.347,,,,,,,,,,,401469746,
25522162,122932792,0,False,tertiary,Nelson Street,85.249,,,,,,,,,,,401497341,
25522162,122653411,0,False,tertiary,Lampson Avenue,204.581,,,,,,,,,,,401469746,
25522163,122766993,0,False,residential,Nelson Street,349.952,,,,,,,,,,,276668439,
25522163,122802196,0,False,primary,Chapman Avenue,37.283,,,,,,,,,,,401469683,
25522163,122657114,0,False,primary,Chapman Avenue,101.963,5,,,,,,,,,,"[401469657, 401469660]",
