u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
32040125,4336500785,0,True,motorway,Barstow Freeway; Mojave Freeway,2116.673,4,,,70 mph,,,,,,,178750397,I 15
32040255,54520915,0,True,motorway_link,,1624.197,1,,,55 mph,,,yes,,,,"[26427097, 26427098, 7217420]",US 395
32040255,418071453,0,True,motorway,Barstow Freeway; Mojave Freeway,2340.488,"['3', '4']",,,70 mph,,,,,,,"[123904474, 35742419]",I 15
32040473,418074930,0,True,motorway,Barstow Freeway; Mojave Freeway,4946.334,3,,,70 mph,,,,,,,123904474,I 15
32040476,418072871,0,True,motorway,Barstow Freeway; Mojave Freeway,506.828,3,,,70 mph,,,,,,,148649953,I 15
32040476,54469563,0,True,motorway_link,,601.794,,,,,,,,,,,7183800,
54148243,54171836,0,False,residential,Glendale Avenue,77.127,,,,,,,,,,,360216423,
54148243,54291881,0,False,residential,,756.941,,,,,,,,,,,"[7081024, 7003553]",
54148306,54148308,0,False,residential,,201.07,,,,,,,,,,,7003591,
54148306,2682070103,0,False,residential,Jagatai Street,57.416,,,,,,,,,,,7034265,
54148308,54148306,0,False,residential,,201.07,,,,,,,,,,,7003591,
54148308,2682070105,0,False,residential,Bandicoot Trail,55.365,,,,,,,,,,,7034267,
54148492,2874101748,0,False,residential,,189.878,,,,,,,,,,,7003685,
54148492,54828100,0,False,residential,Lime Street,204.211,,,,,,,,,,,7409148,
54148492,54759916,0,False,residential,Afton Avenue,204.783,,,,,,,,,,,7519777,
54149885,54149886,0,False,residential,,20.85,,,,,,,,,,,7004443,
54149885,3588099179,0,False,residential,,23.469,,,,,,,,,,,7004445,
54149885,54260958,0,False,residential,,164.902,,,,,,,,,,,"[7064026, 7004443]",
54149886,54149885,0,False,residential,,20.85,,,,,,,,,,,7004443,
54149886,3588099180,0,False,residential,C Avenue,22.922,,,,50 mph,,,,,,,7272483,
54149886,54606026,0,False,residential,C Avenue,33.03,,,,50 mph,,,,,,,7272483,
54149891,54149893,0,False,residential,,162.7,,,,,,,,,,,7004452,
54149891,54149901,0,False,residential,C Avenue,46.685,,,,50 mph,,,,,,,7272483,
54149891,54149964,0,False,residential,C Avenue,52.831,,,,50 mph,,,,,,,7272483,
54149893,54149891,0,False,residential,,162.7,,,,,,,,,,,7004452,
54149893,54149901,0,False,residential,,242.297,,,,,,,,,,,7004452,
54149893,54149910,0,False,residential,,55.794,,,,,,,,,,,7004457,
54149901,54606026,0,False,residential,C Avenue,37.585,,,,50 mph,,,,,,,7272483,
54149901,54149891,0,False,residential,C Avenue,46.685,,,,50 mph,,,,,,,7272483,
54149901,54149893,0,False,residential,,242.297,,,,,,,,,,,7004452,
54149904,54149964,0,False,residential,C Avenue,48.821,,,,50 mph,,,,,,,7272483,
54149904,54305073,0,False,residential,C Avenue,72.802,,,,50 mph,,,,,,,7272483,
54149904,54149910,0,False,residential,,226.113,,,,,,,,,,,7004457,
54149910,54149964,0,False,residential,,182.326,,,,,,,,,,,7004492,
54149910,54149893,0,False,residential,,55.794,,,,,,,,,,,7004457,
54149910,54149904,0,False,residential,,226.113,,,,,,,,,,,7004457,
54149964,54149910,0,False,residential,,182.326,,,,,,,,,,,7004492,
54149964,54149891,0,False,residential,C Avenue,52.831,,,,50 mph,,,,,,,7272483,
54149964,54149904,0,False,residential,C Avenue,48.821,,,,50 mph,,,,,,,7272483,
54150526,54150527,0,False,residential,,230.293,,,,,,,,,,,7004819,
54150526,54173567,0,False,residential,Mesa Street,121.798,,,,,,,,,,,7468344,
54150526,54693567,0,False,residential,Mesa Street,93.817,,,,,,,,,,,467223558,
54150527,54150526,0,False,residential,,230.293,,,,,,,,,,,7004819,
54150527,54173569,0,False,residential,,190.187,,,,,,,,,,,7016338,
54150527,54693567,0,False,residential,Tamarisk Avenue,224.625,,,,,,,,,,,7336332,
54150527,4603947924,0,False,residential,,66.508,,,,,,,,,,,7004819,
54150533,54693564,0,False,residential,Eucalyptus Street,87.774,,,,,,,,,,,7449286,
54150533,54648872,0,False,residential,Eucalyptus Street,27.357,,,,,,,,,,,7449286,
54150533,4603947924,0,False,residential,,539.572,,,,,,,,,,,7004819,
54164573,54767378,0,False,residential,East Avenue,240.593,,,,,,,,,,,7508884,
54164573,54164575,0,False,residential,,401.314,,,,,,,,,,,7011574,
54164573,54548713,0,False,residential,East Avenue,157.517,,,,,,,,,,,7508884,
54164575,54606033,0,False,residential,C Avenue,42.693,,,,50 mph,,,,,,,7272483,
54164575,54487550,0,False,residential,C Avenue,53.242,,,,50 mph,,,,,,,7272483,
54164575,54164573,0,False,residential,,401.314,,,,,,,,,,,7011574,
54169186,2852495317,0,False,tertiary,Caliente Road,78.597,,,,,,,,,,,35742416,
54169186,54568363,0,False,residential,Coriander Drive,486.316,,,,,,,,,,,7247336,
54169186,3590603978,0,False,tertiary,Caliente Road,1090.438,,,,,,,,,,,7357144,
