u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
122560091,354054676,0,False,residential,"['Sparrow Street', 'Wren Way']",185.638,,,,,,,,,,,"[13330585, 13278981]",
122560091,122842678,0,False,residential,Pheasant Street,118.973,,,,,,,,,,,13324135,
122560091,122697562,0,False,residential,Pheasant Street,61.226,,,,,,,,,,,13324135,
122560150,122560153,0,False,residential,Apache Drive,73.692,,,,,,,,,,,13278992,
122560150,122963128,0,False,residential,"['Apache Drive', 'Zuni Drive']",158.024,,,,,,,,,,,"[13278992, 13345878]",
122560150,122792105,0,False,residential,Sioux Drive,83.163,,,,,,,,,,,13343262,
122560153,122560155,0,False,residential,Apache Drive,43.331,,,,,,,,,,,13278992,
122560153,122560150,0,False,residential,Apache Drive,73.692,,,,,,,,,,,13278992,
122560153,122665438,0,False,residential,Navajo Drive,162.74,,,,,,,,,,,13363347,
122560155,122560162,0,False,residential,Apache Drive,35.049,,,,,,,,,,,13278992,
122560155,122560153,0,False,residential,Apache Drive,43.331,,,,,,,,,,,13278992,
122560155,122732890,0,False,residential,Mohawk Drive,47.906,,,,,,,,,,,13305317,
122560162,122560155,0,False,residential,Apache Drive,35.049,,,,,,,,,,,13278992,
122560162,122560167,0,False,residential,Apache Drive,148.839,,,,,,,,,,,13278992,
122560162,122665440,0,False,residential,Cheyenne Way,124.928,,,,,,,,,,,13360465,
122560167,122900671,0,False,residential,Shoshone Drive,46.755,,,,,,,,,,,13346405,
122560167,122665444,0,False,residential,"['Apache Drive', 'Cherokee Way']",268.6,,,,,,,,,,,"[13278992, 13347013]",
122560167,122560162,0,False,residential,Apache Drive,148.839,,,,,,,,,,,13278992,
122560167,122665442,0,False,residential,Shoshone Drive,76.701,,,,,,,,,,,13346405,
122560252,122729622,0,False,residential,"['Abbey Drive', 'Bixby', 'Cagney']",210.668,,,,,,,,,,,"[13301409, 13304721, 13279006]",
122560252,122729622,1,False,residential,Carriage Drive,51.942,,,,,,,,,,,13335176,
122560252,122905750,0,False,residential,Carriage Drive,54.02,,,,,,,,,,,13335176,
122560378,122560381,0,False,residential,Bennett,47.989,,,,,,,,,,,13279022,
122560378,1834952080,0,False,residential,Cherry Avenue,192.55,,,,,,,,,,,13306067,
122560378,122737082,0,False,residential,Cherry Avenue,150.336,,,,,,,,,,,13306067,
122560381,122560378,0,False,residential,Bennett,47.989,,,,,,,,,,,13279022,
122560381,122890713,0,False,residential,Brookhaven,34.016,,,,,,,,,,,13373982,
122560381,122681940,0,False,residential,Brookhaven,38.152,,,,,,,,,,,13373982,
122560613,122560615,0,False,residential,Belgreen Place,152.419,,,,,,,,,,,13279051,
122560613,4037106428,0,False,residential,"['Silverbay Drive', 'Belgreen Place']",124.763,2,,,,,,,,,,"[13372499, 13279051]",
122560613,122815115,0,False,residential,Gemwood Drive,72.544,,,,,,,,,,,13319341,
122560615,122560613,0,False,residential,Belgreen Place,152.419,,,,,,,,,,,13279051,
122560615,122560618,0,False,residential,Belgreen Place,47.767,,,,,,,,,,,13279051,
122560615,4037106426,0,False,residential,Landisview Avenue,52.506,,,,,,,,,,,13325104,
122560618,122717497,0,False,residential,Landisview Avenue,96.599,,,,,,,,,,,44072567,
122560618,122560623,0,False,residential,Belgreen Place,323.285,,,,,,,,,,,13279051,
122560618,122560615,0,False,residential,Belgreen Place,47.767,,,,,,,,,,,13279051,
122560623,122717499,0,False,residential,Larkwood Lane,98.286,2,,,,,,,,,,401279000,
122560623,122560618,0,False,residential,Belgreen Place,323.285,,,,,,,,,,,13279051,
122560623,4037106420,0,False,residential,Larkwood Lane,52.308,2,,,,,,,,,,401279000,
122560792,3522446806,0,False,residential,Islamare Lane,246.462,,,,,,,,,,,13313418,
122560792,122560792,0,True,residential,Islamare Lane,79.107,,,,,,,,,,,345602019,
122561111,353764680,0,False,residential,Aliso Park Drive,60.002,,,,,,,,,,,13279113,
122561111,122857028,0,False,residential,Aliso Park Drive,30.342,,,,,,,,,,,13335220,
122561111,122905957,0,False,residential,Aliso Park Drive,79.131,,,,,,,,,,,13335220,
122561206,122622410,0,False,residential,Rue Fontaine,70.5,,,,,,,,,,,13288728,
122561224,122622408,0,False,residential,Rue de Nicole,68.486,,,,,,,,,,,13348085,
122562654,566527577,0,False,unclassified,Bridger Road,264.847,"['2', '4']",,,,,,,,,,"[580975472, 13337002]",
122563078,122563079,0,False,residential,,25.258,,,,,,,,,,,13279304,
122563078,122740036,0,False,residential,Camelia,25.424,,,,,,,,,,,343592086,
122563078,122935793,0,False,residential,Camelia,101.543,,,,,,,,,,,343592086,
122563079,122563078,0,False,residential,,25.258,,,,,,,,,,,13279304,
122568005,3618591123,0,False,residential,Taurus Lane,31.217,,,,,,,,,,,13354082,
122574134,353763853,0,False,residential,,38.194,,,,,,,,,,,31619327,
122576901,122576904,0,False,residential,Jeronimo Lane,32.738,,,,,,,,,,,13281028,
122576901,122724710,0,False,residential,Jeronimo Road,53.464,,,,,,,,,,,13303906,
122576901,122724687,0,False,residential,Jeronimo Road,37.908,,,,,,,,,,,13303906,
122576904,122576901,0,False,residential,Jeronimo Lane,32.738,,,,,,,,,,,13281028,
122576904,122900333,0,False,residential,Jeronimo Lane,41.046,,,,,,,,,,,13334112,
122576904,122900330,0,False,residential,Jeronimo Lane,46.936,,,,,,,,,,,13334112,
122595894,122595912,0,False,residential,Midcrest Drive,139.792,,,,,,,,,,,13297197,
122595894,122678762,0,False,residential,Midcrest Drive,782.939,,,,,,,,,,,13297197,
122595894,122902660,0,False,tertiary,Pittsford Drive,197.449,,,,,,,,,,,13364816,
122595894,122844761,0,False,tertiary,Pittsford Drive,168.315,,,,,,,,,,,"[13364816, 406282474]",
122595912,122595894,0,False,residential,Midcrest Drive,139.792,,,,,,,,,,,13297197,
122596628,122654122,0,False,residential,Tamarisk,187.745,,,,,,,,,,,13298243,
122596628,354029775,0,False,residential,Peachwood,172.998,,,,,,,,,,,13351408,
122596628,122740005,0,False,residential,Peachwood,128.628,,,,,,,,,,,13351408,
122596979,122596982,0,False,residential,,32.066,,,,,,,,,,,13283474,
122596979,122890449,0,False,secondary,Jeronimo Road,97.516,4,,,45 mph,,,,,,,402486833,
122596979,122930641,0,False,secondary,Jeronimo Road,93.32,4,,,45 mph,,,,,,,402486833,
122596982,122596979,0,False,residential,,32.066,,,,,,,,,,,13283474,
122596982,122724731,0,False,residential,Jeronimo Lane,88.878,,,,,,,,,,,13303909,
122596982,122724726,0,False,residential,Jeronimo Lane,39.092,,,,,,,,,,,13303909,
122605648,122605651,0,False,residential,Lake Forest Lane,27.477,,,,,,,,,,,13285605,
122605648,122650111,0,False,residential,Lake Forest Lane,54.121,,,,,,,,,,,13310622,
122605648,3522446844,0,False,residential,Lake Forest Lane,54.808,,,,,,,,,,,347394632,
122605651,122605648,0,False,residential,Lake Forest Lane,27.477,,,,,,,,,,,13285605,
122606441,122606442,0,False,residential,Paseo Vendaval,20.299,,,,,,,,,,,13285760,
122606441,123012966,0,False,residential,Paseo Vendaval,152.282,,,,,,,,,,,13354796,
122606441,123012956,0,False,residential,Paseo Vendaval,126.045,,,,,,,,,,,13354796,
122606442,122606441,0,False,residential,Paseo Vendaval,20.299,,,,,,,,,,,13285760,
122606538,122606540,0,False,residential,,94.556,,,,,,,,,,,13285789,
122606538,122607979,0,False,residential,,150.147,,,,,,,,,,,13286192,
122606540,122606538,0,False,residential,,94.556,,,,,,,,,,,13285789,
122606540,122611396,0,False,residential,,129.304,,,,,,,,,,,13286822,
122606540,354045167,0,False,residential,,570.12,,,,,,,yes,,,,"[442719289, 442719290, 13285789]",
122607979,122607984,0,False,residential,,59.914,,,,,,,,,,,13286192,
122607979,122611396,0,False,residential,,136.073,,,,,,,,,,,13286823,
122607979,122606538,0,False,residential,,150.147,,,,,,,,,,,13286192,
122607984,122607979,0,False,residential,,59.914,,,,,,,,,,,13286192,
122607992,3518261551,0,False,residential,,62.199,,,,,,,,,,,13286195,
122607994,3688369740,0,False,residential,,22.716,,,,,,,,,,,13286201,
122607994,122917523,0,False,residential,,77.596,,,,,,,,,,,172606210,
122607994,122673848,0,False,residential,Sky Drive,106.163,,,,,,,,,,,13296535,
122607999,122608012,0,False,residential,,67.075,,,,,,,,,,,13286201,
122607999,3688369793,0,False,residential,,8.441,,,,,,,,,,,13286201,
122607999,3688369748,0,False,residential,,75.058,,,,,,,,,,,364794633,
122608012,122607999,0,False,residential,,67.075,,,,,,,,,,,13286201,
122611393,122611396,0,False,residential,,53.434,,,,,,,,,,,13286822,
122611396,122606540,0,False,residential,,129.304,,,,,,,,,,,13286822,
122611396,122611393,0,False,residential,,53.434,,,,,,,,,,,13286822,
122611396,122607979,0,False,residential,,136.073,,,,,,,,,,,13286823,
122611537,122696781,0,False,residential,Bell Vista,41.35,,,,,,,,,,,13349094,
122613290,122613292,0,False,residential,,67.398,,,,,,,,,,,13287158,
122613290,122627638,0,False,residential,Ridge Route Lane,43.458,,,,,,,,,,,13289646,
122613290,122627650,0,False,residential,Ridge Route Lane,40.962,,,,,,,,,,,13289646,
122613292,122613290,0,False,residential,,67.398,,,,,,,,,,,13287158,
122613292,122852544,0,False,residential,,41.165,,,,,,,,,,,346937372,
122613292,3537204172,0,False,residential,,13.888,,,,,,,,,,,347394634,
122613490,122696432,0,False,residential,Sequoiawood Way,28.951,,,,,,,,,,,346694196,
122613490,3532246327,0,True,residential,,10.4,,,,,,,,,,,346694200,
122613492,3532246333,0,False,residential,Sequoiawood Way,30.338,,,,,,,,,,,13287195,
122613492,122740043,0,False,residential,Palmwood Drive,56.908,,,,,,,,,,,13306644,
122613492,3504231056,0,False,residential,Palmwood Drive,91.434,,,,,,,,,,,13306644,
122614196,3618591123,0,False,residential,Taurus Lane,79.211,,,,,,,,,,,13354082,
122614986,122614989,0,False,residential,,33.578,,,,,,,,,,,13287415,
122614986,122930639,0,False,secondary,Jeronimo Road,65.297,4,,,45 mph,,,,,,,402486937,
122614986,122930638,0,False,secondary,Jeronimo Road,176.868,"['5', '4']",,,45 mph,,,,,,,"[402486960, 402486962, 402486837]",
122614989,122614986,0,False,residential,,33.578,,,,,,,,,,,13287415,
122614989,122653486,0,False,residential,Jeronimo Lane,76.742,,,,,,,,,,,13303909,
122614989,122724723,0,False,residential,Jeronimo Lane,106.458,,,,,,,,,,,13303909,
122616132,122616134,0,False,residential,,29.861,,,,,,,,,,,13287617,
122616132,122966352,0,False,residential,Toledo Lane,62.716,,,,,,,,,,,13346470,
122616132,122754369,0,False,residential,Toledo Lane,76.172,,,,,,,,,,,13346470,
122616134,122616132,0,False,residential,,29.861,,,,,,,,,,,13287617,
122616134,122863359,0,False,tertiary,Toledo Way,171.751,,,,,,,,,,,402506028,
122616134,122863363,0,False,tertiary,Toledo Way,271.422,,,,,,,,,,,"[402506050, 402506014, 402506055]",
122616570,4341773792,0,False,residential,"['Icon', 'Definition']",629.091,,,,,,,,,,,"[13296339, 59238980]",
122616570,5067211522,0,False,secondary,Glenn Ranch Road,577.535,,,,,,,,,,,"[406280824, 173225123]",
122616570,122929789,0,False,secondary,Glenn Ranch Road,481.191,,,,,,,,,,,"[406280826, 406280822, 406280831]",
122616574,5067211522,0,False,secondary,Glenn Ranch Road,156.347,,,,,,,,,,,"[173225123, 406327711]",
122616574,5067209413,0,False,tertiary,Saddleback Ranch Road,105.1,,,,,,,,,,,"[406327721, 406327716]",
122616574,4431832984,0,False,secondary,Glenn Ranch Road,550.172,,,,,,,,,,,445838169,
122616861,122616863,0,False,residential,,32.766,,,,,,,,,,,13287766,
122616861,122874788,0,False,residential,Toledo Lane,94.977,,,,,,,,,,,13346470,
122616861,122996747,0,False,residential,"['Toledo Lane', 'Bake Lane']",268.657,,,,,,,,,,,"[13351726, 13346470]",
122616863,122616861,0,False,residential,,32.766,,,,,,,,,,,13287766,
122616863,122863352,0,False,tertiary,Toledo Way,32.765,,,,,,,,,,,402506056,
122616863,122863349,0,False,tertiary,Toledo Way,168.388,,,,,,,,,,,"[402506056, 402506044]",
122619446,122813316,0,False,residential,Anacapa Court,179.391,,,,,,,,,,,13319034,
122619446,122826025,0,False,residential,Mission Court,67.66,,,,,,,,,,,13322069,
122619446,122830832,0,False,residential,Mission Court,48.681,,,,,,,,,,,13322069,
122620683,1831647962,0,False,residential,Paseo Tranquilo,13.961,,,,,,,,,,,13288469,
122620683,122621910,0,True,secondary,Trabuco Road,397.994,,,,55 mph,,,,,,,405499712,
122620686,122620690,0,False,residential,Paseo Tranquilo,61.878,,,,,,,,,,,13288469,
122620686,1831647962,0,False,residential,Paseo Tranquilo,60.839,,,,,,,,,,,13288469,
122620686,123021642,0,False,residential,Paseo Arboleda,51.685,,,,,,,,,,,13356788,
122620690,122620686,0,False,residential,Paseo Tranquilo,61.878,,,,,,,,,,,13288469,
