u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
54125962,54125980,0,False,residential,Calle Rosarita,164.373,,,,,,,,,,,6992651,
54125962,54384564,0,False,residential,Avenida Vista Bonita,400.851,,,,,,,,,,,7133730,
54125962,54384533,0,False,residential,Avenida Vista Bonita,186.708,,,,,,,,,,,7133730,
54125980,54331494,0,True,residential,Calle Mazatlan,42.694,,,,,,,,,,,7134194,
54125980,54125962,0,False,residential,Calle Rosarita,164.373,,,,,,,,,,,6992651,
54145796,54145797,0,False,residential,,31.337,,,,,,,,,,,7002281,
54145796,54631570,0,False,residential,Rancho la Quinta Drive,279.731,,,,,,,,,,,7290425,
54145796,54619713,0,False,residential,Rancho la Quinta Drive,156.73,,,,,,,,,,,7290425,
54145797,54145796,0,False,residential,,31.337,,,,,,,,,,,7002281,
54145797,54610812,0,False,residential,Casita Drive,366.439,,,,,,,,,,,7276057,
54145797,54610794,0,False,residential,Casita Drive,141.866,,,,,,,,,,,7276057,
54161599,599565306,0,False,tertiary,60th Avenue,286.904,,,,,,,,,,,46988569,
54174896,1272503921,0,False,residential,Mission Drive East,105.014,,,,,,,,,,,7017065,
54174896,1272503913,0,False,residential,Mission Drive East,87.827,,,,,,,,,,,7017065,
54174896,1272518774,0,False,residential,Vista Estrella,873.216,,,,,,,,,,,7289677,
54178257,4716531723,0,False,tertiary,Avenue 58,215.414,,,,,,,,,,,7270370,
54178257,599566197,0,False,residential,,438.041,,,,,,,,,,,7018815,
54178257,54263210,0,False,tertiary,Avenue 58,781.092,,,,,,,,,,,7270370,
54181585,54513278,0,False,unclassified,62nd Avenue,177.502,,,,,,,,,,,220201473,
54181585,54348933,0,False,unclassified,62nd Avenue,1400.99,,,,,,,,,,,220201473,
54201267,1196452823,0,False,residential,Francis Hack Lane,234.994,,,,,,,,,,,7237027,
54202951,54415913,0,False,residential,,79.208,,,,,,,,,,,7031262,
54202951,54415913,1,False,residential,Calle Paloma,58.495,,,,,,,,,,,7152541,
54202951,54391397,0,False,residential,Calle Paloma,113.512,,,,,,,,,,,7152541,
54202959,54453461,0,False,residential,Avenida la Fonda,108.896,,,,,,,,,,,103618365,
54202959,5023529183,0,False,secondary,Washington Street,222.467,,,,,,,,,,,158474296,
54202959,54391395,0,False,secondary,Washington Street,204.502,,,,,,,,,,,158474296,
54225386,54225387,0,False,residential,,31.772,,,,,,,,,,,7043454,
54225386,54323563,0,False,residential,Avenida Fernando,171.753,,,,,,,,,,,111774654,
54225386,54314533,0,False,residential,Avenida Fernando,79.392,,,,,,,,,,,111774654,
54225387,54225386,0,False,residential,,31.772,,,,,,,,,,,7043454,
54225387,54284943,0,False,residential,"['Vista Ventura', 'Vista Rosa']",301.671,,,,,,,,,,,"[7187897, 7077063]",
54225387,54284943,1,False,residential,"['Loma Vista', 'Vista Rosa']",379.401,,,,,,,,,,,"[7187897, 7289466]",
54242271,54242282,0,False,residential,Avenida Fernando,102.417,,,,,,,,,,,111774654,
54242271,54242282,1,False,residential,,153.448,,,,,,,,,,,7053081,
54242271,54323569,0,False,residential,Avenida Fernando,251.869,,,,,,,,,,,111774654,
54242282,54242271,0,False,residential,Avenida Fernando,102.417,,,,,,,,,,,111774654,
54242282,54242271,1,False,residential,,153.448,,,,,,,,,,,7053081,
54242282,54323576,0,False,residential,Avenida Fernando,100.901,,,,,,,,,,,111774654,
54250049,54370151,0,False,residential,Southern Hill,57.666,,,,,,,,,,,7125314,
54250049,54370147,0,False,residential,Southern Hill,44.403,,,,,,,,,,,7125314,
54250049,54396013,0,False,residential,Oakmont,261.384,,,,,,,,,,,"[7197475, 7057662]",
54261278,1272415188,0,False,residential,Pomo,27.059,,,,,,,,,,,7120280,
54261278,54361518,0,False,residential,Pomo,81.395,,,,,,,,,,,7120280,
54261278,54361526,0,False,residential,Cidra,103.061,,,,,,,,,,,258371012,
54263210,54348711,0,False,tertiary,Avenue 58,410.578,,,,,,,,,,,7270370,
54263210,599566171,0,False,residential,,82.64,,,,,,,,,,,7065429,
54263210,54178257,0,False,tertiary,Avenue 58,781.092,,,,,,,,,,,7270370,
54263462,54701961,0,False,unclassified,Cahuilla Park Road,1005.3,,,,,,,,,,,7343348,
54279332,1293996888,0,False,residential,Pompeii Court,202.215,,,,,,,,,,,7074063,
54279694,54279696,0,False,residential,Via Bolero,49.147,,,,,,,,,,,7074243,
54279694,54307488,0,False,residential,Sagebrush Avenue,136.51,,,,,,,,,,,7187860,
54279694,54307492,0,False,residential,Sagebrush Avenue,270.004,,,,,,,,,,,7187860,
54279696,54279694,0,False,residential,Via Bolero,49.147,,,,,,,,,,,7074243,
54279696,54459349,0,False,residential,Via Sonata,90.819,,,,,,,,,,,7177314,
54279696,54298628,0,False,residential,Via Sonata,124.089,,,,,,,,,,,7177314,
54279696,54279699,0,False,residential,Via Bolero,58.51,,,,,,,,,,,7074243,
54279699,54279703,0,False,residential,Via Bolero,157.768,,,,,,,,,,,7074243,
54279699,54279696,0,False,residential,Via Bolero,58.51,,,,,,,,,,,7074243,
54279699,54416093,0,False,residential,Maracas Court,107.474,,,,,,,,,,,7152636,
54279703,54662150,0,False,residential,Via Corrido,43.833,,,,,,,,,,,7314219,
54279703,54458631,0,False,residential,Via Corrido,42.303,,,,,,,,,,,7314219,
54279703,54279708,0,False,residential,Via Bolero,56.619,,,,,,,,,,,7074243,
54279703,54279699,0,False,residential,Via Bolero,157.768,,,,,,,,,,,7074243,
54279708,54279712,0,False,residential,Via Bolero,78.909,,,,,,,,,,,7074243,
54279708,54657755,0,False,residential,Tango Court,76.926,,,,,,,,,,,7310661,
54279708,54279703,0,False,residential,Via Bolero,56.619,,,,,,,,,,,7074243,
54279712,54279713,0,False,residential,Via Bolero,95.784,,,,,,,,,,,7074243,
54279712,54279708,0,False,residential,Via Bolero,78.909,,,,,,,,,,,7074243,
54279712,54546903,0,False,residential,Balada Court,64.517,,,,,,,,,,,7234058,
54279712,54546901,0,False,residential,Balada Court,76.436,,,,,,,,,,,7234058,
54279713,54279712,0,False,residential,Via Bolero,95.784,,,,,,,,,,,7074243,
54279713,54448370,0,False,secondary,Washington Street,200.041,,,,,,,,,,,185883639,
54279713,54400623,0,False,secondary,Washington Street,429.318,,,,,,,,,,,185883639,
54279854,4476032499,0,True,tertiary,Madison Street,10.223,2,,,,,,,,,,7113514,
54279854,599566641,0,True,secondary,Airport Boulevard,876.534,,,,,,,,,,,450892768,
54282391,54282392,0,False,residential,Springbrook Court,35.41,,,,,,,,,,,7075787,
54282391,54308128,0,False,residential,Sunbrook Lane,142.391,,,,,,,,,,,7089799,
54282391,54308116,0,False,residential,Sunbrook Lane,89.557,,,,,,,,,,,7089799,
54282392,54282391,0,False,residential,Springbrook Court,35.41,,,,,,,,,,,7075787,
54284573,5583245798,0,False,residential,Briarwood,242.687,,,,,,,,,,,7076822,
54284573,54459224,0,False,residential,West Heather Glen,78.899,,,,,,,,,,,7177234,
54284573,54448763,0,False,residential,Heatherglen,118.652,,,,,,,,,,,158474274,
54284943,54449735,0,False,residential,Loma Vista,74.934,,,,,,,,,,,7289466,
54284943,54225387,0,False,residential,"['Vista Ventura', 'Vista Rosa']",301.671,,,,,,,,,,,"[7187897, 7077063]",
54284943,54225387,1,False,residential,"['Loma Vista', 'Vista Rosa']",379.401,,,,,,,,,,,"[7187897, 7289466]",
54284963,54284966,0,False,residential,Bridgette Way,64.781,,,,,,,,,,,7077085,
54284963,1282176483,0,False,residential,Desert Stream Drive,64.741,,,,,,,,,,,7251547,
54284963,54426402,0,False,residential,Desert Stream Drive,85.685,,,,,,,,,,,7251547,
54284966,1283285362,0,False,residential,Bridgette Way,82.607,,,,,,,,,,,7077085,
54284966,1283285286,0,False,residential,Victoria Drive,199.196,,,,,,,,,,,7096160,
54284966,54284963,0,False,residential,Bridgette Way,64.781,,,,,,,,,,,7077085,
54286176,54286177,0,False,residential,Avenida Ramirez,186.674,,,,,,,,,,,7077735,
54286177,54286178,0,False,residential,Avenida Ramirez,205.311,,,,,,,,,,,7077735,
54286177,54286176,0,False,residential,Avenida Ramirez,186.674,,,,,,,,,,,7077735,
54286177,54637716,0,False,residential,Avenida Montezuma,79.987,,,,,,,,,,,100634105,
54286177,54487110,0,False,residential,Avenida Montezuma,74.121,,,,,,,,,,,100634105,
54286178,54286179,0,False,residential,Avenida Ramirez,202.397,,,,,,,,,,,7077735,
54286178,54286177,0,False,residential,Avenida Ramirez,205.311,,,,,,,,,,,7077735,
54286178,54409953,0,False,residential,Calle Hidalgo,79.943,,,,,,,,,,,7148889,
54286178,54409950,0,False,residential,Calle Hidalgo,78.268,,,,,,,,,,,7148889,
54286179,54286181,0,False,residential,Avenida Ramirez,201.586,,,,,,,,,,,7077735,
54286179,54286178,0,False,residential,Avenida Ramirez,202.397,,,,,,,,,,,7077735,
54286179,54620020,0,False,residential,Calle Sinaloa,79.889,,,,,,,,,,,7282552,
54286179,54487112,0,False,residential,Calle Sinaloa,78.242,,,,,,,,,,,7282552,
54286181,54286183,0,False,residential,Avenida Ramirez,186.519,,,,,,,,,,,7077735,
54286181,54286179,0,False,residential,Avenida Ramirez,201.586,,,,,,,,,,,7077735,
54286181,54533556,0,False,residential,Calle Durango,79.863,,,,,,,,,,,7225258,
54286181,54487114,0,False,residential,Calle Durango,78.252,,,,,,,,,,,7225258,
54286183,54286184,0,False,residential,Avenida Ramirez,186.23,,,,,,,,,,,7077735,
54286183,54286181,0,False,residential,Avenida Ramirez,186.519,,,,,,,,,,,7077735,
54286183,54408470,0,False,residential,Calle Sonora,79.818,,,,,,,,,,,7148020,
54286183,54408467,0,False,residential,Calle Sonora,78.254,,,,,,,,,,,7148020,
54286184,54286185,0,False,residential,Avenida Ramirez,218.265,,,,,,,,,,,7077735,
54286184,54286183,0,False,residential,Avenida Ramirez,186.23,,,,,,,,,,,7077735,
54286184,54423460,0,False,residential,Calle Ensenda,79.783,,,,,,,,,,,7156332,
54286184,54423457,0,False,residential,Calle Ensenda,78.246,,,,,,,,,,,7156332,
54286185,54286187,0,False,residential,Avenida Ramirez,216.842,,,,,,,,,,,7077735,
54286185,54286184,0,False,residential,Avenida Ramirez,218.265,,,,,,,,,,,7077735,
54286185,54554767,0,False,residential,Calle Nogales,79.738,,,,,,,,,,,7239794,
54286185,54487117,0,False,residential,Calle Nogales,78.248,,,,,,,,,,,7239794,
54286187,54286188,0,False,residential,Avenida Ramirez,201.597,,,,,,,,,,,7077735,
54286187,54286185,0,False,residential,Avenida Ramirez,216.842,,,,,,,,,,,7077735,
54286187,54642481,0,False,residential,Calle Chihuahua,79.694,,,,,,,,,,,7313231,
54286187,54487119,0,False,residential,Calle Chihuahua,78.241,,,,,,,,,,,7313231,
54286188,54286190,0,False,residential,Avenida Ramirez,201.252,,,,,,,,,,,7077735,
54286188,54286187,0,False,residential,Avenida Ramirez,201.597,,,,,,,,,,,7077735,
54286188,54363131,0,False,residential,Calle Monterey,79.649,,,,,,,,,,,7121230,
54286188,54363128,0,False,residential,Calle Monterey,78.242,,,,,,,,,,,7121230,
54286190,54286192,0,False,residential,Avenida Ramirez,201.886,,,,,,,,,,,7077735,
54286190,54286188,0,False,residential,Avenida Ramirez,201.252,,,,,,,,,,,7077735,
54286190,54426421,0,False,residential,Calle Colima,79.604,,,,,,,,,,,7157602,
54286190,54426419,0,False,residential,Calle Colima,78.235,,,,,,,,,,,7157602,
54286192,54286194,0,False,residential,Avenida Ramirez,201.797,,,,,,,,,,,7077735,
54286192,54286190,0,False,residential,Avenida Ramirez,201.886,,,,,,,,,,,7077735,
54286192,54356644,0,False,residential,Calle Arroba,79.56,,,,,,,,,,,7117544,
54286192,54356641,0,False,residential,Calle Arroba,78.227,,,,,,,,,,,7117544,
54286194,54286197,0,False,residential,Avenida Ramirez,201.563,,,,,,,,,,,7077735,
54286194,54286192,0,False,residential,Avenida Ramirez,201.797,,,,,,,,,,,7077735,
54286194,54594591,0,False,residential,Calle Chillon,79.515,,,,,,,,,,,7264714,
54286194,54487122,0,False,residential,Calle Chillon,78.229,,,,,,,,,,,7264714,
54286197,54286199,0,False,residential,Avenida Ramirez,201.819,,,,,,,,,,,7077735,
54286197,54286194,0,False,residential,Avenida Ramirez,201.563,,,,,,,,,,,7077735,
54286197,54379284,0,False,residential,Calle Madrid,79.471,,,,,,,,,,,7130665,
54286197,54379282,0,False,residential,Calle Madrid,78.221,,,,,,,,,,,7130665,
54286199,54286201,0,False,residential,Avenida Ramirez,202.086,,,,,,,,,,,7077735,
54286199,54286197,0,False,residential,Avenida Ramirez,201.819,,,,,,,,,,,7077735,
54286199,54617890,0,False,residential,Calle Temecula,79.435,,,,,,,,,,,7281000,
54286199,54487123,0,False,residential,Calle Temecula,78.213,,,,,,,,,,,7281000,
54286201,54286204,0,False,residential,Avenida Ramirez,200.985,,,,,,,,,,,7077735,
54286201,54286199,0,False,residential,Avenida Ramirez,202.086,,,,,,,,,,,7077735,
54286201,54311715,0,False,residential,Calle Potrero,79.392,,,,,,,,,,,7091649,
54286201,54311713,0,False,residential,Calle Potrero,78.215,,,,,,,,,,,7091649,
54286204,54286201,0,False,residential,Avenida Ramirez,200.985,,,,,,,,,,,7077735,
54286204,54290508,0,False,residential,Calle Tecate,79.346,,,,,,,,,,,7080223,
54286204,54290505,0,False,residential,Calle Tecate,78.208,,,,,,,,,,,7080223,
54286442,54286456,0,False,residential,Congressional,125.231,,,,,,,,,,,7077876,
54286442,54660645,0,False,residential,Riviera,38.305,,,,,,,,,,,7313111,
54286442,54341782,0,False,residential,Riviera,762.892,,,,,,,,,,,7313111,
54286456,54286442,0,False,residential,Congressional,125.231,,,,,,,,,,,7077876,
54286456,54591117,0,False,residential,Riviera,543.236,,,,,,,,,,,7313111,
54286456,54660645,0,False,residential,Riviera,47.161,,,,,,,,,,,7313111,
54287916,54287918,0,False,residential,Mango,211.566,,,,,,,,,,,7078769,
54287916,54311938,0,False,residential,Cetrino,90.367,,,,,,,,,,,7343753,
54287916,54639598,0,False,residential,Cetrino,645.411,,,,,,,,,,,7343753,
54287918,54287919,0,False,residential,Mango,81.406,,,,,,,,,,,7078769,
54287918,54287916,0,False,residential,Mango,211.566,,,,,,,,,,,7078769,
54287918,54405547,0,False,residential,Toronja,216.97,,,,,,,,,,,7344166,
54287919,54287925,0,False,residential,Mango,161.311,,,,,,,,,,,7078769,
54287919,54287918,0,False,residential,Mango,81.406,,,,,,,,,,,7078769,
54287919,54405547,0,False,residential,Azahar,222.302,,,,,,,,,,,7146291,
54287925,54287919,0,False,residential,Mango,161.311,,,,,,,,,,,7078769,
54287925,5583246972,0,False,residential,Mandarina,492.446,,,,,,,,,,,7280561,
54287925,54476958,0,False,residential,"['Mandarina', 'Nectareo']",918.742,,,,,,,,,,,"[7206708, 7280566]",
54289569,54365443,0,False,residential,Calle Quito,91.744,,,,,,,,,,,7122659,
54289569,54289571,0,False,residential,Avenida Naranja,74.22,,,,,,,,,,,7079780,
54289569,54351598,0,False,residential,Calle Quito,221.695,,,,,,,,,,,7122659,
54289571,54289573,0,False,residential,Avenida Naranja,96.149,,,,,,,,,,,7079780,
54289571,54289569,0,False,residential,Avenida Naranja,74.22,,,,,,,,,,,7079780,
54289571,54351609,0,False,residential,Calle Guaymas,199.791,,,,,,,,,,,7123398,
54289573,54391400,0,False,residential,Calle Rondo,92.826,,,,,,,,,,,7210974,
54289573,54351613,0,False,residential,Calle Rondo,194.611,,,,,,,,,,,7210974,
54289573,54289571,0,False,residential,Avenida Naranja,96.149,,,,,,,,,,,7079780,
54290495,54290497,0,False,residential,Calle Tecate,78.707,,,,,,,,,,,7080223,
54290495,54311705,0,False,residential,Avenida Juarez,201.007,,,,,,,,,,,7262171,
54290495,54311703,0,False,residential,"['Avenida Madero', 'Calle Tecate']",273.167,,,,,,,,,,,"[7239440, 7080223]",
54290497,54290499,0,False,residential,Calle Tecate,79.208,,,,,,,,,,,7080223,
54290497,54290495,0,False,residential,Calle Tecate,78.707,,,,,,,,,,,7080223,
54290497,54311707,0,False,residential,Avenida Diaz,201.508,,,,,,,,,,,7202720,
54290499,54290501,0,False,residential,Calle Tecate,79.56,,,,,,,,,,,7080223,
54290499,54290497,0,False,residential,Calle Tecate,79.208,,,,,,,,,,,7080223,
54290499,54311708,0,False,residential,Avenida Rubio,201.341,,,,,,,,,,,7257030,
54290501,54290503,0,False,residential,Calle Tecate,79.059,,,,,,,,,,,7080223,
54290501,54290499,0,False,residential,Calle Tecate,79.56,,,,,,,,,,,7080223,
54290501,54311711,0,False,residential,Avenida Alvarado,201.73,,,,,,,,,,,7091918,
54290503,54290505,0,False,residential,Calle Tecate,79.153,,,,,,,,,,,7080223,
54290503,54290501,0,False,residential,Calle Tecate,79.059,,,,,,,,,,,7080223,
54290503,54311712,0,False,residential,Avenida Obregon,201.119,,,,,,,,,,,7093049,
54290505,54286204,0,False,residential,Calle Tecate,78.208,,,,,,,,,,,7080223,
54290505,54290503,0,False,residential,Calle Tecate,79.153,,,,,,,,,,,7080223,
54290505,54311713,0,False,residential,Avenida Carranza,200.652,,,,,,,,,,,103618356,
54290508,54286204,0,False,residential,Calle Tecate,79.346,,,,,,,,,,,7080223,
54290508,54311715,0,False,residential,Avenida Vallejo,201.719,,,,,,,,,,,7298813,
54290508,54311725,0,False,"['tertiary', 'residential']","['Avenida Bermudas', 'Calle Tecate']",310.377,,,,,,,,,,,"[7109105, 7080223]",
54295190,54295192,0,False,residential,Cristol Place,51.743,,,,,,,,,,,7082789,
54295190,54617413,0,False,residential,Villeta Drive,114.46,,,,,,,,,,,7280656,
54295190,54411846,0,False,residential,Villeta Drive,412.991,,,,,,,,,,,7280656,
54295192,54295190,0,False,residential,Cristol Place,51.743,,,,,,,,,,,7082789,
54295219,1293996889,0,False,residential,Como Court,200.347,,,,,,,,,,,7082803,
54295469,1292327119,0,False,residential,Lowe Drive,251.826,,,,,,,,,,,7082920,
54295469,1292327112,0,False,residential,North Harland Drive,94.927,,,,,,,,,,,7182197,
54295469,1292327113,0,False,residential,North Harland Drive,94.597,,,,,,,,,,,7182197,
54295622,1196452787,0,True,residential,Avenida Mendoza,45.668,,,,,,,,,,,7083001,
54295622,1196452600,0,True,residential,Avenida Montezuma,158.492,,,,,,,,,,,103618382,
54295624,54396719,0,False,residential,Calle Hidalgo,79.267,,,,,,,,,,,7148889,
54295624,54409958,0,False,residential,Calle Hidalgo,80.026,,,,,,,,,,,7148889,
54295624,54295625,0,False,residential,Avenida Mendoza,187.33,,,,,,,,,,,103618332,
54295624,1196452787,0,False,residential,Avenida Mendoza,94.338,,,,,,,,,,,103618332,
54295625,2488369572,0,False,residential,Avenida Mendoza,13.11,,,,,,,,,,,103618332,
54295625,54295624,0,False,residential,Avenida Mendoza,187.33,,,,,,,,,,,103618332,
54295625,1196452952,0,True,tertiary,Calle Sinaloa,78.869,2,,,,,,,,,,103618385,
54295628,54396723,0,False,residential,Calle Durango,79.224,,,,,,,,,,,7225258,
54295628,54533559,0,False,residential,Calle Durango,79.863,,,,,,,,,,,7225258,
54295628,54295630,0,False,residential,Avenida Mendoza,186.408,,,,,,,,,,,103618332,
54295628,2488369572,0,False,residential,Avenida Mendoza,203.22,,,,,,,,,,,103618332,
54295630,54396725,0,False,residential,Calle Sonora,79.216,,,,,,,,,,,7148020,
54295630,54408474,0,False,residential,Calle Sonora,79.781,,,,,,,,,,,7148020,
54295630,54295632,0,False,residential,Avenida Mendoza,186.263,,,,,,,,,,,103618332,
54295630,54295628,0,False,residential,Avenida Mendoza,186.408,,,,,,,,,,,103618332,
54295632,54396727,0,False,residential,Calle Ensenda,79.199,,,,,,,,,,,7156332,
