u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
90062637,90105225,0,False,secondary,Lincoln Boulevard,683.324,2,,,"['55 mph', '35 mph']",,,,,,,"[198897008, 10486640, 91322093]",
90062648,90114043,0,False,residential,J Street,171.641,,,,,,,,,,,10484382,
90062648,90127165,0,False,tertiary,9th Street,109.108,,,,,,,,,,,10485525,
90062648,90127159,0,False,tertiary,9th Street,548.295,,,,,,,,,,,10485525,
90078254,90160170,0,False,residential,"['East 6th Street', 'South Herold Avenue']",288.14,,,,,,,,,,,"[10481321, 10488477]",
90078254,90159949,0,False,tertiary,East Avenue,55.208,,,,30 mph,,,,,,,10491037,
90078254,90179957,0,False,tertiary,East Avenue,91.47,,,,30 mph,,,,,,,10491037,
90089171,620133733,0,False,tertiary,Venture Drive,169.458,2,,,,,,,,,,10484600,
90089171,2645932788,0,False,residential,McClaim Drive,318.914,,,,,,,,,,,10482306,
90089171,90116329,0,False,tertiary,Venture Drive,165.87,2,,,,,,,,,,10484600,
90089232,90188833,0,False,tertiary,1st Street,45.544,,,,25 mph,,,,,,,198897011,
90089232,90089234,0,False,residential,,42.379,,,,,,,,,,,10482313,
90089232,90131699,0,False,tertiary,1st Street,63.807,,,,25 mph,,,,,,,198897011,
90089234,90089232,0,False,residential,,42.379,,,,,,,,,,,10482313,
90093366,1412881276,0,False,tertiary,Sorrento Parkway,118.187,,,,35 mph,,,,,,,10482670,
90093564,90093571,0,False,residential,Alpenglow Lane,149.135,,,,25 mph,,,,,,,10482694,
90093564,2108429856,0,False,residential,"['Alpenglow Lane', 'Wildomar Lane']",10.891,,,,25 mph,,,,,,,"[10482694, 10490767]",
90093564,2669218179,0,True,tertiary,Stoneridge Boulevard,391.845,,,,35 mph,,,,,,,10493809,
90093571,90117775,0,False,residential,Haven Park Lane,83.092,,,,25 mph,,,,,,,10484742,
90093571,90093575,0,False,residential,Alpenglow Lane,77.339,,,,25 mph,,,,,,,10482694,
90093571,90093564,0,False,residential,Alpenglow Lane,149.135,,,,25 mph,,,,,,,10482694,
90093571,90137613,0,False,residential,Newhaven Court,86.406,,,,25 mph,,,,,,,10486413,
90093575,90093579,0,False,residential,Alpenglow Lane,99.128,,,,25 mph,,,,,,,10482694,
90093575,90093571,0,False,residential,Alpenglow Lane,77.339,,,,25 mph,,,,,,,10482694,
90093575,90097918,0,False,residential,Sun Flare Court,113.257,,,,25 mph,,,,,,,10483035,
90093579,90093575,0,False,residential,Alpenglow Lane,99.128,,,,25 mph,,,,,,,10482694,
90093579,90190536,0,False,residential,Shadow Glen Place,99.856,,,,25 mph,,,,,,,10491482,
90093579,90213057,0,False,residential,Shadow Glen Lane,82.296,,,,25 mph,,,,,,,10494003,
90093715,90179117,0,False,residential,Secret Lake Loop,78.04,,,,25 mph,,,,,,,10494358,
90093715,90093719,0,False,residential,Stone Pine Lane,156.006,,,,25 mph,,,,,,,10482710,
90093715,90107780,0,False,residential,Secret Lake Loop,282.068,,,,25 mph,,,,,,,10494358,
90093719,90093724,0,False,residential,Stone Pine Lane,81.274,,,,25 mph,,,,,,,10482710,
90093719,90093715,0,False,residential,Stone Pine Lane,156.006,,,,25 mph,,,,,,,10482710,
90093719,90125936,0,False,residential,Paragon Lane,208.967,,,,25 mph,,,,,,,10493230,
90093724,90093719,0,False,residential,Stone Pine Lane,81.274,,,,25 mph,,,,,,,10482710,
90093724,90093728,0,False,residential,Stone Pine Lane,74.152,,,,25 mph,,,,,,,10482710,
90093724,434098682,0,False,residential,Leavell Park Circle,103.446,,,,25 mph,,,,,,,10493008,
90093728,90179125,0,False,residential,Sun Park Lane,80.117,,,,25 mph,,,,,,,264542384,
