u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
30029450,1747281439,0,True,motorway_link,,490.295,"['3', '2']",,,,,,yes,,,,"[394181700, 93808884, 119744069, 119744079]",
30029450,323478907,0,True,motorway,Arthur H. Breed Junior Freeway,758.383,4,,,65 mph,,,yes,,,,"[394181698, 119744075, 119744070]",I 580
52978548,52978550,0,False,tertiary,Alameda Drive,31.719,,,,,,,,,,,6318395,
52978550,52978551,0,False,tertiary,Alameda Drive,79.293,,,,,,,,,,,6318395,
52978550,52978548,0,False,tertiary,Alameda Drive,31.719,,,,,,,,,,,6318395,
52978550,53043911,0,False,residential,Colusa Way,133.935,,,,,,,,,,,6404556,
52978551,52978552,0,False,tertiary,Alameda Drive,77.046,,,,,,,,,,,6318395,
52978551,52978550,0,False,tertiary,Alameda Drive,79.293,,,,,,,,,,,6318395,
52978551,53043915,0,False,residential,Humboldt Way,393.33,,,,,,,,,,,6368883,
52978552,52978554,0,False,tertiary,Alameda Drive,80.053,,,,,,,,,,,6318395,
52978552,52978551,0,False,tertiary,Alameda Drive,77.046,,,,,,,,,,,6318395,
52978552,53092728,0,False,residential,Wilton Road,80.82,,,,,,,,,,,6406686,
52978554,52978555,0,False,tertiary,Alameda Drive,160.857,,,,,,,,,,,6318395,
52978554,52978552,0,False,tertiary,Alameda Drive,80.053,,,,,,,,,,,6318395,
52978554,53080619,0,False,residential,Hanover Street,186.259,,,,,,,,,,,6355408,
52978555,52978554,0,False,tertiary,Alameda Drive,160.857,,,,,,,,,,,6318395,
52978555,52978557,0,False,tertiary,Alameda Drive,75.159,,,,,,,,,,,6318395,
52978555,53043915,0,False,residential,Colusa Way,242.824,,,,,,,,,,,6334743,
52978557,419009244,0,False,tertiary,Alameda Drive,119.131,,,,,,,,,,,6318395,
52978557,52978555,0,False,tertiary,Alameda Drive,75.159,,,,,,,,,,,6318395,
52978557,53079784,0,False,residential,Mendocino Road,200.421,,,,,,,,,,,6346866,
52978562,52978563,0,False,tertiary,Alameda Drive,51.707,,,,,,,,,,,6318395,
52978562,419009244,0,False,tertiary,Alameda Drive,46.365,,,,,,,,,,,6318395,
52978562,53094384,0,False,residential,Cortland Way,82.043,,,,,,,,,,,6370793,
52978563,1090478843,0,False,tertiary,Alameda Drive,53.475,,,,,,,,,,,6318395,
52978563,52978562,0,False,tertiary,Alameda Drive,51.707,,,,,,,,,,,6318395,
52978563,53083600,0,False,residential,Yolo Way,237.49,,,,,,,,,,,6347880,
52978566,1090478843,0,False,tertiary,Alameda Drive,10.228,,,,,,,,,,,6318395,
52978566,53140528,0,True,secondary,Murrieta Boulevard,114.672,,,,,,,,,,,215634643,
52978672,53090853,0,False,residential,Laurie Common,45.895,,,,,,,,,,,6358042,
52978672,52978675,0,False,residential,Chris Common,109.845,,,,,,,,,,,6318438,
52978672,53097899,0,False,residential,Laurie Common,68.614,,,,,,,,,,,6358042,
52978675,52978672,0,False,residential,Chris Common,109.845,,,,,,,,,,,6318438,
52978675,53090855,0,False,residential,Nicol Common,92.186,,,,,,,,,,,6390069,
52978675,53097899,0,False,residential,Nicol Common,161.138,,,,,,,,,,,6390069,
52983938,52983940,0,False,residential,,144.521,,,,,,,,,,,6319603,
52983938,53065833,0,False,secondary,South Vasco Road,123.438,,,,,,,,,,,93906590,
52983938,263337033,0,False,secondary,South Vasco Road,93.817,,,,,,,,,,,93906590,
52983940,52983938,0,False,residential,,144.521,,,,,,,,,,,6319603,
52986827,660580797,0,True,motorway_link,,459.668,"['1', '3', '4']",,,,,,,,,,"[394172400, 394172404, 6320278]",
52986827,263017244,0,True,motorway,Arthur H. Breed Junior Freeway,592.859,4,,,65 mph,,,,,,,394175768,I 580
52986898,660580797,0,True,secondary,Airway Boulevard,13.167,3,,,,,,,,,,394175755,
52986898,660580756,0,True,motorway_link,,57.555,1,,,,,,,,,,47068883,
52986919,660582468,0,True,secondary,Airway Boulevard,195.865,3,,,,,,yes,,,,"[119466179, 51761620]",
52986919,660579138,0,True,motorway_link,,47.371,2,,,,,,,,,,394172398,
52990596,401424994,0,True,motorway_link,,375.825,1,,,,,,,,,,6321283,
52990596,52990600,0,True,trunk,Vasco Road,217.411,1,,,45 mph,,,,,,,93906561,
52990600,1936247367,0,True,trunk,"['Vasco Road', 'South Vasco Road']",179.848,2,,,,,,yes,,,,"[6342260, 6367476, 34580896]",
52991350,53137935,0,True,motorway,Arthur H. Breed Junior Freeway,596.235,5,,,65 mph,,,,,,,263693081,I 580
52991350,401426618,0,True,motorway_link,,346.492,2,,,,,,,,,,"[393893802, 24305413]",
52991991,53102283,0,False,tertiary,Chestnut Street,111.043,,,,,,,,,,,574388286,
52991991,52991993,0,False,residential,,70.423,,,,,,,,,,,6321585,
52991991,53120620,0,False,tertiary,Chestnut Street,122.538,,,,,,,,,,,574388286,
52991993,52991995,0,False,residential,,36.668,,,,,,,,,,,6321585,
52991993,52991991,0,False,residential,,70.423,,,,,,,,,,,6321585,
52991993,52994107,0,False,residential,,122.561,,,,,,,,,,,6322002,
52991995,52991993,0,False,residential,,36.668,,,,,,,,,,,6321585,
52994107,52991993,0,False,residential,,122.561,,,,,,,,,,,6322002,
52994107,53120620,0,False,tertiary,Junction Avenue,53.259,,,,,,,,,,,35567156,
52994107,52994173,0,False,tertiary,Junction Avenue,54.876,,,,,,,,,,,35567156,
52994173,52994174,0,False,residential,,88.616,,,,,,,,,,,6322015,
52994173,52994107,0,False,tertiary,Junction Avenue,54.876,,,,,,,,,,,35567156,
52994173,53087952,0,False,tertiary,Junction Avenue,66.701,,,,,,,,,,,35567156,
52994174,52994173,0,False,residential,,88.616,,,,,,,,,,,6322015,
52994362,52995593,0,True,motorway,Arthur H. Breed Junior Freeway,882.104,5,,,65 mph,,,,,,,394216347,I 580
52994405,52994407,0,False,residential,,55.132,,,,,,,,,,,6322054,
52994405,53069261,0,False,residential,Fontonett Avenue,45.749,,,,,,,,,,,6344138,
52994405,53037311,0,False,residential,Fontonett Avenue,47.01,,,,,,,,,,,6344138,
52994407,52994405,0,False,residential,,55.132,,,,,,,,,,,6322054,
52995593,52995598,0,True,motorway_link,,230.08,,,,,,,,,,,394139150,
52995593,263023651,0,True,motorway,Arthur H. Breed Junior Freeway,797.408,4,,,65 mph,,,,,,,394216345,I 580
52995598,1091753528,0,True,motorway_link,,269.61,1,,,,,,,,,,6322319,
52995598,1091753413,0,True,motorway_link,,449.287,,,,,,,,,,,6325830,
52997339,53065833,0,False,secondary,South Vasco Road,91.158,,,,,,,,,,,93906590,
52997339,53015405,0,False,secondary,South Vasco Road,190.288,,,,,,,,,,,93906590,
52997517,53110160,0,False,residential,Paseo Laguna Seco,48.528,,,,,,,,,,,6399299,
52997517,3583699016,0,False,residential,Paseo Laguna Seco,51.908,,,,,,,,,,,6399299,
52997517,3583699027,0,False,residential,,239.813,,,,,,,,,,,352607704,
52998144,1936247371,0,False,secondary,Altamont Pass Road,3.795,2,,,,,,,,,,263693084,
52998144,1807996347,0,True,motorway_link,,51.775,1,,,,,,,,,,530469886,
53001316,53094361,0,False,residential,Preston Avenue,199.631,,,,,,,,,,,6355390,
53003055,416779703,0,False,residential,Pacific Avenue,25.692,,,,,,,,,,,6381775,
53003055,53094121,0,False,residential,Fire Lane,501.658,,,,,,,,,,,"[6355184, 6355177, 6355182]",
53003055,53094121,1,False,residential,Pacific Avenue,92.676,,,,,,,,,,,6381775,
53003092,416779813,0,False,residential,,74.08,,,,,,,,,,,6323902,
53003092,53003849,0,False,tertiary,College Avenue,27.328,,,,,,,,,,,94053703,
53003092,53090666,0,False,tertiary,College Avenue,49.718,,,,,,,,,,,94053703,
53003098,667321838,0,True,motorway_link,,47.945,1,,,,,,,,,,24279213,
53003098,262878844,0,True,primary,"['Springtown Boulevard', 'First Street']",248.152,"['3', '2']",,,40 mph,,,yes,,,,"[24278936, 394459868, 24279436, 24279253]",
53003849,53003092,0,False,tertiary,College Avenue,27.328,,,,,,,,,,,94053703,
53003849,53003860,0,False,tertiary,College Avenue,42.547,,,,,,,,,,,94053703,
53003849,53003860,1,False,residential,,104.446,,,,,,,,,,,6324088,
53003860,53003849,0,False,tertiary,College Avenue,42.547,,,,,,,,,,,94053703,
53003860,53003849,1,False,residential,,104.446,,,,,,,,,,,6324088,
53003860,53090662,0,False,tertiary,College Avenue,18.004,,,,,,,,,,,94053703,
53005837,53137935,0,True,motorway_link,,256.14,,,,,,,,,,,6324559,
53008878,53008891,0,False,residential,,208.928,,,,,,,,,,,6325307,
53008878,53008891,1,False,primary,First Street,52.982,4,,,40 mph,,,,,,,61351226,
53008878,766205249,0,False,primary,First Street,378.786,4,,,40 mph,,,,,,,61351226,
53008891,53008878,0,False,residential,,208.928,,,,,,,,,,,6325307,
53008891,53008878,1,False,primary,First Street,52.982,4,,,40 mph,,,,,,,61351226,
53008891,53044303,0,False,primary,First Street,130.386,4,,,40 mph,,,,,,,61351226,
53008903,53017591,0,False,residential,Shoemaker Drive,99.513,,,,,,,,,,,"[6325313, 6360437]",
53008903,53106576,0,False,residential,Rainflower Drive,100.834,,,,,,,,,,,6365013,
53008903,53106569,0,False,residential,Rainflower Drive,124.682,,,,,,,,,,,6365013,
53009225,1936247371,0,True,motorway_link,,35.759,1,,,,,,,,,,183248298,
53015405,53065837,0,False,secondary,South Vasco Road,153.498,,,,,,,,,,,93906590,
53015405,52997339,0,False,secondary,South Vasco Road,190.288,,,,,,,,,,,93906590,
53015556,53120567,0,False,residential,,306.133,,,,,,,,,,,6326618,
53015556,53120567,1,False,residential,,470.214,,,,,,,,,,,6326618,
53015556,53072090,0,False,residential,Rose Street,51.046,,,,,,,,,,,"[6326618, 6347534]",
53017201,53017202,0,False,residential,Meadowlark Street,127.177,,,,,,,,,,,6327010,
53017201,53041586,0,False,tertiary,Olivina Avenue,80.088,,,,,,,,,,,6333933,
53017201,53020808,0,False,tertiary,Olivina Avenue,64.968,,,,,,,,,,,6333933,
53017202,53017205,0,False,residential,Meadowlark Street,103.905,,,,,,,,,,,6327010,
53017202,53017201,0,False,residential,Meadowlark Street,127.177,,,,,,,,,,,6327010,
53017202,53038312,0,False,residential,Dogwood Drive,81.637,,,,,,,,,,,6347641,
53017205,53017207,0,False,residential,Meadowlark Street,233.731,,,,,,,,,,,6327010,
53017205,53017202,0,False,residential,Meadowlark Street,103.905,,,,,,,,,,,6327010,
53017205,53142004,0,False,residential,Sequoia Drive,80.093,,,,,,,,,,,6406148,
53017207,53017205,0,False,residential,Meadowlark Street,233.731,,,,,,,,,,,6327010,
53017207,53027140,0,False,residential,Laurel Drive,77.886,,,,,,,,,,,6329464,
53017207,53038313,0,False,residential,"['Laurel Drive', 'Nightingale Street']",316.507,,,,,,,,,,,"[6329464, 6332687]",
53017219,53017220,0,False,residential,Windward Common,37.538,,,,,,,,,,,6327018,
53017219,419010292,0,False,residential,Copper Crest Common,35.356,,,,,,,,,,,6330880,
53017219,53032295,0,False,residential,Copper Crest Common,58.889,,,,,,,,,,,6330880,
53017220,53017222,0,False,residential,Windward Common,60.448,,,,,,,,,,,6327018,
53017220,53017219,0,False,residential,Windward Common,37.538,,,,,,,,,,,6327018,
53017220,53101170,0,False,residential,Calimanco Common,29.464,,,,,,,,,,,6360718,
53017222,53017224,0,False,residential,Windward Common,49.867,,,,,,,,,,,6327018,
53017222,53017220,0,False,residential,Windward Common,60.448,,,,,,,,,,,6327018,
53017222,53073949,0,False,residential,Four Hill Common,32.669,,,,,,,,,,,6345312,
53017224,53017222,0,False,residential,Windward Common,49.867,,,,,,,,,,,6327018,
53017224,53105475,0,False,residential,Golden Crest Common,31.697,,,,,,,,,,,6364242,
53017224,53017226,0,False,residential,Windward Common,82.063,,,,,,,,,,,6327018,
53017226,419010298,0,False,residential,Windward Common,38.754,,,,,,,,,,,6327018,
53017226,53017224,0,False,residential,Windward Common,82.063,,,,,,,,,,,6327018,
53017226,53040647,0,False,residential,Wildrose Common,143.917,,,,,,,,,,,6404896,
53017249,4924754793,0,False,tertiary,Southfront Road,13.53,,,,,,,,,,,357824085,
53017249,53032186,0,False,tertiary,Southfront Road,126.946,,,,,,,,,,,357824085,
53017249,53017250,0,True,unclassified,Bennett Drive,150.572,,,,,,,,,,,501766279,
53017250,53017256,0,False,unclassified,Bennett Drive,577.945,,,,,,,,,,,6327030,
53017250,53078380,0,False,unclassified,Arroyo Vista,473.609,,,,,,,yes,,,,"[24279424, 24279425, 6346505]",
53017250,4924754793,0,True,unclassified,Bennett Drive,150.617,,,,,,,,,,,501766278,
53017256,53017250,0,False,unclassified,Bennett Drive,577.945,,,,,,,,,,,6327030,
53017256,53065806,0,True,secondary,Las Positas Road,1334.287,,,,,,,,,,,"[6408250, 94008291, 6408245]",
53017256,53018111,0,False,secondary,Las Positas Road,409.041,,,,,,,yes,,,,"[66829184, 94008289, 66829131, 94008270]",
53017299,53073894,0,False,residential,Via Granada,80.708,,,,,,,,,,,6373392,
53017299,53049818,0,False,residential,Via Granada,203.488,,,,,,,,,,,6373392,
53017299,53049813,0,False,residential,"['Via Seville', 'Via Madrid']",499.457,,,,,,,,,,,"[6327050, 6371431]",
53017403,1093345833,0,False,tertiary,El Padro Drive,47.458,,,,,,,,,,,6383490,
53017403,53069258,0,False,tertiary,El Padro Drive,72.246,,,,,,,,,,,6383490,
53017403,53017404,0,False,residential,Tina Way,181.991,,,,,,,,,,,6327084,
53017404,53017403,0,False,residential,Tina Way,181.991,,,,,,,,,,,6327084,
53017404,53088132,0,False,residential,Via del Sol,191.833,,,,,,,,,,,6363390,
53017404,53088135,0,False,residential,Via del Sol,171.992,,,,,,,,,,,6363393,
53017435,53017439,0,False,residential,Killarney Street,355.264,,,,,,,,,,,6327091,
53017435,53089301,0,False,residential,Bordeaux Street,290.732,,,,,,,,,,,6351196,
53017435,53089299,0,False,residential,Bordeaux Street,47.248,,,,,,,,,,,6351196,
53017439,53017441,0,False,residential,Killarney Street,79.386,,,,,,,,,,,6327091,
53017439,53017435,0,False,residential,Killarney Street,355.264,,,,,,,,,,,6327091,
53017439,53089301,0,False,residential,De Leon Way,86.404,,,,,,,,,,,6400411,
53017441,53083978,0,False,tertiary,Vancouver Way,51.193,,,,,,,,,,,6347982,
