u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
60410363,122589147,0,True,motorway_link,,454.547,"['1', '5', '2', '4']",,,,,,,,,,"[13282563, 405142005, 405142006, 405142007]",
60410363,294321885,0,True,motorway,San Diego Freeway,854.521,5,,,65 mph,,,,,,,514352144,I 5
60410366,122607353,0,True,motorway_link,,429.674,2,,,,,,,,,,"[405142161, 405142162, 13286036]",
60410366,294319984,0,True,motorway,San Diego Freeway,776.234,5,,,65 mph,,,yes,,,,"[514352144, 30050161, 30050162]",I 5
60411028,294321261,0,True,motorway,San Diego Freeway,745.014,5,,,65 mph,,,yes,,,,"[493139849, 30050166, 124165078]",I 5
60411028,122600166,0,True,motorway_link,,363.02,"['1', '2']",,,,,,,,,,"[405142377, 13284331, 405142374]",
60411040,294322549,0,True,motorway,San Diego Freeway,1118.314,6,,,65 mph,,,,,,,493139846,I 5
60411064,2939807054,0,True,motorway_link,,496.198,1,,,,,,yes,,,,"[30049802, 30049935, 30049936, 401217718, 401217722]",
60411064,60411070,0,True,motorway,San Diego Freeway,568.385,5,,,65 mph,,,yes,,,,"[493139843, 493139844, 30050163, 30049940, 30049942, 30049917, 30049918]",I 5
122560257,122560259,0,False,residential,Algerwood,59.171,,,,,,,,,,,13279007,
122560257,123008652,0,False,tertiary,Vista Del Lago,285.319,2,,,,,,,,,,13373904,
122560257,122933991,0,False,tertiary,Vista Del Lago,232.944,2,,,,,,,,,,13373904,
122560259,122560257,0,False,residential,Algerwood,59.171,,,,,,,,,,,13279007,
122560259,122702423,0,False,residential,Almendra,67.064,,,,,,,,,,,13300817,
122560259,122702421,0,False,residential,Almendra,30.607,,,,,,,,,,,13300817,
122560524,122686517,0,False,residential,"['Via Gorrion', 'Via Mirlo']",440.594,,,,,,,,,,,"[13298254, 13279038]",
122560524,122847266,0,False,residential,Calle Alcala,47.399,,,,,,,,,,,13324956,
122560524,2441173316,0,False,residential,Calle Alcala,52.225,,,,,,,,,,,13324956,
122565997,5067211533,0,False,residential,Cielo Entrada,18.556,,,,,,,,,,,519720445,
122565997,5067211523,0,True,residential,Cielo Entrada,66.315,,,,,,,,,,,519720442,
122567384,122826874,0,False,residential,Minaya,252.321,,,,,,,,,,,"[13357270, 13279806]",
122571486,122571499,0,False,residential,Kingshill,14.632,,,,,,,,,,,13300398,
122571486,122571499,1,False,residential,Saint Kitts,65.339,,,,,,,,,,,13350862,
122571486,122992179,0,False,residential,Saint Kitts,77.794,,,,,,,,,,,13350862,
122571499,122571486,0,False,residential,Kingshill,14.632,,,,,,,,,,,13300398,
122571499,122571486,1,False,residential,Saint Kitts,65.339,,,,,,,,,,,13350862,
122571499,4179188197,0,False,residential,Kingshill,45.129,,,,,,,,,,,13300398,
122575208,2939807054,0,False,secondary,Muirlands Boulevard,15.417,5,,,,,,,,,,401107143,
122575208,330964060,0,True,primary,La Paz Road,78.706,3,,,,,,,,,,401107066,
122575208,122623923,0,False,secondary,Muirlands Boulevard,210.055,"['5', '6']",,,,,,,,,,"[401107146, 401107148, 401107140, 401107141]",
122581227,5021738296,0,False,residential,Paseo Palmetto,6.381,,,,,,,,,,,513839032,
122581227,123006099,0,False,residential,Promenade,85.827,,,,,,,,,,,13354735,
122581227,122725124,0,False,residential,Promenade,57.827,,,,,,,,,,,13354735,
122581236,4177292202,0,False,residential,Paseo Palmetto,7.529,,,,,,,,,,,513839031,
122581236,123011534,0,False,residential,Paseo Palmetto,98.494,,,,,,,,,,,13354467,
122581236,122970498,0,False,residential,Paseo Palmetto,45.939,,,,,,,,,,,13354467,
122587999,3299197876,0,False,primary_link,,18.554,,,,,,,,,,,323125110,
122589147,1832604024,0,True,motorway_link,,22.752,,,,,,,,,,,391145647,
122590742,122605631,0,True,primary,Oso Parkway,50.345,3,,,45 mph,,,,,,,60922230,
122590742,330967906,0,True,motorway_link,,610.873,"['1', '2']",,,,,,,,,,"[13282739, 401217725, 493139827]",
122590852,122590860,0,False,residential,Redondela,84.971,,,,,,,,,,,13295802,
122590852,122590860,1,False,residential,,113.688,,,,,,,,,,,13282754,
122590852,122669514,0,False,residential,Redondela,67.824,,,,,,,,,,,13295802,
122590860,122590852,0,False,residential,Redondela,84.971,,,,,,,,,,,13295802,
122590860,122590852,1,False,residential,,113.688,,,,,,,,,,,13282754,
122590860,122669514,0,False,residential,"['Redondela', 'Mazagon']",303.039,,,,,,,,,,,"[13295802, 13334351]",
122592265,122587999,0,True,primary,Alicia Parkway,75.056,3,,,45 mph,,,,,,,60923760,
122593453,3661907892,0,False,residential,,63.575,,,,25 mph,,,,,,,366161201,
122593453,2305881782,0,False,residential,,96.427,,,,25 mph,,,,,,,13283133,
122593453,3661907903,0,False,residential,,300.068,,,,25 mph,,,,,,,"[366161200, 366161201, 365576906]",
122596398,122750054,0,False,residential,Parroco,111.941,,,,,,,,,,,13308527,
122596398,353084608,0,False,residential,Parroco,165.886,,,,,,,,,,,13308527,
122596398,3299197902,0,False,residential,,53.402,,,,,,,,,,,323125118,
122600166,122607353,0,False,primary,Avery Parkway,100.293,5,,,35 mph,,,,,,,400867738,
122600166,2306558149,0,False,primary,Avery Parkway,129.549,"['6', '5', '7']",,,35 mph,,,,,,,"[400867737, 400867739, 459273413, 178116727]",
122600166,294321261,0,True,motorway_link,,390.758,"['1', '2']",,,,,,,,,,"[405142376, 405142375]",
122600222,122600224,0,False,residential,Blandings,43.043,,,,,,,,,,,13284343,
122600222,122988084,0,False,residential,"['Kings Lynn', 'Paxton']",262.094,,,,,,,,,,,"[13307235, 13350085]",
122600222,123062021,0,False,residential,"['Ebson', 'Paxton']",109.853,,,,,,,,,,,"[13363737, 13307235]",
122600224,122600222,0,False,residential,Blandings,43.043,,,,,,,,,,,13284343,
122600224,122600224,0,False,residential,"['Oxenberg', 'Blandings']",197.667,,,,,,,,,,,"[13344641, 13284343]",
122600224,122600224,1,False,residential,"['Oxenberg', 'Blandings']",197.667,,,,,,,,,,,"[13344641, 13284343]",
122600687,2306761532,0,False,residential,Jardines,149.606,,,,25 mph,,,,,,,13284435,
122600687,122600703,0,False,residential,,274.369,,,,25 mph,,,,,,,13284448,
122600687,122600703,1,False,residential,,305.412,,,,25 mph,,,,,,,361606440,
122600703,122600687,0,False,residential,,274.369,,,,25 mph,,,,,,,13284448,
