u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
26027659,65538311,0,True,primary,San Antonio Road,71.945,3,,,35 mph,,,,,,,417106869,
26027659,26029773,0,False,secondary,West Middlefield Road,14.512,4,,,35 mph,,,,,,,514317368,
26027659,65495787,0,False,secondary,Middlefield Road,168.447,"['5', '6']",,,"['25 mph', '35 mph']",,,,,,,"[115811368, 514317369, 514317370, 202356383]",
26027669,65400942,0,False,primary,San Antonio Road,254.171,3,,,35 mph,,,,,,,96749331,
26027669,65561690,0,True,primary,San Antonio Road,216.77,"['5', '2', '4']",,,35 mph,,,,,,,"[409483273, 385248236, 385248239]",
26027671,65561690,0,False,secondary,East Charleston Road,12.86,5,,,35 mph,,,,,,,312950686,
26027671,971807548,0,True,primary,San Antonio Road,84.394,2,,,35 mph,,,,,,,385248237,
26027671,65458679,0,False,secondary,East Charleston Road,115.462,"['5', '4']",,,35 mph,,,,,,,"[312950689, 496500467, 96329211]",
26028708,65441536,0,False,primary_link,,16.744,,,,25 mph,,,,,,,8946384,
26029008,26029776,0,False,unclassified,Leghorn Street,11.531,2,,,,,,,,,,415366768,
26029008,26027659,0,True,primary,San Antonio Road,370.237,"['5', '2']",,,35 mph,,,,,,,"[417106880, 417106921]",
26029013,26029008,0,True,primary,San Antonio Road,108.185,"['2', '4']",,,35 mph,,,,,,,"[417096768, 417096766]",
26029018,26029013,0,True,residential,San Antonio Avenue,83.33,,,,25 mph,,,,,,,4370045,
26029018,65511483,0,False,residential,Fabian Street,265.03,,,,25 mph,,,,,,,96396978,
26029767,1790845048,0,True,primary,San Antonio Road,186.816,"['3', '2']",,,35 mph,,,,,,,"[417106905, 417106851]",
26029772,662761228,0,True,primary,San Antonio Road,121.17,2,,,35 mph,,,,,,,4744806,
26029772,1117114175,0,False,residential,,98.301,,,,25 mph,,,,,,,96396976,
26029773,26027659,0,False,secondary,West Middlefield Road,14.512,4,,,35 mph,,,,,,,514317368,
26029773,26029776,0,True,primary,San Antonio Road,377.209,"['2', '4']",,,35 mph,,,,,,,"[417106912, 417106892]",
26029776,26029008,0,False,unclassified,Leghorn Street,11.531,2,,,,,,,,,,415366768,
26029776,26027671,0,True,primary,San Antonio Road,272.478,"['2', '4']",,,35 mph,,,,,,,"[417106898, 385248238]",
26050447,26066120,0,False,secondary,West Charleston Road,19.665,,,,25 mph,,,,,,,417108440,
26050447,2565919540,0,False,secondary,Arastradero Road,46.472,5,,,25 mph,,,,,,,8968502,
26050447,2565919545,0,True,primary,West El Camino Real,46.609,3,,,35 mph,,,,,,,417107498,CA 82
26066120,26050447,0,False,secondary,West Charleston Road,19.665,,,,25 mph,,,,,,,417108440,
26066120,1306315411,0,True,primary,West El Camino Real,91.627,3,,,35 mph,,,,,,,417107500,CA 82
26066120,5025038572,0,True,secondary,West Charleston Road,23.511,,,,25 mph,,,,,,,514317379,
26270950,26270951,0,True,motorway_link,,118.65,,,,,,,,,,,27086204,
26270951,65405009,0,True,motorway_link,,209.448,,,,,,,,,,,27086204,
26507090,1080056454,0,True,motorway,Bayshore Freeway,90.448,4,,,65 mph,,,,,,,394368088,US 101
26580976,2371002843,0,True,primary_link,,86.885,,,,25 mph,,,,,,,5006383,
26850019,1083723285,0,False,secondary,Embarcadero Road,53.447,5,,,25 mph,,,,,,,52015206,
26850019,275512798,0,True,primary,West El Camino Real,225.803,3,,,40 mph,,,,,,,256608387,CA 82
26850019,65514238,0,False,secondary,Embarcadero Road,16.548,5,,,25 mph,,,,,,,545097663,
26850030,65518529,0,False,unclassified,Cambridge Avenue,16.957,,,,,,,,,,,8959966,
26850030,65500628,0,False,unclassified,Cambridge Avenue,298.377,,,,,,,,,,,8959966,
26850030,191689874,0,True,primary,West El Camino Real,96.34,"['3', '4']",,,35 mph,,,,,,,"[385248616, 385248621]",CA 82
30675835,30675836,0,True,primary_link,,39.023,,,,25 mph,,,,,,,4786818,
30675835,65441536,0,True,primary,Alma Street,84.07,2,,,45 mph,,,,,,,"[514317360, 514317361]",G6
30675836,726963340,0,True,primary_link,,55.399,,,,25 mph,,,,,,,58674691,
65377800,65377807,0,False,residential,Forest Avenue,85.242,,,,25 mph,,,,,,,8923331,
65377800,65441453,0,False,secondary,Alma Street,141.384,4,,,25 mph,,,,,,,526837583,
65377800,65441451,0,False,secondary,Alma Street,138.166,4,,,25 mph,,,,,,,"[94840738, 526837583]",
65377807,65377812,0,False,residential,Forest Avenue,86.475,,,,25 mph,,,,,,,8923331,
65377807,65377800,0,False,residential,Forest Avenue,85.242,,,,25 mph,,,,,,,8923331,
65377807,65523348,0,True,tertiary,High Street,140.755,2,,,25 mph,,,,,,,506448455,
65377812,5362464123,0,False,residential,Forest Avenue,86.272,,,,25 mph,,,,,,,8923331,
65377812,65377807,0,False,residential,Forest Avenue,86.475,,,,25 mph,,,,,,,8923331,
65377812,65523353,0,False,residential,Emerson Street,139.038,,,,25 mph,,,,,,,392686954,
65377812,65653767,0,False,residential,Emerson Street,139.884,,,,25 mph,,,,,,,392686954,
65377844,65523364,0,False,residential,Webster Street,140.843,,,,25 mph,,,,,,,8957774,
65377844,65609081,0,False,residential,Webster Street,138.113,,,,25 mph,,,,,,,8957774,
65377844,65377846,0,False,residential,Forest Avenue,172.274,,,,25 mph,,,,,,,526857052,
65377844,923086761,0,False,residential,Forest Avenue,172.028,,,,25 mph,,,,,,,526857052,
65377846,65495691,0,False,secondary,Middlefield Road,138.222,,,,25 mph,,,,,,,489240306,
65377846,65377849,0,False,residential,Forest Avenue,86.002,,,,25 mph,,,,,,,489240310,
65377846,65495694,0,False,secondary,Middlefield Road,139.653,,,,25 mph,,,,,,,489240313,
65377846,65377844,0,False,residential,Forest Avenue,172.274,,,,25 mph,,,,,,,526857052,
65377849,65621958,0,False,residential,Fulton Street,138.574,,,,25 mph,,,,,,,413702123,
65377849,65377853,0,False,residential,Forest Avenue,86.206,,,,25 mph,,,,,,,489240310,
65377849,65377846,0,False,residential,Forest Avenue,86.002,,,,25 mph,,,,,,,489240310,
65377853,65377855,0,False,residential,Forest Avenue,168.103,,,,25 mph,,,,,,,489240310,
65377853,65377849,0,False,residential,Forest Avenue,86.206,,,,25 mph,,,,,,,489240310,
65377853,65523366,0,False,residential,Guinda Street,142.086,,,,25 mph,,,,,,,489738674,
65377853,65631457,0,False,residential,Guinda Street,140.37,,,,25 mph,,,,,,,489738674,
65377855,65421180,0,False,residential,Seneca Street,136.115,,,,25 mph,,,,,,,8931060,
65377855,65441052,0,False,residential,Seneca Street,140.012,,,,25 mph,,,,,,,8931060,
65377855,65377858,0,False,residential,Forest Avenue,169.978,,,,25 mph,,,,,,,489240310,
65377855,65377853,0,False,residential,Forest Avenue,168.103,,,,25 mph,,,,,,,489240310,
65377858,65421182,0,False,residential,Boyce Avenue,136.065,,,,25 mph,,,,,,,8928211,
65377858,65573940,0,False,residential,Hale Street,140.778,,,,25 mph,,,,,,,8950687,
65377858,1413948525,0,False,residential,Forest Avenue,42.44,,,,25 mph,,,,,,,489240310,
65377858,65377855,0,False,residential,Forest Avenue,169.978,,,,25 mph,,,,,,,489240310,
65377860,65604111,0,True,residential,Forest Court,63.126,,,,25 mph,,,,,,,8956993,
65377860,1413948526,0,False,residential,Forest Avenue,84.071,,,,25 mph,,,,,,,489240310,
65377860,1413948525,0,False,residential,Forest Avenue,6.188,,,,25 mph,,,,,,,489240310,
65377868,65554398,0,False,residential,Lincoln Avenue,81.04,,,,25 mph,,,,,,,113691256,
65377868,65427113,0,False,residential,Lincoln Avenue,89.67,,,,25 mph,,,,,,,113691256,
65377868,65377874,0,False,residential,Forest Avenue,333.706,,,,25 mph,,,,,,,127838719,
65377868,1413948524,0,False,residential,Forest Avenue,107.711,,,,25 mph,,,,,,,127838719,
65377874,65427115,0,False,residential,Center Drive,79.107,,,,25 mph,,,,,,,8956852,
65377874,65554402,0,False,residential,Center Drive,90.492,,,,25 mph,,,,,,,8956852,
65377874,65377868,0,False,residential,Forest Avenue,333.706,,,,25 mph,,,,,,,127838719,
65381984,272296569,0,False,tertiary,Hillview Avenue,24.937,4,,,30 mph,,,,,,,417403881,
65381984,324502941,0,False,tertiary,Miranda Avenue,191.895,,,,25 mph,,,,,,,"[59902931, 521504853]",
65381984,258243038,0,False,tertiary,Miranda Avenue,81.366,3,,,25 mph,,,,,,,"[417314577, 8952725]",
65381984,1813403924,0,True,tertiary,Hillview Avenue,78.038,2,,,30 mph,,,,,,,"[514279120, 514279122]",
65382809,65382825,0,False,residential,,14.902,,,,25 mph,,,,,,,8923940,
65382809,65382819,0,False,residential,,54.323,,,,25 mph,,,,,,,8923940,
65382809,65382810,0,False,residential,,67.777,,,,25 mph,,,,,,,8923937,
65382810,65382809,0,False,residential,,67.777,,,,25 mph,,,,,,,8923937,
65382819,65382809,0,False,residential,,54.323,,,,25 mph,,,,,,,8923940,
65382821,4589572912,0,False,unclassified,Embarcadero Way,230.395,,,,,,,,,,,89530210,
65382821,65426652,0,False,secondary,Embarcadero Road,379.882,4,,,25 mph,,,,,,,"[580682657, 394447380, 417314662]",
65382821,65514295,0,False,secondary,Embarcadero Road,373.379,4,,,25 mph,,,,,,,580682657,
65382825,65382809,0,False,residential,,14.902,,,,25 mph,,,,,,,8923940,
65383174,65461929,0,False,residential,El Centro Street,128.691,,,,25 mph,,,,,,,8964254,
65383174,65610354,0,False,residential,Barron Avenue,43.83,,,,25 mph,,,,,,,93739036,
65383174,65523671,0,False,residential,Barron Avenue,115.655,,,,25 mph,,,,,,,93739036,
65384635,65384636,0,True,primary_link,,37.291,,,,25 mph,,,,,,,8924130,
65384635,689494384,0,True,primary_link,,64.148,,,,25 mph,,,,,,,77842488,
65384636,305587317,0,True,primary_link,,16.752,,,,25 mph,,,,,,,497135199,
65384636,689494384,0,True,secondary,Palm Drive,37.223,,,,25 mph,,,,,,,27833029,
65385342,65573939,0,False,residential,Hale Street,180.798,,,,25 mph,,,,,,,8950687,
65385342,65588615,0,False,residential,Palo Alto Avenue,174.598,,,,25 mph,,,,,,,489702912,
65385342,65441047,0,False,residential,Palo Alto Avenue,215.007,,,,25 mph,,,,,,,489702912,
65388493,257877916,0,True,trunk_link,,125.739,,,,,,,,,,,23892533,
65388493,257878162,0,False,tertiary,Hillview Avenue,82.429,4,,,35 mph,,,,,,,223099990,
65388493,260283815,0,False,tertiary,Hillview Avenue,214.66,,,,35 mph,,,,,,,"[417314561, 417314564, 417314554, 417314556, 417314558]",
65392280,65500083,0,False,residential,Walnut Drive,76.133,,,,25 mph,,,,,,,8938829,
65392280,65595709,0,False,residential,Newell Road,50.132,,,,25 mph,,,,,,,147364588,
65392280,65441584,0,False,residential,Newell Road,63.105,,,,25 mph,,,,,,,147364588,
65395426,65400643,0,True,motorway_link,,209.808,,,,,,,,,,,8926533,
65395426,885401693,0,True,motorway_link,,336.371,1,,,,,,,,,,125294310,
65397198,65464950,0,False,residential,San Antonio Avenue,45.208,,,,25 mph,,,,,,,96396974,
65397198,87426693,0,True,residential,,60.379,,,,25 mph,,,,,,,51971806,
65397198,1117114046,0,True,residential,San Antonio Avenue,32.274,,,,25 mph,,,,,,,96396979,
65397432,65400579,0,True,motorway_link,,44.105,1,,,,,,,,,,530362050,
65397435,120592887,0,True,motorway_link,,58.187,,,,,,,,,,,125131714,
65398253,410432169,0,False,secondary,Alma Street,24.054,4,,,25 mph,,,,,,,521492939,
65398253,65398259,0,False,secondary,Alma Street,41.049,4,,,25 mph,,,,,,,266521971,
65398253,282138129,0,True,secondary_link,,29.319,,,,25 mph,,,,,,,521492943,
65398254,282138335,0,True,secondary,University Avenue,145.925,,,,25 mph,,,,yes,,,"[27833064, 27833022, 19852487]",
65398259,410427949,0,False,secondary,Alma Street,23.715,4,,,25 mph,,,,,,,266521971,
65398259,65398253,0,False,secondary,Alma Street,41.049,4,,,25 mph,,,,,,,266521971,
65398474,80624276,0,True,motorway_link,,358.563,1,,,,,,,,,,125299850,
65400151,65583029,0,True,secondary,Arastradero Road,80.587,,,,25 mph,,,,,,,417313252,
65400151,3707648877,0,False,tertiary,Miranda Avenue,14.035,,,,25 mph,,,,,,,417314571,
65400152,272297298,0,True,trunk,Foothill Expressway,187.121,3,,,45 mph,,,,,,,"[417313331, 517617941]",G5
65400152,65400151,0,True,trunk_link,,173.851,2,,,,,,,,,,"[8925760, 517617942]",
65400579,120592954,0,True,motorway_link,,230.363,2,,,,,,,,,,8926948,
65400579,885401681,0,True,motorway_link,,280.357,1,,,,,,,,,,74982864,
65400600,552608906,0,True,motorway_link,,246.092,,,,,,,,,,,8925815,
65400600,110958312,0,True,motorway_link,,128.584,,,,,,,,,,,392175625,
65400643,65400600,0,True,motorway_link,,30.277,,,,,,,,,,,392175627,
65400935,65400942,0,True,motorway_link,,465.951,1,,,,,,,,,,8925871,
65400935,65398474,0,True,motorway,Bayshore Freeway,215.534,4,,,65 mph,,,,,,,13104958,US 101
65400942,80624276,0,False,primary,San Antonio Road,139.797,2,,,35 mph,,,,,,,27574947,
65400942,26027669,0,False,primary,San Antonio Road,254.171,3,,,35 mph,,,,,,,96749331,
65400964,65405190,0,False,primary,San Antonio Road,125.622,"['3', '2']",,,25 mph,,,,,,,"[96749328, 23947441]",
65400964,77190297,0,False,secondary,San Antonio Road,82.81,"['5', '3']",,,25 mph,,,,,,,"[186398841, 78730740]",
65405002,26270950,0,True,motorway_link,,484.66,1,,,,,,yes,,,,"[8926289, 27086204, 27086205]",
65405002,552608906,0,True,secondary,Embarcadero Road,205.359,,,,25 mph,,,,,,,74982859,
65405009,65400935,0,True,motorway,Bayshore Freeway,2044.797,4,,,65 mph,,,,,,,13104958,US 101
65405147,65489734,0,True,primary,West El Camino Real,125.511,"['3', '4']",,,35 mph,,,,,,,"[385247928, 417918238]",CA 82
65405149,65405147,0,True,primary_link,,155.185,,,,25 mph,,,,,,,8926310,
65405149,65518534,0,True,primary,Page Mill Road,119.587,4,,,35 mph,,,,,,,385240396,G3
65405190,65400964,0,False,primary,San Antonio Road,125.622,"['3', '2']",,,25 mph,,,,,,,"[96749328, 23947441]",
65405190,80624276,0,False,primary,San Antonio Road,167.148,2,,,"['25 mph', '35 mph']",,,yes,,,,"[27574948, 200522229]",
