u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
29892713,349909278,0,True,motorway,Redwood Highway,1193.708,2,,,65 mph,,,,,,,186410476,US 101;CA 116
55949835,55949836,0,False,residential,Kiwi Court,38.072,,,,,,,,,,,7698976,
55949835,56088824,0,False,residential,Caulfield Lane,89.486,,,,,,,,,,,271041525,
55949835,56088834,0,False,residential,Caulfield Lane,112.671,,,,,,,,,,,271041525,
55949836,55949835,0,False,residential,Kiwi Court,38.072,,,,,,,,,,,7698976,
55949925,55949927,0,False,residential,Kearny Court,98.925,,,,,,,,,,,7698997,
55949925,56053898,0,False,residential,Kearny Street,146.334,,,,,,,,,,,7709932,
55949925,56030119,0,False,residential,Sutter Street,73.029,,,,,,,,,,,7707979,
55949925,56030111,0,False,residential,Sutter Street,76.993,,,,,,,,,,,7707979,
55949927,55949925,0,False,residential,Kearny Court,98.925,,,,,,,,,,,7698997,
55950112,55950116,0,False,residential,Erwin Street,225.545,,,,,,,,,,,7699019,
55950112,56048401,0,False,residential,East D Street,60.364,,,,,,,,,,,7709471,
55950112,56048399,0,False,residential,East D Street,70.31,,,,,,,,,,,7709471,
55950116,55950112,0,False,residential,Erwin Street,225.545,,,,,,,,,,,7699019,
55950116,2961866974,0,False,residential,Jefferson Street,45.215,,,,,,,,,,,7709436,
55950116,56048129,0,False,residential,Jefferson Street,72.969,,,,,,,,,,,7709436,
55953228,55953229,0,False,residential,,18.704,,,,,,,,,,,7699455,
55953228,56053781,0,False,residential,Dorenfeld Court,71.593,,,,,,,,,,,7711278,
55953228,56066532,0,False,residential,Dorenfeld Court,40.206,,,,,,,,,,,7711279,
55953229,55953228,0,False,residential,,18.704,,,,,,,,,,,7699455,
55955752,55969837,0,True,motorway_link,,329.747,,,,,,,,,,,7699808,
55955752,55969858,0,True,motorway,Redwood Highway,269.223,2,,,65 mph,,,,,,,159938677,US 101;CA 116
55956307,56001362,0,False,secondary,Redwood Highway North,102.167,,,,,,,,,,,447930590,
55956307,349914982,0,True,motorway_link,,264.615,,,,,,,,,,,7701362,
55956307,56070869,0,False,secondary,"['Redwood Highway North', 'Petaluma Boulevard North']",77.288,,,,,,,,,,,"[7717126, 186409230]",
55958143,56029106,0,False,residential,Pepperwood Lane,45.069,,,,,,,,,,,7712938,
55958143,55998001,0,False,residential,Pepperwood Lane,44.143,,,,,,,,,,,7712938,
55958143,55958144,0,False,residential,,46.54,,,,,,,,,,,7700132,
55958143,55997986,0,False,residential,,35.867,,,,,,,,,,,7705119,
55958144,55958143,0,False,residential,,46.54,,,,,,,,,,,7700132,
55960792,55960793,0,False,residential,,85.405,,,,,,,,,,,7700554,
55960792,56155144,0,False,residential,Webster Street,112.971,,,,,,,,,,,7720381,
55960792,56048159,0,False,residential,Webster Street,58.839,,,,,,,,,,,7720381,
55960793,55960792,0,False,residential,,85.405,,,,,,,,,,,7700554,
55960802,55960803,0,False,residential,,32.191,,,,,,,,,,,7700556,
55960802,56162656,0,False,residential,Upham Street,53.426,,,,,,,,,,,7721884,
55960802,56042485,0,False,residential,Upham Street,56.917,,,,,,,,,,,7721884,
55960803,55960802,0,False,residential,,32.191,,,,,,,,,,,7700556,
