u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
653844,773769702,0,True,motorway,San Bernardino Freeway,299.357,5,,,65 mph,,,,,,,44225854,I 10
653852,394952650,0,True,motorway_link,,474.722,,,,,,,,,,,13263814,
653852,394953149,0,True,motorway,San Bernardino Freeway,546.804,5,,,65 mph,,,,,,,156927272,I 10
15390958,1833922454,0,True,motorway,Pomona Freeway,602.619,"['7', '6']",,,,,,,,,,"[532655866, 532655867]",CA 60
54584935,277489462,0,True,primary,Mills Avenue,135.826,3,,,,,,,,,,"[474905676, 474905678]",
54718336,3586225116,0,False,residential,"['Walnut Avenue', 'Ficus Street']",906.186,,,,,,,,,,,"[13333177, 13380677]",
54718336,1833922414,0,False,primary,Riverside Drive,104.474,5,,,,,,,,,,"[406324689, 406324683, 406324686]",
54775612,277489037,0,True,primary,Mills Avenue,21.398,,,,,,,,,,,474905628,
54811827,122699088,0,False,primary,San Bernardino Avenue,64.237,,,,,,,,,,,474907855,
54811827,54906207,0,True,primary,Mills Avenue,189.258,2,,,,,,,,,,"[474905635, 474905638]",
54840933,54892293,0,True,primary,Mills Avenue,117.841,3,,,,,,,,,,"[474905650, 474905646]",
54892293,122679896,0,False,residential,Lincoln Avenue,214.515,,,,,,,,,,,13466773,
54892293,54584935,0,True,primary,Mills Avenue,302.291,2,,,,,,,,,,"[474905670, 474905655]",
54906207,54840933,0,True,primary,Mills Avenue,316.892,2,,,,,,,,,,"[474905643, 474905639]",
54951640,122846671,0,False,residential,East American Avenue,257.793,,,,,,,,,,,13324843,
54951640,54951642,0,True,primary,Mills Avenue,97.004,,,,,,,,,,,158300451,
54951642,122685246,0,False,residential,Elaine Street,308.896,,,,,,,,,,,13298080,
54951642,54775612,0,True,primary,Mills Avenue,91.468,2,,,,,,,,,,"[474905627, 158300451]",
55099535,3586225119,0,True,motorway_link,,492.005,1,,,,,,,,,,"[29468593, 406324258, 406324262]",
122386513,122423835,0,False,residential,,54.511,,,,,,,,,,,13278283,
122386513,122423835,1,False,residential,Poly Vista,225.916,,,,,,,,,,,"[13261595, 192560757, 13255526]",
122386513,122386646,0,False,residential,Polyona Islander,102.818,,,,,,,,,,,13426509,
122386513,122513325,0,False,residential,Polyona Islander,54.184,,,,,,,,,,,13426507,
122386642,122386646,0,False,residential,,51.556,,,,,,,,,,,13255534,
122386642,123516132,0,False,residential,Polyona Islander,60.188,,,,,,,,,,,13426512,
