u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
90000587,90000589,0,False,residential,Nicole Court,79.717,,,,,,,,,,,10476354,
90000587,90236103,0,False,residential,Alexandra Place,33.751,,,,,,,,,,,10496461,
90000587,90184191,0,False,residential,Alexandra Place,85.456,,,,,,,,,,,10496461,
90000589,90000587,0,False,residential,Nicole Court,79.717,,,,,,,,,,,10476354,
90000689,90000691,0,False,residential,Manzanita Drive,92.33,,,,,,,,,,,10476364,
90000689,90181277,0,False,tertiary,Sierra Meadows Drive,125.419,,,,35 mph,,,,,,,10490417,
90000689,90106382,0,False,tertiary,Sierra Meadows Drive,101.403,,,,35 mph,,,,,,,10490417,
90000691,90000692,0,False,residential,Manzanita Drive,90.006,,,,,,,,,,,10476364,
90000691,90000689,0,False,residential,Manzanita Drive,92.33,,,,,,,,,,,10476364,
90000691,90114448,0,False,residential,Filaree Court,37.408,,,,,,,,,,,10484424,
90000692,90000691,0,False,residential,Manzanita Drive,90.006,,,,,,,,,,,10476364,
90000692,90000696,0,False,residential,Manzanita Drive,53.076,,,,,,,,,,,10476364,
90000692,90205378,0,False,residential,Buckeye Drive,76.653,,,,,,,,,,,10493175,
90000696,90000692,0,False,residential,Manzanita Drive,53.076,,,,,,,,,,,10476364,
90003787,90213386,0,False,tertiary,Rawhide Road,214.378,,,,,,,,,,,10485006,
90003787,90143920,0,False,tertiary,Midas Avenue,734.8,,,,30 mph,,,,,,,78388180,
90003787,90120742,0,False,tertiary,Midas Avenue,123.459,,,,30 mph,,,,,,,78388180,
90006713,90164663,0,False,residential,Cheri Court,40.973,,,,,,,,,,,10488966,
90006713,90153707,0,False,residential,Willowglen Way,185.696,,,,,,,,,,,10488000,
90006713,90139373,0,False,residential,Willowglen Way,160.918,,,,,,,,,,,10488000,
90037768,3309117623,0,False,residential,Greenbrae Road,129.085,,,,25 mph,,,,,,,10496157,
90037768,90115561,0,False,residential,Green Mountain Lane,44.273,,,,,,,,,,,10484555,
90037768,3309117591,0,False,residential,Greenbrae Road,236.83,,,,25 mph,,,,,,,10496157,
90037768,3309117593,0,True,residential,Barrington Hills Drive,53.36,,,,,,,,,,,324180693,
90052265,90159499,0,False,residential,Croft Lane,183.363,,,,,,,,,,,10488397,
90056355,604057485,0,False,residential,Northern Lights Way,80.666,,,,,,,,,,,47466412,
90056355,90056359,0,False,residential,Summer Cloud Drive,100.191,,,,,,,,,,,10479801,
90056355,604057495,0,False,residential,Northern Lights Way,96.977,,,,,,,,,,,47466412,
90056359,90056355,0,False,residential,Summer Cloud Drive,100.191,,,,,,,,,,,10479801,
90056359,90178000,0,False,residential,Amber Falls Drive,40.136,,,,,,,,,,,10490097,
90056359,604057499,0,False,residential,Amber Falls Drive,61.637,,,,,,,,,,,10490097,
90056631,90056633,0,False,residential,Woodhouse Court,179.744,,,,,,,,,,,10479815,
90056631,90056728,0,False,residential,Clubhouse Drive West,205.798,,,,,,,,,,,10491186,
90056631,90188504,0,False,residential,Clubhouse Drive West,288.293,,,,,,,,,,,10491187,
90056633,90056631,0,False,residential,Woodhouse Court,179.744,,,,,,,,,,,10479815,
90056728,620105618,0,False,residential,Clubview Court,183.353,,,,,,,,,,,10479828,
90056728,90056631,0,False,residential,Clubhouse Drive West,205.798,,,,,,,,,,,10491186,
90056728,90163500,0,False,residential,Clubhouse Drive West,310.364,,,,,,,,,,,10491186,
90064931,90064932,0,False,residential,,51.173,,,,,,,,,,,10480357,
90064931,90122347,0,False,tertiary,Farrier Road,109.329,,,,35 mph,,,,,,,123954831,
90064931,90122342,0,False,tertiary,Farrier Road,153.445,,,,35 mph,,,,,,,123954831,
90064932,90064931,0,False,residential,,51.173,,,,,,,,,,,10480357,
90064932,90151277,0,False,residential,Sandpiper Court,104.102,,,,,,,,,,,10487791,
90064932,90163024,0,False,residential,Carr Court,129.909,,,,,,,,,,,10488748,
90064932,90194284,0,False,residential,Tripp Way,338.657,,,,,,,,,,,"[10492466, 10492467]",
90076829,90210861,0,False,residential,Navajo Drive,796.888,,,,,,,,,,,"[10496174, 10481214]",
90078240,1416799845,0,True,motorway_link,,12.195,,,,,,,,,,,10495859,
90078240,90130180,0,True,secondary,Rocklin Road,151.397,2,,,35 mph,,,yes,,,,"[128152667, 128152660, 128152663]",
90090790,3161499317,0,False,tertiary,Granite Drive,15.743,4,,,40 mph,,,,,,,310689659,
90090790,3161499358,0,True,tertiary,Granite Drive,310.725,2,,,40 mph,,,,,,,310689660,
90093226,3184251136,0,False,residential,Racetrack Road,105.833,,,,25 mph,,,,,,,10482653,
90093226,90161842,0,False,tertiary,Meyers Street,68.241,,,,25 mph,,,,,,,10488654,
90093226,90125989,0,False,tertiary,Cedar Street,94.92,,,,25 mph,,,,,,,96747865,
90093228,90170255,0,False,residential,Racetrack Circle,402.618,,,,,,,,,,,10489505,
90093228,3184251136,0,True,residential,Racetrack Road,50.387,,,,25 mph,,,,,,,312551919,
90093228,90093232,0,False,residential,Racetrack Road,80.87,,,,25 mph,,,,,,,312551921,
90093232,90170255,0,False,residential,Racetrack Circle,376.869,,,,,,,,,,,312551917,
90093232,90093236,0,False,residential,Racetrack Road,33.727,,,,25 mph,,,,,,,312551921,
90093232,90093228,0,False,residential,Racetrack Road,80.87,,,,25 mph,,,,,,,312551921,
90093236,90093232,0,False,residential,Racetrack Road,33.727,,,,25 mph,,,,,,,312551921,
90093328,90093333,0,False,residential,Upland Court,61.786,,,,,,,,,,,10482665,
90093328,90183288,0,False,residential,Echo Ridge Road,133.797,,,,25 mph,,,,,,,10490630,
