u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
89545274,89545278,0,False,residential,Homestead Avenue,82.552,,,,,,,,,,,10448699,
89545278,89545280,0,False,residential,Homestead Avenue,114.045,,,,,,,,,,,10448699,
89545278,89545274,0,False,residential,Homestead Avenue,82.552,,,,,,,,,,,10448699,
89545278,89919095,0,False,residential,Wilson Street,97.012,,,,,,,,,,,10469345,
89545280,89545282,0,False,residential,Homestead Avenue,80.42,,,,,,,,,,,10448699,
89545280,89545278,0,False,residential,Homestead Avenue,114.045,,,,,,,,,,,10448699,
89545280,89824736,0,False,residential,Alexander Street,105.78,,,,,,,,,,,10467855,
89545282,89545286,0,False,residential,Homestead Avenue,98.473,,,,,,,,,,,10448699,
89545282,89545280,0,False,residential,Homestead Avenue,80.42,,,,,,,,,,,10448699,
89545282,89797437,0,False,residential,Park Street,96.318,,,,,,,,,,,10459532,
89545282,89797436,0,False,residential,Park Street,194.765,,,,,,,,,,,10459532,
89545286,89545289,0,False,residential,Homestead Avenue,99.635,,,,,,,,,,,10448699,
89545286,89545282,0,False,residential,Homestead Avenue,98.473,,,,,,,,,,,10448699,
89545286,89835738,0,False,residential,Archer Street,195.159,,,,,,,,,,,10465692,
89545289,89545292,0,False,residential,Homestead Avenue,348.203,,,,,,,,,,,10448699,
89545289,89545286,0,False,residential,Homestead Avenue,99.635,,,,,,,,,,,10448699,
89545289,89872837,0,False,tertiary,Central Avenue,193.692,,,,,,,,,,,331111648,
89545289,89948483,0,False,tertiary,Central Avenue,93.12,,,,,,,,,,,331111648,
89545292,89545294,0,False,residential,Homestead Avenue,97.356,,,,,,,,,,,10448699,
89545292,89545289,0,False,residential,Homestead Avenue,348.203,,,,,,,,,,,10448699,
89545292,89948226,0,False,secondary,West Alisal Street,289.981,,,,,,,,,,,10473205,
89545292,89967071,0,False,secondary,West Alisal Street,93.08,,,,,,,,,,,10473205,
89545294,89545292,0,False,residential,Homestead Avenue,97.356,,,,,,,,,,,10448699,
89545294,89882100,0,False,residential,Talbot Street,201.638,,,,,,,,,,,10468638,
89545294,89545306,0,False,residential,Homestead Avenue,89.658,,,,,,,,,,,331111649,
89545306,89547381,0,False,residential,Marion Avenue,310.356,,,,,,,,,,,10463606,
89545306,89545320,0,False,residential,Homestead Avenue,153.619,,,,,,,,,,,331111649,
89545306,89545294,0,False,residential,Homestead Avenue,89.658,,,,,,,,,,,331111649,
89545320,89545323,0,False,residential,Homestead Avenue,43.621,,,,,,,,,,,331111649,
89545320,89545306,0,False,residential,Homestead Avenue,153.619,,,,,,,,,,,331111649,
89545320,89967071,0,False,residential,Lorimer Street,312.859,,,,,,,,,,,"[10473184, 331111653]",
89545323,89841402,0,False,tertiary,Iverson Street,99.495,,,,,,,,,,,10463258,
89545323,89835751,0,False,residential,Clay Street,110.086,,,,,,,,,,,10466309,
89545323,89545320,0,False,residential,Homestead Avenue,43.621,,,,,,,,,,,331111649,
89545563,89545566,0,False,residential,Blue Dolfin Drive,50.09,,,,,,,,,,,10448706,
89545563,89859812,0,False,residential,Deanza Avenue,164.427,,,,,,,,,,,10464433,
89545563,89859812,1,False,residential,"['El Dorado Avenue', 'Coral Sands Drive', 'Blue Dolfin Drive']",238.761,,,,,,,,,,,"[10475730, 10448706, 10463727]",
89545566,89545568,0,False,residential,Blue Dolfin Drive,50.631,,,,,,,,,,,10448706,
89545566,89545563,0,False,residential,Blue Dolfin Drive,50.09,,,,,,,,,,,10448706,
89545566,89954643,0,False,residential,Cortez Avenue,181.868,,,,,,,,,,,10472000,
89545568,89545566,0,False,residential,Blue Dolfin Drive,50.631,,,,,,,,,,,10448706,
89545568,89954908,0,False,residential,Bahia Avenue,63.404,,,,,,,,,,,10473944,
89545568,89975690,0,False,residential,Bahia Avenue,199.526,,,,,,,,,,,10473944,
89546996,89912122,0,False,residential,Palermo Drive,70.847,,,,,,,,,,,10468761,
89546996,89547012,0,False,residential,Marsala Circle,132.852,,,,,,,,,,,10448734,
