u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
19344864,294097717,0,True,motorway,San Diego Freeway,440.095,4,,,65 mph,,,,,,,32133491,I 5
19345060,294109988,0,True,motorway,San Diego Freeway,997.876,5,,,65 mph,,,yes,,,,"[62541730, 171586773, 171586766]",I 5
19345060,5341195102,0,True,motorway_link,,589.638,"['3', '2']",,,,,,,,,,"[399490076, 399490077, 399490078]",
60410406,19344864,0,True,motorway,San Diego Freeway,1032.732,4,,,65 mph,,,yes,,,,"[32133490, 32133491, 171586740]",I 5
60410406,122904565,0,True,motorway_link,,523.6,"['1', '3', '2']",,,,,,,,,,"[13286993, 385851022, 385851023]",
122560477,122560487,0,False,residential,Calle Botanico,78.795,,,,,,,,,,,13279033,
122560477,4020571046,0,False,residential,Calle Portofino,210.67,4,,,,,,,,,,"[585779536, 13354706, 585779534]",
122560477,341882085,0,False,residential,Calle Portofino,190.122,,,,,,,,,,,13354706,
122560487,122560498,0,False,residential,Calle Botanico,89.623,,,,,,,,,,,13279033,
122560487,122560477,0,False,residential,Calle Botanico,78.795,,,,,,,,,,,13279033,
122560487,122829295,0,False,residential,Via Malaga,119.969,,,,,,,,,,,13321762,
122560487,122829277,0,False,residential,Via Malaga,115.842,,,,,,,,,,,13321762,
122560498,122560487,0,False,residential,Calle Botanico,89.623,,,,,,,,,,,13279033,
122562175,122562185,0,False,residential,,102.781,,,,,,,,,,,13279224,
122562175,122618702,0,False,residential,Camino San Clemente,9.654,2,,,25 mph,,,,,,,13331427,
122562175,122606304,0,False,residential,Camino San Clemente,33.416,2,,,25 mph,,,,,,,13331427,
122562185,122562175,0,False,residential,,102.781,,,,,,,,,,,13279224,
122562197,122618702,0,False,residential,Camino San Clemente,77.002,2,,,25 mph,,,,,,,13331427,
122562197,122562209,0,False,residential,,101.873,,,,,,,,,,,13279226,
122562197,122886505,0,False,residential,Camino San Clemente,138.837,2,,,25 mph,,,,,,,"[13331427, 13331429]",
122562209,122562197,0,False,residential,,101.873,,,,,,,,,,,13279226,
122562336,291130394,0,False,secondary,South El Camino Real,42.513,4,,,30 mph,,,,,,,501448478,
122562336,122562353,0,True,motorway_link,,491.328,"['1', '2']",,,,,,,,,,"[385851021, 26558175]",
122562336,122606327,0,False,secondary,South El Camino Real,109.635,"['5', '4']",,,30 mph,,,,,,,"[539624785, 501448477]",
122562353,122610498,0,True,motorway,San Diego Freeway,350.712,5,,,65 mph,,,,,,,487165554,I 5
122565042,3586313922,0,True,motorway_link,,15.292,2,,,,,,,,,,399507431,
122565042,122761416,0,True,tertiary,Camino de Estrella,106.105,"['3', '2']",,,35 mph,,,,,,,"[389552280, 389552293]",
122565045,122727785,0,True,motorway_link,,446.936,2,,,,,,,,,,"[399507441, 399507434, 13283387]",
122573347,4589338688,0,True,tertiary,Calle del Cerro,7.645,1,,,35 mph,,,,,,,399324993,
122573347,122573351,0,True,residential,Via Visalia,28.375,,,,,,,,,,,13280552,
122573351,122573364,0,False,residential,Via Visalia,40.674,2,,,,,,,,,,13280553,
122573351,4589338688,0,True,residential,Via Visalia,31.517,,,,,,,,,,,463687458,
122573364,122849393,0,False,residential,Avenida Crescenta,76.191,2,,,,,,,,,,13330864,
122573364,122573351,0,False,residential,Via Visalia,40.674,2,,,,,,,,,,13280553,
122573364,122720167,0,False,residential,"['Via Visalia', 'Avenida de Verdes']",234.58,2,,,,,,,,,,"[13349844, 13303437]",
122574628,1825931329,0,True,motorway,San Diego Freeway,24.764,4,,,65 mph,,,,,,,171586776,I 5
122574634,122574628,0,True,motorway,San Diego Freeway,600.613,4,,,65 mph,,,,,,,171586776,I 5
122574634,1884935644,0,True,motorway_link,,403.731,2,,,,,,,,,,"[399307936, 13280698, 399307935]",
122575060,122913650,0,False,secondary,Avenida Pico,110.89,"['6', '5', '4']",,,35 mph,yes,,,,,,"[405152088, 499557368, 399485148, 399485150]",
122575060,4908228416,0,True,secondary,Avenida Pico,129.941,"['3', '2']",,,35 mph,,,,,,,"[499557369, 499557370]",
122575353,294110001,0,True,motorway,San Diego Freeway,474.055,5,,,65 mph,,,,,,,"[399485164, 569461469]",I 5
122575355,122575357,0,False,tertiary,East Avenida Palizada,74.549,4,,,,,,,,,,376762548,
122575355,122779893,0,False,tertiary,East Avenida Palizada,59.554,5,,,,,,,,,,376762547,
122575357,122575355,0,False,tertiary,East Avenida Palizada,74.549,4,,,,,,,,,,376762548,
122575357,5221311523,0,True,tertiary,East Avenida Palizada,13.234,2,,,,,,,,,,395100175,
122576756,122853204,0,False,residential,Calle del Establo,46.878,2,,,,,,,,,,13364620,
122576756,122576763,0,False,residential,,81.295,2,,,,,,,,,,13281013,
122576756,122856459,0,False,residential,Avenida de Las Palmeras,88.207,2,,,,,,,,,,13333894,
122576756,122899389,0,False,residential,Avenida de Las Palmeras,227.742,2,,,,,,,,,,13333894,
122576763,122576756,0,False,residential,,81.295,2,,,,,,,,,,13281013,
122576763,122745472,0,False,residential,Via Adelia,114.922,2,,,,,,,,,,13307685,
122576763,122851912,0,False,residential,Via Calandria,88.519,2,,,,,,,,,,13325612,
122577384,122676147,0,False,residential,El Levante,68.181,2,,,25 mph,,,,,,,13343275,
122577384,4348059020,0,True,residential,Avenida Pizarro,16.235,1,,,,,,,,,,13347729,
122586730,122680461,0,False,residential,Ocean Drive,19.504,,,,,,,,,,,13359385,
122586737,122680458,0,False,residential,Pacific Drive,51.168,,,,,,,,,,,13352738,
122588946,122588950,0,False,residential,,46.176,,,,,,,,,,,13282536,
122588946,122768819,0,False,residential,Corte Tabarco,127.504,,,,,,,,,,,13311606,
122588946,341863508,0,False,residential,Corte Tabarco,90.615,,,,,,,,,,,13311606,
122588950,122588946,0,False,residential,,46.176,,,,,,,,,,,13282536,
122588950,122968208,0,False,residential,Calle Pelicano,76.602,,,,,,,,,,,30813177,
122588950,122968203,0,False,residential,"['Calle Camaron', 'Calle Almeja']",281.747,,,,,,,,,,,"[13288635, 13358436]",
122596837,342001192,0,False,residential,"['Via Floritas', 'Marbella']",439.442,2,,,,,,,,,,"[13373859, 13327519]",
122606304,122606320,0,False,residential,,114.833,,,,,,,,,,,13285716,
122606304,122562175,0,False,residential,Camino San Clemente,33.416,2,,,25 mph,,,,,,,13331427,
122606304,122689413,0,False,residential,Camino San Clemente,284.69,2,,,,,,,,,,13331430,
122606320,122606304,0,False,residential,,114.833,,,,,,,,,,,13285716,
122606327,19344864,0,True,motorway_link,,454.872,1,,,,,,,,,,13285719,
122606327,122904565,0,False,secondary,South El Camino Real,72.263,"['5', '4']",,,30 mph,,,,,,,"[385851016, 385851019]",
122606327,122562336,0,False,secondary,South El Camino Real,109.635,"['5', '4']",,,30 mph,,,,,,,"[539624785, 501448477]",
122606678,122939248,0,False,residential,South Avenida de la Estrella,268.298,"['3', '2']",,,25 mph,,,,,,,"[487165555, 13351132]",
122606678,122940620,0,False,tertiary,Avenida Presidio,61.223,4,,,,,,,,,,13359113,
122606678,122610496,0,False,tertiary,Avenida Presidio,97.462,,,,,,,,,,,"[487165556, 61041207]",
122606678,294107866,0,True,motorway_link,,386.6,"['1', '2']",,,,,,,,,,"[13285823, 399311887]",
122607228,122607230,0,False,residential,,46.283,,,,,,,,,,,13285991,
122607228,122677172,0,False,residential,"['Via del Campo', 'Via Manzana']",529.844,,,,,,,,,,,"[512860280, 13344333]",
122607228,122677166,0,False,residential,Via Manzana,64.234,,,,,,,,,,,13344333,
122607230,122607228,0,False,residential,,46.283,,,,,,,,,,,13285991,
122607412,4020629248,0,False,residential,Calle Venezia,9.037,2,,,,,,,,,,13286044,
122607412,122898052,0,False,residential,Calle Venezia,249.668,2,,,,,,,,,,13286044,
122607412,122573347,0,True,tertiary,Calle del Cerro,252.281,1,,,35 mph,,,,,,,"[364711432, 399324993]",
122607716,4020589238,0,False,unclassified,,13.038,2,,,,,,,,,,463929748,
122607716,122840767,0,True,secondary,Avenida la Pata,238.728,2,,,45 mph,,,,,,,293500737,
122607716,4591281391,0,False,unclassified,,108.052,2,,,,,,,,,,463929748,
122610496,1825931362,0,True,motorway_link,,347.371,2,,,,hov,,,,,,"[61041208, 61041204]",
122610496,122606678,0,False,tertiary,Avenida Presidio,97.462,,,,,,,,,,,"[487165556, 61041207]",
122610496,123035102,0,False,residential,Avenida Presidio,61.265,4,,,25 mph,,,,,,,487165557,
122610498,122610496,0,True,motorway_link,,301.232,"['1', '2']",,,,,,,,,,"[13286677, 487165558]",
122610498,1825931362,0,True,motorway,San Diego Freeway,641.203,4,,,65 mph,,,yes,,,,"[487165553, 171586777, 171586764]",I 5
122612341,294109988,0,True,motorway_link,,400.613,"['1', '2']",,,,,,,,,,"[13286984, 399490082]",
122612341,122612346,0,True,secondary,East Avenida Pico,121.643,5,,,35 mph,,,,,,,394196725,
122612342,123104673,0,True,motorway,San Diego Freeway,287.353,6,,,65 mph,,,,,,,569461460,I 5
122612346,2526133948,0,True,motorway_link,,22.181,2,,,,,,,,,,553312070,
122612346,2526133957,0,True,secondary,Avenida Pico,660.495,"['6', '5', '3', '4']",,,35 mph,,,,,,,"[394196712, 394196715, 399485003, 394196719, 399485019, 399485020, 399485021]",
122613296,4022261930,0,True,secondary,Camino de Los Mares,291.264,2,,,45 mph,,,,,,,399490074,
122613296,122833874,0,False,secondary,Camino Vera Cruz,71.543,"['5', '4']",,,35 mph,yes,,,,,,"[399990738, 399990739, 399990740]",
122613296,122656972,0,False,secondary,Camino de Los Mares,383.565,"['5', '2']",,,,,,,,,,"[398255059, 399990741]",
122613296,4844654969,0,True,residential,Camino Vera Cruz,33.724,1,,,,,,,,,,492443765,
122614502,122574634,0,True,motorway,San Diego Freeway,1474.17,4,,,65 mph,,,,,,,171586776,I 5
122615082,3629856590,0,False,residential,Via Solona,11.12,2,,,,,,,,,,13296298,
122615082,122672423,0,False,residential,Via Solona,77.835,2,,,,,,,,,,13296298,
122615084,3629856589,0,False,residential,Calle Sarmentoso,10.623,2,,,30 mph,,,,,,,13307540,
122615084,122615082,0,True,residential,Via Solona,56.037,1,,,,,,,,,,13287434,
122615084,122744638,0,False,residential,Calle Sarmentoso,188.224,2,,,30 mph,,,,,,,13307540,
122615962,122792944,0,False,tertiary,Avenida del Presidente,484.764,"['3', '2']",,,,,,,,,,"[427691504, 399310348]",
122615962,122904423,0,False,secondary,Avenida del Presidente,79.608,"['3', '2']",,,,,,,,,,"[399310346, 399310347, 399310349]",
122615962,294106777,0,True,motorway_link,,182.859,"['1', '2']",,,,,,,,,,"[26810347, 399310350]",
122615962,294105940,0,False,residential,Avenida Calafia,96.797,2,,,25 mph,,,,,,,427691501,
122617167,122739153,0,False,residential,Vista Azul,123.565,2,,,,,,,,,,13306450,
122617167,123117123,0,False,residential,Vista Blanca,213.228,2,,,,,,,,,,"[13287840, 13374030]",
122617167,122733008,0,False,residential,Vista Azul,88.936,2,,,,,,,,,,13306450,
122617357,122621266,0,False,residential,Ladero Lane,74.576,,,,,,,,,,,13288565,
122617357,122827451,0,False,residential,East Avenida Cordoba,63.81,2,,,25 mph,,,,,,,13346232,
122617357,122880303,0,False,residential,East Avenida Cordoba,100.352,2,,,25 mph,,,,,,,13346232,
122618702,122618703,0,False,residential,,135.652,,,,,,,,,,,13288125,
122618702,122562197,0,False,residential,Camino San Clemente,77.002,2,,,25 mph,,,,,,,13331427,
