u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
281266,702274215,0,True,motorway,Bayshore Freeway,1327.778,4,,,,,,,,,,24054675,US 101
281266,65358141,0,True,motorway_link,,321.491,"['3', '2']",,,,,,,,,,"[512386104, 8920615]",
26029880,69396648,0,True,motorway_link,,240.746,2,,,35 mph,,,,,,,392680118,
26029880,69396620,0,True,motorway,Bayshore Freeway,668.932,4,,,,,,,,,,425562121,US 101
26374478,689909338,0,True,motorway,J Arthur Younger Freeway,487.716,3,,,55 mph,,,yes,,,,"[169509315, 26276550]",CA 92
31416681,541332395,0,True,motorway_link,,350.745,1,,,,,,,,,,"[394689839, 23730271]",
31416681,256998237,0,True,motorway,J Arthur Younger Freeway,313.726,2,,,55 mph,,,,,,,32357443,CA 92
34006175,415170411,0,True,motorway_link,,483.273,"['1', '2']",,,,,,,,,,"[392684780, 9718271]",
34006175,26374478,0,True,motorway,J Arthur Younger Freeway,562.673,3,,,55 mph,,,,,,,169509315,CA 92
36229209,256324404,0,False,residential,Anchor Road,12.322,,,,,,,,,,,8929788,
36229209,36229214,0,True,primary,J Hart Clinton Drive,668.71,2,,,,,,yes,,,,"[417308384, 157811829, 30795221, 417308403]",
36229214,36229301,0,False,unclassified,Detroit Drive,12.709,,,,,,,,,,,50840681,
36229214,42874340,0,True,primary,J Hart Clinton Drive,569.31,,,,,,,,,,,157811827,
36229237,36229285,0,True,primary,East 3rd Avenue,94.336,,,,,,,yes,,,,23143793,
36229276,335633275,0,True,primary,East 3rd Avenue,126.499,,,,,,,,,,,"[157811825, 417301948]",
36229285,65375071,0,True,motorway_link,,231.938,1,,,,,,,,,,8923522,
36229285,65379108,0,True,primary,East 3rd Avenue,207.694,3,,,,,,,,,,"[23145635, 417301973]",
36229301,36229214,0,False,unclassified,Detroit Drive,12.709,,,,,,,,,,,50840681,
36229301,256324404,0,True,primary,J Hart Clinton Drive,672.173,2,,,,,,yes,,,,"[157811828, 23947340, 417308381, 417308398]",
36229301,299382339,0,False,unclassified,Detroit Drive,45.827,,,,,,,,,,,50840681,
42874340,42874347,0,False,unclassified,,11.516,,,,,,,,,,,157538733,
42874340,42874399,0,False,unclassified,,85.292,,,,,,,,,,,157538733,
42874340,252686082,0,True,primary,J Hart Clinton Drive,726.686,"['3', '4']",,,,,,yes,,,,"[417302048, 23947341, 23947344, 157811827, 417302015]",
42874347,42874340,0,False,unclassified,,11.516,,,,,,,,,,,157538733,
42874347,36229301,0,True,primary,J Hart Clinton Drive,568.311,,,,,,,,,,,417931004,
42874399,262257155,0,True,unclassified,,36.249,,,,,,,,,,roundabout,43676343,
42874399,42874340,0,False,unclassified,,85.292,,,,,,,,,,,157538733,
65347516,65347519,0,False,residential,Highland Avenue,185.247,,,,,,,,,,,8919777,
65347516,65485632,0,False,residential,East Santa Inez Avenue,108.441,,,,,,,,,,,8939256,
65347516,65440067,0,False,residential,East Santa Inez Avenue,66.135,,,,,,,,,,,8939256,
65347519,65347521,0,False,residential,Highland Avenue,210.823,,,,,,,,,,,8919777,
65347519,65347516,0,False,residential,Highland Avenue,185.247,,,,,,,,,,,8919777,
65347519,249971426,0,False,secondary,East Poplar Avenue,84.357,,,,,,,,,,,417329821,
65347519,65405508,0,False,secondary,East Poplar Avenue,86.624,,,,,,,,,,,417329821,
65347521,65347523,0,False,residential,Highland Avenue,114.172,,,,,,,,,,,8919777,
65347521,65347519,0,False,residential,Highland Avenue,210.823,,,,,,,,,,,8919777,
65347521,65432070,0,False,residential,East Bellevue Avenue,93.803,,,,,,,,,,,8929478,
65347521,65432068,0,False,residential,East Bellevue Avenue,85.811,,,,,,,,,,,8929478,
65347523,65347521,0,False,residential,Highland Avenue,114.172,,,,,,,,,,,8919777,
65347523,65429061,0,False,residential,Grand Boulevard,94.807,,,,,,,,,,,8941456,
65347523,65347525,0,False,residential,Highland Avenue,105.703,,,,,,,,,,,8919777,
65347523,65420087,0,False,residential,Grand Boulevard,211.19,,,,,,,,,,,8941456,
65347525,65347530,0,False,residential,Highland Avenue,141.798,,,,,,,,,,,8919777,
65347525,65347523,0,False,residential,Highland Avenue,105.703,,,,,,,,,,,8919777,
65347525,65420089,0,False,residential,Villa Terrace,212.049,,,,,,,,,,,8930209,
65347530,65347525,0,False,residential,Highland Avenue,141.798,,,,,,,,,,,8919777,
65347530,65436059,0,False,residential,State Street,112.277,,,,,,,,,,,8939753,
65347530,65429066,0,False,residential,State Street,103.498,,,,,,,,,,,8939753,
65347763,65429815,0,False,residential,West Poplar Avenue,33.931,,,,,,,,,,,30831238,
65347763,65429814,0,False,residential,West Poplar Avenue,122.933,,,,,,,,,,,30831238,
65347899,65347901,0,False,residential,Neptune Court,142.087,,,,,,,,,,,8919812,
65347899,65480460,0,False,residential,Shoal Drive,112.87,,,,,,,,,,,8936261,
65347899,65480446,0,False,residential,Shoal Drive,389.982,,,,,,,,,,,8936261,
65347901,65347903,0,False,residential,Neptune Court,24.683,,,,,,,,,,,8919812,
65347901,65347899,0,False,residential,Neptune Court,142.087,,,,,,,,,,,8919812,
65347901,65480302,0,False,residential,Armada Way,124.245,,,,,,,,,,,8936253,
65347903,65347901,0,False,residential,Neptune Court,24.683,,,,,,,,,,,8919812,
65348311,3954333722,0,False,secondary,Alameda de las Pulgas,52.057,,,,,,,,,,,573567519,
65348311,65422643,0,False,residential,Georgetown Avenue,306.334,,,,,,,,,,,8928366,
65348311,65469636,0,False,secondary,Alameda de las Pulgas,58.455,,,,,,,,,,,"[573567518, 573567519]",
65351705,65405530,0,False,secondary,East Poplar Avenue,65.781,,,,,,,,,,,40599289,
65351705,65465484,0,False,tertiary,North Amphlett Boulevard,179.768,,,,,,,,,,,8939475,
65351705,65504133,0,False,tertiary,North Amphlett Boulevard,207.262,,,,,,,,,,,8939475,
