u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
26374407,26374420,0,False,secondary,Benton Street,21.658,,,,,,,,,,,28617114,
26374407,282814553,0,False,residential,"['Railroad Avenue', 'Benton Street']",350.061,,,,,,,,,,,"[498863677, 28596205, 35110127]",
26374407,431721753,0,True,primary,El Camino Real,194.176,,,,30 mph,,,,,,,358444826,CA 82
26374415,1953986077,0,True,primary,El Camino Real,59.301,,,,40 mph,,,,,,,"[416143548, 256244332]",CA 82
26374416,431739752,0,False,residential,Madison Street,99.949,,,,,,,,,,,8934387,
26374416,282813023,0,True,primary,El Camino Real,114.789,"['3', '4']",,,40 mph,,,,,,,"[256244324, 416151830]",CA 82
26374420,26374407,0,False,secondary,Benton Street,21.658,,,,,,,,,,,28617114,
26374420,65434021,0,True,primary,El Camino Real,153.724,,,,30 mph,,,,,,,"[417053166, 358561687]",CA 82
26374420,65541107,0,False,secondary,Benton Street,121.534,,,,,,,,,,,"[417687987, 358561686]",
26506775,26506797,0,True,trunk,Central Expressway,710.01,"['5', '3', '4']",,,50 mph,,,,,,,"[377448096, 416216582, 395341616, 395340505, 395340538]",G6
26506793,65427483,0,True,trunk,Central Expressway,74.412,3,,,50 mph,,,,,,,28485292,G6
26506793,65427477,0,True,trunk_link,,66.882,,,,,,,,,,,30637716,
26506797,615967370,0,True,trunk_link,,44.39,,,,,,,,,,,48477173,
26506797,288058003,0,True,trunk,Central Expressway,33.557,5,,,50 mph,,,,,,,78252864,G6
26511937,65471417,0,True,trunk_link,,131.752,1,,,,,,,,,,38085046,
26511937,339279930,0,True,trunk,Central Expressway,78.84,5,,,50 mph,,,,,,,394185400,G6
32875800,667235922,0,True,trunk_link,,103.125,,,,,,,,,,,52496177,
32875800,32875801,0,True,trunk,Lawrence Expressway,241.188,4,,,50 mph,,,,,,,551641909,G2
32875801,667235918,0,True,trunk,Lawrence Expressway,104.665,"['5', '4']",,,50 mph,,,,,,,"[417046509, 551641909]",G2
32875811,262985892,0,True,primary,Stevens Creek Boulevard,104.361,5,,,40 mph,,,,,,,338200370,
32875813,65430965,0,False,unclassified,Cabot Avenue,13.368,,,,,,,,,,,8957736,
32875813,262982777,0,True,primary,Stevens Creek Boulevard,41.55,,,,40 mph,,,,,,,338200358,
32875815,281363924,0,True,trunk_link,,123.582,,,,,,,,,,,269867400,
32875815,247962497,0,True,primary,El Camino Real,111.217,"['5', '3']",,,35 mph,,,,,,,"[417044354, 355567996]",CA 82
32875818,32875815,0,True,trunk_link,,28.992,,,,,,,,,,,269867400,
32875818,3074155111,0,True,primary,El Camino Real,223.51,"['3', '4']",,,35 mph,,,,,,,"[417044336, 417044345, 355568005, 417044327]",CA 82
32875833,259042546,0,True,trunk,Lawrence Expressway,931.626,4,,,50 mph,,,yes,,,,"[25795587, 287416916, 25795588]",G2
32875833,667235923,0,True,trunk_link,,120.445,1,,,,,,,,,,"[518207601, 518207603]",
33106555,667714595,0,True,trunk_link,,124.331,1,,,,,,,,,,52558003,
33106555,667714607,0,True,trunk,Lawrence Expressway,83.855,6,,,50 mph,,,,,,,394172444,G2
33717296,312148169,0,True,motorway_link,,566.477,"['1', '2']",,,,,,yes,,,,"[23011034, 396136211, 26027229, 26027230]",
33717296,728171220,0,True,motorway,Southbay Freeway,1368.02,3,,,65 mph,,,yes,,,,"[26027236, 26027239, 479773099, 91887986, 91887987, 91887700, 91887704]",CA 237
33717306,65420279,0,True,secondary,Mission College Boulevard,20.029,,,,,,,,,,,416218965,
33717306,121128271,0,True,trunk,Montague Expressway,42.361,4,,,45 mph,,,,,,,395310469,G4
33717329,65593954,0,True,trunk_link,,124.307,1,,,,,,,,,,60721883,
33717329,121128222,0,True,trunk,Montague Expressway,79.44,4,,,45 mph,,,,,,,366789843,G4
33717345,33717352,0,True,trunk,San Tomas Expressway,99.822,6,,,45 mph,,,,,,,416147785,G4
33717345,206658148,0,True,trunk_link,,131.664,1,,,,,,,,,,52303491,
33717352,286891477,0,True,trunk,San Tomas Expressway,17.03,4,,,45 mph,,,,,,,28596084,G4
33717352,206658148,0,True,secondary,Monroe Street,54.44,2,,,35 mph,,,,,,,96093609,
33784156,4523734087,0,True,primary,Great America Parkway,191.539,,,,40 mph,,,yes,,,,"[456092808, 5046377, 514433300]",
33784157,80698939,0,True,motorway,Bayshore Freeway,584.871,4,,,65 mph,,,,,,,395354964,US 101
33784157,33784159,0,True,motorway_link,,411.533,"['1', '3']",,,,,,,,,,"[394170680, 417522292, 5046365]",
33784159,65403986,0,True,motorway_link,,182.158,,,,,,,,,,,13117723,
33784159,60434578,0,True,motorway_link,,86.338,2,,,,,,,,,,394170682,
33784160,289622482,0,True,primary,Bowers Avenue,139.125,,,,,,,,,,,"[417009784, 417009721, 28484967]",
33784162,447940705,0,True,trunk,Central Expressway,130.274,3,,,50 mph,,,,,,,28485292,G6
33784162,65470221,0,True,primary,Bowers Avenue,15.923,,,,40 mph,,,,,,,417009848,
33784164,65471414,0,False,secondary,Kifer Road,16.454,4,,,40 mph,,,,,,,417013136,
33784164,2768229673,0,True,secondary,Bowers Avenue,257.83,"['3', '2']",,,35 mph,,,,,,,"[417009844, 271892261]",
33784164,65550675,0,False,secondary,Kifer Road,259.135,"['5', '4']",,,40 mph,,,,,,,"[301602882, 417013141]",
35854875,282818508,0,True,trunk,San Tomas Expressway,414.216,"['5', '4']",,,45 mph,,,,,,,"[416147786, 28596084]",G4
35854895,35854898,0,True,trunk,San Tomas Expressway,16.036,4,,,45 mph,,,,,,,416147794,G4
35854895,4887414370,0,True,primary,El Camino Real,39.249,3,,,35 mph,,,,,,,416227608,CA 82
35854898,282813270,0,True,primary,El Camino Real,19.897,3,,,35 mph,,,,,,,416227589,CA 82
35854898,4378725567,0,True,trunk,San Tomas Expressway,58.372,4,,,45 mph,,,,,,,416147794,G4
35854937,760189950,0,True,trunk_link,,119.832,,,,,,,,,,,60725989,
35854937,760190067,0,True,trunk,San Tomas Expressway,84.626,4,,,45 mph,,,,,,,417069881,G4
35854950,519544687,0,True,trunk,San Tomas Expressway,69.247,4,,,45 mph,,,,,,,394384042,G4
35854950,760190016,0,True,trunk_link,,85.66,,,,,,,,,,,60725997,
35854980,35854982,0,True,trunk,San Tomas Expressway,62.202,3,,,45 mph,,,,,,,394382460,G4
35854980,65445656,0,True,primary,Saratoga Avenue,22.969,2,,,35 mph,,,,,,,394382462,
35854982,760189995,0,True,trunk,San Tomas Expressway,353.904,3,,,45 mph,,,,,,,394382460,G4
35854997,306531231,0,True,trunk,San Tomas Expressway,15.417,3,,,45 mph,,,,,,,394382457,G4
35854997,663152875,0,True,primary,Stevens Creek Boulevard,29.163,3,,,35 mph,,,,,,,394381764,
52140369,65437206,0,True,secondary,Lick Mill Boulevard,20.871,,,,,,,,,,,8930281,
60434555,65387435,0,True,motorway_link,,540.793,"['1', '3']",,,,,,,,,,"[8924393, 417524818, 394170678]",
60434555,289620912,0,True,motorway,Bayshore Freeway,825.466,4,,,65 mph,,,,,,,479773095,US 101
60434577,289622046,0,True,motorway_link,,13.287,2,,,,,,,,,,417011351,
60434577,33784160,0,True,primary,Bowers Avenue,118.479,,,,,,,,,,,456092810,
60434578,33784156,0,True,motorway_link,,16.892,2,,,,,,,,,,394170679,
60434578,65403986,0,True,primary,Great America Parkway,135.216,,,,40 mph,,,,,,,415830256,
60434603,60434670,0,True,tertiary,Mission College Boulevard,17.688,,,,,,,,,,,8072841,
60434603,416520220,0,True,unclassified,Mission College Boulevard,89.259,1,,,,,,,,,,25356234,
60434605,650001022,0,False,unclassified,Our Ladys Way,11.631,,,,,,,,,,,8944558,
60434605,650000958,0,True,tertiary,Mission College Boulevard,1113.287,,,,35 mph,,,,,,,"[416214020, 416218694, 50978759, 416218701, 416218705, 416214007, 416218713, 416214012]",
60434612,60434669,0,True,tertiary,Mission College Boulevard,17.583,,,,,,,,,,,416214010,
60434612,1980247266,0,True,tertiary,Mission College Boulevard,40.473,,,,,,,,,,,519871853,
60434614,60434683,0,True,primary,Great America Parkway,69.86,,,,40 mph,,,,,,,5046376,
60434614,65494788,0,True,tertiary,Mission College Boulevard,20.267,,,,,,,,,,,416212638,
60434661,60434557,0,True,motorway_link,,694.785,,,,,,,,,,,9904613,
60434661,33784156,0,True,primary,Great America Parkway,171.457,,,,40 mph,,,,,,,28484958,
60434669,60434603,0,True,tertiary,Mission College Boulevard,13.239,,,,,,,,,,,416212636,
