u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
90752388,90992924,0,False,residential,"['Remembrance Lane', 'Heirloom Lane']",324.249,,,,,,,,,,,"[10545234, 10529230]",
90752388,90840053,0,True,residential,Peony Drive,80.381,1,,,,,,,,,,10536199,
90752648,90752651,0,True,motorway,Robert T. Monagan Freeway,1087.405,3,,,"['65 mph', '70 mph']",,,,,,,"[47245622, 102386631]",I 205
90752651,90782693,0,True,motorway_link,,336.455,1,,,45 mph,,,,,,,10532148,
90752651,90752660,0,True,motorway,Robert T. Monagan Freeway,698.269,3,,,65 mph,,,yes,,,,"[47245634, 392511571, 392511572]",I 205
90752660,90752672,0,True,motorway,Robert T. Monagan Freeway,914.769,3,,,65 mph,,,yes,,,,"[425029446, 425029447, 47245623]",I 205
90752672,90768231,0,True,motorway_link,,525.337,1,,,,,,,,,,10530651,
90752707,90752713,0,True,motorway,Robert T. Monagan Freeway,906.388,3,,,65 mph,,,yes,,,,"[47245626, 47245627, 47245586]",I 205
90752707,90801187,0,True,motorway_link,,519.122,"['5', '3', '2', '4']",,,,,,,,,,"[392669391, 392669388, 392669389, 10533943]",
90752713,90752716,0,True,motorway,Robert T. Monagan Freeway,283.054,3,,,65 mph,,,,,,,47245586,I 205
90752716,90752722,0,True,motorway,Robert T. Monagan Freeway,609.986,3,,,65 mph,,,yes,,,,"[47245586, 47245590]",I 205
90752841,90782701,0,True,motorway_link,,357.11,1,,,,,,,,,,392511573,
90752841,90752833,0,True,motorway,Robert T. Monagan Freeway,686.027,3,,,65 mph,,,yes,,,,"[47245635, 425029444, 47245621]",I 205
90752861,90752841,0,True,motorway,Robert T. Monagan Freeway,958.514,3,,,65 mph,,,yes,,,,"[32605114, 425029444, 425029445]",I 205
90752909,90752904,0,True,motorway,Robert T. Monagan Freeway,934.714,3,,,65 mph,,,yes,,,,"[47245585, 47245629, 47245625]",I 205
90752909,90765725,0,True,motorway_link,,593.381,"['1', '2']",,,,,,,,,,"[10530404, 392669390]",
90752999,90919950,0,False,residential,Garden Court,36.043,,,,,,,,,,,10540666,
90752999,90890863,0,False,residential,"['Hoboken Drive', 'Garden Lane']",170.745,,,,,,,,,,,"[10540770, 10529275]",
90752999,91021004,0,False,residential,Bluegrass Lane,36.245,,,,,,,,,,,10547137,
90752999,90929085,0,False,residential,Bluegrass Lane,75.688,,,,,,,,,,,10547137,
90758341,90852001,0,False,residential,Chrisman Road,662.626,,,,,,,,,,,10536751,
90758341,90851993,0,False,residential,Chrisman Road,431.335,,,,,,,,,,,10536751,
90758341,4218962914,0,False,residential,,122.72,,,,,,,,,,,422178342,
90758399,90864669,0,True,secondary,East Grant Line Road,105.763,2,,,,,,,,,,118835862,J4
90758399,90758409,0,False,residential,,78.88,,,,,,,,,,,10529717,
90758409,90765800,0,False,residential,,41.587,,,,,,,,,,,10530410,
90758409,90758417,0,False,residential,,100.597,,,,,,,,,,,10529717,
90758409,90758399,0,False,residential,,78.88,,,,,,,,,,,10529717,
90758417,90758399,0,True,secondary,East Grant Line Road,77.63,2,,,,,,,,,,118835862,J4
90758417,90758409,0,False,residential,,100.597,,,,,,,,,,,10529717,
90758515,90758516,0,False,residential,,67.274,,,,,,,,,,,10529729,
90758516,90758515,0,False,residential,,67.274,,,,,,,,,,,10529729,
