u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
93996871,93996877,0,False,tertiary,West Cross Avenue,139.191,"['3', '2', '4']",,,,,,,,,,"[198960251, 198960246, 198952303]",
93996871,2091149895,0,False,secondary,North J Street,295.986,4,,,,,,,,,,"[484434608, 198960213]",
93996871,2090160503,0,False,secondary,North J Street,371.707,4,,,,,,,,,,198960213,
93996871,94557587,0,False,tertiary,East Cross Avenue,141.037,4,,,,,,,,,,199005755,
93996877,2090260583,0,False,residential,North I Street,143.308,,,,,,,,,,,198960212,
93996877,2093115958,0,False,residential,North I Street,293.21,,,,,,,,,,,198960212,
93996877,93996871,0,False,tertiary,West Cross Avenue,139.191,"['3', '2', '4']",,,,,,,,,,"[198960251, 198960246, 198952303]",
93996877,93996879,0,False,tertiary,West Cross Avenue,121.204,2,,,,,,,,,,199300842,
93996879,2090260567,0,False,residential,North H Street,142.57,,,,,,,,,,,198948601,
93996879,2093115942,0,False,residential,North H Street,293.365,,,,,,,,,,,198948601,
93996879,93996881,0,False,tertiary,West Cross Avenue,121.5,2,,,,,,,,,,199300842,
93996879,93996877,0,False,tertiary,West Cross Avenue,121.204,2,,,,,,,,,,199300842,
93996881,2090260545,0,False,residential,North G Street,142.562,,,,,,,,,,,198960211,
93996881,2093115928,0,False,residential,North G Street,293.17,,,,,,,,,,,198960211,
93996881,93996883,0,False,tertiary,West Cross Avenue,121.003,2,,,,,,,,,,199300842,
93996881,93996879,0,False,tertiary,West Cross Avenue,121.5,2,,,,,,,,,,199300842,
93996883,2090260542,0,False,residential,North F Street,142.971,,,,,,,,,,,198960210,
93996883,2093115917,0,False,residential,North F Street,292.847,,,,,,,,,,,198960210,
93996883,93996885,0,False,tertiary,West Cross Avenue,122.7,2,,,,,,,,,,199300842,
93996883,93996881,0,False,tertiary,West Cross Avenue,121.003,2,,,,,,,,,,199300842,
93996885,2093116075,0,False,tertiary,North E Street,147.039,2,,,,,,,,,,198960209,
93996885,2090260529,0,False,tertiary,North E Street,142.746,2,,,,,,,,,,198960209,
93996885,93996887,0,False,tertiary,West Cross Avenue,120.954,2,,,,,,,,,,199300842,
93996885,93996883,0,False,tertiary,West Cross Avenue,122.7,2,,,,,,,,,,199300842,
93996887,2093115984,0,False,residential,North D Street,146.526,,,,,,,,,,,199300835,
93996887,93996891,0,False,tertiary,West Cross Avenue,182.619,2,,,,,,,,,,199300842,
93996887,93996885,0,False,tertiary,West Cross Avenue,120.954,2,,,,,,,,,,199300842,
93996891,2093115846,0,False,residential,North B Street,244.35,,,,,,,,,,,198960207,
93996891,2090260458,0,False,residential,North B Street,53.014,,,,,,,,,,,198960207,
93996891,93996894,0,False,tertiary,West Cross Avenue,350.807,2,,,,,,,,,,199300842,
93996891,93996887,0,False,tertiary,West Cross Avenue,182.619,2,,,,,,,,,,199300842,
93996894,2093115789,0,False,residential,North Sacramento Street,217.615,,,,,,,,,,,198948605,
93996894,2090260391,0,False,residential,North Sacramento Street,55.386,,,,,,,,,,,198948605,
93996894,93996896,0,False,tertiary,West Cross Avenue,366.544,4,,,,,,,,,,"[199300841, 198960244]",
93996894,93996891,0,False,tertiary,West Cross Avenue,350.807,2,,,,,,,,,,199300842,
93996896,2090196226,0,False,tertiary,West Cross Avenue,475.005,"['3', '2']",,,,,,,,,,"[198960249, 198952301]",
93996896,93996894,0,False,tertiary,West Cross Avenue,366.544,4,,,,,,,,,,"[199300841, 198960244]",
93996896,2090196249,0,False,tertiary,North West Street,202.392,2,,,,,,,,,,200251835,
93996896,2093115934,0,False,tertiary,North West Street,112.855,2,,,,,,,,,,200251838,
93996916,2089884420,0,True,primary,East Prosperity Avenue,191.542,2,,,,,,,,,,198918221,
93996916,2090793302,0,False,residential,North Lincoln Street,142.498,,,,,,,,,,,199017977,
93998986,448659306,0,False,secondary,East Rankin Road,34.823,2,,,,,,,,,,200173917,
93998986,2101698011,0,True,motorway_link,,166.322,1,,,,,,,,,,200173927,
94010231,508030169,0,True,motorway,Golden State Highway,975.104,2,,,70 mph,,,,,,,196877294,CA 99
94010237,94010231,0,True,motorway,Golden State Highway,309.168,2,,,70 mph,,,,,,,196877294,CA 99
94010237,504887359,0,True,motorway_link,,187.993,1,,,,,,,,,,199049636,
94010241,504887414,0,False,trunk,,134.87,2,,,,,,,,,,10679071,
94010241,504887359,0,False,motorway_link,,23.141,2,,,,,,,,,,199049641,
94010241,2094829054,0,False,residential,East Sierra Avenue,88.768,,,,,,,,,,,199496665,
94030123,2063692013,0,False,trunk,,13.26,2,,,,,,,,,,10679071,
94030123,2063691997,0,True,trunk,East Tulare Avenue,134.262,2,,,,,,yes,,,,"[195997474, 195997476, 195997477]",CA 137
94030123,2090988371,0,False,residential,North Dayton Street,246.286,,,,,,,,,,,199045427,
