u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
92655253,92655257,0,False,residential,Montara Drive,75.826,,,,,,,,,,,10598591,
92655257,92680855,0,False,residential,Tea Rose Street,76.375,,,,,,,,,,,10601240,
92655257,92671590,0,False,residential,Tea Rose Street,105.588,,,,,,,,,,,10601240,
92655257,92655272,0,False,residential,Montara Drive,167.938,,,,,,,,,,,10598591,
92655257,92655253,0,False,residential,Montara Drive,75.826,,,,,,,,,,,10598591,
92655272,92655257,0,False,residential,Montara Drive,167.938,,,,,,,,,,,10598591,
92655272,92759467,0,True,residential,Paseo del Sol,142.416,,,,,,,,,,,10606757,
92655484,92655485,0,False,residential,Wiley Court,168.118,,,,,,,,,,,10598626,
92655484,92698335,0,False,residential,Drew Avenue,81.666,,,,,,,,,,,10602554,
92655484,92682086,0,False,residential,Drew Avenue,84.575,,,,,,,,,,,10602554,
92655485,92655484,0,False,residential,Wiley Court,168.118,,,,,,,,,,,10598626,
92655488,92701003,0,False,residential,Pedras Road,131.348,,,,,,,,,,,10602734,
92655488,92717218,0,False,residential,"['Garden Lane', 'Garden Court']",225.637,,,,,,,,,,,"[10603772, 10598630]",
92655488,92700999,0,False,residential,Pedras Road,66.868,,,,,,,,,,,10602734,
92655706,92656088,0,False,tertiary,Fulkerth Road,117.407,,,,,,,,,,,10604843,
92655706,4527745406,0,False,tertiary,Fulkerth Road,256.339,,,,,,,,,,,10604843,
92655706,92655709,0,True,motorway_link,,455.073,,,,,,,,,,,301862352,
92655709,92657936,0,True,motorway,,813.33,3,,,65 mph,,,,,,,48084906,CA 99
92655712,92655714,0,False,residential,,56.389,,,,,,,,,,,10598652,
92655712,92778720,0,False,residential,Allen Way,98.561,,,,,,,,,,,10608663,
92655712,92788225,0,False,residential,"['Lee Street', 'Allen Way']",307.756,,,,,,,,,,,"[519554774, 10608663]",
92655714,92655716,0,False,residential,,11.998,,,,,,,,,,,10598652,
92655714,92655712,0,False,residential,,56.389,,,,,,,,,,,10598652,
92655714,92761899,0,False,residential,Sue Street,84.346,,,,,,,,,,,10607015,
92655714,92761896,0,False,residential,Sue Street,113.026,,,,,,,,,,,10607015,
92655716,92655714,0,False,residential,,11.998,,,,,,,,,,,10598652,
92655716,5065903221,0,False,residential,20th Century Boulevard,14.043,,,,,,,,,,,10607100,
92655716,92738208,0,False,residential,20th Century Boulevard,120.76,,,,,,,,,,,10607100,
92655962,3805845889,0,False,unclassified,,201.396,,,,,,,,,,,10598670,
92655964,3805845889,0,False,unclassified,,112.186,,,,,,,,,,,10598670,
92655964,92777138,0,False,residential,West Glenwood Avenue,1259.912,,,,,,,,,,,10608546,
92655964,373127108,0,False,residential,West Glenwood Avenue,205.977,,,,,,,,,,,10608546,
92656044,92656023,0,True,motorway_link,,452.279,,,,,,,,,,,46978437,
92656047,92656044,0,True,motorway,,960.426,3,,,65 mph,,,yes,,,,"[153135315, 46978997, 153135323]",CA 99
92656063,92657830,0,True,secondary,West Monte Vista Avenue,193.03,2,,,,,,,,,,428392046,
92656063,92656047,0,True,motorway_link,,360.564,,,,,,,,,,,301859929,
92656080,4274980389,0,True,motorway_link,,507.417,,,,,,,,,,,46978995,
92656080,92656047,0,True,motorway,,863.168,3,,,65 mph,,,yes,,,,"[46978997, 46978998, 48084975]",CA 99
92656086,92656080,0,True,motorway,,820.552,3,,,65 mph,,,,,,,"[48084985, 48084975]",CA 99
92656088,92655706,0,False,tertiary,Fulkerth Road,117.407,,,,,,,,,,,10604843,
92656088,92666715,0,False,tertiary,Fulkerth Road,184.445,,,,,,,,,,,10604843,
92656088,92656086,0,True,motorway_link,,429.486,,,,,,,,,,,301859932,
92656560,92696392,0,False,residential,Wyndfair Drive,152.784,,,,,,,,,,,10608369,
92656611,92656088,0,True,motorway_link,,473.55,,,,,,,,,,,10598694,
