u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
667825,490935780,0,True,motorway,Foothill Freeway,1102.499,4,22.7,,65 mph,,,yes,,,,"[42788924, 42788925, 123592911]",CA 210
667825,667830,0,True,motorway_link,,566.879,"['3', '2']",,,,,,,,,,"[475146404, 475044973, 475044975]",
667828,667830,0,False,secondary,Campus Avenue,131.532,,,,,,,,,,,142775109,
667828,54524070,0,False,tertiary,"['Campus Avenue', 'East 20th Street']",1197.649,,,,35 mph,,,,,,,"[40497252, 158300377, 41666753]",
667828,299207716,0,True,motorway_link,,483.158,,,,,,,,,,,445544425,
667830,490935780,0,True,motorway_link,,541.744,2,,,,,,,,,,"[40497250, 475146403]",
667830,667828,0,False,secondary,Campus Avenue,131.532,,,,,,,,,,,142775109,
667830,667833,0,True,secondary,Campus Avenue,227.218,4,,,,,,,,,,"[475044968, 142775108]",
667833,4688619541,0,False,secondary,19th Street,13.506,,,,35 mph,,,,,,,475044953,
667833,54484919,0,True,secondary,Campus Avenue,495.511,3,,,,,,,,,,"[146688857, 146688858, 475044967]",
54162719,54532487,0,False,residential,North Palm Avenue,68.407,,,,,,,,,,,7490594,
54162719,54162731,0,False,residential,,324.98,,,,,,,,,,,7010708,
54162719,54465295,0,False,residential,,223.752,,,,,,,,,,,7180964,
54162731,54162719,0,False,residential,,324.98,,,,,,,,,,,7010708,
54167429,54397810,0,False,residential,West 11th Street,44.684,,,,,,,,,,,7510810,
54167429,54691637,0,False,residential,West 11th Street,65.189,,,,,,,,,,,7510810,
54167429,54167457,0,False,residential,,301.087,,,,,,,,,,,"[7013074, 7013060]",
54167457,54167459,0,False,residential,,146.258,,,,,,,,,,,7013074,
54167457,54389904,0,False,residential,,197.218,,,,,,,,,,,7136689,
54167457,54167429,0,False,residential,,301.087,,,,,,,,,,,"[7013074, 7013060]",
54167459,54167457,0,False,residential,,146.258,,,,,,,,,,,7013074,
54167459,54506662,0,False,primary,Benson Avenue,204.722,5,,,,,,,,,,"[474423020, 474423021]",
54167459,4271437100,0,False,primary,Benson Avenue,195.67,5,,,,,,,,,,"[474423019, 474423020]",
54307498,54859578,0,True,primary,Foothill Boulevard,235.621,"['2', '4']",,,,,,,,,,"[483318747, 483318743]",CA 66
54307498,54859583,0,False,primary,Foothill Boulevard,212.789,4,,,,,,,,,,483318749,CA 66
54330936,54330941,0,False,residential,West Arrow Highway,97.878,,,,,,,,,,,7431567,
54330936,54330937,0,False,residential,,83.187,,,,,,,,,,,7102325,
54330936,54864399,0,False,residential,West Arrow Highway,267.65,,,,,,,,,,,7431567,
54330937,54330939,0,False,residential,,97.776,,,,,,,,,,,7102336,
54330937,54330936,0,False,residential,,83.187,,,,,,,,,,,7102325,
54330937,54330946,0,False,residential,,396.797,,,,,,,,,,,7102336,
54330939,54330946,0,False,residential,,53.718,,,,,,,,,,,7102336,
54330939,54330937,0,False,residential,,97.776,,,,,,,,,,,7102336,
54330939,54330941,0,False,residential,,82.096,,,,,,,,,,,7102328,
54330941,54330936,0,False,residential,West Arrow Highway,97.878,,,,,,,,,,,7431567,
54330941,54330944,0,False,residential,West Arrow Highway,54.114,,,,,,,,,,,7431567,
54330941,54330939,0,False,residential,,82.096,,,,,,,,,,,7102328,
54330944,54330941,0,False,residential,West Arrow Highway,54.114,,,,,,,,,,,7431567,
54330944,54330946,0,False,residential,,82.352,,,,,,,,,,,7102336,
54330944,54373921,0,False,residential,West Arrow Highway,63.719,,,,,,,,,,,7431567,
54330946,54330939,0,False,residential,,53.718,,,,,,,,,,,7102336,
54330946,54330937,0,False,residential,,396.797,,,,,,,,,,,7102336,
54330946,54330944,0,False,residential,,82.352,,,,,,,,,,,7102336,
54338541,54338544,0,False,residential,,14.618,,,,,,,,,,,7107662,
54338541,54506666,0,False,primary,Benson Avenue,178.606,5,,,,,,,,,,"[474423024, 474423023]",
54338541,54506662,0,False,primary,Benson Avenue,221.77,5,,,,,,,,,,"[474423022, 474423023]",
54338544,54338545,0,False,residential,,46.126,,,,,,,,,,,7107662,
54338544,54338541,0,False,residential,,14.618,,,,,,,,,,,7107662,
54338544,54338556,0,False,residential,,202.316,,,,,,,,,,,7107662,
54338545,54338547,0,False,residential,,36.808,,,,,,,,,,,7107662,
54338545,54338544,0,False,residential,,46.126,,,,,,,,,,,7107662,
54338545,54338556,0,False,residential,,156.871,,,,,,,,,,,7136684,
54338547,54338545,0,False,residential,,36.808,,,,,,,,,,,7107662,
54338547,54338554,0,False,residential,,154.231,,,,,,,,,,,7120328,
54338547,54338554,1,False,residential,,249.083,,,,,,,,,,,7107662,
54338554,54338556,0,False,residential,,34.075,,,,,,,,,,,7107662,
54338554,54338547,0,False,residential,,154.231,,,,,,,,,,,7120328,
54338554,54338547,1,False,residential,,249.083,,,,,,,,,,,7107662,
54338554,54361592,0,False,residential,,26.276,,,,,,,,,,,7120328,
54338556,54338554,0,False,residential,,34.075,,,,,,,,,,,7107662,
54338556,54338545,0,False,residential,,156.871,,,,,,,,,,,7136684,
54338556,54338544,0,False,residential,,202.316,,,,,,,,,,,7107662,
54347235,54347236,0,False,residential,,50.273,,,,,,,,,,,7112649,
54347235,54692165,0,False,residential,13th Street,109.624,,,,,,,,,,,7335135,
54347235,54692167,0,False,residential,13th Street,64.888,,,,,,,,,,,7335135,
54347236,54347235,0,False,residential,,50.273,,,,,,,,,,,7112649,
54347236,54498738,0,False,residential,Mountain Gate Road,47.405,,,,,,,,,,,7202702,
54347236,54498734,0,False,residential,Mountain Gate Road,325.915,,,,,,,,,,,7202702,
54352321,54352322,0,False,residential,,122.224,,,,,,,,,,,7115355,
54352321,54891065,0,False,residential,West 11th Street,50.512,,,,,,,,,,,7510810,
54352321,54546902,0,False,residential,West 11th Street,39.04,,,,,,,,,,,7510810,
54352322,54352321,0,False,residential,,122.224,,,,,,,,,,,7115355,
54352337,54546902,0,False,residential,West 11th Street,32.907,,,,,,,,,,,7510810,
54352337,54942164,0,False,residential,West 11th Street,136.537,,,,,,,,,,,7510810,
54352337,54352343,0,False,residential,,89.55,,,,,,,,,,,7115366,
54352343,54352337,0,False,residential,,89.55,,,,,,,,,,,7115366,
54352344,54352347,0,False,residential,,80.84,,,,,,,,,,,7115372,
54352344,54859578,0,False,primary,North Mountain Avenue,288.836,"['7', '8']",,,45 mph,,,,,,,"[474424960, 474424962, 474424963, 474424965, 474424966]",
54352344,54942164,0,False,primary,North Mountain Avenue,121.09,7,,,45 mph,,,,,,,"[474424960, 474424959]",
54352347,54352344,0,False,residential,,80.84,,,,,,,,,,,7115372,
54361592,54338554,0,False,residential,,26.276,,,,,,,,,,,7120328,
54361592,54549122,0,False,residential,Corte Verde,44.088,,,,,,,,,,,7235390,
54361592,54506666,0,False,residential,West Arrow Highway,101.662,,,,,,,,,,,7431567,
54361592,54469600,0,False,residential,West Arrow Highway,117.82,,,,,,,,,,,7431567,
54363896,54363898,0,False,residential,,101.28,,,,,,,,,,,7121742,
54363896,54546902,0,False,residential,Wedgewood Avenue,50.093,,,,,,,,,,,7234057,
54363896,54546900,0,False,residential,Wedgewood Avenue,52.851,,,,,,,,,,,7234057,
54363898,54363896,0,False,residential,,101.28,,,,,,,,,,,7121742,
54366609,2976918003,0,False,residential,West 11th Street,51.166,,,,,,,,,,,7510810,
54366609,54878754,0,False,residential,West 11th Street,52.558,,,,,,,,,,,7510810,
54366609,2976918004,0,False,residential,,248.239,,,,,,,,,,,"[7123374, 7130383]",
54373921,54330944,0,False,residential,West Arrow Highway,63.719,,,,,,,,,,,7431567,
54373921,54864395,0,False,residential,West Arrow Highway,382.026,,,,,,,,,,,7431567,
54373921,54563430,0,False,residential,North Maple Way,93.25,,,,,,,,,,,7457474,
54374449,54942164,0,False,primary,North Mountain Avenue,159.316,,,,45 mph,,,,,,,255963898,
