u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
62184016,62184018,0,False,residential,Maywood Court,51.139,,,,,,,,,,,8697212,
62184016,62464454,0,False,residential,Livingston Avenue,87.203,,,,,,,,,,,60012759,
62184016,62464452,0,False,residential,Livingston Avenue,75.053,,,,,,,,,,,60012759,
62184018,62184016,0,False,residential,Maywood Court,51.139,,,,,,,,,,,8697212,
62184152,62458980,0,False,residential,Rocky Hill Road,76.022,,,,,,,,,,,8719605,
62184152,62389862,0,False,residential,Rocky Hill Road,126.541,,,,,,,,,,,8719605,
62184152,62184157,0,False,residential,Highland Avenue,83.905,,,,,,,,,,,8697225,
62184157,62184159,0,False,residential,Highland Avenue,80.769,,,,,,,,,,,8697225,
62184157,62443386,0,False,residential,San Carlos Court,46.731,,,,,,,,,,,8718235,
62184157,62184152,0,False,residential,Highland Avenue,83.905,,,,,,,,,,,8697225,
62184159,62184161,0,False,residential,Highland Avenue,90.264,,,,,,,,,,,8697225,
62184159,62184157,0,False,residential,Highland Avenue,80.769,,,,,,,,,,,8697225,
62184159,62495274,0,False,residential,San Luis Court,51.058,,,,,,,,,,,8723068,
62184161,62184159,0,False,residential,Highland Avenue,90.264,,,,,,,,,,,8697225,
62184161,62430686,0,False,residential,San Juan Court,54.047,,,,,,,,,,,8717175,
62184161,62184164,0,False,residential,Highland Avenue,75.542,,,,,,,,,,,8697225,
62184164,62389878,0,False,tertiary,Markham Avenue,79.235,,,,,,,,,,,8713597,
62184164,62184161,0,False,residential,Highland Avenue,75.542,,,,,,,,,,,8697225,
62184164,62389867,0,False,tertiary,Markham Avenue,167.632,,,,,,,,,,,8713597,
62184195,62184200,0,False,residential,Blackwood Court,62.291,,,,,,,,,,,8697232,
62184195,62426819,0,False,residential,Bald Eagle Drive,260.727,,,,,,,,,,,8716815,
62184195,62426784,0,False,residential,Bald Eagle Drive,167.111,,,,,,,,,,,8716815,
62184200,62184195,0,False,residential,Blackwood Court,62.291,,,,,,,,,,,8697232,
62184283,62184288,0,False,residential,Blossom Oak Court,87.476,,,,,,,,,,,8697240,
62184283,62386878,0,False,tertiary,Woodcrest Drive,77.672,,,,,,,,,,,8713489,
62184283,62388252,0,False,tertiary,Woodcrest Drive,80.108,,,,,,,,,,,8713489,
62184283,62395819,0,False,residential,Garnet Court,55.309,,,,,,,,,,,8714081,
62184288,62184283,0,False,residential,Blossom Oak Court,87.476,,,,,,,,,,,8697240,
62184288,62376153,0,False,residential,,95.132,,,,,,,,,,,8712401,
62184288,62388230,0,False,residential,Granite Way,216.767,,,,,,,,,,,8717163,
62184309,62479991,0,False,residential,Pippin Court,48.679,,,,,,,,,,,8697243,
62184639,373998955,0,False,residential,,234.923,,,,,,,,,,,8697264,
62187291,476649601,0,True,motorway_link,,15.272,2,,,,,,,,,,8697442,
62187291,62325643,0,True,secondary,Leisure Town Road,77.928,,,,,,,,,,,39760784,
62187659,62461142,0,False,residential,Somerville Circle,36.25,,,,,,,,,,,8719785,
62191991,62247683,0,True,motorway,,1725.371,2,,,70 mph,,,,,,,47387106,I 505
62192011,62192075,0,True,motorway_link,,640.956,1,,,,,,yes,,,,"[47387111, 47387117, 47387118, 47387120, 8697686]",
62192011,62258048,0,True,motorway,,964.526,"['3', '4']",,,65 mph,,,yes,,,,"[47387107, 441098925, 441098926, 174177198, 123741326, 47387119, 123741394]",I 80
62192075,1357372920,0,True,motorway,,1381.451,2,,,70 mph,,,,,,,47387106,I 505
62192078,62486998,0,True,motorway,,757.868,4,,,65 mph,,,,,,,262970698,I 80
62192078,62192082,0,True,motorway_link,,272.593,2,,,,,,,,,,564760967,
62192082,62192085,0,True,motorway_link,,252.688,2,,,,,,,,,,8697689,
62192082,62379970,0,True,motorway_link,,188.679,"['1', '2']",,,,,,,,,,"[441098946, 8712767]",
62192085,62192075,0,True,motorway_link,,727.977,2,,,,,,yes,,,,"[421823008, 160192007, 160192009, 47387116, 8697689]",
62198071,62198083,0,True,tertiary,Peabody Road,398.053,,,,,,,,,,,8698038,
62198071,62433801,0,False,tertiary,Peabody Road,197.702,,,,,,,,,,,276447001,
62198083,62395906,0,False,residential,Beelard Drive,12.148,,,,,,,,,,,8714098,
62198083,62198090,0,True,tertiary,Peabody Road,84.304,,,,,,,yes,,,,"[333150446, 8698038, 333150447]",
62198083,62395903,0,False,residential,Beelard Drive,54.005,,,,,,,,,,,8714098,
62198090,62395906,0,True,tertiary,Peabody Road,85.096,,,,,,,yes,,,,"[333150448, 333150449, 276446999]",
62198090,62237442,0,False,tertiary,Peabody Road,46.459,,,,,,,,,,,276447000,
62198424,62198426,0,False,residential,,28.69,,,,,,,,,,,8698066,
62198424,62287791,0,False,residential,,25.244,,,,,,,,,,,8704504,
62198424,62249842,0,False,residential,,55.123,,,,,,,,,,,8704504,
62198426,62198424,0,False,residential,,28.69,,,,,,,,,,,8698066,
62199113,470163457,0,True,secondary,,10.844,,,,,,,,,,,47387112,
62199113,470163440,0,True,tertiary,East Monte Vista Avenue,659.564,,,,,,,,,,,39241693,
62199131,62199132,0,False,residential,Helen Power Dr.,17.488,,,,,,,,,,,8698118,
62199131,62461605,0,True,tertiary,Nut Tree Parkway,406.626,,,,,,,,,,,8719832,
62199132,62199131,0,False,residential,Helen Power Dr.,17.488,,,,,,,,,,,8698118,
62199132,62222951,0,False,residential,Helen Power Drive,529.069,,,,,,,,,,,8722879,
62199132,62447709,0,True,tertiary,Nut Tree Parkway,567.848,,,,,,,,,,,53448659,
62200043,2482603342,0,False,secondary,East Monte Vista Avenue,226.542,,,,,,,,,,,8726623,
62200043,470163402,0,True,tertiary,East Monte Vista Avenue,157.921,,,,,,,,,,,39241693,
62204250,62465961,0,False,residential,Alamo Lane,128.555,,,,,,,,,,,8726113,
62204250,62204256,0,False,residential,,420.215,,,,,,,,,,,8698362,
62204250,62362321,0,False,tertiary,California Drive,208.372,,,,,,,,,,,8715263,
62204250,62267085,0,False,tertiary,California Drive,296.579,,,,,,,,,,,8715263,
62204256,62204266,0,False,residential,,170.281,,,,,,,,,,,8698362,
62204256,62204250,0,False,residential,,420.215,,,,,,,,,,,8698362,
62204256,62352815,0,False,residential,,2256.737,,,,,,,,,,,8709202,
62204266,62204256,0,False,residential,,170.281,,,,,,,,,,,8698362,
62204376,682402935,0,False,residential,,12.778,,,,,,,,,,,8698374,
62204378,62299782,0,False,residential,,46.939,,,,,,,,,,,8705331,
62204378,62204381,0,False,residential,,99.436,,,,,,,,,,,54122656,
62204378,682402935,0,False,residential,,53.093,,,,,,,,,,,54122656,
62204381,62433756,0,False,tertiary,Peabody Road,151.672,,,,,,,,,,,53448534,
62204381,62204378,0,False,residential,,99.436,,,,,,,,,,,54122656,
62204464,62204466,0,False,residential,,93.431,,,,,,,,,,,8698380,
62204464,62426335,0,False,tertiary,Peabody Road,151.337,,,,,,,,,,,53448534,
62204464,62433756,0,False,tertiary,Peabody Road,162.79,,,,,,,,,,,53448534,
62204466,62204468,0,False,residential,,73.625,,,,,,,,,,,8698380,
62204466,62204464,0,False,residential,,93.431,,,,,,,,,,,8698380,
62204466,62279161,0,False,residential,,106.664,,,,,,,,,,,8705889,
62204468,62204470,0,False,residential,,38.139,,,,,,,,,,,8698380,
62204468,62204466,0,False,residential,,73.625,,,,,,,,,,,8698380,
62204468,62279152,0,False,residential,,55.378,,,,,,,,,,,8703895,
62204470,62204468,0,False,residential,,38.139,,,,,,,,,,,8698380,
62205749,685075560,0,False,residential,,59.623,,,,,,,,,,,8703427,
62206595,62206600,0,False,residential,,24.54,,,,,,,,,,,8698508,
62206595,62323864,0,False,residential,,1706.99,,,,,,,,,,,"[332491848, 8698508]",
62206595,62367726,0,False,residential,,262.353,,,,,,,,,,,8711619,
62206600,62206595,0,False,residential,,24.54,,,,,,,,,,,8698508,
62206600,62215677,0,False,residential,,155.516,,,,,,,,,,,8699074,
62206600,62215594,0,False,residential,Lagoon Valley Road,944.457,,,,,,,,,,,8715859,
62206600,62414847,0,False,residential,Lagoon Valley Road,1048.189,,,,,,,,,,,179253223,
62206603,62206606,0,False,residential,,33.072,,,,,,,,,,,8698509,
62206606,62206603,0,False,residential,,33.072,,,,,,,,,,,8698509,
62206606,62396027,0,False,residential,Beelard Drive,56.024,,,,,,,,,,,60615358,
62206606,62459773,0,False,secondary,Elmira Road,141.547,,,,,,,yes,,,,"[53448588, 53448623]",
