u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
48857534,48857539,0,False,residential,Santa Barbara Way,159.463,,,,,,,,,,,5938364,
48857534,49134968,0,False,secondary,West Vista Way,293.737,,,,,,,,,,,436317940,
48857534,49081125,0,False,secondary,West Vista Way,201.811,,,,,,,,,,,436317940,
48857539,48857534,0,False,residential,Santa Barbara Way,159.463,,,,,,,,,,,5938364,
48858774,48858857,0,False,residential,Camino Corto,10.133,,,,,,,,,,,6002151,
48858774,48858792,0,False,residential,,442.499,,,,,,,,,,,5938434,
48858774,3469004150,0,False,residential,Camino Corto,53.372,,,,,,,,,,,6002151,
48858792,48858801,0,False,residential,,128.198,,,,,,,,,,,5938434,
48858792,48858774,0,False,residential,,442.499,,,,,,,,,,,5938434,
48858792,48858854,0,False,residential,Camino Corto,87.652,,,,,,,,,,,"[5938440, 6002151]",
48858792,48877463,0,False,residential,Camino Corto,161.145,,,,,,,,,,,6002151,
48858801,48858792,0,False,residential,,128.198,,,,,,,,,,,5938434,
48858854,48858857,0,False,residential,,183.991,,,,,,,,,,,5938440,
48858854,48858792,0,False,residential,Camino Corto,87.652,,,,,,,,,,,"[5938440, 6002151]",
48858854,48858882,0,False,residential,,177.075,,,,,,,,,,,5938443,
48858857,48877281,0,False,residential,Camino Corto,15.488,,,,,,,,,,,6002151,
48858857,48858774,0,False,residential,Camino Corto,10.133,,,,,,,,,,,6002151,
48858857,48858854,0,False,residential,,183.991,,,,,,,,,,,5938440,
48858882,48877281,0,False,residential,Camino Corto,7.939,,,,,,,,,,,6002151,
48858882,48858854,0,False,residential,,177.075,,,,,,,,,,,5938443,
48858882,48877463,0,False,residential,Camino Corto,23.288,,,,,,,,,,,6002151,
48859356,49680471,0,False,residential,Corporate View,267.585,,,,,,,,,,,6047671,
48859356,48859362,0,False,tertiary,Pointsettia Avenue,281.865,,,,,,,,,,,32686828,
48859356,49286284,0,False,tertiary,Poinsettia Avenue,241.162,,,,,,,,,,,225811799,
48859362,48859356,0,False,tertiary,Pointsettia Avenue,281.865,,,,,,,,,,,32686828,
48859362,385053967,0,False,secondary,Business Park Drive,326.378,"['5', '6']",,,,,,,,,,"[436277103, 436277104, 436277105, 436277107, 436277109]",
48859362,49482171,0,False,secondary,Business Park Drive,197.602,5,,,,,,,,,,"[436277106, 436277110]",
48859900,1343983734,0,False,secondary,University Drive,30.131,,,,,,,,,,,436308016,
48862176,3380458474,0,False,residential,Hilo Drive,428.294,,,,,,,,,,,5957874,
48863091,49447712,0,False,residential,Taylor Street,17.854,,,,,,,,,,,6001801,
48863091,48876607,0,False,residential,Taylor Street,99.808,,,,,,,,,,,6001801,
48868239,49499915,0,False,residential,Brooktree Lane,37.455,,,,,,,,,,,6008083,
48868239,48868242,0,False,residential,,41.643,,,,,,,,,,,5939203,
48868239,49499921,0,False,residential,Brooktree Lane,55.111,,,,,,,,,,,6008083,
48868242,48868239,0,False,residential,,41.643,,,,,,,,,,,5939203,
48868242,49553147,0,False,residential,Lantana Way,108.798,,,,,,,,,,,6016442,
48868242,49499915,0,False,residential,Lantana Way,29.334,,,,,,,,,,,6016442,
48870182,48870183,0,False,residential,,29.252,,,,,,,,,,,5939313,
48870182,48870308,0,False,residential,,18.515,,,,,,,,,,,5939319,
48870182,48870310,0,False,residential,,133.175,,,,,,,,,,,5939319,
48870182,48962966,0,False,residential,Oak Street,81.628,,,,,,,,,,,6046735,
48870183,48870184,0,False,residential,,30.615,,,,,,,,,,,5939313,
