u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
32914648,3840704428,0,True,motorway_link,,277.247,,,,,,,,,,,31538245,
32914648,32914655,0,True,motorway,Donald D Doyle Highway,1064.565,5,,,65 mph,,,yes,,,,"[31538208, 123867402, 31793613, 31793615, 31538204]",I 680
32914655,1215627823,0,True,motorway,Senator Daniel E Boatwright Highway,30.928,5,,,65 mph,,,,,,,123867404,I 680
32914655,298637832,0,True,motorway_link,,505.601,"['1', '2']",,,,,,yes,,,,"[31538468, 31538469, 183934283, 392844110, 105562863, 105562864, 392844113]",
32915492,57794775,0,True,motorway_link,,372.857,1,,,,,,,,,,7853917,
32915492,32915497,0,True,motorway,Senator Daniel E Boatwright Highway,1007.228,5,,,65 mph,,,,,,,123867392,I 680
32915497,32915498,0,True,motorway,Senator Daniel E Boatwright Highway,79.343,5,,,65 mph,,,,,,,123867392,I 680
32915498,1935652968,0,True,motorway_link,,122.457,2,,,,,,,,,,31312109,
57784452,57784454,0,False,residential,Rahn Court,91.615,,,,,,,,,,,7852375,
57784452,57891983,0,False,residential,2nd Avenue,20.482,,,,,,,,,,,429049857,
57784452,2521218117,0,False,residential,2nd Avenue,47.07,,,,,,,,,,,429049857,
57784454,57784452,0,False,residential,Rahn Court,91.615,,,,,,,,,,,7852375,
57784626,57784634,0,False,residential,,124.864,,,,,,,,,,,7852412,
57784626,1717347049,0,True,primary,Ygnacio Valley Road,126.733,,,,,,,,,,,31283745,
57784634,57784626,0,False,residential,,124.864,,,,,,,,,,,7852412,
57784696,5185427696,0,False,tertiary,Rudgear Road,14.997,5,,,,,,,,,,392837100,
57784696,57878857,0,False,tertiary,Rudgear Road,111.894,5,,,,,,,,,,"[392837096, 392837101, 392837095]",
57784696,57919880,0,False,residential,Bishop Lane,255.926,,,,,,,yes,,,,"[421243249, 421243243, 7873310]",
57784722,57784733,0,False,residential,,105.217,,,,,,,,,,,7852436,
57784733,57784722,0,False,residential,,105.217,,,,,,,,,,,7852436,
57784733,57790314,0,False,residential,,72.136,,,,,,,,,,,7854168,
57784733,57799011,0,False,residential,,83.855,,,,,,,,,,,7854168,
57785223,4620886789,0,False,residential,,19.609,,,,,,,,,,,7852565,
57785224,4620886789,0,False,residential,,64.616,,,,,,,,,,,7852565,
57785224,57785225,0,False,residential,,51.762,,,,,,,,,,,7852565,
57785224,57788282,0,False,residential,,53.31,,,,,,,,,,,7852879,
57785224,4620886676,0,False,residential,,58.53,,,,,,,,,,,467473733,
57785225,57788282,0,False,residential,,33.493,,,,,,,,,,,7852880,
57785225,57788093,0,False,residential,Ptarmigan Drive,64.063,,,,,,,,,,,"[7864259, 7852565]",
57785225,57785224,0,False,residential,,51.762,,,,,,,,,,,7852565,
57785398,356022228,0,False,tertiary,Camino Diablo,18.124,,,,,,,,,,,7868430,
57785398,3839576581,0,True,secondary,Mount Diablo Boulevard,128.855,"['3', '2']",,,,,,,,,,"[31798393, 392844094]",
57785398,57814575,0,False,tertiary,Boulevard Way,66.99,,,,,,,,,,,"[7856225, 406951643]",
57785542,57841785,0,False,residential,Stratton Road,45.031,,,,,,,,,,,7860362,
57785542,57841791,0,False,residential,Stratton Road,102.378,,,,,,,,,,,7860364,
57785542,57829094,0,False,residential,La Corso Drive,118.178,,,,,,,,,,,7866616,
57787130,57800028,0,False,residential,,60.153,,,,,,,,,,,7854497,
57787130,57795197,0,False,residential,,159.576,,,,,,,,,,,7853678,
57787130,2158446493,0,False,residential,,127.205,,,,,,,,,,,7853678,
57787138,57787140,0,False,residential,,55.302,,,,,,,,,,,7852756,
57787138,2158446493,0,False,residential,,60.303,,,,,,,,,,,7852756,
57787138,2158446475,0,False,residential,,163.481,,,,,,,,,,,205861403,
57787138,57800028,0,False,residential,,128.96,,,,,,,,,,,205861403,
57787140,57787138,0,False,residential,,55.302,,,,,,,,,,,7852756,
57787140,57916853,0,False,residential,Terra California Drive,121.466,,,,,,,,,,,7872769,
57787140,2158446475,0,False,residential,Terra California Drive,173.34,,,,,,,,,,,7872769,
57788089,57788091,0,False,residential,,36.537,,,,,,,,,,,7852864,
57788089,57788089,0,False,residential,,195.113,,,,,,,,,,,"[7852864, 7853664]",
57788089,57788089,1,False,residential,,195.113,,,,,,,,,,,"[7853664, 7852864]",
57788091,57788093,0,False,residential,,120.312,,,,,,,,,,,7852864,
57788091,57788089,0,False,residential,,36.537,,,,,,,,,,,7852864,
57788091,807706851,0,False,residential,,136.677,,,,,,,,,,,7853417,
57788093,57788091,0,False,residential,,120.312,,,,,,,,,,,7852864,
57788093,57868471,0,False,residential,Ptarmigan Drive,176.987,,,,,,,,,,,7864259,
57788093,57785225,0,False,residential,Ptarmigan Drive,64.063,,,,,,,,,,,"[7864259, 7852565]",
57788282,57785225,0,False,residential,,33.493,,,,,,,,,,,7852880,
57788282,57785224,0,False,residential,,53.31,,,,,,,,,,,7852879,
57788282,57788304,0,False,residential,,213.802,,,,,,,,,,,7852880,
57788304,57788282,0,False,residential,,213.802,,,,,,,,,,,7852880,
57788726,57789955,0,False,residential,Terra California Drive,47.752,,,,,,,,,,,7872769,
57788726,2158446596,0,False,residential,Terra California Drive,11.258,,,,,,,,,,,7872769,
57788726,57788727,0,False,residential,,82.874,,,,,,,,,,,7852913,
57788727,57788726,0,False,residential,,82.874,,,,,,,,,,,7852913,
57788731,57788732,0,False,residential,,148.306,,,,,,,,,,,205861413,
57788732,57789973,0,False,residential,Cactus Court,54.61,,,,,,,,,,,7861434,
57788732,57788733,0,False,residential,,40.737,,,,,,,,,,,205861413,
57788732,57788731,0,False,residential,,148.306,,,,,,,,,,,205861413,
57788732,57794331,0,False,residential,,85.214,,,,,,,,,,,7853582,
57788733,57788732,0,False,residential,,40.737,,,,,,,,,,,205861413,
57788733,57788745,0,False,residential,,36.011,,,,,,,,,,,7852916,
57788733,57788736,0,False,residential,,63.671,,,,,,,,,,,7852916,
57788736,57788733,0,False,residential,,63.671,,,,,,,,,,,7852916,
57788745,57788733,0,False,residential,,36.011,,,,,,,,,,,7852916,
57788748,57788750,0,False,residential,,49.418,,,,,,,,,,,7852917,
57788748,57796139,0,False,residential,Cactus Court,176.619,,,,,,,,,,,7861436,
57788748,57848695,0,False,residential,Cactus Court,79.693,,,,,,,,,,,7861436,
57788750,57788752,0,False,residential,,58.701,,,,,,,,,,,7852917,
57788750,57788748,0,False,residential,,49.418,,,,,,,,,,,7852917,
57788750,57796140,0,False,residential,,178.313,,,,,,,,,,,7853778,
57788752,57848658,0,False,residential,Cactus Court,28.632,,,,,,,,,,,7861434,
57788752,57788750,0,False,residential,,58.701,,,,,,,,,,,7852917,
57788752,57794341,0,False,residential,Cactus Court,170.03,,,,,,,,,,,7861434,
57789432,3222635258,0,False,tertiary,North Broadway,146.54,,,,,,,,,,,7852996,
57789432,2521301870,0,False,residential,Pine Street,164.122,,,,,,,,,,,7858052,
57789432,3564374315,0,False,residential,Pine Street,164.535,,,,,,,,,,,7858052,
