u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
14969857,769421383,0,False,tertiary,Trask Avenue,18.26,5,,,,,,,,,,401288894,
14969857,122684313,0,True,primary,Beach Boulevard,203.914,5,,,,,,,,,,"[401284757, 401284758]",CA 39
14969857,1842162013,0,False,tertiary,Trask Avenue,222.62,6,,,,,,,,,,"[401284762, 401284764, 401284765]",
28257765,28937954,0,False,secondary,Bolsa Chica Road,136.717,"['5', '4']",,,,,,yes,,,,"[27610889, 160296477]",
28257765,1923296714,0,False,secondary,Garden Grove Boulevard,262.414,"['5', '4']",,,,,,,,,,"[13355408, 400180859, 400180860]",
28933619,122598190,0,True,motorway_link,,180.879,,,,,,,yes,,,,"[49213826, 49213821, 520467734]",
28937953,1723480362,0,True,secondary,Bolsa Chica Road,373.479,,,,,,,,,,,"[136648722, 400180853]",
28937953,303189154,0,False,secondary,Bolsa Chica Road,93.105,"['5', '6']",,,,,,,,,,"[400864629, 400180855]",
28937954,303189828,0,True,motorway_link,,630.249,1,,,,,,,,,,4541312,
28937954,28257765,0,False,secondary,Bolsa Chica Road,136.717,"['5', '4']",,,,,,yes,,,,"[27610889, 160296477]",
28937954,303189154,0,False,secondary,Bolsa Chica Road,292.139,4,,,50 mph,,,,,,,384810237,
29468673,4034811929,0,True,motorway_link,,439.574,"['1', '3', '2', '4']",,,,,,,,,,"[400988747, 400988741, 400988743, 12321175]",
34095130,4029000440,0,True,primary,Westminster Boulevard,12.327,,,,,,,,,,,172868439,
34095130,122854519,0,True,secondary,Springdale Street,91.124,3,,,,,,,,,,"[400325856, 384948133]",
34095134,3526730033,0,False,residential,Willow Lane,13.888,,,,,,,,,,,13320171,
34095134,3526730009,0,True,primary,Westminster Boulevard,267.304,3,,,,,,,,,,"[556552546, 400318659, 400318677]",
34095156,122652464,0,True,primary,Westminster Boulevard,94.91,,,,,,,,,,,400809191,
34095156,2903638414,0,False,residential,Sunset Circle,219.245,,,,,,,,,,,184491824,
34095164,3526730050,0,False,residential,Locust Street,12.664,,,,,,,,,,,13338633,
34095164,122652472,0,True,primary,Westminster Boulevard,26.282,,,,,,,,,,,400809199,
34095175,4033198962,0,False,residential,Cedarwood Street,15.014,,,,,,,,,,,13332193,
34095175,122809424,0,False,residential,Cedarwood Street,91.784,,,,,,,,,,,13332193,
34095175,122652502,0,True,primary,Westminster Boulevard,202.645,3,,,,,,,,,,"[401208160, 401208150]",
34095185,769431840,0,True,primary,Westminster Boulevard,19.349,4,,,40 mph,,,,,,,401208140,
34095185,122809428,0,True,primary,Beach Boulevard,97.152,,,,,,,,,,,401208129,CA 39
34095205,4857226354,0,True,primary,Westminster Boulevard,285.672,"['3', '2']",,,40 mph,,,,,,,"[401105027, 401105036, 401219631, 401105016, 401208158]",
34575868,772778537,0,False,secondary,Bolsa Avenue,15.211,,,,,,,,,,,401113174,
34575868,1723480232,0,False,secondary,Bolsa Avenue,178.067,"['5', '6', '4']",,,,,,,,,,"[401205328, 401217001, 401205331, 401205332]",
34575868,122978658,0,True,primary,Beach Boulevard,192.799,5,,,,,,,,,,"[401208112, 401208113]",CA 39
54268654,4035695592,0,False,secondary,Magnolia Street,16.593,7,,,,,,,,,,401219628,
54268654,122967161,0,True,secondary,Bolsa Avenue,252.584,,,,,,,,,,,401204326,
54268654,122603347,0,False,secondary,Magnolia Street,119.876,7,,,,,,,,,,"[401219629, 401219630]",
71862352,4034753883,0,False,primary,Garden Grove Boulevard,15.428,,,,,,,,,,,401003465,
71862352,4034753879,0,True,secondary,Goldenwest Street,97.177,3,,,,,,,,,,400996353,
71862352,1723480330,0,False,primary,Garden Grove Boulevard,156.068,"['5', '6', '4']",,,,,,,,,,"[401003464, 401003459, 185773471]",
111654094,4034753883,0,True,primary,Garden Grove Boulevard,257.2,"['3', '4']",,,,,,,,,,"[401003475, 185773469]",
122564007,1832514186,0,False,residential,Hope Street,42.944,,,,,,,,,,,13370452,
122570338,1905131834,0,False,residential,Monte Drive,23.649,,,,,,,,,,,13280241,
122570338,2177860001,0,False,residential,Pickford Street,79.505,,,,,,,,,,,13318042,
122570338,122661958,0,False,residential,Pickford Street,125.313,,,,,,,,,,,13318042,
122570346,122686659,0,False,residential,Cornwall Avenue,228.592,,,,,,,,,,,13298277,
122570346,122710425,0,False,residential,Kent Street,76.227,,,,,,,,,,,13302154,
122570346,122907640,0,False,residential,"['Cornwall Avenue', 'Wakefield Street']",120.249,,,,,,,,,,,"[13298277, 13337862]",
122587878,122587881,0,False,residential,,124.191,,,,,,,,,,,13282393,
122587878,2297585919,0,False,residential,Bishop Place,171.052,,,,,,,,,,,13342234,
122587878,122794043,0,False,residential,Bishop Place,80.207,,,,,,,,,,,13342234,
122587881,122587883,0,False,residential,,153.998,,,,,,,,,,,13282393,
122587881,122587878,0,False,residential,,124.191,,,,,,,,,,,13282393,
122587881,122587900,0,False,residential,,80.802,,,,,,,,,,,13282394,
122587883,122587881,0,False,residential,,153.998,,,,,,,,,,,13282393,
122587883,122587909,0,False,residential,,81.882,,,,,,,,,,,13282396,
122587883,122587890,0,False,residential,,124.24,,,,,,,,,,,13282393,
