u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
164917914,165413222,0,False,residential,Obispo Street,54.845,,,,,,,,,,,16255026,
164917914,165320153,0,False,primary,West Main Street,302.944,2,,,,,,,,,,205258665,CA 166
165320104,165320108,0,False,secondary,West Main Street,155.049,,,,35 mph,,,,,,,351410832,
165320104,165494352,0,False,residential,8th Street,492.961,,,,,,,,,,,16258580,
165320108,165491096,0,False,residential,Calle Cesar Chavez,47.477,,,,,,,,,,,16263244,
165320108,165320112,0,False,secondary,West Main Street,143.549,,,,35 mph,,,,,,,351410832,
165320108,165320104,0,False,secondary,West Main Street,155.049,,,,35 mph,,,,,,,351410832,
165320112,165320115,0,False,secondary,West Main Street,235.407,,,,35 mph,,,,,,,351410832,
165320112,165320108,0,False,secondary,West Main Street,143.549,,,,35 mph,,,,,,,351410832,
165320112,165337906,0,False,residential,Santa Barbara Street,44.551,,,,,,,,,,,16250387,
165320115,165320118,0,False,secondary,West Main Street,9.948,,,,35 mph,,,,,,,351410832,
165320115,165320112,0,False,secondary,West Main Street,235.407,,,,35 mph,,,,,,,351410832,
165320118,165320121,0,False,secondary,West Main Street,225.631,,,,35 mph,,,,,,,351410832,
165320118,165320115,0,False,secondary,West Main Street,9.948,,,,35 mph,,,,,,,351410832,
165320118,165403094,0,True,residential,Pacific Dunes Way,47.4,,,,,,,,,,,16259975,
165320121,165320124,0,False,secondary,West Main Street,7.291,,,,35 mph,,,,,,,351410832,
165320121,165320118,0,False,secondary,West Main Street,225.631,,,,35 mph,,,,,,,351410832,
165320124,165320127,0,False,secondary,West Main Street,10.198,,,,35 mph,,,,,,,351410832,
165320124,165320121,0,False,secondary,West Main Street,7.291,,,,35 mph,,,,,,,351410832,
165320127,165320131,0,False,secondary,West Main Street,150.648,,,,35 mph,,,,,,,351410832,
165320127,165320124,0,False,secondary,West Main Street,10.198,,,,35 mph,,,,,,,351410832,
165320127,165383638,0,True,residential,Point Sal Dunes Way,47.074,,,,,,,,,,,16253927,
165320131,165320139,0,False,secondary,West Main Street,221.807,,,,,,,,,,,351410830,
165320131,165320127,0,False,secondary,West Main Street,150.648,,,,35 mph,,,,,,,351410832,
165320131,165568172,0,False,residential,"['Almaguer Street', 'Nelson Drive']",149.61,,,,,,,,,,,"[16254345, 16261667]",
165320139,165379250,0,False,residential,Julia Drive,85.125,,,,,,,,,,,16253691,
165320139,165320142,0,False,secondary,West Main Street,115.624,,,,,,,,,,,351410830,
165320139,165320131,0,False,secondary,West Main Street,221.807,,,,,,,,,,,351410830,
165320142,165557912,0,False,residential,Pioneer Street,85.144,,,,,,,,,,,205258662,
165320142,165320145,0,False,secondary,West Main Street,61.371,,,,,,,,,,,351410830,
165320142,165320139,0,False,secondary,West Main Street,115.624,,,,,,,,,,,351410830,
165320145,165420474,0,False,residential,Tognazzini Avenue,207.968,,,,,,,,,,,16255320,
165320145,165320153,0,False,secondary,West Main Street,236.762,,,,,,,,,,,351410830,
165320145,165320142,0,False,secondary,West Main Street,61.371,,,,,,,,,,,351410830,
165320153,165426417,0,False,primary,Guadalupe Street,207.469,2,,,,,,,,,,16260752,CA 1
165320153,165320145,0,False,secondary,West Main Street,236.762,,,,,,,,,,,351410830,
165320153,164917914,0,False,primary,West Main Street,302.944,2,,,,,,,,,,205258665,CA 166
165329668,165413230,0,False,residential,4th Street,311.361,,,,,,,,,,,16258320,
165329668,165329696,0,False,residential,Flower Avenue,266.929,,,,,,,,,,,205277046,
165329696,165329668,0,False,residential,Flower Avenue,266.929,,,,,,,,,,,205277046,
165337906,165572567,0,False,residential,"['Santa Ines Street', 'Santa Barbara Street']",296.433,,,,,,,,,,,"[16250387, 16261981]",
165337906,165320112,0,False,residential,Santa Barbara Street,44.551,,,,,,,,,,,16250387,
165337906,165491096,0,False,residential,La Purisima Street,147.0,,,,,,,,,,,16258439,
165339547,165339570,0,False,residential,Escalante Street,52.256,,,,,,,,,,,16250463,
165339570,165339547,0,False,residential,Escalante Street,52.256,,,,,,,,,,,16250463,
165368322,165369173,0,False,residential,Campodonico Avenue,315.923,,,,,,,,,,,16253350,
165368322,165369168,0,False,residential,Campodonico Avenue,284.241,,,,,,,,,,,16253350,
165368322,165368323,0,False,residential,3rd Street,119.378,,,,,,,,,,,16253297,
165368323,165420476,0,False,residential,Tognazzini Avenue,314.9,,,,,,,,,,,16255320,
165368323,165420474,0,False,residential,Tognazzini Avenue,285.064,,,,,,,,,,,16255320,
165368323,165368326,0,False,residential,3rd Street,94.728,,,,,,,,,,,16253297,
165368323,165368322,0,False,residential,3rd Street,119.378,,,,,,,,,,,16253297,
165368326,165557900,0,False,residential,Pioneer Street,119.272,,,,,,,,,,,205258662,
165368326,165541687,0,False,residential,Pioneer Street,94.556,,,,,,,,,,,205258662,
165368326,165541692,0,False,residential,"['Lindy Drive', '3rd Street']",277.067,,,,,,,,,,,"[16263233, 16253297]",
165368326,165368323,0,False,residential,3rd Street,94.728,,,,,,,,,,,16253297,
165368404,165413227,0,False,residential,Obispo Street,83.624,,,,,,,,,,,16255026,
165368404,165413226,0,False,residential,Obispo Street,84.336,,,,,,,,,,,16255026,
165369168,165368322,0,False,residential,Campodonico Avenue,284.241,,,,,,,,,,,16253350,
165369168,165420474,0,False,residential,2nd Street,119.388,,,,,,,,,,,16255542,
165369168,165426417,0,False,residential,2nd Street,117.483,,,,,,,,,,,16255542,
165369173,165369175,0,False,residential,Campodonico Avenue,109.9,,,,,,,,,,,16253350,
165369173,165368322,0,False,residential,Campodonico Avenue,315.923,,,,,,,,,,,16253350,
165369173,165420476,0,False,residential,5th Street,119.378,,,,,,,,,,,16258492,
165369173,165491984,0,False,residential,5th Street,117.765,,,,,,,,,,,16258492,
165369175,165369177,0,False,residential,Campodonico Avenue,95.744,,,,,,,,,,,16253350,
165369175,165369173,0,False,residential,Campodonico Avenue,109.9,,,,,,,,,,,16253350,
165369175,165497065,0,False,residential,6th Street,117.848,,,,,,,,,,,16258656,
165369177,165369175,0,False,residential,Campodonico Avenue,95.744,,,,,,,,,,,16253350,
165369177,165491269,0,False,residential,7th Street,27.511,,,,,,,,,,,16258451,
165369177,165480172,0,False,residential,"['Rubio Street', '7th Street']",124.775,,,,,,,,,,,"[16258178, 16258451]",
165379171,165379173,0,False,residential,Blue Heron Circle,29.257,,,,,,,,,,,16253683,
