u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
57787145,57865742,0,True,tertiary,Fairview Avenue,248.165,,,,,,,,,,,7871978,
57787145,57924499,0,False,tertiary,San Jose Avenue,90.924,,,,,,,,,,,326574186,
57787145,2567291496,0,False,tertiary,San Jose Avenue,13.996,,,,,,,,,,,575870443,
57790491,57799926,0,False,secondary,Lone Tree Way,52.226,,,,,,,,,,,423055355,
57790491,57790495,0,False,residential,,95.045,,,,,,,,,,,7853082,
57790491,57816969,0,False,secondary,Lone Tree Way,294.353,,,,,,,,,,,"[423055355, 423055351]",
57790495,57790491,0,False,residential,,95.045,,,,,,,,,,,7853082,
57799926,57799928,0,False,residential,,104.039,,,,,,,,,,,7854307,
57799926,57790491,0,False,secondary,Lone Tree Way,52.226,,,,,,,,,,,423055355,
57799928,57799926,0,False,residential,,104.039,,,,,,,,,,,7854307,
57801272,57816969,0,False,primary,Brentwood Boulevard,261.554,2,,,,,,,,,,7871165,
57801901,57801932,0,False,residential,Central Park Place,790.473,,,,,,,,,,,7854563,
57801901,57822684,0,False,residential,Jubilee Drive,190.188,,,,,,,,,,,7857460,
57801901,57836081,0,False,tertiary,Central Boulevard,170.969,,,,,,,,,,,502786886,
57801932,57801901,0,False,residential,Central Park Place,790.473,,,,,,,,,,,7854563,
57801990,457759428,0,False,residential,Highland Way,70.763,,,,,,,,,,,7863781,
57801990,57865064,0,False,residential,Highland Way,141.115,,,,,,,,,,,7863781,
57801990,57801996,0,False,residential,Century Oaks Drive,150.806,,,,,,,,,,,7854568,
57801996,57801997,0,False,residential,Century Oaks Drive,80.552,,,,,,,,,,,7854568,
57801996,57801990,0,False,residential,Century Oaks Drive,150.806,,,,,,,,,,,7854568,
57801996,57848207,0,False,residential,Greenyard Court,163.332,,,,,,,,,,,7861372,
57801997,57801998,0,False,residential,Century Oaks Drive,77.544,,,,,,,,,,,7854568,
57801997,57801996,0,False,residential,Century Oaks Drive,80.552,,,,,,,,,,,7854568,
57801997,57942442,0,False,residential,Dawn Court,95.07,,,,,,,,,,,7877757,
57801998,57801997,0,False,residential,Century Oaks Drive,77.544,,,,,,,,,,,7854568,
57801998,57835518,0,False,residential,Sutter Creek Way,63.226,,,,,,,,,,,7861792,
57801998,57850865,0,False,residential,Sutter Creek Way,97.737,,,,,,,,,,,7861792,
57802713,2566961638,0,False,unclassified,Town Centre Terrace,114.432,,,,,,,,,,,7854661,
57803148,57803150,0,False,residential,Spring Haven Court,52.905,,,,,,,,,,,7854718,
57803148,57851548,0,False,residential,Springhaven Drive,70.649,,,,,,,,,,,31796267,
57803148,57851544,0,False,residential,Springhaven Drive,79.811,,,,,,,,,,,31796267,
57803150,57803148,0,False,residential,Spring Haven Court,52.905,,,,,,,,,,,7854718,
57803303,57803305,0,False,residential,Carlton Way,96.393,,,,,,,,,,,7854747,
57803303,57825781,0,False,residential,Apple Hill Drive,67.755,,,,,,,,,,,354465921,
57803303,57825789,0,False,residential,Apple Hill Drive,80.175,,,,,,,,,,,354465921,
57803305,57803303,0,False,residential,Carlton Way,96.393,,,,,,,,,,,7854747,
57803305,57825795,0,False,residential,Winesap Drive,129.923,,,,,,,,,,,7865362,
57803305,57875590,0,False,residential,Winesap Drive,65.511,,,,,,,,,,,7865362,
