u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
26994934,1715645365,0,True,primary,Alameda Street,86.801,2,,,,,,,,,,159440383,CA 47
26994934,123359770,0,False,residential,East Jefferson Street,293.997,,,,,,,,,,,159440385,
36220256,317670327,0,True,motorway,Gardena Freeway,710.396,4,,,65 mph,,,,,,,123456246,CA 91
36220256,317670867,0,True,motorway_link,,441.543,1,,,,,,,,,,13266358,
64159250,304695564,0,True,motorway_link,,327.776,2,,,,,,,,,,519231685,
64222910,304697892,0,True,motorway,San Diego Freeway,261.504,5,,,65 mph,,,,,,,166374387,I 405
64222910,1499435140,0,True,motorway_link,,452.409,"['1', '2']",,,,,,,,,,"[38631537, 398398242]",
64286626,26201173,0,True,motorway,Harbor Freeway,792.454,4,,,,,,,,,,159514482,I 110
64286626,1375403070,0,True,motorway_link,,221.766,1,,,,,,,,,,566229919,
64317618,402281951,0,False,residential,West 234th Street,27.508,,,,,,,,,,,238472381,
64317618,839140855,0,False,primary,S Figueroa Street,53.777,4,,,,,,,,,,378681264,
64317618,839140917,0,True,primary,S Figueroa Street,306.714,"['3', '2']",,,,,,,,,,"[403686165, 403686158]",
67544711,317671413,0,True,motorway_link,,23.341,,,,,,,,,,,166500349,
67544711,1840723925,0,True,primary,South Avalon Boulevard,277.804,"['3', '4']",,,,,,,,,,"[398755754, 398208622]",
67771586,317671043,0,True,motorway_link,,467.558,1,,,,,,,,,,13272226,
67771586,317671513,0,True,motorway,Gardena Freeway,859.799,4,,,65 mph,,,yes,,,,"[28900644, 28900645, 392168910]",CA 91
67804892,3357289964,0,False,residential,East 189th Street,10.056,,,,,,,,,,,38631528,
67804892,1499381482,0,True,primary,S Avalon Boulevard,142.505,3,,,,,,,,,,136664625,
67804892,122649821,0,True,primary,South Avalon Boulevard,97.981,2,,,,,,,,,,380059165,
67804923,3357289968,0,False,residential,East 192nd Street,13.629,,,,,,,,,,,38631245,
67804923,457579779,0,False,residential,East 192nd Street,21.807,,,,,,,,,,,380059296,
67804923,2489972890,0,True,primary,S Avalon Boulevard,328.433,3,,,,,,,,,,129075958,
67804937,123268949,0,False,residential,East Elsmere Drive,22.824,,,,,,,,,,,13429146,
67804937,2489973932,0,True,primary,S Avalon Boulevard,390.394,3,,,,,,,,,,129075958,
67804975,123370415,0,False,residential,East Carson Plaza Court,151.404,,,,,,,,,,,13406786,
67804975,1723166568,0,True,primary,Avalon Boulevard,117.489,,,,,,,,,,,"[38630960, 398490724]",
67804982,1723166568,0,False,residential,Carson Plaza Drive,17.443,,,,,,,,,,,380546413,
67804982,3788592173,0,True,primary,Avalon Boulevard,135.437,,,,,,,,,,,398490728,
122394753,122785921,0,False,residential,South Salmon Avenue,77.628,,,,,,,,,,,13314256,
122394753,122983856,0,False,residential,East 218th Place,320.105,,,,,,,,,,,13382894,
122394753,1715645458,0,False,residential,East 218th Place,67.381,,,,,,,,,,,13382894,
122407702,3838998363,0,True,motorway_link,,368.134,2,,,,,,yes,,,,"[398502336, 13257887, 49216134, 398546827, 398502335]",
122407702,122407770,0,True,motorway,San Diego Freeway,382.586,5,,,65 mph,,,yes,,,,"[49216139, 49216135]",I 405
122407770,340769824,0,True,motorway,San Diego Freeway,820.048,5,,,65 mph,,,,,,,49216139,I 405
122435430,3695650768,0,False,residential,,164.613,,,,,,,,,,,13263062,
122435430,3695650768,1,False,residential,Vista del Loma,163.68,,,,,,,,,,,13390649,
122435430,123120418,0,False,residential,Vista del Loma,192.705,,,,,,,,,,,13390649,
122444363,2548235502,0,False,residential,West 215th Street,203.121,,,,,,,,,,,13421371,
122511030,122594420,0,False,residential,Pacific View Drive,843.984,,,,,,,,,,,"[13273034, 375494791]",
122511030,122605677,0,False,residential,Torocenter Drive,791.961,,,,,,,,,,,107761775,
122511030,122649843,0,False,residential,Torocenter Drive,257.78,,,,,,,,,,,107761775,
122512397,2922854732,0,True,motorway_link,,15.878,2,,,,,,,,,,30828086,
122512397,1838335367,0,True,secondary,Wilmington Avenue,141.906,"['3', '2']",,,,,,yes,,,,"[288724449, 173000618, 398502334]",
122526663,1778218497,0,True,motorway,San Diego Freeway,406.035,5,,,65 mph,,,yes,,,,"[49216116, 49216129, 49216124]",I 405
122537912,317671595,0,False,primary,South Main Street,13.866,4,,,,,,,,,,379903955,
122537912,282785971,0,True,motorway_link,,481.802,"['1', '2']",,,,,,yes,,,,"[398755809, 13276426, 28900653, 28900655]",
