u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
32581174,55174843,0,False,primary,Soquel Canyon Parkway,81.644,6,,,,,,,,,,4944020,
32581174,1832918524,0,False,primary,Soquel Canyon Parkway,65.667,6,,,,,,,,,,4944020,
32581177,54517161,0,False,tertiary,Pomona Rincon Road,957.083,,,,,,,,,,,4944019,
32581177,1832918524,0,False,primary,Soquel Canyon Parkway,214.351,"['8', '6']",,,,,,,,,,"[4944020, 475038765]",
32581177,2897824452,0,True,primary,Soquel Canyon Parkway,319.578,"['5', '3']",,,,,,,,,,"[475038769, 475038767]",
54143397,54143408,0,False,residential,Street of the Chimes,459.263,,,,,,,,,,,7001135,
54143397,2479300111,0,False,residential,Pacific Vista,163.197,,,,,,,,,,,7498548,
54143397,54652660,0,False,residential,Pacific Vista,125.746,,,,,,,,,,,7498548,
54143408,54918417,0,False,residential,Payne Ranch Road,44.37,,,,,,,,,,,7467886,
54143408,54143397,0,False,residential,Street of the Chimes,459.263,,,,,,,,,,,7001135,
54143408,54543131,0,False,residential,Payne Ranch Road,158.003,,,,,,,,,,,7467886,
54143752,54841351,0,False,residential,Rancho Hills Drive,97.042,,,,,,,,,,,7416477,
54143752,54143764,0,False,residential,Heatheridge Lane,100.155,,,,,,,,,,,7001356,
54143752,54841270,0,False,residential,Rancho Hills Drive,295.681,,,,,,,,,,,7416477,
54143764,54143752,0,False,residential,Heatheridge Lane,100.155,,,,,,,,,,,7001356,
54211386,54211390,0,False,residential,Bluebell Drive,48.624,,,,,,,,,,,7385234,
54211386,54525123,0,False,residential,Ermine Drive,371.945,,,,,,,,,,,7219618,
54211386,54785656,0,False,residential,Bluebell Drive,78.648,,,,,,,,,,,7385234,
54211390,54211386,0,False,residential,Bluebell Drive,48.624,,,,,,,,,,,7385234,
54211390,54647911,0,False,tertiary,Eucalyptus Avenue,375.36,2,,,,,,,,,,7169486,
54235696,1832930456,0,True,motorway_link,,415.323,"['1', '2']",,,,,,,,,,"[299136544, 532634546, 406288228]",
54275703,54727999,0,False,residential,Green Tree Court,64.362,,,,,,,,,,,7357455,
54275703,54734342,0,False,residential,Setting Sun Court,83.493,,,,,,,,,,,7359912,
54275703,54828604,0,False,residential,Vista Monte Circle,125.536,,,,,,,,,,,7409505,
54314077,54314079,0,False,residential,,119.44,,,,,,,,,,,7092853,
54314077,54898516,0,False,primary,Carbon Canyon Road,504.803,"['3', '2']",,,,,,,,,,"[397959645, 397959646]",CA 142
54314077,54616019,0,False,primary,Carbon Canyon Road,202.774,2,,,,,,,,,,397959646,CA 142
54314079,54314077,0,False,residential,,119.44,,,,,,,,,,,7092853,
54338361,54338374,0,False,residential,Agate Road,62.807,,,,,,,,,,,7221758,
54338361,54528587,0,False,residential,Agate Road,92.805,,,,,,,,,,,7221758,
54338361,54549484,0,False,residential,Cadmium Court,141.894,,,,,,,,,,,7248822,
54338374,54338361,0,False,residential,Agate Road,62.807,,,,,,,,,,,7221758,
54338374,54803644,0,False,tertiary,Slate Drive,269.909,,,,,,,,,,,7418809,
54338374,54845470,0,False,tertiary,Slate Drive,150.23,,,,,,,,,,,7418809,
54343994,54809010,0,False,residential,"['Camden Avenue', 'Muirfield Avenue']",136.854,,,,,,,,,,,"[7244779, 7397854]",
54343994,54705670,0,False,residential,Chelsea Avenue,67.668,,,,,,,,,,,7346047,
54343994,54705663,0,False,residential,Chelsea Avenue,64.603,,,,,,,,,,,7346047,
54378379,55174850,0,False,primary,Soquel Canyon Parkway,65.621,6,,,45 mph,,,,,,,7476668,
54378379,1876934375,0,False,primary,Soquel Canyon Parkway,220.069,6,,,45 mph,,,,,,,7476668,
54394647,54394649,0,False,residential,Little Bend Road,67.984,,,,,,,,,,,7519541,
54394649,54491108,0,False,residential,Champion Street,102.809,,,,,,,,,,,7197452,
54394649,54491106,0,False,residential,Champion Street,86.237,,,,,,,,,,,7197452,
54394649,54969421,0,False,residential,Little Bend Road,141.401,,,,,,,,,,,7519541,
