u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
25679125,1963770087,0,True,primary,Harbor Boulevard,17.49,3,,,,,,,,,,185720513,
25679125,122697403,0,True,primary,Newport Boulevard,105.988,"['5', '4']",,,40 mph,,,,,,,"[401216576, 401216569]",CA 55
25679128,678351446,0,False,tertiary,East 16th Street,17.524,,,,,,,,,,,13345345,
25679128,773109806,0,False,tertiary,East 16th Street,19.744,,,,,,,,,,,13345345,
25679128,123084573,0,True,primary,Newport Boulevard,338.675,"['5', '3', '4']",,,,,,,,,,"[401216568, 401216570, 401216597, 401216578]",CA 55
28929309,1831108564,0,True,motorway,San Diego Freeway,912.374,7,,,65 mph,,,,,,,49213235,I 405
32277639,249445966,0,True,motorway,Costa Mesa Freeway,602.107,"['3', '4']",,,65 mph,,,yes,,,,"[49212417, 49212402, 123480818, 49212423]",CA 55
32277639,1707936380,0,True,motorway_link,,509.655,,,,,,,yes,,,,"[158649586, 158631444, 49212422]",
32277642,1708060078,0,True,motorway_link,,151.567,,,,,,,,,,,520451571,
32277642,122706750,0,False,residential,Paularino Avenue,122.375,,,,,,,,,,,158631718,
32277642,1707938786,0,False,residential,Paularino Avenue,150.741,,,,,,,,,,,158631718,
32296301,32277639,0,True,motorway,Costa Mesa Freeway,550.461,4,,,65 mph,,,yes,,,,"[49212417, 123480815, 123480817, 49212433, 49212407, 4922651]",CA 55
32296301,1708065737,0,True,motorway_link,,444.535,,,,,,,,,,,158649813,
33088623,1708176664,0,True,motorway,Costa Mesa Freeway,1409.272,4,,,65 mph,,,,,,,60334818,CA 55
33088623,1707949298,0,True,motorway_link,,325.914,,,,,,,,,,,158634374,
33088638,683521030,0,True,primary,Newport Boulevard,163.828,"['6', '5']",,,,,,,,,,"[54189238, 401216582]",CA 55
33088640,3328009594,0,True,secondary,West 19th Street,18.943,,,,,,,,,,,401222812,
33088640,3328009595,0,False,residential,Fullerton Avenue,22.818,,,,,,,,,,,326182315,
33088640,122776623,0,False,residential,Fullerton Avenue,100.029,,,,,,,,,,,326182315,
33088640,678351659,0,False,tertiary,East 19th Street,206.311,,,,,,,,,,,"[401222755, 183938909]",
33088643,1943754182,0,False,tertiary,East 19th Street,202.19,,,,,,,,,,,183938909,
33088643,1943754134,0,False,tertiary,East 19th Street,202.466,,,,,,,,,,,183938909,
33088643,122776628,0,False,tertiary,Santa Ana Avenue,99.982,,,,,,,,,,,437040933,
33088643,122991025,0,False,tertiary,Santa Ana Avenue,98.115,,,,,,,,,,,437040933,
34670916,1837176110,0,True,motorway,San Diego Freeway,442.225,7,,,65 mph,,,yes,,,,"[49212881, 49212875]",I 405
34672864,1707998496,0,True,motorway,San Diego Freeway,965.369,5,,,65 mph,,,,,,,158636809,I 405
34672864,1707998243,0,True,motorway,Corona Del Mar Freeway,889.171,3,,,,,,yes,,,,"[158660657, 49212890, 158656473]",CA 73
34672880,33088623,0,True,motorway,Costa Mesa Freeway,193.569,4,,,65 mph,,,,,,,60334818,CA 55
34672900,1707935496,0,True,motorway,Costa Mesa Freeway,723.906,4,,,65 mph,,,yes,,,,"[158633241, 60334837, 123480814, 158633246]",CA 55
34672900,1707949360,0,True,motorway_link,,408.569,,,,,,,,,,,158633252,
34672920,249699979,0,True,motorway,Costa Mesa Freeway,1045.798,4,,,65 mph,,,,,,,123480814,CA 55
34672920,1708176750,0,True,motorway_link,,473.827,,,,,,,,,,,158662310,
34672943,34672920,0,True,motorway,Costa Mesa Freeway,344.321,4,,,65 mph,,,,,,,123480814,CA 55
