u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
16588162,4060308938,0,True,primary,Firestone Boulevard,65.499,3,,,,,,,,,,120331124,
16588162,319882868,0,True,tertiary_link,,60.958,,,,,,,,,,,286191630,
18309477,2898307900,0,True,primary,Lakewood Boulevard,15.347,3,,,,,,,,,,185735891,
18309477,1711875072,0,True,primary,Firestone Boulevard,651.133,"['5', '3', '4']",,,,,,,,,,"[399483672, 399483661, 399483677, 399483663]",
26650167,2897567442,0,False,primary,Telegraph Road,13.73,6,,,45 mph,,,,,,,399666404,
26650167,1708806089,0,False,primary,Telegraph Road,97.36,7,,,,,,,,,,399677316,
26650169,616243598,0,False,residential,True Avenue,26.113,,,,,,,,,,,158821578,
26650169,123194059,0,False,primary,Telegraph Road,104.254,"['7', '5']",,,,,,,,,,"[185735944, 399710658]",
26650169,123194053,0,False,primary,Telegraph Road,80.442,"['7', '6']",,,,,,,,,,"[399710656, 399710659]",
122397020,2897567437,0,True,motorway_link,,53.99,2,,,,,,,,,,178116799,
122397020,2897567436,0,True,primary_link,,97.423,1,,,,,,,,,,178116815,
122397029,253718368,0,True,motorway_link,,44.15,1,,,,,,,,,,173141197,
122397029,122527750,0,True,primary,Lakewood Boulevard,104.801,4,,,,,,,,,,399673192,
122413215,122695512,0,False,residential,Faust Avenue,17.915,,,,,,,,,,,13299561,
122413215,122695509,0,False,residential,Faust Avenue,75.565,,,,,,,,,,,13299561,
122413215,122939188,0,False,residential,Carfax Avenue,391.664,,,,,,,,,,,"[13258954, 13341682]",
122433245,122433248,0,False,motorway_link,,70.939,3,,,,,,,,,,181990576,
122433245,123043910,0,False,secondary,Florence Avenue,440.481,"['6', '5', '7', '4']",,,,,,yes,,,,"[399531498, 399531499, 399531500, 158821421, 158821422, 144911124, 399486776]",
122433245,123043929,0,True,secondary,Florence Avenue,240.449,"['3', '4']",,,,,,,,,,"[399532202, 403722795]",
122433248,123342454,0,False,residential,Little Lake Road,498.716,,,,,,,,,,,13459552,
122433248,122433245,0,False,motorway_link,,70.939,3,,,,,,,,,,181990576,
122433248,384413646,0,True,motorway_link,,335.596,"['1', '2']",,,,,,,,,,"[181990589, 349444511]",
122453752,123291793,0,False,secondary,Bellflower Boulevard,112.178,"['6', '4']",,,,,,yes,,,,"[193918956, 32010797]",
122453752,384405132,0,True,motorway_link,,426.011,"['1', '2']",,,,,,,,,,"[349444532, 399468029]",
122453752,122831992,0,False,secondary,Bellflower Boulevard,100.289,"['5', '4']",,,,,,,,,,"[569266786, 399479087, 399479079]",
122461140,122461211,0,True,motorway_link,,232.327,"['1', '2']",,,,,,,,,,"[13267416, 399523515, 399523516, 403726564]",
122461140,384427553,0,True,motorway_link,,359.644,2,,,,,,yes,,,,"[49012456, 517628555, 49012452]",
122461211,2398931804,0,True,motorway_link,,11.837,2,,,,,,,,,,399523514,
122461211,123149546,0,True,secondary,Studebaker Road,112.014,"['3', '2']",,,,,,,,,,"[399530323, 399530325]",
122477742,122824577,0,False,residential,Fairford Avenue,94.863,,,,,,,,,,,158829476,
122477742,2398931809,0,False,secondary,Florence Avenue,198.125,"['7', '6']",,,,,,,,,,"[399534112, 399534111]",
122482745,625116622,0,False,primary,Paramount Boulevard,8.209,4,,,40 mph,,,,,,,54031300,
122482745,123074824,0,False,primary,Paramount Boulevard,160.748,5,,,40 mph,,,,,,,"[399659264, 399659291]",
122527750,253718316,0,True,motorway_link,,252.433,"['1', '2']",,,,,,,,,,"[399669014, 13275783]",
122527750,1839684576,0,True,primary,Lakewood Boulevard,138.35,"['3', '2']",,,,,,,,,,"[185741137, 399673193]",
122541545,123160706,0,False,residential,"['Dinwiddie Street', 'Rio Hondo Drive']",614.944,,,,,,,,,,,"[13290938, 13411222]",
122541545,2270176031,0,False,residential,Rio Hondo Drive,159.866,,,,,,,,,,,13290938,
122541545,122770355,0,False,residential,Pellet Street,334.291,,,,,,,,,,,13311856,
122555569,122555572,0,False,residential,Mitla Avenue,53.973,,,,,,,,,,,13278563,
122555572,1774195186,0,False,residential,Mitla Avenue,120.98,,,,,,,,,,,13278563,
122555572,122555569,0,False,residential,Mitla Avenue,53.973,,,,,,,,,,,13278563,
122555572,122811749,0,False,residential,Adwen Street,313.117,,,,,,,,,,,13318758,
122555577,122555579,0,False,residential,Mitla Avenue,101.284,,,,,,,,,,,13278563,
122555577,1774195186,0,False,residential,Mitla Avenue,128.66,,,,,,,,,,,13278563,
122555577,123160728,0,False,residential,Luxor Street,308.452,,,,,,,,,,,165913349,
122555579,122555577,0,False,residential,Mitla Avenue,101.284,,,,,,,,,,,13278563,
122555579,122649316,0,False,residential,De Palma Street,104.948,,,,,,,,,,,13292907,
122564781,122564783,0,False,tertiary,Wiley Burke Avenue,83.563,2,,,,,,,,,,13279511,
122564781,123091874,0,False,tertiary,Suva Street,214.631,2,,,,,,,,,,23424541,
122564781,123193512,0,False,tertiary,Suva Street,217.79,2,,,,,,,,,,23424541,
122564783,122564781,0,False,tertiary,Wiley Burke Avenue,83.563,2,,,,,,,,,,13279511,
122564783,123522574,0,False,residential,Noren Street,83.858,,,,,,,,,,,13462300,
122564783,123551199,0,False,residential,Noren Street,82.142,,,,,,,,,,,13462300,
122564783,122564788,0,False,tertiary,Wiley Burke Avenue,328.831,2,,,,,,,,,,13279511,
122564788,3625870667,0,False,tertiary,Wiley Burke Avenue,401.729,2,,,,,,,,,,13279511,
122564788,123522575,0,False,residential,Lubec Street,99.018,,,,,,,,,,,13451975,
122564788,123551201,0,False,residential,Lubec Street,75.623,,,,,,,,,,,13451975,
122564788,122564783,0,False,tertiary,Wiley Burke Avenue,328.831,2,,,,,,,,,,13279511,
122564799,1934414743,0,False,tertiary,Wiley Burke Avenue,17.582,2,,,,,,,,,,13279511,
122564799,3625870667,0,False,tertiary,Wiley Burke Avenue,9.985,2,,,,,,,,,,13279511,
122564799,123043857,0,True,secondary,Florence Avenue,142.239,"['3', '4']",,,,,,,,,,"[398567873, 398567905]",
122564804,122564809,0,False,tertiary,Wiley Burke Avenue,287.996,2,,,,,,,,,,13279511,
122564804,122744932,0,False,residential,Irwingrove Drive,101.685,,,,,,,,,,,13307604,
122564804,122744931,0,False,residential,Irwingrove Drive,101.699,,,,,,,,,,,13307604,
122564804,1934414743,0,False,tertiary,Wiley Burke Avenue,178.928,2,,,,,,,,,,13279511,
122564809,122564804,0,False,tertiary,Wiley Burke Avenue,287.996,2,,,,,,,,,,13279511,
122564809,123332445,0,False,residential,Cherokee Drive,45.931,,,,,,,,,,,13400921,
122564809,122564813,0,False,tertiary,Wiley Burke Avenue,165.773,2,,,,,,,,,,13279511,
122564813,122564815,0,False,tertiary,Wiley Burke Avenue,51.802,2,,,,,,,,,,13279511,
122564813,123551206,0,False,residential,Quinn Street,49.569,,,,,,,,,,,13467156,
122564813,122564809,0,False,tertiary,Wiley Burke Avenue,165.773,2,,,,,,,,,,13279511,
122564815,122564823,0,False,tertiary,Wiley Burke Avenue,42.795,2,,,,,,,,,,13279511,
122564815,122564813,0,False,tertiary,Wiley Burke Avenue,51.802,2,,,,,,,,,,13279511,
