u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
29891439,33239314,0,True,motorway_link,,435.126,,,,,,,,,,,"[417313392, 83590759]",
29891439,1678683810,0,True,motorway,,714.191,3,,,65 mph,,,,,,,394475528,CA 92
30029522,1678683676,0,True,motorway,,589.942,4,,,65 mph,,,yes,,,,"[275571979, 275571981, 156047219, 124952148, 156047223]",CA 92
30029522,1678683791,0,True,motorway_link,,393.042,,,,,,,yes,,,,"[155473872, 155473866, 155473867]",
32917815,4133743715,0,True,secondary,Santa Clara Street,6.617,,,,,,,,,,,411767445,
32917815,53074546,0,True,primary,West Jackson Street,227.411,"['3', '4']",,,40 mph,,,,,,,"[417397688, 507425873, 417397682, 6398037]",CA 92
32969973,3958233971,0,True,secondary,West Winton Avenue,10.633,,,,,,,,,,,516244858,
32969973,1684055508,0,True,secondary,Santa Clara Street,344.089,3,,,,,,,,,,"[416993595, 516244859, 392619716, 392619699]",
32972114,53107949,0,False,residential,Larchmont Street,71.894,,,,,,,,,,,37637644,
32972114,3958232153,0,False,residential,Larchmont Street,6.698,,,,,,,,,,,37637644,
32972114,32972116,0,True,secondary,Santa Clara Street,81.475,,,,,,,,,,,392619697,
32972116,3958232149,0,False,residential,Downen Place,7.772,,,,,,,,,,,6341298,
32972116,32972118,0,True,secondary,Santa Clara Street,74.465,,,,,,,,,,,392619697,
32972118,3958232148,0,False,residential,Lawton Place,8.096,,,,,,,,,,,6391636,
32972118,32972120,0,True,secondary,Santa Clara Street,76.856,,,,,,,,,,,392619697,
32972120,3958232146,0,False,residential,Mackenzie Place,9.147,,,,,,,,,,,6382724,
32972120,32972125,0,True,secondary,Santa Clara Street,65.992,,,,,,,,,,,392619697,
32972125,53090556,0,False,residential,Banbury Street,97.39,,,,,,,,,,,37637643,
32972125,3958232144,0,False,residential,Banbury Street,8.188,,,,,,,,,,,37637643,
32972125,3958232134,0,True,secondary,Santa Clara Street,167.146,,,,,,,,,,,"[392619697, 392619709]",
32972153,53125274,0,False,residential,Bishop Avenue,12.205,,,,,,,,,,,156115010,
32972153,53078518,0,False,residential,Bishop Avenue,274.028,,,,,,,,,,,156115010,
32972153,32972156,0,True,secondary,West Harder Road,63.938,,,,,,,,,,,"[392611358, 392611359]",
32972156,53074547,0,False,residential,Tarman Avenue,12.54,,,,,,,,,,,6345486,
32972156,1684055459,0,True,secondary,West Harder Road,192.389,,,,,,,,,,,"[392611363, 392611367]",
32972174,1684106747,0,False,residential,Franklin Avenue,14.906,,,,,,,,,,,156124096,
32972174,1684106748,0,True,secondary,Harder Road,102.657,,,,,,,,,,,"[417002384, 417002378]",
32972181,846495064,0,True,secondary,Harder Road,11.166,,,,,,,,,,,417004128,
32972181,846478209,0,True,primary,Mission Boulevard,212.874,,,,,,,,,,,"[417396577, 417089121]",CA 238
32972194,296482254,0,False,residential,Harder Road,13.706,,,,,,,,,,,27045788,
32972194,32972198,0,True,tertiary,Harder Road,274.537,,,,,,,,,,,156115041,
32972198,296482228,0,False,residential,Harder Road,14.313,,,,,,,,,,,27045790,
32972198,296482278,0,True,tertiary,Harder Road,786.877,,,,,,,,,,,"[156115041, 417540940]",
32972213,297055779,0,False,tertiary,Harder Road,176.593,,,,,,,,,,,27045791,
32972213,296482167,0,True,tertiary,Harder Road,205.214,,,,,,,,,,,"[417540933, 417540959]",
32972246,32972250,0,False,secondary,Carlos Bee Boulevard,19.654,2,,,,,,,,,,71061577,
32972246,846478194,0,True,secondary,Carlos Bee Boulevard,371.904,,,,,,,,,,,"[417006017, 417006019, 71068723, 516421207, 516421208]",
32972250,32972246,0,False,secondary,Carlos Bee Boulevard,19.654,2,,,,,,,,,,71061577,
32972250,53110890,0,False,residential,Overlook Avenue,92.548,,,,,,,,,,,6368849,
32972250,32972256,0,False,secondary,Carlos Bee Boulevard,551.375,2,,,,,,,,,,71061577,
32972256,32972258,0,False,secondary,Carlos Bee Boulevard,75.579,"['6', '2']",,,,,,,,,,"[71061577, 417006254]",
32972256,32972250,0,False,secondary,Carlos Bee Boulevard,551.375,2,,,,,,,,,,71061577,
32972256,2515877981,0,True,tertiary_link,,128.013,1,,,,,,,,,,244247051,
32972258,2515877981,0,False,tertiary,Carlos Bee Boulevard,60.406,,,,,,,,,,,158260253,
32972258,32972256,0,False,secondary,Carlos Bee Boulevard,75.579,"['6', '2']",,,,,,,,,,"[71061577, 417006254]",
