u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
54146592,54327463,0,False,residential,Cobble Lane,84.199,,,,,,,,,,,7100358,
54146592,54551973,0,False,residential,Granite Drive,118.281,,,,,,,,,,,7237759,
54146592,54469708,0,False,residential,Granite Drive,168.279,,,,,,,,,,,7237759,
54162214,54162216,0,False,residential,,58.755,,,,,,,,,,,7010457,
54162214,54507948,0,False,residential,Manzanita Way,147.858,,,,,,,,,,,7245576,
54162214,54518465,0,False,residential,Manzanita Way,117.029,,,,,,,,,,,7245576,
54162216,54162214,0,False,residential,,58.755,,,,,,,,,,,7010457,
54167853,54618448,0,False,residential,East Oakland Avenue,31.332,,,,,,,,,,,7330599,
54167853,54411757,0,False,residential,East Oakland Avenue,71.405,,,,,,,,,,,7330599,
54167853,54167859,0,False,residential,,328.326,,,,,,,,,,,7013366,
54167859,54346572,0,False,residential,North Thompson Street,200.635,,,,,,,,,,,7329276,
54167859,54494110,0,False,residential,East Oakland Avenue,53.996,,,,,,,,,,,7330599,
54167859,54167853,0,False,residential,,328.326,,,,,,,,,,,7013366,
54167859,54286218,0,False,residential,East Oakland Avenue,101.21,,,,,,,,,,,7330599,
54183639,54183641,0,False,residential,,76.18,,,,,,,,,,,7021537,
54183639,54194664,0,False,residential,,148.412,,,,,,,,,,,7027026,
54183639,54478331,0,False,residential,Anchorage Street,330.921,,,,,,,,,,,"[7021537, 7189181]",
54183641,54183643,0,False,residential,,188.869,,,,,,,,,,,7021537,
54183641,54183639,0,False,residential,,76.18,,,,,,,,,,,7021537,
54183641,54183648,0,False,residential,Sydney Street,75.41,,,,,,,,,,,7259484,
54183641,54205654,0,False,residential,Sydney Street,77.0,,,,,,,,,,,7259484,
54183643,54183641,0,False,residential,,188.869,,,,,,,,,,,7021537,
54183643,54444807,0,False,residential,Seattle Street,155.526,,,,,,,,,,,7250680,
54183643,54573180,0,False,residential,Seattle Street,154.732,,,,,,,,,,,7250680,
54183647,54183648,0,False,residential,,153.157,,,,,,,,,,,7021540,
54183648,54183651,0,False,residential,,129.922,,,,,,,,,,,7021540,
54183648,54183647,0,False,residential,,153.157,,,,,,,,,,,7021540,
54183648,54183641,0,False,residential,Sydney Street,75.41,,,,,,,,,,,7259484,
54183651,54183648,0,False,residential,,129.922,,,,,,,,,,,7021540,
54194664,54183639,0,False,residential,,148.412,,,,,,,,,,,7027026,
54197837,54590241,0,False,residential,Aster Street,38.503,,,,,,,,,,,7262282,
54197837,54383076,0,False,residential,Glenwood Avenue,138.78,,,,,,,,,,,7132846,
54197837,54281447,0,False,residential,"['Balsam Way', 'Glenwood Avenue']",169.6,,,,,,,,,,,"[7111742, 7132846]",
54202431,3522755823,0,False,residential,,35.483,,,,,,,,,,,7031058,
54202431,54459610,0,False,residential,West Oakland Avenue,208.501,,,,,,,,,,,7177480,
54202431,54439158,0,False,residential,North Tahquitz Avenue,242.597,,,,,,,,,,,7164005,
54202431,54459611,0,False,residential,West Oakland Avenue,197.587,,,,,,,,,,,7177480,
54202433,3522755823,0,False,residential,,83.543,,,,,,,,,,,7031058,
54205654,54205656,0,False,residential,,110.373,,,,,,,,,,,7032703,
54205654,54183641,0,False,residential,Sydney Street,77.0,,,,,,,,,,,7259484,
54205654,54585922,0,False,residential,Sydney Street,103.409,,,,,,,,,,,7259484,
54205656,54205654,0,False,residential,,110.373,,,,,,,,,,,7032703,
54215287,54380979,0,False,residential,Garland Way,103.979,,,,,,,,,,,7279945,
54215287,54258223,0,False,residential,Arbor Parkway,241.356,,,,,,,,,,,"[7038113, 7239987]",
54215287,54343400,0,False,residential,West Whittier Avenue,235.21,,,,,,,,,,,7139103,
54223548,54366863,0,False,residential,Marion Avenue,80.296,,,,,,,,,,,7175724,
54223548,54477076,0,False,residential,South Thompson Street,85.0,,,,,,,,,,,7188315,
54223548,54223549,0,False,residential,,51.076,,,,,,,,,,,7042343,
54223548,54366859,0,False,residential,"['Shellie Lane', 'South Thompson Street']",155.691,,,,,,,,,,,"[7130872, 7188315]",
54223549,54223548,0,False,residential,,51.076,,,,,,,,,,,7042343,
54224396,54233057,0,False,residential,,42.482,,,,,,,,,,,7047858,
54224396,54224407,0,False,residential,,100.151,,,,,,,,,,,7042885,
54224396,54224457,0,False,residential,,100.203,,,,,,,,,,,7042885,
54224407,54224427,0,False,residential,,46.347,,,,,,,,,,,40533272,
54224407,54224411,0,False,residential,,158.613,,,,,,,,,,,7042885,
54224407,54224396,0,False,residential,,100.151,,,,,,,,,,,7042885,
54224411,2686117974,0,False,residential,,23.678,,,,,,,,,,,7042885,
54224411,54224407,0,False,residential,,158.613,,,,,,,,,,,7042885,
54224411,491654076,0,False,residential,,31.018,,,,,,,,,,,7042892,
54224427,54224407,0,False,residential,,46.347,,,,,,,,,,,40533272,
54224427,491654006,0,False,residential,,47.104,,,,,,,,,,,40533272,
54224427,491654036,0,False,residential,,127.88,,,,,,,,,,,7042892,
54224427,491654076,0,False,residential,,162.482,,,,,,,,,,,7042892,
54224452,54224455,0,False,residential,,67.822,,,,,,,,,,,7042892,
54224455,54224452,0,False,residential,,67.822,,,,,,,,,,,7042892,
54224455,54224457,0,False,residential,,42.912,,,,,,,,,,,7042892,
54224455,491653985,0,False,residential,,31.667,,,,,,,,,,,40533271,
54224457,54224396,0,False,residential,,100.203,,,,,,,,,,,7042885,
54224457,54224455,0,False,residential,,42.912,,,,,,,,,,,7042892,
54224457,491654036,0,False,residential,,42.313,,,,,,,,,,,7042892,
54224639,54224641,0,False,residential,,57.741,,,,,,,,,,,7043002,
54224639,54359150,0,False,residential,Soboba Street,200.414,,,,,,,,,,,40819501,
54224639,54568284,0,False,residential,Soboba Street,223.42,,,,,,,,,,,40819501,
54224641,54224639,0,False,residential,,57.741,,,,,,,,,,,7043002,
54224641,54420563,0,False,residential,"['Pike Drive', 'Vailwood Drive']",211.311,,,,,,,,,,,"[7261337, 7222775]",
54224641,54420563,1,False,residential,"['Pike Drive', 'Ashmead Drive', 'Colorado Drive']",492.898,,,,,,,,,,,"[7155072, 7261337, 7171473]",
54233057,54224396,0,False,residential,,42.482,,,,,,,,,,,7047858,
54236880,3950503662,0,False,residential,Fruitvale Avenue,199.355,,,,,,,,,,,7104404,
54236880,54443539,0,False,tertiary,Cawston Avenue,404.726,,,,,,,,,,,7167842,
54236880,3522772656,0,False,residential,White Pepper Drive,72.598,,,,25 mph,,,,,,,7049907,
54236880,54444806,0,False,tertiary,Cawston Avenue,405.533,,,,,,,,,,,7167842,
54238932,54238934,0,False,residential,,9.138,,,,,,,,,,,7051065,
54238932,1261816254,0,False,residential,Wentworth Drive,235.523,,,,,,,,,,,7158820,
54238932,496545477,0,False,residential,Cawston Avenue,121.561,,,,,,,,,,,7167845,
54238934,54238932,0,False,residential,,9.138,,,,,,,,,,,7051065,
54241700,54241702,0,False,residential,Roadrunner Drive,33.444,,,,,,,,,,,7052717,
54241700,54315115,0,False,residential,Chambers Street,190.163,,,,,,,,,,,7231794,
54241700,491657011,0,False,residential,Chambers Street,195.377,,,,,,,,,,,7231794,
54241702,54241703,0,False,residential,Roadrunner Drive,29.568,,,,,,,,,,,7052717,
54241702,54241700,0,False,residential,Roadrunner Drive,33.444,,,,,,,,,,,7052717,
