u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
660097,54249623,0,True,motorway_link,,360.301,,,,,,,,,,,7057394,
660097,600621897,0,True,motorway,Christopher Columbus Transcontinental Highway,721.929,3,,,70 mph,,,,,,,"[218896248, 118807754]",I 10
54128176,54128179,0,False,residential,,59.597,,,,,,,,,,,6993598,
54128176,54476331,0,False,residential,Elm Street,171.953,,,,,,,,,,,7288649,
54128176,54323752,0,False,residential,Elm Street,174.714,,,,,,,,,,,7288649,
54128179,54128176,0,False,residential,,59.597,,,,,,,,,,,6993598,
54128179,54325031,0,False,residential,North Palo Verde Drive,68.292,,,,,,,,,,,7098925,
54128179,54394975,0,False,residential,South Palo Verde Drive,65.443,,,,,,,,,,,7174151,
54129648,54193891,0,False,residential,,1320.398,,,,,,,,,,,"[7034965, 6994197]",
54135804,54135822,0,False,residential,,77.904,,,,,,,,,,,185883673,
54135804,54135809,0,False,residential,,76.656,,,,,,,,,,,6997332,
54135804,54437508,0,False,residential,Ounderson Street,110.911,,,,,,,,,,,"[185883673, 7293246]",
54135809,54135804,0,False,residential,,76.656,,,,,,,,,,,6997332,
54135815,54226402,0,False,residential,,22.702,,,,,,,,,,,7044030,
54135815,54135822,0,False,residential,,157.31,,,,,,,,,,,185883673,
54135822,54135804,0,False,residential,,77.904,,,,,,,,,,,185883673,
54135822,54135872,0,False,residential,,46.356,,,,,,,,,,,6997366,
54135822,54135815,0,False,residential,,157.31,,,,,,,,,,,185883673,
54135872,54135822,0,False,residential,,46.356,,,,,,,,,,,6997366,
54135932,54135941,0,False,residential,,541.32,,,,,,,,,,,6997416,
54135932,54308995,0,False,residential,Madison Street,510.621,,,,,,,,,,,47104714,
54135932,600376115,0,False,residential,Madison Street,318.051,,,,,,,,,,,47104714,
54135941,54308995,0,False,secondary,Avenue 42,140.952,2,,,,,,,,,,47104752,
54135941,54135932,0,False,residential,,541.32,,,,,,,,,,,6997416,
54135941,54308998,0,False,secondary,Avenue 42,1465.588,2,,,,,,,,,,47104752,
54136686,54136688,0,False,residential,,142.598,,,,,,,,,,,6997740,
54136688,54136686,0,False,residential,,142.598,,,,,,,,,,,6997740,
54136688,54136692,0,False,tertiary,Jefferson Street,100.967,,,,,,,,,,,7176455,
