u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
54126027,54126030,0,False,tertiary,Philadelphia Street,215.944,,,,,,,,,,,77386576,
54126027,54385104,0,False,residential,Chablis Avenue,195.628,,,,,,,,,,,7302121,
54126030,54541478,0,False,residential,Vintage Place,54.017,,,,,,,,,,,7230120,
54126030,54126027,0,False,tertiary,Philadelphia Street,215.944,,,,,,,,,,,77386576,
54126037,54329443,0,False,residential,Cabernet Drive,61.147,,,,,,,,,,,7101445,
54126037,54126044,0,False,tertiary,Philadelphia Street,389.033,,,,,,,,,,,77386576,
54126044,54126037,0,False,tertiary,Philadelphia Street,389.033,,,,,,,,,,,77386576,
54126044,54397325,0,False,residential,Chardoney Way,61.293,2,,,,,,,,,,7228280,
54126058,54126059,0,False,tertiary,East Philadelphia Street,332.564,2,,,40,,,,,,,77593910,
54126058,54143506,0,False,tertiary,East Philadelphia Street,469.253,2,,,40,,,,,,,77593910,
54126058,54437785,0,False,residential,Venture Drive,259.179,2,,,,,,,,,,7163096,
54126059,54126066,0,False,tertiary,East Philadelphia Street,582.259,2,,,40,,,,,,,77593910,
54126059,54126058,0,False,tertiary,East Philadelphia Street,332.564,2,,,40,,,,,,,77593910,
54126066,54437809,0,False,residential,Universe Drive,418.479,,,,,,,,,,,7247805,
54126066,54126059,0,False,tertiary,East Philadelphia Street,582.259,2,,,40,,,,,,,77593910,
54126066,54126075,0,False,"['residential', 'tertiary']","['East Philadelphia Street', 'Philadelphia Street']",864.094,2,,,"['45 mph', '40']",,,yes,,,,"[37864699, 37864700, 77593910]",
54126075,54126066,0,False,"['tertiary', 'residential']","['East Philadelphia Street', 'Philadelphia Street']",864.094,2,,,"['40', '45 mph']",,,yes,,,,"[37864699, 37864700, 77593910]",
54135553,54440317,0,False,residential,Via Cerro,272.645,3,,,,,,,,,,"[7164851, 575750540]",
54135553,54458774,0,False,secondary,Market Street,322.501,"['3', '4']",,,,,,,,,,"[474908136, 474908137, 474908138, 474908139]",
54135553,54135555,0,False,residential,24th Street,22.976,3,,,,,,,,,,575750538,
54135555,54313997,0,False,residential,24th Street,263.914,,,,,,,,,,,7092828,
54135555,54135553,0,False,residential,24th Street,22.976,3,,,,,,,,,,575750538,
54135555,54323461,0,False,residential,"['Bell Avenue', '24th Street']",289.007,2,,,,,,,,,,"[7098017, 575750537, 575750539]",
54143506,54126058,0,False,tertiary,East Philadelphia Street,469.253,2,,,40,,,,,,,77593910,
54143506,54310647,0,False,primary,Etiwanda Avenue,347.417,7,,,55 mph,,,,,,,"[474895888, 474895915, 474895885, 474895887]",
54148334,54417235,0,False,residential,Karen Lane,73.74,,,,,,,,,,,7177577,
54151797,54151817,0,False,residential,,34.122,,,,,,,,,,,7058637,
54151797,54251645,0,False,residential,,42.767,,,,,,,,,,,7058637,
54151797,54151813,0,False,residential,,335.707,,,,,,,,,,,7005501,
54151813,54151817,0,False,residential,,108.348,,,,,,,,,,,7005501,
54151813,54151817,1,False,residential,,114.907,,,,,,,,,,,"[7005515, 7058637]",
54151813,54151797,0,False,residential,,335.707,,,,,,,,,,,7005501,
54151817,54151797,0,False,residential,,34.122,,,,,,,,,,,7058637,
54151817,54151813,0,False,residential,,108.348,,,,,,,,,,,7005501,
54151817,54151813,1,False,residential,,114.907,,,,,,,,,,,"[7005515, 7058637]",
54151867,54151869,0,False,residential,,97.43,,,,,,,,,,,7005533,
54151867,54529527,0,False,residential,Byrne Road,38.969,,,,,,,,,,,7222423,
54151867,54517656,0,False,residential,Byrne Road,281.681,,,,,,,,,,,7222423,
54151869,54151867,0,False,residential,,97.43,,,,,,,,,,,7005533,
54154517,54376651,0,False,residential,Scenic Drive,273.337,,,,,,,,,,,7180025,
54154563,5486579533,0,False,residential,29th Street,32.556,,,,,,,,,,,7247093,
54157168,412222674,0,True,motorway,Pomona Freeway,424.021,5,,,,,,yes,,,,"[37060755, 172483772, 172483773]",CA 60
54160361,5373988371,0,False,residential,Lauren Lane,1129.44,,,,,,,,,,,"[7271548, 557180109]",
54165561,54165562,0,False,residential,,159.839,,,,,,,,,,,7012072,
54165562,54165561,0,False,residential,,159.839,,,,,,,,,,,7012072,
54165562,54455766,0,False,residential,Avenue Juan Diaz,42.203,,,,,,,,,,,7174945,
54165562,3945013754,0,False,residential,Avenue Juan Diaz,592.674,,,,,,,,,,,7174945,
54170872,5373988371,0,False,residential,,44.567,,,,,,,,,,,7015014,
54170872,54517453,0,False,residential,Sandra Drive,152.13,,,,,,,,,,,7340897,
54170872,54544394,0,False,residential,Mc Laren Lane,117.293,,,,,,,,,,,7276530,
