u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
122564852,122993129,0,False,residential,Sea Horse Cove,160.197,,,,,,,,,,,"[13279514, 13351022]",
122565242,122565246,0,False,residential,,41.467,,,,,,,,,,,13279575,
122565242,122779020,0,False,residential,Tessier,97.086,,,,,,,,,,,13313053,
122565242,122779017,0,False,residential,Tessier,85.094,,,,,,,,,,,13313053,
122565246,122565242,0,False,residential,,41.467,,,,,,,,,,,13279575,
122565246,122565260,0,False,residential,,113.905,,,,,,,,,,,13279575,
122565246,122565260,1,False,residential,,75.098,,,,,,,,,,,13279587,
122565260,122565246,0,False,residential,,113.905,,,,,,,,,,,13279575,
122565260,122565246,1,False,residential,,75.098,,,,,,,,,,,13279587,
122565260,122565345,0,False,residential,,76.911,,,,,,,,,,,13279587,
122565345,122565260,0,False,residential,,76.911,,,,,,,,,,,13279587,
122565363,122565370,0,False,residential,,66.607,,,,,,,,,,,13284391,
122565370,122565363,0,False,residential,,66.607,,,,,,,,,,,13284391,
122565373,122565376,0,False,residential,,87.488,,,,,,,,,,,13285213,
122565376,122565373,0,False,residential,,87.488,,,,,,,,,,,13285213,
122566359,122566366,0,False,residential,,64.525,,,,,,,,,,,13279702,
122566359,122566441,0,False,residential,,149.221,,,,,,,,,,,13279708,
122566359,122566403,0,False,residential,,74.382,,,,,,,,,,,13279708,
122566366,122566359,0,False,residential,,64.525,,,,,,,,,,,13279702,
122566366,122566403,0,False,residential,,176.239,,,,,,,,,,,13279702,
122566366,122566441,0,False,residential,,151.125,,,,,,,,,,,13279708,
122566403,122566366,0,False,residential,,176.239,,,,,,,,,,,13279702,
122566403,122566359,0,False,residential,,74.382,,,,,,,,,,,13279708,
122566403,122566424,0,False,residential,,66.96,,,,,,,,,,,13279708,
122566424,122566403,0,False,residential,,66.96,,,,,,,,,,,13279708,
122566424,4533164632,0,False,residential,,53.343,,,,,,,,,,,13286858,
122566424,122611558,0,False,residential,,58.391,,,,,,,,,,,13286858,
122566441,122566366,0,False,residential,,151.125,,,,,,,,,,,13279708,
122566441,122566359,0,False,residential,,149.221,,,,,,,,,,,13279708,
122566441,122566470,0,False,residential,,48.014,,,,,,,,,,,13279711,
122566470,122566441,0,False,residential,,48.014,,,,,,,,,,,13279711,
122566470,122996057,0,False,tertiary,Rancho Niguel Road,109.297,"['3', '4']",,,,,,,,,,"[491974952, 491974956, 491974957]",
122566470,122996047,0,False,tertiary,Rancho Niguel Road,151.163,3,,,,,,,,,,491974957,
122568174,5471781011,0,False,residential,,24.359,,,,,,,,,,,13279895,
122568174,122687608,0,False,tertiary,Niguel Road,86.14,4,,,40 mph,,,,,,,61148263,
122568174,122687605,0,False,tertiary,Niguel Road,43.304,4,,,40 mph,,,,,,,61148263,
122568180,122568196,0,False,residential,,187.044,,,,,,,,,,,13279895,
122568180,5471781011,0,False,residential,,31.33,,,,,,,,,,,13279895,
122568180,122568224,0,False,residential,,43.124,,,,,,,,,,,13279904,
122568196,122568180,0,False,residential,,187.044,,,,,,,,,,,13279895,
122568224,122568180,0,False,residential,,43.124,,,,,,,,,,,13279904,
122569452,122569453,0,False,residential,,26.304,,,,,,,,,,,13280118,
122569452,122852179,0,False,residential,Flying Cloud Drive,129.21,,,,,,,,,,,13369990,
122569452,122852162,0,False,residential,Flying Cloud Drive,197.985,,,,,,,,,,,13369990,
122569453,122569455,0,False,residential,,25.16,,,,,,,,,,,13280118,
122569453,122569452,0,False,residential,,26.304,,,,,,,,,,,13280118,
122569453,122578219,0,False,residential,,59.004,,,,,,,,,,,13281173,
122569455,122569453,0,False,residential,,25.16,,,,,,,,,,,13280118,
122569455,122569476,0,False,residential,,81.027,,,,,,,,,,,13280118,
122569455,557865114,0,False,residential,,112.528,,,,,,,,,,,13280128,
122569455,122569497,0,False,residential,,68.639,,,,,,,,,,,13280128,
122569476,123097441,0,False,residential,Flying Cloud Drive,22.34,,,,,,,,,,,13369987,
122569476,557865608,0,False,residential,,119.242,,,,,,,,,,,13280118,
122569476,122569455,0,False,residential,,81.027,,,,,,,,,,,13280118,
122569497,122578226,0,False,residential,,70.112,,,,,,,,,,,"[13280120, 13281175]",
