u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
54127302,54127303,0,False,residential,,213.65,,,,,,,,,,,6993220,
54127302,54435499,0,False,residential,Hammack Avenue,333.895,,,,,,,,,,,7161752,
54127302,54160406,0,False,residential,Hammack Avenue,325.289,,,,,,,,,,,7161752,
54127303,54127302,0,False,residential,,213.65,,,,,,,,,,,6993220,
54127303,54127328,0,False,residential,,945.825,,,,,,,,,,,6993220,
54127303,54160406,0,False,residential,,388.931,,,,,,,,,,,7009451,
54127328,54210959,0,False,residential,,41.415,,,,,,,,,,,7063258,
54127328,54127303,0,False,residential,,945.825,,,,,,,,,,,6993220,
54127328,54185432,0,False,residential,,319.19,,,,,,,,,,,7063258,
54135423,54135425,0,False,residential,White Oak,53.078,,,,,,,,,,,6997142,
54135423,54391553,0,False,residential,Laurelwood Lane,96.867,,,,,,,,,,,7223724,
54135423,54391564,0,False,residential,White Oak,201.509,,,,,,,,,,,6997142,
54135425,54135423,0,False,residential,White Oak,53.078,,,,,,,,,,,6997142,
54135425,54514058,0,False,residential,,62.83,,,,,,,,,,,179652791,
54135425,54135429,0,False,residential,White Oak,154.125,,,,,,,,,,,6997142,
54135429,54135425,0,False,residential,White Oak,154.125,,,,,,,,,,,6997142,
54138935,54530371,0,False,unclassified,Walker Canyon Road,1723.122,,,,,,,,,,,7223066,
54139149,54359408,0,False,secondary,Main Street,198.865,,,,,,,,,,,7272206,
54139149,54196524,0,False,secondary,Main Street,141.621,,,,,,,,,,,7272206,
54139149,411253427,0,True,motorway_link,,685.502,,,,,,,,,,,35077577,
54140797,54486108,0,False,residential,Skyline Drive,191.65,,,,,,,,,,,7193891,
54140797,54285080,0,False,residential,Illinois Street,61.376,,,,,,,,,,,7319387,
54140797,54426687,0,False,residential,Illinois Street,67.712,,,,,,,,,,,7319387,
54140955,54140963,0,False,residential,,223.142,,,,,,,,,,,6999871,
54140963,54140955,0,False,residential,,223.142,,,,,,,,,,,6999871,
54141029,411253925,0,True,motorway_link,,382.965,,,,,,,,,,,35064118,
54141029,54181569,0,False,primary,Central Avenue,161.19,4,,,,,,,,,,69718931,CA 74
54141029,54639393,0,False,primary,Central Avenue,102.487,4,,,,,,,,,,69718931,CA 74
54148814,54148816,0,False,residential,,111.202,,,,,,,,,,,7003859,
54148814,54410021,0,False,residential,North Riley Street,141.848,,,,,,,,,,,7208733,
54148814,54509073,0,False,residential,North Riley Street,62.937,,,,,,,,,,,7208733,
54148816,54148818,0,False,residential,,108.761,,,,,,,,,,,7003859,
54148816,54148814,0,False,residential,,111.202,,,,,,,,,,,7003859,
54148816,54410022,0,False,residential,North Langstaff Street,140.538,,,,,,,,,,,292666752,
54148816,54628973,0,False,residential,North Langstaff Street,65.928,,,,,,,,,,,292666752,
54148818,54148819,0,False,residential,,110.745,,,,,,,,,,,7003859,
54148818,54148816,0,False,residential,,108.761,,,,,,,,,,,7003859,
54148818,54362217,0,False,residential,Poe Street,139.665,,,,,,,,,,,7120697,
54148818,54362214,0,False,residential,Poe Street,65.304,,,,,,,,,,,7120697,
54148819,54148822,0,False,residential,,110.149,,,,,,,,,,,7003859,
54148819,54148818,0,False,residential,,110.745,,,,,,,,,,,7003859,
54148819,54522591,0,False,residential,North Lindsay Street,66.201,,,,,,,,,,,7217864,
54148819,54410023,0,False,residential,North Lindsay Street,139.32,,,,,,,,,,,7217864,
54148822,54148824,0,False,residential,,109.334,,,,,,,,,,,7003859,
54148822,54148819,0,False,residential,,110.149,,,,,,,,,,,7003859,
54148822,54585676,0,False,residential,North Kellogg Street,64.996,,,,,,,,,,,7259351,
54148822,54410025,0,False,residential,North Kellogg Street,139.54,,,,,,,,,,,7259351,
54148824,54148822,0,False,residential,,109.334,,,,,,,,,,,7003859,
54148824,54290718,0,False,residential,North Lowell Street,65.059,,,,,,,,,,,7080347,
54148824,54290720,0,False,residential,North Lowell Street,139.511,,,,,,,,,,,7080347,
54151948,54375770,0,False,tertiary,Trellis Lane,156.207,,,,,,,,,,,7212051,
54151948,1239498555,0,False,residential,Sonia Drive,257.084,,,,,,,,,,,107942089,
54151948,1239498210,0,False,residential,Sonia Drive,22.608,,,,,,,,,,,107942089,
54151951,1239497952,0,False,residential,Ardenwood Way,447.308,,,,,,,,,,,107942122,
54151951,54639370,0,False,primary,Central Avenue,275.151,"['5', '6']",,,,,,,,,,"[490434763, 490434764, 490434765, 490434766]",CA 74
54151951,54375244,0,False,primary,Central Avenue,391.181,"['5', '6']",,,,,,,,,,"[490434767, 490434768, 490434769, 490434770, 490434771]",CA 74
54160406,54127303,0,False,residential,,388.931,,,,,,,,,,,7009451,
54160406,54248713,0,False,residential,,1087.749,,,,,,,,,,,7056972,
54160406,54127302,0,False,residential,Hammack Avenue,325.289,,,,,,,,,,,7161752,
54162394,54162395,0,False,residential,,91.543,,,,,,,,,,,7010544,
54162395,54162394,0,False,residential,,91.543,,,,,,,,,,,7010544,
54167827,54311518,0,False,residential,Corte Raffini,39.486,,,,,,,,,,,7091538,
54167827,54425652,0,False,residential,Corte Rivera,124.876,,,,,,,,,,,7157270,
54167827,54377524,0,False,residential,Corte Rivera,104.12,,,,,,,,,,,7157270,
54169989,54497246,0,False,residential,Benedict Avenue,40.097,,,,,,,,,,,7201678,
54169995,54362704,0,False,residential,Bushman Avenue,97.104,,,,,,,,,,,7211679,
54169995,54497246,0,False,secondary,Lakeshore Drive,135.756,,,,,,,,,,,69733840,
54169995,54514092,0,False,secondary,Lakeshore Drive,281.83,,,,,,,,,,,69733840,
54172955,54172958,0,False,residential,Reid Street,62.353,,,,,,,,,,,7016046,
54172955,54420897,0,False,residential,Richard Street,68.571,,,,,,,,,,,7155225,
54172955,54385483,0,False,residential,Illinois Street,334.175,,,,,,,,,,,7319387,
54172955,54432530,0,False,residential,Illinois Street,315.489,,,,,,,,,,,7319387,
54172958,54172955,0,False,residential,Reid Street,62.353,,,,,,,,,,,7016046,
54172958,54172963,0,False,residential,Reid Street,77.203,,,,,,,,,,,7016046,
54172958,54182659,0,False,residential,Dempsey Avenue,457.651,,,,,,,,,,,7144364,
54172963,54323144,0,False,residential,Reid Street,151.719,,,,,,,,,,,7202566,
54172963,54172958,0,False,residential,Reid Street,77.203,,,,,,,,,,,7016046,
54172963,54402310,0,False,residential,Londos,177.045,,,,,,,,,,,"[7144440, 277455285]",
54174810,54174812,0,False,residential,,56.042,,,,,,,,,,,7017000,
54174810,54174810,0,False,residential,Lindbergh Circle,234.466,,,,,,,,,,,7249742,
54174810,54174810,1,False,residential,Lindbergh Circle,234.466,,,,,,,,,,,7249742,
54174812,54174810,0,False,residential,,56.042,,,,,,,,,,,7017000,
54174812,54327868,0,False,residential,Champion Avenue,71.523,,,,,,,,,,,7296119,
54174812,54327862,0,False,residential,Champion Avenue,118.139,,,,,,,,,,,7296119,
54175571,54530371,0,False,unclassified,Lake Street,81.225,,,,,,,,,,,7267874,
54175571,54175578,0,False,secondary,Lake Street,181.822,2,,,,,,,,,,117023123,
54175578,54175571,0,False,secondary,Lake Street,181.822,2,,,,,,,,,,117023123,
54175578,411253376,0,True,motorway_link,,513.611,,,,,,,,,,,7017390,
54175578,54308060,0,False,secondary,Lake Street,263.445,2,,,,,,yes,,,,"[539610938, 117023124, 117023127]",
54176404,54518103,0,False,residential,Dawes Street,128.238,,,,,,,,,,,109192600,
54176708,54279290,0,False,secondary,Diamond Drive,125.015,7,,,,,,,,,,177581634,
54176708,54259563,0,False,primary,"['Diamond Drive', 'Railroad Canyon Road']",174.065,7,,,,,,,,,,"[7103193, 7218738]",
54176708,411253444,0,True,motorway_link,,531.7,,,,,,,,,,,35064127,
54181569,54141029,0,False,primary,Central Avenue,161.19,4,,,,,,,,,,69718931,CA 74
54181569,411253416,0,True,motorway_link,,493.182,,,,,,,,,,,35064119,
54181569,54639386,0,False,primary,Central Avenue,223.344,4,,,,,,,,,,44707766,CA 74
54182657,54182659,0,False,residential,,145.835,,,,,,,,,,,7020989,
54182657,54506695,0,False,residential,Sunnyslope Avenue,202.435,,,,,,,,,,,7226505,
54182657,54506795,0,False,residential,Sunnyslope Avenue,237.605,,,,,,,,,,,7226505,
54182659,54182657,0,False,residential,,145.835,,,,,,,,,,,7020989,
54182659,54172958,0,False,residential,Dempsey Avenue,457.651,,,,,,,,,,,7144364,
54182659,54461874,0,False,residential,Stecher Avenue,534.93,,,,,,,,,,,7178876,
54185356,54185386,0,False,residential,,1360.002,,,,,,,,,,,7022437,
54185356,54213625,0,False,residential,,695.74,,,,,,,,,,,7037185,
54185386,54185388,0,False,residential,,127.655,,,,,,,,,,,7022437,
54185386,54185356,0,False,residential,,1360.002,,,,,,,,,,,7022437,
54185386,54226599,0,False,residential,,133.705,,,,,,,,,,,7044151,
54185388,54185386,0,False,residential,,127.655,,,,,,,,,,,7022437,
54185388,54185432,0,False,residential,,1512.087,,,,,,,,,,,7022437,
54185388,54226599,0,False,residential,,114.667,,,,,,,,,,,7044151,
54185432,54220563,0,False,residential,,33.402,,,,,,,,,,,7063258,
54185432,54185388,0,False,residential,,1512.087,,,,,,,,,,,7022437,
54185432,54127328,0,False,residential,,319.19,,,,,,,,,,,7063258,
54187445,3533865943,0,False,residential,Gunder Avenue,19.025,,,,,,,,,,,7221174,
54187445,54460852,0,False,residential,Gunder Avenue,76.072,,,,,,,,,,,7221174,
54187445,1335205166,0,False,residential,"['Marshall Avenue', 'Stoddard Street']",388.51,,,,,,,,,,,"[7170597, 7289790]",
54187447,3533865943,0,False,residential,,121.33,,,,,,,,,,,7023421,
54196524,54139149,0,False,secondary,Main Street,141.621,,,,,,,,,,,7272206,
54196524,54254159,0,False,secondary,Main Street,31.824,,,,,,,,,,,7272206,
54196524,411254003,0,True,motorway_link,,427.808,,,,,,,,,,,35077578,
54197037,54291026,0,False,residential,Vista Toscana,50.381,,,,,,,,,,,7080553,
54197037,54291010,0,False,residential,Vista Toscana,474.072,,,,,,,,,,,7080553,
54197037,54372917,0,False,residential,Vista Palermo,66.844,,,,,,,,,,,7126729,
54209325,54209327,0,False,residential,,61.541,,,,,,,,,,,7034811,
54209325,54288853,0,False,residential,Ulmer Street,79.816,,,,,,,,,,,7306486,
54209325,54460852,0,False,residential,"['McPherson Avenue', 'Pierce Avenue']",342.613,,,,,,,,,,,"[118778452, 7178279]",
54209325,3533865934,0,False,residential,Pierce Avenue,277.325,,,,,,,,,,,346940910,
54209327,54209325,0,False,residential,,61.541,,,,,,,,,,,7034811,
54209327,54357397,0,False,residential,Kalina Avenue,122.325,,,,,,,,,,,7214588,
54209327,54460823,0,False,residential,Kalina Avenue,69.339,,,,,,,,,,,7214588,
54210959,54127328,0,False,residential,,41.415,,,,,,,,,,,7063258,
54210959,54259585,0,False,residential,,397.855,,,,,,,,,,,7063258,
54213625,54185356,0,False,residential,,695.74,,,,,,,,,,,7037185,
54214827,1334197114,0,False,residential,,30.411,,,,,,,,,,,7037797,
54214827,54288850,0,False,residential,Gunnerson Street,65.044,,,,,,,,,,,7079408,
54214827,54288845,0,False,residential,Gunnerson Street,108.56,,,,,,,,,,,7079408,
54220563,54185432,0,False,residential,,33.402,,,,,,,,,,,7063258,
54220563,54220563,0,False,residential,,197.068,,,,,,,,,,,7040644,
54220563,54220563,1,False,residential,,197.068,,,,,,,,,,,7040644,
54226599,54185388,0,False,residential,,114.667,,,,,,,,,,,7044151,
54226599,54185386,0,False,residential,,133.705,,,,,,,,,,,7044151,
54226599,4617108733,0,False,unclassified,,849.061,,,,,,,,,,,467018527,
54226827,54296002,0,False,residential,Vista Avenue,376.915,,,,,,,,,,,7083211,
54226827,54248713,0,False,residential,Vista Avenue,184.474,,,,,,,,,,,7083211,
54238640,54388502,0,False,residential,Park Way,91.948,,,,,,,,,,,7135954,
54238640,54388497,0,False,residential,Park Way,102.712,,,,,,,,,,,7135954,
54238640,54498809,0,False,residential,Avenue 3,199.358,,,,,,,,,,,7267355,
