u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
90752374,90863033,0,False,residential,Springtime Avenue,82.552,,,,,,,,,,,10543910,
90752374,90827248,0,False,residential,Springtime Avenue,77.092,,,,,,,,,,,10543910,
90752374,90868564,0,False,residential,"['March Drive', 'Sweetbrier Place']",268.972,,,,,,,,,,,"[10529227, 10537830]",
90753056,90800490,0,True,motorway,,1012.417,2,,,65 mph,,,,,,,48255506,CA 120
90753056,90753065,0,True,motorway_link,,544.434,"['1', '2']",,,,,,,,,,"[392490920, 392490922]",
90753065,90800490,0,True,motorway_link,,547.647,1,,,,,,,,,,10533907,
90753065,90987906,0,False,tertiary,South Union Road,255.869,2,,,,,,,,,,25409474,
90753065,90801749,0,False,tertiary,South Union Road,379.188,"['3', '2']",,,,,,yes,,,,"[392490915, 392490916, 392490917, 392490918, 25409475]",
90753328,90753332,0,True,motorway_link,,520.35,"['1', '4']",,,,,,,,,,"[10529336, 262286949]",CA 120
90753328,90794375,0,True,motorway,,898.546,2,,,65 mph,,,yes,,,,"[174780803, 25386844, 25386839]",CA 99
90753332,90961290,0,False,primary,Yosemite Avenue,24.262,4,,,35 mph,,,,,,,181021648,CA 120
90753332,90794375,0,True,motorway_link,,387.529,2,,,,,,,,,,173055860,
90753332,90760644,0,True,primary,Yosemite Avenue,125.252,4,,,35 mph,,,,,,,185568325,CA 120
90753342,90818107,0,False,residential,Spreckels Avenue,40.979,,,,,,,,,,,10543665,
90753342,90753349,0,True,secondary_link,,107.427,,,,,,,,,,,10529341,
90753342,90954915,0,False,residential,Spreckels Avenue,84.97,,,,,,,,,,,10543665,
90753349,90836554,0,False,secondary,Yosemite Avenue,342.414,"['2', '4']",,,,,,,,,,"[392654705, 258916282]",
90753349,90954915,0,False,secondary,Yosemite Avenue,48.678,2,,,,,,,,,,258916282,
90753361,90760644,0,True,motorway_link,,368.717,"['1', '3']",,,,,,,,,,"[10529905, 392654706]",
90753361,1838805468,0,True,motorway,,882.5,2,,,65 mph,,,yes,,,,"[48255283, 25386845, 25386846]",CA 99
90760644,2481491853,0,True,motorway_link,,22.785,2,,,,,,,,,,173055859,CA 120
90760644,90836554,0,True,secondary,Yosemite Avenue,150.182,"['5', '2', '4']",,,,,,,,,,"[392654704, 240409019, 392654700, 392654703]",
90761961,1908693138,0,True,motorway_link,,719.744,1,,,,,,,,,,10530022,
90761961,1908693140,0,False,secondary,South Main Street,441.238,"['3', '2']",,,,,,yes,,,,"[25387296, 25387297, 180427564, 392628976, 392628978]",
90761961,90871681,0,False,tertiary,South Main Street,99.999,2,,,,,,,,,,185020247,
90761978,1908693138,0,True,motorway,,1190.259,2,,,65 mph,,,,,,,48255506,CA 120
90761978,90761961,0,True,motorway_link,,569.092,"['1', '2']",,,,,,,,,,"[392628993, 392628998]",
90762360,90859840,0,True,secondary,North Main Street,324.251,,,,,,,,,,,10539062,
90762360,90828556,0,False,secondary,North Main Street,206.79,4,,,,,,,,,,185568314,
90762378,91003582,0,False,residential,East Southland Road,267.668,,,,,,,,,,,10545967,
90762378,90762360,0,True,secondary,North Main Street,241.216,,,,,,,,,,,185568313,
90763253,90763254,0,False,residential,,14.764,,,,,,,,,,,10530148,
90763253,90792075,0,False,residential,,98.984,,,,,,,,,,,10533004,
90763253,90763253,0,False,residential,,355.255,,,,,,,,,,,10533923,
90763253,90763253,1,False,residential,,355.255,,,,,,,,,,,10533923,
90763254,90763253,0,False,residential,,14.764,,,,,,,,,,,10530148,
90763254,90992183,0,False,secondary,Moffat Boulevard,100.549,2,,,,,,,,,,10545171,
90763254,90940259,0,False,secondary,Moffat Boulevard,507.338,2,,,,,,,,,,10545171,
90763257,90763259,0,False,residential,,276.803,,,,,,,,,,,10530149,
90763259,90763257,0,False,residential,,276.803,,,,,,,,,,,10530149,
90763259,90820833,0,False,secondary,Austin Road,168.723,2,,,,,,,,,,34363732,
90763259,90844011,0,False,secondary,Austin Road,603.242,2,,,,,,,,,,34363732,
90767631,90767632,0,False,residential,,201.774,,,,,,,,,,,10530596,
