u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
54134650,54375968,0,False,residential,Dales Street,301.142,,,,,,,,,,,7128654,
54134650,54657550,0,False,residential,Shadel Road,137.619,,,,,,,,,,,117150645,
54134650,54287298,0,False,residential,Shadel Road,135.343,,,,,,,,,,,117150645,
54134650,4619123894,0,False,residential,,134.959,,,,,,,,,,,6996713,
54142918,54654543,0,False,residential,Glenhaven Place,103.553,,,,,,,,,,,7308051,
54142918,54585432,0,False,residential,Phoebe Road,204.505,,,,,,,,,,,7259217,
54142918,54476656,0,False,residential,Phoebe Road,190.231,,,,,,,,,,,7259217,
54143796,54568552,0,False,"['unclassified', 'residential']",Piping Rock Road,356.931,,,,,,,,,,,"[7318040, 7001386]",
54149734,54472673,0,False,residential,Wright Road,509.438,,,,,,,,,,,7185615,
54149734,54328562,0,False,residential,Wright Road,983.769,,,,,,,,,,,7185615,
54149734,4619058879,0,False,residential,,617.255,,,,,,,,,,,467260559,
54151497,54151497,0,False,residential,"['Round Trail', 'Coyote Circle']",361.282,,,,,,,,,,,"[7199224, 7260448]",
54151497,54151497,1,False,residential,"['Round Trail', 'Coyote Circle']",361.282,,,,,,,,,,,"[7199224, 7260448]",
54154987,54440126,0,False,residential,Quail Place,67.396,,,,,,,,,,,7187488,
54154987,54475867,0,False,residential,Quail Place,67.735,,,,,,,,,,,7187488,
54154987,54470051,0,True,residential,La Bertha Lane,605.125,,,,,,,,,,,557342400,
54154987,1386000761,0,False,residential,,105.221,,,,,,,,,,,7007108,
54167988,3615331084,0,False,residential,Briggs Road,21.662,,,,,,,,,,,7278568,
54167988,54614727,0,False,residential,Briggs Road,416.524,,,,,,,,,,,7278568,
54167988,3615331080,0,False,residential,,370.21,,,,,,,,,,,356052530,
54169160,54169165,0,False,residential,,185.493,,,,,,,,,,,7014091,
54169160,54441411,0,False,residential,Haun Road,97.565,,,,,,,,,,,7204790,
54169160,54502312,0,False,residential,Haun Road,734.083,,,,,,,,,,,7204790,
54169165,54441411,0,False,residential,Holland Road,112.049,,,,,,,,,,,7165461,
54169165,54169160,0,False,residential,,185.493,,,,,,,,,,,7014091,
54169165,54441408,0,False,residential,Holland Road,147.591,,,,,,,,,,,7165461,
54171019,54171021,0,False,residential,,119.828,,,,,,,,,,,7015091,
54171021,54171019,0,False,residential,,119.828,,,,,,,,,,,7015091,
54171021,54475868,0,False,residential,Quail Place,70.153,,,,,,,,,,,7187488,
54171021,54440126,0,False,residential,Quail Place,67.273,,,,,,,,,,,7187488,
54171021,54470054,0,False,residential,Kennedy Lane,605.203,,,,,,,,,,,7249562,
54173379,54387994,0,False,residential,Mountain View Place,63.393,,,,,,,,,,,7184159,
54176715,54176716,0,False,residential,,46.801,,,,,,,,,,,7018005,
54176716,54176715,0,False,residential,,46.801,,,,,,,,,,,7018005,
54176716,54465711,0,False,residential,San Quintin Road,82.82,,,,,,,,,,,7181198,
54176716,54306080,0,False,residential,Santa Rosalia Drive,60.802,,,,,,,,,,,7311582,
54176716,2450395908,0,False,residential,"['Rim Creek Path', 'Santa Rosalia Drive']",393.103,,,,,,,,,,,"[237089627, 7311582]",
54184734,54184735,0,False,residential,,70.164,,,,,,,,,,,7022084,
54184734,54345728,0,False,residential,Griffith Drive,236.91,,,,,,,,,,,7145616,
54184734,54345728,1,False,residential,"['Crews Hill Drive', 'Blue Hill Drive']",445.663,,,,,,,,,,,"[7111787, 7187115]",
54184735,54184734,0,False,residential,,70.164,,,,,,,,,,,7022084,
54190278,54365132,0,False,secondary,Scott Road,99.623,,,,,,,,,,,44867779,
54190278,411275338,0,True,motorway_link,,439.829,,,,,,,,,,,299374642,
54192889,1382723598,0,False,residential,,492.075,,,,,,,,,,,7026195,
54192889,54463382,0,False,residential,Wickerd Road,376.86,,,,,,,,,,,"[7026195, 7179916]",
54192889,54568847,0,False,residential,Avalon Lane,398.32,,,,,,,,,,,7247724,
54194590,54194593,0,False,residential,,294.817,,,,,,,,,,,7026988,
54194593,54194590,0,False,residential,,294.817,,,,,,,,,,,7026988,
54194593,54435350,0,False,secondary,Murrieta Road,91.738,,,,,,,,,,,117150872,
54194593,54517769,0,False,secondary,Murrieta Road,350.834,,,,,,,,,,,117150872,
54197041,54332294,0,False,residential,Sherman Road,152.962,,,,,,,,,,,7119739,
