u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
89287038,89457874,0,False,residential,"['Mondo Drive', 'Jackson Avenue']",241.942,,,,,,,,,,,"[10446889, 10433322]",
89287038,89457874,1,False,"['residential', 'tertiary']","['Monte Grosso Drive', 'Parsons Avenue']",273.223,,,,,,,,,,,"[10448170, 10444741]",
89287045,89417494,0,False,residential,Willowbrook Drive,66.593,,,,,,,,,,,10448468,
89287045,89422813,0,False,residential,Willowbrook Drive,76.588,,,,,,,,,,,10448468,
89287045,89422813,1,False,residential,"['North Portola Way', 'West Portola Way', 'Madrid Avenue']",242.68,,,,,,,,,,,"[10442018, 10433324, 10447519]",
89287045,89489506,0,False,residential,La Palma Avenue,120.302,,,,,,,,,,,10447160,
89287080,89287081,0,False,residential,Calimyrna Avenue,121.724,,,,,,,,,,,10433334,
89287080,2665164370,0,False,residential,Calimyrna Avenue,23.846,,,,,,,,,,,10433334,
89287080,89510868,0,False,residential,East Main Street,72.878,,,,,,,,,,,39664138,
89287080,89463642,0,False,residential,East Main Street,217.688,,,,,,,,,,,39664138,
89287081,89287083,0,False,residential,Calimyrna Avenue,122.083,,,,,,,,,,,10433334,
89287081,89287080,0,False,residential,Calimyrna Avenue,121.724,,,,,,,,,,,10433334,
89287081,89450766,0,False,residential,East 18th Street,73.947,,,,,,,,,,,10444146,
89287081,89450767,0,False,residential,East 18th Street,217.138,,,,,,,,,,,10444146,
89287083,89287084,0,False,residential,Calimyrna Avenue,122.386,,,,,,,,,,,10433334,
89287083,89287081,0,False,residential,Calimyrna Avenue,122.083,,,,,,,,,,,10433334,
89287083,89453434,0,False,residential,East 19th Street,217.098,,,,,,,,,,,10444340,
89287083,89453429,0,False,residential,East 19th Street,73.809,,,,,,,,,,,10444340,
89287084,89287086,0,False,residential,Calimyrna Avenue,121.668,,,,,,,,,,,10433334,
89287084,89287083,0,False,residential,Calimyrna Avenue,122.386,,,,,,,,,,,10433334,
89287084,89463643,0,False,residential,East 20th Street,216.925,,,,,,,,,,,10446942,
89287084,89499369,0,False,residential,East 20th Street,73.43,,,,,,,,,,,10446942,
89287086,89287087,0,False,residential,Calimyrna Avenue,118.471,,,,,,,,,,,10433334,
89287086,89287084,0,False,residential,Calimyrna Avenue,121.668,,,,,,,,,,,10433334,
89287086,89404345,0,False,residential,East 21st Street,93.835,,,,,,,,,,,10443316,
89287086,89440215,0,False,residential,East 21st Street,72.968,,,,,,,,,,,10443316,
89287087,89287086,0,False,residential,Calimyrna Avenue,118.471,,,,,,,,,,,10433334,
89287087,89404346,0,False,residential,East 22nd Street,93.005,,,,,,,,,,,10446031,
89287087,89287092,0,False,residential,Calimyrna Avenue,106.119,,,,,,,,,,,10433334,
89287092,89430938,0,False,residential,Orchard Lane,77.384,,,,,,,,,,,10447509,
89287092,89480653,0,False,residential,Orchard Lane,45.049,,,,,,,,,,,10447509,
89287092,89287087,0,False,residential,Calimyrna Avenue,106.119,,,,,,,,,,,10433334,
89287115,89287117,0,False,residential,North Dome Court,119.363,,,,,,,,,,,10433340,
89287115,89409223,0,False,residential,Joerg Avenue,87.638,,,,,,,,,,,10441338,
89287115,89409221,0,False,residential,Joerg Avenue,85.132,,,,,,,,,,,10441338,
89287115,89447107,0,False,residential,Tioga Court,113.439,,,,,,,,,,,10443753,
89287117,89287115,0,False,residential,North Dome Court,119.363,,,,,,,,,,,10433340,
89287172,89486402,0,False,residential,West Donna Drive,31.025,,,,,,,,,,,10446180,
89287172,89287178,0,False,residential,La Jolla Drive,95.48,,,,,,,,,,,10433344,
89287172,89474959,0,False,residential,West Donna Drive,104.528,,,,,,,,,,,10446180,
89287178,89499345,0,False,residential,La Jolla Court West,25.663,,,,,,,,,,,10446939,
89287178,89287172,0,False,residential,La Jolla Drive,95.48,,,,,,,,,,,10433344,
89287178,89480346,0,False,residential,"['La Jolla Way', 'North San Pablo Avenue']",300.935,,,,,,,,,,,"[10446000, 10444508]",
89287221,89287223,0,False,tertiary,East Yosemite Avenue,109.804,,,,,,,,,,,10433354,
89287221,558605837,0,False,tertiary,East Yosemite Avenue,415.365,,,,,,,,,,,10433354,
89287221,89459809,0,False,residential,Mansionette Drive,251.983,,,,,,,,,,,10447518,
89287223,89287225,0,False,tertiary,East Yosemite Avenue,280.56,,,,,,,,,,,10433354,
89287223,89287221,0,False,tertiary,East Yosemite Avenue,109.804,,,,,,,,,,,10433354,
89287223,89417917,0,False,residential,Cordova Avenue,171.368,,,,,,,,,,,10444060,
89287225,89287227,0,False,tertiary,East Yosemite Avenue,208.49,,,,,,,,,,,10433354,
89287225,89287223,0,False,tertiary,East Yosemite Avenue,280.56,,,,,,,,,,,10433354,
89287225,89490805,0,False,tertiary,Paulson Road,46.95,,,,,,,,,,,10446472,
89287225,89490797,0,False,tertiary,Paulson Road,246.772,,,,,,,,,,,10446472,
89287227,89287228,0,False,tertiary,East Yosemite Avenue,144.116,,,,,,,,,,,10433354,
89287227,89287225,0,False,tertiary,East Yosemite Avenue,208.49,,,,,,,,,,,10433354,
89287227,89475328,0,False,residential,Quail Avenue,175.945,,,,,,,,,,,10445782,
89287228,89287230,0,False,tertiary,East Yosemite Avenue,121.04,,,,,,,,,,,10433354,
89287228,89287227,0,False,tertiary,East Yosemite Avenue,144.116,,,,,,,,,,,10433354,
89287228,89409223,0,False,residential,Joerg Avenue,65.071,,,,,,,,,,,10441338,
89287230,89287228,0,False,tertiary,East Yosemite Avenue,121.04,,,,,,,,,,,10433354,
89287230,89516546,0,False,residential,White Dove Avenue,174.132,,,,,,,,,,,10448364,
89287230,373805296,0,False,tertiary,East Yosemite Avenue,325.101,,,,,,,,,,,10433354,
89287269,89287280,0,False,residential,Villa Drive,80.271,,,,,,,,,,,10433362,
89287269,89450095,0,False,residential,East 27th Street,321.955,,,,,,,,,,,10447342,
89287269,89453652,0,False,residential,East 27th Street,93.755,,,,,,,,,,,10447342,
