u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
55937178,55955484,0,False,tertiary,Terrace Drive,29.758,,,,,,,,,,,203306100,
55937178,2705666521,0,False,tertiary,Terrace Drive,7.951,,,,,,,,,,,203306100,
55937178,2705666520,0,False,residential,Foxboro Drive,191.165,,,,,,,,,,,7697808,
55937185,55937193,0,False,residential,Wilkins Avenue,337.492,,,,,,,,,,,7697810,
55937185,55971220,0,False,residential,Wilkins Court,108.641,,,,,,,,,,,7702179,
55937185,55949398,0,False,residential,Kansas Avenue,155.976,,,,,,,,,,,493587589,
55937185,55949396,0,False,residential,Kansas Avenue,129.453,,,,,,,,,,,493587589,
55937193,55937197,0,False,residential,Wilkins Avenue,105.185,,,,,,,,,,,7697810,
55937193,55937185,0,False,residential,Wilkins Avenue,337.492,,,,,,,,,,,7697810,
55937193,55965659,0,False,tertiary,Shetler Avenue,129.108,,,,,,,,,,,7702763,
55937197,55937193,0,False,residential,Wilkins Avenue,105.185,,,,,,,,,,,7697810,
55937197,55937210,0,False,residential,Wilkins Avenue,159.589,,,,,,,,,,,7697810,
55937210,55972489,0,False,tertiary,Imola Avenue,104.464,,,,,,,,,,,7699562,
55937210,55953778,0,False,tertiary,Imola Avenue,131.784,,,,,,,,,,,7699562,
55937210,55937197,0,False,residential,Wilkins Avenue,159.589,,,,,,,,,,,7697810,
55937235,55937237,0,False,residential,Wales Street,82.757,,,,,,,,,,,7697813,
55937235,55956727,0,False,residential,Oxford Street,161.88,,,,,,,,,,,7699944,
55937235,55956725,0,False,residential,Oxford Street,381.845,,,,,,,,,,,7699944,
55937237,55937242,0,False,residential,Wales Street,75.546,,,,,,,,,,,7697813,
55937237,55937235,0,False,residential,Wales Street,82.757,,,,,,,,,,,7697813,
55937237,55964159,0,False,residential,Dover Street,262.585,,,,,,,,,,,7701607,
55937237,55963243,0,False,residential,Dover Street,228.371,,,,,,,,,,,7701607,
55937242,55937237,0,False,residential,Wales Street,75.546,,,,,,,,,,,7697813,
55937242,55963244,0,False,residential,Norfolk Street,225.154,,,,,,,,,,,7702087,
