u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
30033788,345571467,0,True,motorway,Redwood Highway,1523.357,4,,,65 mph,,,,,,,394427801,US 101
110345045,110345047,0,False,residential,Elmview Way,71.214,,,,,,,,,,,12169847,
110345045,110437004,0,False,residential,Oak Grove Way,110.397,,,,,,,,,,,12189440,
110345045,110427858,0,False,residential,Oak Grove Way,308.447,,,,,,,,,,,12189440,
110345047,110345061,0,False,residential,Elmview Way,182.197,,,,,,,,,,,12169847,
110345047,110345045,0,False,residential,Elmview Way,71.214,,,,,,,,,,,12169847,
110345047,110460517,0,False,residential,Hollyleaf Way,146.935,,,,,,,,,,,395344030,
110345047,110460512,0,False,residential,Hollyleaf Way,198.493,,,,,,,,,,,"[12190633, 395344029, 395344030]",
110345061,110345047,0,False,residential,Elmview Way,182.197,,,,,,,,,,,12169847,
110345077,110345080,0,False,residential,Reichert Avenue,90.178,,,,,,,,,,,12169856,
110345077,2504505457,0,False,residential,"['Franklin Avenue', 'Lamont Avenue', 'Alice Street']",469.661,,,,,,,,,,,"[12179195, 12185772, 12188502]",
110345077,110387995,0,False,residential,Lamont Avenue,167.439,,,,,,,,,,,276702513,
110345080,110345083,0,False,residential,Reichert Avenue,158.174,,,,,,,,,,,12169856,
110345080,110345077,0,False,residential,Reichert Avenue,90.178,,,,,,,,,,,12169856,
110345080,2504505459,0,False,residential,Reichert Court,72.304,,,,,,,,,,,12176361,
110345083,110345080,0,False,residential,Reichert Avenue,158.174,,,,,,,,,,,12169856,
110345083,3547490424,0,False,residential,Reichert Avenue,160.897,,,,,,,,,,,12169856,
110345083,110415614,0,False,residential,Hayden Avenue,285.89,,,,,,,,,,,12180756,
110345090,349878000,0,False,residential,Reichert Avenue,32.705,,,,,,,,,,,12169856,
110345090,3547490424,0,False,residential,Reichert Avenue,32.876,,,,,,,,,,,12169856,
110345090,110460484,0,False,residential,Carlile Drive,93.29,,,,,,,,,,,12190626,
110345094,349878000,0,False,residential,Reichert Avenue,9.813,,,,,,,,,,,573806293,
110345094,110424806,0,True,secondary,De Long Avenue,116.094,,,,,,,,,,,573806295,
110345094,110345099,0,False,residential,Reichert Avenue,138.699,,,,,,,,,,,573806296,
110345099,110420606,0,False,residential,Grant Avenue,115.15,,,,,,,,,,,573807846,
110345099,110345101,0,False,residential,Reichert Avenue,60.152,,,,,,,,,,,573807850,
110345099,110383272,0,False,residential,Grant Avenue,68.823,,,,,,,,,,,12182118,
110345099,110345094,0,False,residential,Reichert Avenue,138.699,,,,,,,,,,,573806296,
110345101,110381275,0,False,residential,Scown Lane,229.646,,,,,,,,,,,12175069,
110345101,110345099,0,False,residential,Reichert Avenue,60.152,,,,,,,,,,,573807850,
110345101,110351673,0,False,residential,"['Sweetser Avenue', 'Reichert Avenue']",198.096,,,,,,,,,,,"[12183081, 573807850]",
110345125,2506209241,0,False,residential,Dow Lane,145.289,,,,,,,,,,,12169861,
110346879,110346884,0,False,residential,,102.863,,,,,,,,,,,12170151,
110346879,110383639,0,False,residential,Deer Island Lane,316.735,,,,,,,,,,,12175532,
110346884,110346879,0,False,residential,,102.863,,,,,,,,,,,12170151,
110347168,346024793,0,False,residential,Bridle Path Lane,48.279,,,,,,,,,,,12174916,
110347168,110347170,0,False,residential,Bridle Path Lane,40.851,,,,,,,,,,,12174916,
110347168,110386766,0,False,residential,Elizabeth Way,49.211,,,,,,,,,,,12175921,
110347170,110347179,0,False,residential,,35.868,,,,,,,,,,,12170198,
110347170,110347168,0,False,residential,Bridle Path Lane,40.851,,,,,,,,,,,12174916,
110347170,110347175,0,False,residential,Bridle Path Lane,88.701,,,,,,,,,,,12174916,
110347175,110347170,0,False,residential,Bridle Path Lane,88.701,,,,,,,,,,,12174916,
110347175,110398275,0,False,residential,Sundance Way,44.882,,,,,,,,,,,12177483,
110347175,110398263,0,False,residential,Sundance Way,76.974,,,,,,,,,,,12177483,
110347175,346023295,0,False,residential,Fox Hollow Place,66.716,,,,,,,,,,,12178878,
110347179,110347170,0,False,residential,,35.868,,,,,,,,,,,12170198,
110351673,110395775,0,False,residential,Sweetser Avenue,86.895,,,,,,,,,,,12183081,
110351673,110345101,0,False,residential,"['Reichert Avenue', 'Sweetser Avenue']",198.096,,,,,,,,,,,"[12183081, 573807850]",
110351673,110395778,0,False,residential,Nugent Lane,144.221,,,,,,,,,,,12190581,
110355838,110370414,0,False,secondary,Rowland Boulevard,349.787,6,,,35 mph,,,yes,,,,"[30678050, 392640486, 399067878, 399067880, 399067882, 399067889, 399067890, 30678045]",
110355838,257876439,0,True,motorway_link,,498.571,"['1', '3', '2']",,,,,,,,,,"[399067922, 394408687, 292097574, 394408695]",
110355838,1222685917,0,True,secondary,Rowland Boulevard,136.615,5,,,35 mph,,,,,,,"[399067897, 399067893, 399067902]",
110355854,257876439,0,True,motorway,Redwood Highway,967.436,3,,,65 mph,,,,,,,123741501,US 101
