u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
54128825,54146549,0,False,residential,Mesquite Court,14.248,,,,,,,,,,,7002685,
54128825,1914178186,0,False,residential,Mesquite Court,14.572,,,,,,,,,,,180972406,
54128825,54578815,0,False,residential,Mesquite Court,107.842,,,,,,,,,,,180972406,
54131603,54346827,0,False,residential,Starburst Drive,21.034,,,,,,,,,,,7112414,
54131603,2117152892,0,False,residential,,34.171,,,,,,,,,,,6995126,
54131603,54225852,0,False,residential,Starburst Drive,195.221,,,,,,,,,,,7112414,
54134152,54134154,0,False,residential,,55.12,,,,,,,,,,,6996502,
54134152,54321766,0,False,residential,Via Rengo,88.304,,,,,,,,,,,7251373,
54134152,54383369,0,False,residential,"['Via Osorno', 'Via Rengo']",94.762,,,,,,,,,,,"[7133058, 7251373]",
54134154,54134156,0,False,residential,,57.884,,,,,,,,,,,6996502,
54134154,54134152,0,False,residential,,55.12,,,,,,,,,,,6996502,
54134154,54321764,0,False,residential,Via Reneca,87.722,,,,,,,,,,,7170796,
54134154,54449142,0,False,residential,Via Reneca,47.774,,,,,,,,,,,7170796,
54134156,54134154,0,False,residential,,57.884,,,,,,,,,,,6996502,
54134156,54321762,0,False,residential,Via Pucon,87.884,,,,,,,,,,,7316875,
54134156,54666120,0,False,residential,Via Pucon,56.233,,,,,,,,,,,7316875,
54134224,54134229,0,False,residential,Fred Smith Lane,416.736,,,,,,,,,,,6996540,
54134224,2136780338,0,False,residential,Phyllis Jackson Lane,65.59,,,,,,,,,,,7135033,
54134224,54386724,0,False,residential,Phyllis Jackson Lane,450.176,,,,,,,,,,,7135033,
54134229,54134224,0,False,residential,Fred Smith Lane,416.736,,,,,,,,,,,6996540,
54134229,621877794,0,False,secondary,Cook Street,51.563,4,,,40 mph,,,,,,,7317194,
54134229,54479128,0,False,residential,Santa Fe Trail,64.87,,,,,,,,,,,7255611,
54134229,54223988,0,False,secondary,Cook Street,664.533,4,,,40 mph,,,,,,,7317194,
54140993,54140998,0,False,residential,,197.367,,,,,,,,,,,6999880,
54140993,54510504,0,False,residential,"['Trava Lane', 'Largo Lane']",345.32,,,,,,,,,,,"[7216666, 7209515]",
54140993,54510487,0,False,residential,Largo Lane,169.973,,,,,,,,,,,7216666,
54140998,54140993,0,False,residential,,197.367,,,,,,,,,,,6999880,
54140998,54510499,0,False,residential,Trava Lane,118.423,,,,,,,,,,,7209511,
54140998,54510487,0,False,residential,Trava Lane,195.494,,,,,,,,,,,7209511,
54146542,54146544,0,False,residential,,145.698,,,,,,,,,,,7002677,
54146544,54146542,0,False,residential,,145.698,,,,,,,,,,,7002677,
54146544,54320519,0,False,primary,Pines To Palms Highway,409.081,4,,,55 mph,,,,,,,184877589,
54146544,54618337,0,False,primary,Pines To Palms Highway,183.834,4,,,55 mph,,,,,,,184877589,
54146549,54128825,0,False,residential,Mesquite Court,14.248,,,,,,,,,,,7002685,
54146549,54388278,0,False,residential,Shadow Mountain Drive,122.734,,,,,,,,,,,7281364,
54146549,1914178191,0,False,residential,Shadow Mountain Drive,57.507,,,,,,,,,,,7281364,
54148986,54148992,0,False,residential,,106.467,,,,,,,,,,,7003945,
54148986,54393154,0,False,residential,Desert Fern Lane,58.674,,,,,,,,,,,7226849,
54148986,54391032,0,False,residential,"['Trailer Lane', 'Desert Fern Lane']",125.032,,,,,,,,,,,"[7226849, 7137335]",
54148992,54148999,0,False,residential,,52.31,,,,,,,,,,,7003945,
54148992,54148986,0,False,residential,,106.467,,,,,,,,,,,7003945,
54148992,54392079,0,False,residential,Lucky G Drive,52.881,,,,,,,,,,,7138087,
54148992,54495531,0,False,residential,Pampas Lane,96.512,,,,,,,,,,,7200528,
54148999,54472957,0,False,residential,Diamond E Drive,49.517,,,,,,,,,,,7185771,
54148999,54148992,0,False,residential,,52.31,,,,,,,,,,,7003945,
54148999,54472952,0,False,residential,Diamond E Drive,83.428,,,,,,,,,,,7185771,
54149523,54210506,0,False,residential,Kiva Drive,82.743,,,,,,,,,,,323358347,
54149523,54592158,0,False,residential,Menil Place,570.96,,,,,,,,,,,7263423,
54149523,54149536,0,False,residential,Kiva Drive,164.292,,,,,,,,,,,323358347,
54149536,54592158,0,False,residential,Tamit Place,516.798,,,,,,,,,,,7328110,
54149536,54149523,0,False,residential,Kiva Drive,164.292,,,,,,,,,,,323358347,
54149536,54521458,0,False,residential,Kiva Drive,149.232,,,,,,,,,,,323358347,
54149590,54149594,0,False,residential,,54.462,,,,,,,,,,,7004275,
54149590,54182088,0,False,residential,,53.504,,,,,,,,,,,7020670,
54149590,2136794104,0,False,residential,Hidden Palms,84.632,,,,,,,,,,,7201974,
54149594,54149598,0,False,residential,,11.193,,,,,,,,,,,7004275,
54149594,54416161,0,False,residential,Nice Court,48.706,,,,,,,,,,,7152668,
54149594,54149590,0,False,residential,,54.462,,,,,,,,,,,7004275,
54149598,54149594,0,False,residential,,11.193,,,,,,,,,,,7004275,
54149598,54286212,0,False,residential,Vigo Court,45.015,,,,,,,,,,,7077739,
54149598,54149611,0,False,residential,,112.524,,,,,,,,,,,7004288,
54149611,54558857,0,False,residential,Chamonix Court,109.74,,,,,,,,,,,7242315,
54149611,54149616,0,False,residential,,82.773,,,,,,,,,,,7004288,
54149611,54149598,0,False,residential,,112.524,,,,,,,,,,,7004288,
54149616,54485685,0,False,residential,Venice Court,50.145,,,,,,,,,,,7193615,
54149616,54149624,0,False,residential,,94.555,,,,,,,,,,,7004288,
54149616,54149611,0,False,residential,,82.773,,,,,,,,,,,7004288,
54149624,54642538,0,False,residential,Cannes Court,50.421,,,,,,,,,,,7298860,
54149624,54149616,0,False,residential,,94.555,,,,,,,,,,,7004288,
54149624,54169425,0,False,residential,,63.039,,,,,,,,,,,7014233,
54153138,54223992,0,False,residential,,121.311,,,,,,,,,,,7042625,
54153138,54223990,0,False,residential,,104.242,,,,,,,,,,,7042625,
54153138,54153145,0,False,residential,,206.659,,,,,,,,,,,7006076,
54153145,54224007,0,False,residential,,41.149,,,,,,,,,,,7042631,
54153145,54153138,0,False,residential,,206.659,,,,,,,,,,,7006076,
54153145,54224002,0,False,residential,,136.292,,,,,,,,,,,7042631,
54155200,54155201,0,False,residential,,38.295,,,,,,,,,,,7007204,
54155200,54171449,0,False,residential,Harris Lane,97.596,,,,,,,,,,,7168038,
54155200,4467674815,0,False,residential,Harris Lane,89.456,,,,,,,,,,,7168038,
54155201,54155200,0,False,residential,,38.295,,,,,,,,,,,7007204,
54155201,54155244,0,False,residential,,31.587,,,,,,,,,,,7007230,
54155201,54155250,0,False,residential,,445.162,,,,,,,,,,,7007230,
54155244,54155201,0,False,residential,,31.587,,,,,,,,,,,7007230,
54155250,54171447,0,False,residential,,146.819,,,,,,,,,,,7015333,
54155250,54155255,0,False,residential,,311.916,,,,,,,,,,,7007230,
54155250,54155201,0,False,residential,,445.162,,,,,,,,,,,7007230,
54155255,54155257,0,False,residential,,188.875,,,,,,,,,,,7007230,
54155255,54171447,0,False,residential,,158.7,,,,,,,,,,,7015404,
54155255,54155250,0,False,residential,,311.916,,,,,,,,,,,7007230,
54155257,54155255,0,False,residential,,188.875,,,,,,,,,,,7007230,
