u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
658887,54418766,0,False,residential,West Mesquite Avenue,187.076,,,,,,,,,,,7154246,
54128392,54545561,0,False,secondary,North Indian Canyon Drive,108.016,,,,,,,,,,,148228547,
54128392,54315000,0,False,secondary,North Indian Canyon Drive,202.744,,,,,,,,,,,148228547,
54128392,54266764,0,False,residential,West Via Olivera,130.275,,,,,,,,,,,308168534,
54129694,54129695,0,False,residential,,97.109,,,,,,,,,,,6994227,
54129695,54129694,0,False,residential,,97.109,,,,,,,,,,,6994227,
54129695,54529539,0,False,residential,La Reina Way,47.807,,,,,,,,,,,7276557,
54129695,54425570,0,False,residential,Via Sonoma,227.858,,,,,,,,,,,7217599,
54129695,1017035755,0,False,"['unclassified', 'residential']",La Reina Way,373.325,,,,,,,,,,,"[87458809, 7276557]",
54129699,54417592,0,False,residential,East Columbard Drive,136.556,,,,,,,,,,,7153535,
54129699,54638658,0,False,residential,South Cerritos Drive,94.7,,,,,,,,,,,7328842,
54129699,1017036152,0,False,residential,South Cerritos Drive,23.052,,,,,,,,,,,7328842,
54129700,1017036152,0,False,residential,,68.874,,,,,,,,,,,6994230,
54132455,54576907,0,False,residential,Theresa Drive,80.654,,,,,,,,,,,7331254,
54132455,54576909,0,False,residential,"['Sunny Dunes Road', 'Compadre Road']",377.106,,,,,,,,,,,"[7326433, 7328287]",
54132455,54525622,0,False,residential,Compadre Road,105.259,,,,,,,,,,,7328287,
54135572,1017381609,0,False,residential,,50.81,,,,,,,,,,,6997211,
54135572,54224955,0,False,residential,Mira Monte Circle West,9.805,,,,,,,,,,,7183649,
54135572,54469362,0,False,residential,Mira Monte Circle West,80.471,,,,,,,,,,,7183649,
54135573,1017380831,0,False,residential,East Mira Monte Circle,12.102,,,,,,,,,,,7340787,
54135573,1017380940,0,False,residential,,48.081,,,,,,,,,,,87481359,
54135573,54637492,0,False,residential,East Mira Monte Circle,79.426,,,,,,,,,,,7340787,
54135575,54513160,0,False,primary,South Gene Autry Trail,83.031,,,,,,,,,,,87481348,CA 111
54135575,54286813,0,False,primary,South Gene Autry Trail,85.052,,,,,,,,,,,87481348,CA 111
54135575,1017380823,0,False,residential,,51.309,,,,,,,,,,,87481350,
54135951,54350670,0,False,residential,North Farrell Drive,52.218,,,,,,,,,,,7114480,
54139819,1913752663,0,False,residential,,287.514,,,,,,,,,,,6999267,
54139821,1913752663,0,False,residential,,43.524,,,,,,,,,,,6999267,
54139821,2616625275,0,False,residential,,87.985,,,,,,,,,,,255960119,
54139821,54139826,0,False,residential,,63.763,,,,,,,,,,,6999267,
54139826,54363519,0,False,residential,South Beverly Drive,137.929,,,,,,,,,,,7121459,
54139826,54402778,0,False,tertiary,Escoba Drive,200.462,,,,,,,,,,,7258731,
54139826,54139821,0,False,residential,,63.763,,,,,,,,,,,6999267,
54139826,54308449,0,False,tertiary,Escoba Drive,223.091,,,,,,,,,,,7258731,
54153667,54153668,0,False,residential,Quincy Way,82.651,,,,,,,,,,,7151469,
54153667,54516306,0,False,residential,East Tamarisk Road,26.934,,,,,,,,,,,7299133,
54153667,54483076,0,False,residential,East Tamarisk Road,367.554,,,,,,,,,,,7299133,
54153668,54153667,0,False,residential,Quincy Way,82.651,,,,,,,,,,,7151469,
54153668,54693671,0,False,residential,Verna Court,121.731,,,,,,,,,,,7336450,
54153668,54414251,0,False,residential,Quincy Way,194.336,,,,,,,,,,,7151469,
