u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
14963716,3892769467,0,True,primary,Maple Street,13.914,,,,,,,,,,,405328944,
14963716,3892769468,0,True,secondary,North Lake Avenue,164.822,,,,35 mph,,,,,,,385937988,
14963731,4075599832,0,False,secondary,North Lake Avenue,72.211,7,,,25 mph,,,,,,,405356843,
14963731,5546788087,0,False,secondary,North Lake Avenue,150.444,"['8', '4']",,,25 mph,,,,,,,"[405356825, 405356826]",
14963731,14963756,0,False,secondary,Walnut Street,139.353,,,,,,,,,,,"[405356984, 405356993, 405356992]",
14963731,122574902,0,False,secondary,Walnut Street,139.002,"['5', '4']",,,,,,,,,,"[405356971, 405356997, 405356989]",
14963732,5546788087,0,False,secondary,North Lake Avenue,51.419,4,,,25 mph,,,,,,,405356826,
14963732,1927947697,0,True,tertiary,East Union Street,140.421,,,,,,,,,,,"[405356724, 405356725]",
14963732,122859152,0,False,secondary,North Lake Avenue,59.468,"['7', '4']",,,25 mph,,,,,,,"[405356849, 405356831]",
14963756,122574894,0,False,secondary,Walnut Street,67.205,,,,,,,,,,,405357003,
14963756,14963731,0,False,secondary,Walnut Street,139.353,,,,,,,,,,,"[405356992, 405356993, 405356984]",
15682474,15683494,0,True,primary,South Arroyo Parkway,200.167,"['3', '4']",,,35 mph,,,,,,,"[405329001, 167078566]",
15682474,1919958811,0,False,residential,Pico Street,45.36,,,,,,,,,,,181582597,
15682478,15682474,0,True,primary,South Arroyo Parkway,113.631,3,,,35 mph,,,,,,,167078566,
15682478,3769264094,0,False,secondary,East California Boulevard,13.513,,,,48,,,,,,,405356595,
15682478,4075599654,0,True,secondary,East California Boulevard,88.862,,,,48,,,,,,,405356602,
15682479,123462057,0,False,primary,South Fair Oaks Avenue,112.177,,,,,,,,,,,"[405329035, 405329037, 405329039]",
15682479,123462053,0,False,primary,South Fair Oaks Avenue,176.963,,,,,,,,,,,405329049,
15682479,123155361,0,False,secondary,East California Boulevard,145.716,,,,48,,,,,,,"[405356585, 132746419, 405356596]",
15682479,122868386,0,False,secondary,West California Boulevard,73.448,,,,48,,,,,,,"[405357014, 405357006]",
15682480,123108140,0,True,secondary,Pasadena Avenue,180.209,,,,,,,,,,,166979334,
15682480,1483475102,0,True,secondary,West California Boulevard,56.299,,,,48,,,,,,,281458469,
15682480,122396189,0,False,secondary,West California Boulevard,137.38,,,,48,,,,,,,"[405357011, 405357012, 405357007]",
15682484,32581287,0,True,motorway_link,,412.023,,,,,,,yes,,,,"[182793389, 402449145, 32357977, 402449147, 402449148, 402449149]",
15682484,322565500,0,True,motorway,Foothill Freeway,772.07,4,,,65 mph,,,yes,,,,"[123951235, 25656623, 156453603]",I 210
15683494,1919958788,0,False,residential,Fillmore Street,44.198,,,,,,,,,,,181582595,
15683494,3769010246,0,False,residential,Fillmore Street,13.475,,,,,,,,,,,203028810,
15683494,3945433368,0,True,primary,South Arroyo Parkway,605.509,"['3', '2']",,,35 mph,,,,,,,"[405328993, 405328987]",
16218731,16218732,0,False,primary,Colorado Boulevard,128.424,"['2', '4']",,,,,,,,,,"[185735864, 405545883]",
16218731,1842086571,0,False,primary,Colorado Boulevard,180.1,"['2', '4']",,,,,,,,,,"[405545921, 405545858]",
16218731,176888410,0,False,secondary,San Rafael Avenue,29.731,"['3', '4']",,,,,,,,,,"[405551584, 406492896]",
16218732,1842086673,0,True,secondary,Linda Vista Avenue,393.251,2,,,,,,,,,,"[405356758, 17043343]",
16218732,16218737,0,False,primary,"['Colorado Boulevard', 'West Colorado Boulevard']",655.3,2,,,,,,yes,,,,"[185399249, 17043345, 47702783]",
16218732,16218731,0,False,primary,Colorado Boulevard,128.424,"['2', '4']",,,,,,,,,,"[185735864, 405545883]",
16218737,16218738,0,True,primary,West Colorado Boulevard,102.348,1,,,,,,,,,,17103014,
16218737,16218732,0,False,primary,"['Colorado Boulevard', 'West Colorado Boulevard']",655.3,2,,,,,,yes,,,,"[17043345, 185399249, 47702783]",
16218738,18314698,0,True,primary,West Colorado Boulevard,95.962,"['3', '4']",,,,,,,,,,"[405329059, 185735870]",
16218739,122763204,0,False,primary,Fair Oaks Avenue,110.401,4,,,30 mph,,,,,,,71738860,
16218739,122575436,0,False,primary,East Colorado Boulevard,144.911,"['5', '6', '4']",,,,,,,,,,"[405328913, 185735869, 405328887]",US 66 HISTORIC
16218739,122615775,0,False,primary,South Fair Oaks Avenue,53.651,"['5', '4']",,,30 mph,,,,,,,"[405329041, 405329045]",
16218739,122790545,0,False,primary,West Colorado Boulevard,162.891,"['6', '4']",,,,,,,,,,"[405329051, 295700308]",US 66 HISTORIC
16218741,1784820583,0,True,secondary,South Pasadena Avenue,64.345,,,,,,,,,,,167077297,
16218741,552459736,0,True,motorway_link,,163.009,,,,,,,,,,,167078570,
17587428,1842086068,0,False,tertiary,Arroyo Drive,72.78,,,,,,,,,,,4453741,
17587428,17587429,0,False,tertiary,Arroyo Boulevard,42.02,,,,,,,,,,,45095435,
17587429,1784445004,0,False,tertiary,"['San Rafael Avenue', 'San Rafael Av']",210.759,,,,,,,yes,,,,"[29186937, 29186939, 167075998]",
17587429,17587428,0,False,tertiary,Arroyo Boulevard,42.02,,,,,,,,,,,45095435,
17587429,1842086158,0,False,residential,Arroyo Boulevard,321.992,,,,,,,,,,,167075986,
17588981,1784816285,0,False,tertiary,San Rafael Avenue,106.461,,,,,,,,,,,29186939,
17588981,567246772,0,False,tertiary,San Rafael Avenue,57.221,,,,,,,,,,,29186939,
17588981,123333677,0,False,residential,San Remo Road,364.904,,,,,,,,,,,167075987,
17588982,567246772,0,False,tertiary,San Rafael Avenue,53.544,,,,,,,,,,,29186939,
17588982,17588983,0,False,tertiary,San Rafael Avenue,82.021,,,,,,,,,,,29186939,
17588982,1784445063,0,False,tertiary,La Loma Road,90.557,,,,,,,,,,,167040388,
17588983,1842086373,0,False,residential,San Rafael Avenue,80.863,,,,,,,,,,,43070196,
17588983,17588982,0,False,tertiary,San Rafael Avenue,82.021,,,,,,,,,,,29186939,
