u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
32795925,419014530,0,True,motorway,,3001.374,3,,,65 mph,,,yes,,,,"[261458952, 56225633, 262235183]",I 680
52978521,478031435,0,False,residential,Milleford Court,147.883,,,,25 mph,,,,,,,6318389,
52978521,53040758,0,False,residential,Regency Drive,474.368,,,,25 mph,,,,,,,6333644,
52978521,53040748,0,False,residential,Regency Drive,87.531,,,,25 mph,,,,,,,6333644,
52978530,52978532,0,False,residential,Alameda Drive,62.957,,,,,,,,,,,6318391,
52978532,52978533,0,False,residential,Alameda Drive,77.814,,,,,,,,,,,6318391,
52978532,52978530,0,False,residential,Alameda Drive,62.957,,,,,,,,,,,6318391,
52978532,52978536,0,False,residential,Orchard Way,528.319,,,,,,,,,,,6331452,
52978532,52978536,1,False,residential,Brooktree Way,498.287,,,,,,,,,,,6332911,
52978533,52978536,0,False,residential,Alameda Drive,81.788,,,,,,,,,,,6318391,
52978533,52978532,0,False,residential,Alameda Drive,77.814,,,,,,,,,,,6318391,
52978533,53043557,0,False,residential,Rosetree Court,94.427,,,,,,,,,,,6334592,
52978533,53107331,0,False,residential,Baywood Court,104.248,,,,,,,,,,,6365717,
52978536,52978537,0,False,residential,Alameda Drive,78.491,,,,,,,,,,,6318391,
52978536,52978533,0,False,residential,Alameda Drive,81.788,,,,,,,,,,,6318391,
52978536,52978532,0,False,residential,Orchard Way,528.319,,,,,,,,,,,6331452,
52978536,52978532,1,False,residential,Brooktree Way,498.287,,,,,,,,,,,6332911,
52978537,52978536,0,False,residential,Alameda Drive,78.491,,,,,,,,,,,6318391,
52978537,53036713,0,False,residential,Greenwood Road,183.485,,,,,,,,,,,6356186,
52978537,53023083,0,False,residential,Greenwood Road,225.206,,,,,,,,,,,6356186,
52979702,52979703,0,False,residential,,26.508,,,,,,,,,,,6318653,
52979703,52979702,0,False,residential,,26.508,,,,,,,,,,,6318653,
52979703,53093594,0,False,residential,Prairie Drive,106.355,,,,25 mph,,,,,,,6378947,
52979703,53099555,0,False,residential,Foothill Knolls Drive,315.601,,,,25 mph,,,,,,,"[6392097, 6318653]",
52981365,419309530,0,True,motorway_link,,79.525,,,,,,,,,,,6319016,
52981365,734832037,0,True,motorway_link,,107.71,1,,,,,,,,,,59252598,
52981366,419313112,0,True,primary,Sunol Boulevard,81.088,2,,,40 mph,,,,,,,392855106,
52981366,734832114,0,True,motorway_link,,87.342,1,,,,,,,,,,6326477,
52984620,358392935,0,True,motorway,Arthur H. Breed Junior Freeway,542.858,4,,,65 mph,,,,,,,394103363,I 580
52984643,401433632,0,True,motorway,Arthur H. Breed Junior Freeway,356.624,5,,,65 mph,,,,,,,394108522,I 580
52984644,258143561,0,True,motorway_link,,562.676,1,,,,,,,,,,6321275,
52984644,349668508,0,True,motorway_link,,389.689,1,,,,,,,,,,145662002,
52984681,766252282,0,True,secondary,Valley Avenue,19.648,,,,35 mph,,,,,,,448085406,
52984681,766252313,0,True,secondary,Bernal Avenue,273.698,,,,45 mph,,,,,,,"[261458955, 369423820]",
52987980,480489306,0,True,secondary,Bernal Avenue,13.132,,,,45 mph,,,,,,,439602896,
52987980,258142065,0,True,motorway_link,,541.828,,,,,,,,,,,6320647,
52987999,766252289,0,True,motorway_link,,12.66,,,,,,,,,,,510147180,
52987999,740485244,0,True,secondary,Bernal Avenue,30.087,,,,45 mph,,,,,,,261458955,
52988005,480489306,0,True,motorway_link,,476.381,1,,,,,,yes,,,,"[39991856, 45471250, 45471251, 6320652]",
52988005,258142065,0,True,motorway,,729.024,3,,,65 mph,,,yes,,,,"[262235185, 261459011, 59252407]",I 680
52989648,401458704,0,True,motorway_link,,296.528,1,,,,,,,,,,394109091,
52990126,52990128,0,False,residential,,160.933,,,,,,,,,,,6321188,
52990126,53105120,0,False,residential,Westbridge Lane,29.903,,,,,,,,,,,6363973,
52990128,52990130,0,False,residential,,183.478,,,,,,,,,,,6321188,
52990128,1426714329,0,False,residential,,61.049,,,,,,,,,,,129284366,
52990128,52990126,0,False,residential,,160.933,,,,,,,,,,,6321188,
52990130,52990128,0,False,residential,,183.478,,,,,,,,,,,6321188,
52990484,657843761,0,True,motorway_link,,106.349,1,,,,,,,,,,530466143,
52990510,258144990,0,True,motorway,,530.06,"['3', '4']",,,65 mph,,,yes,,,,"[31385628, 394086582]",I 680
52990547,366648636,0,True,motorway_link,,708.128,,,,,,,yes,,,,"[6326178, 47160269, 394106982]",
52990547,257437682,0,True,motorway,Arthur H. Breed Junior Freeway,964.436,"['3', '4']",,,65 mph,,,yes,,,,"[394103377, 47160267, 47160268, 123867367]",I 580
52993596,263015836,0,True,motorway,Arthur H. Breed Junior Freeway,489.901,4,,,65 mph,,,,,,,394159805,I 580
52993614,52993616,0,True,motorway_link,,78.75,3,,,,,,,,,,6321902,
52993614,658951924,0,True,motorway_link,,139.397,1,,,,,,,,,,6324005,
52993616,576110025,0,True,residential,Pimlico Drive,13.584,,,,30 mph,,,,,,,439600753,
52993616,658951924,0,True,secondary,Santa Rita Road,105.665,,,,45 mph,,,,,,,51537714,
52995189,53138134,0,True,motorway,Arthur H. Breed Junior Freeway,658.091,"['5', '6']",,,65 mph,,,,,,,"[394103365, 394103350]",I 580
53000609,52990484,0,True,motorway_link,,219.845,1,,,,,,,,,,31385622,
53002699,53059738,0,False,residential,Independence Drive,30.142,,,,,,,,,,,6339783,
53005426,4969727383,0,False,residential,Grey Eagle Court,104.143,,,,,,,,,,,6392273,
53009855,2189291026,0,False,unclassified,Old Vineyard Avenue,280.873,2,,,,,,,,,,6325567,
53009855,198449418,0,False,unclassified,Old Vineyard Avenue,260.31,2,,,,,,,,,,6325567,
53009855,2189290979,0,False,residential,Mingoia Street,165.317,,,,,,,,,,,208653433,
53009855,2189290971,0,False,residential,Heinz Ranch Court,64.976,,,,,,,,,,,208653436,
53011826,419313166,0,True,motorway_link,,497.161,,,,,,,,,,,6325904,
53011826,734838038,0,True,motorway,,670.043,3,,,65 mph,,,yes,,,,"[59252562, 45471237, 45471247]",I 680
53014702,53046439,0,False,residential,Pueblo Way,37.263,,,,,,,,,,,6335571,
53014702,53123342,0,False,residential,Crow Court,37.928,,,,,,,,,,,6379131,
53014702,53014704,0,False,residential,Crow Court,23.538,,,,,,,,,,,249825653,
53014704,3590056435,0,False,residential,Apache Drive,41.267,,,,,,,,,,,6342307,
53014704,53034575,0,False,residential,Apache Court,33.437,,,,,,,,,,,6386172,
53014704,53014702,0,False,residential,Crow Court,23.538,,,,,,,,,,,249825653,
53014712,53056576,0,False,residential,Pawnee Way,84.015,,,,,,,,,,,"[6384886, 6326422]",
53014908,2563726913,0,False,tertiary,Hopyard Road,16.328,,,,25 mph,,,,,,,39864908,
53014908,53145881,0,True,residential,Del Valle Parkway,177.776,,,,,,,,,,,6397744,
53014908,53056637,0,False,tertiary,"['Division Street', 'Hopyard Road']",150.124,,,,25 mph,,,yes,,,,"[39864908, 112651836, 36987484]",
53016350,4064799122,0,False,secondary,El Charro Road,51.305,,,,,,,,,,,404209996,
53016350,658937246,0,False,unclassified,,60.397,,,,,,,,,,,6326756,
53016865,419307107,0,False,residential,Monaco Court,124.028,,,,,,,,,,,6326924,
53016865,53048747,0,False,residential,Monaco Drive,317.783,,,,,,,,,,,6359878,
53016865,53100146,0,False,residential,Monaco Drive,233.125,,,,,,,,,,,6359878,
53016919,53016921,0,False,residential,Corte de la Jara,133.86,,,,25 mph,,,,,,,6326934,
53016919,53030042,0,False,residential,Via Espada,241.114,,,,25 mph,,,,,,,6330368,
53016919,53032278,0,False,residential,Camino Via Espada,307.879,,,,25 mph,,,,,,,6330874,
53016921,53016919,0,False,residential,Corte de la Jara,133.86,,,,25 mph,,,,,,,6326934,
53017072,53017078,0,False,residential,Harpers Ferry Court,129.347,,,,25 mph,,,,,,,6326989,
53017072,53129534,0,False,residential,Valley Trails Drive,76.909,,,,25 mph,,,,,,,6384421,
53017072,53129536,0,False,residential,Valley Trails Drive,183.519,,,,25 mph,,,,,,,6384421,
53017078,53017072,0,False,residential,Harpers Ferry Court,129.347,,,,25 mph,,,,,,,6326989,
53017081,53017086,0,False,residential,Longspur Way,326.862,,,,,,,,,,,6326991,
53017081,53017086,1,False,residential,Blackbird Drive,106.659,,,,,,,,,,,6346518,
53017081,2482889133,0,False,residential,Blackbird Drive,53.02,,,,,,,,,,,6346518,
53017086,53017081,0,False,residential,Longspur Way,326.862,,,,,,,,,,,6326991,
53017086,53017081,1,False,residential,Blackbird Drive,106.659,,,,,,,,,,,6346518,
53017086,53028317,0,False,residential,Blackbird Drive,71.214,,,,,,,,,,,6346518,
53017338,430097467,0,False,residential,Bolero Court,50.797,,,,,,,,,,,6327067,
53017338,53075447,0,False,residential,Belleza Drive,62.856,,,,,,,,,,,6387205,
53017338,53027186,0,False,residential,Belleza Drive,75.561,,,,,,,,,,,6387205,
53017358,53017359,0,False,residential,Ruby Hill Drive,170.885,,,,,,,,,,,6327072,
53017358,2412472429,0,False,tertiary,Vineyard Avenue,422.113,,,,,,,,,,,561896997,
53017358,198449418,0,False,tertiary,Vineyard Avenue,995.572,,,,,,,,,,,575543327,
53017359,53017358,0,False,residential,Ruby Hill Drive,170.885,,,,,,,,,,,6327072,
53017689,53017702,0,False,residential,Cascara Court,318.362,,,,,,,,,,,6327124,
53017689,53078761,0,False,residential,Valley Oak Road,237.92,,,,,,,,,,,6372867,
53017689,53108847,0,False,residential,Valley Oak Road,68.764,,,,,,,,,,,6372867,
53017702,53017689,0,False,residential,Cascara Court,318.362,,,,,,,,,,,6327124,
53017722,4917466314,0,False,residential,Zenato Place,195.817,,,,,,,,,,,"[500768085, 6376471]",
