u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
90238544,90490311,0,False,tertiary,South White Rock Road,87.209,,,,,,,,,,,10511949,
90238544,90446205,0,False,tertiary,South White Rock Road,47.579,,,,,,,,,,,10511949,
90238544,90423174,0,False,residential,"['Sierra Crest Drive', 'Sierra Crest Way']",166.837,,,,,,,,,,,"[10496665, 10508173]",
90238653,90238654,0,False,residential,Centaur Court,36.827,,,,,,,,,,,10496677,
90238653,90422890,0,False,residential,Pegasus Way,168.759,,,,,,,,,,,10508159,
90238653,90422854,0,False,residential,Pegasus Way,172.559,,,,,,,,,,,10508159,
90238654,90238653,0,False,residential,Centaur Court,36.827,,,,,,,,,,,10496677,
90239600,4918164698,0,False,residential,,50.287,,,,,,,,,,,10496745,
90239600,90525581,0,False,residential,Weikert Drive,49.026,,,,,,,,,,,10513913,
90239600,4918164700,0,False,residential,Ketcham Drive,4.856,,,,,,,,,,,10518408,
90239601,4918164698,0,False,residential,,4.399,,,,,,,,,,,10496745,
90239601,90525583,0,False,residential,Froom Circle,50.611,,,,,,,,,,,10514388,
90239601,90239603,0,False,residential,,27.622,,,,,,,,,,,10496745,
90239603,90239601,0,False,residential,,27.622,,,,,,,,,,,10496745,
90239642,90239644,0,False,residential,,123.619,,,,,,,,,,,10496750,
90239642,90674307,0,False,residential,King Way,46.774,,,,,,,,,,,10523533,
90239642,90291985,0,False,residential,King Way,104.693,,,,,,,,,,,10523533,
90239644,90239646,0,False,residential,,22.776,,,,,,,,,,,10496750,
90239644,90239642,0,False,residential,,123.619,,,,,,,,,,,10496750,
90239644,90276201,0,False,residential,Temple Drive,51.716,,,,,,,,,,,10523234,
90239646,90239644,0,False,residential,,22.776,,,,,,,,,,,10496750,
90239650,473878864,0,True,motorway_link,,301.247,,,,,,,,,,,48794652,
90241085,5445275685,0,False,residential,,213.106,,,,,,,,,,,10496889,
90241085,90241095,0,False,residential,,423.945,,,,,,,,,,,10496875,
90241085,90241529,0,False,residential,,356.529,,,,,,,,,,,10496889,
90241095,90241235,0,False,residential,,1410.493,,,,,,,,,,,10496875,
90241095,90241085,0,False,residential,,423.945,,,,,,,,,,,10496875,
90241095,90241568,0,False,residential,,339.08,,,,,,,,,,,10496889,
90241235,90241254,0,False,residential,,38.996,,,,,,,,,,,10496875,
90241235,90241095,0,False,residential,,1410.493,,,,,,,,,,,10496875,
90241235,90280915,0,False,residential,,57.026,,,,,,,,,,,10499876,
90241254,90241273,0,False,residential,,106.056,,,,,,,,,,,10496875,
90241254,90241235,0,False,residential,,38.996,,,,,,,,,,,10496875,
90241254,90280915,0,False,residential,,67.382,,,,,,,,,,,10499964,
90241273,90241289,0,False,residential,,950.092,,,,,,,,,,,10496875,
90241273,90241254,0,False,residential,,106.056,,,,,,,,,,,10496875,
