u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
54143529,54804723,0,False,residential,Morrison Drive,82.775,,,,,,,,,,,7395704,
54143529,54143530,0,False,residential,Idyllwild Court,98.035,,,,,,,,,,,7001207,
54143529,140011609,0,False,residential,,206.461,,,,,,,,,,,7241253,
54143529,54330158,0,False,residential,Morrison Drive,83.678,,,,,,,,,,,7395704,
54143530,54143529,0,False,residential,Idyllwild Court,98.035,,,,,,,,,,,7001207,
54154027,54616108,0,False,residential,La Cresta Drive,82.306,,,,,,,,,,,7279635,
54154027,54616104,0,False,residential,La Cresta Drive,52.3,,,,,,,,,,,7279635,
54154027,54796024,0,False,residential,La Arriba Drive,96.349,,,,,,,,,,,7391270,
54154029,140173199,0,False,secondary,Alessandro Road,32.802,,,,,,,,,,,7403910,
54154029,54616108,0,False,secondary,Alessandro Road,90.22,,,,,,,,,,,7403910,
54154029,54685263,0,False,residential,La Hermosa Drive,61.362,,,,,,,,,,,179084839,
54172514,54307198,0,True,motorway,Redlands Freeway,519.613,4,,,65 mph,,,yes,,,,"[61601130, 61601115, 61601150]",I 10
54172517,98182243,0,True,motorway_link,,704.998,2,,,,,,,,,,"[474904593, 474904594]",
54172517,54443183,0,True,secondary,California Street,98.964,3,,,,,,,,,,475154313,
54172519,54550534,0,False,residential,Bryn Mawr Avenue,225.292,,,,,,,,,,,7438950,
54198711,54478684,0,False,secondary,E Cypress Avenue,94.009,4,,,,,,,,,,474637422,
54198711,54198712,0,True,motorway_link,,359.316,,,,,,,,,,,7029198,
54198711,54501861,0,False,secondary,E Cypress Avenue,90.998,"['3', '4']",,,,,,,,,,"[7204496, 474637421]",
54198712,54407458,0,True,motorway,Christopher Columbus Transcontinental Highway,950.946,4,,,65 mph,,,yes,,,,"[92367078, 92367084, 93227539, 93227543, 93227517]",I 10
54212311,54212315,0,False,residential,,64.416,,,,,,,,,,,7036521,
54212311,54789561,0,False,residential,Center Street,138.21,,,,,,,,,,,7498928,
54212311,54508351,0,False,residential,Center Street,515.883,,,,,,,,,,,7498928,
54212315,54212311,0,False,residential,,64.416,,,,,,,,,,,7036521,
54215308,54215309,0,False,residential,,17.318,,,,,,,,,,,7038132,
54215308,54640549,0,False,residential,Cimarron Drive,95.386,,,,,,,,,,,7503369,
54215308,54573466,0,False,residential,Dracena Court,146.706,,,,,,,,,,,7250866,
54215308,54935357,0,False,residential,Cimarron Drive,108.948,,,,,,,,,,,7503369,
54215309,54215308,0,False,residential,,17.318,,,,,,,,,,,7038132,
54222633,54509684,0,False,residential,East Brockton Avenue,141.819,2,,,,,,,,,,7209124,
54222633,54509682,0,False,residential,East Brockton Avenue,58.142,2,,,,,,,,,,7209124,
54222633,54274664,0,False,residential,Devon Place,313.199,,,,,,,,,,,7469995,
54229812,54244189,0,False,secondary,University Street,137.559,4,,,,,,,,,,180896885,
54229812,1243846310,0,False,secondary,University Street,57.076,4,,,,,,,,,,180896885,
54229814,54229812,0,True,motorway_link,,504.286,2,,,,,,,,,,"[336952321, 474635535, 7046087]",
54229814,54198712,0,True,motorway,Christopher Columbus Transcontinental Highway,1205.832,4,,,65 mph,,,yes,,,,"[61601152, 93227524, 92367081, 93227500, 92367087, 93227543, 93227547]",I 10
54229828,54794594,0,False,residential,Central Avenue,615.706,,,,,,,,,,,"[7046105, 7390539]",
54229828,393559509,0,False,secondary,"['Citrus Avenue', 'E Citrus Avenue']",463.394,"['3', '4']",,,25 mph,,,,,,,"[91988895, 91988898, 474636599, 517939551]",
54229828,1243846310,0,False,secondary,E Citrus Avenue,187.796,"['3', '4']",,,25 mph,,,,,,,"[474636597, 474636598]",
54236047,54513066,0,False,primary,North 6th Street,35.984,2,,,,,,,,,,119334024,
54236047,54462489,0,False,secondary,"['6th Street', 'North 6th Street']",108.841,3,,,,,,,,,,"[474901160, 7399481, 474901161]",
54244189,54229812,0,False,secondary,University Street,137.559,4,,,,,,,,,,180896885,
54244189,418133305,0,True,motorway_link,,252.272,1,,,,,,,,,,7054327,
54244189,415834245,0,False,residential,Central Avenue,88.158,2,,,,,,,,,,7476614,
54244189,54532499,0,False,tertiary,University Street,186.398,4,,,,,,,,,,181467829,
54244645,573904426,0,False,residential,Orange Avenue,96.799,,,,,,,,,,,7522080,
54244645,54244646,0,False,residential,,213.02,,,,,,,,,,,7054608,
54244645,54763658,0,False,residential,Orange Avenue,197.618,,,,,,,,,,,7522080,
54244646,54244645,0,False,residential,,213.02,,,,,,,,,,,7054608,
54244650,97009981,0,True,motorway_link,,552.039,2,,,,,,,,,,336955082,
54244650,54307202,0,False,tertiary,Alabama Street,143.594,5,,,,,,yes,,,,"[43055654, 342655323, 342655324, 43055652]",
