u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
26029745,256893502,0,True,motorway,Bayshore Freeway,1945.403,5,,,55 mph,,,,,,,35837496,US 101;CA 84
65347144,65347146,0,False,residential,Maddux Drive,277.248,2,,,,,,,,,,8919747,
65347144,65520887,0,False,residential,Goodwin Avenue,264.312,,,,,,,,,,,8942661,
65347144,65469560,0,False,residential,Goodwin Avenue,37.392,2,,,,,,,,,,8942663,
65347146,65488612,0,False,residential,Washington Avenue,95.076,2,,,,,,,,,,8937302,
65347146,65347150,0,False,residential,Maddux Drive,151.339,2,,,,,,,,,,8919747,
65347146,65347144,0,False,residential,Maddux Drive,277.248,2,,,,,,,,,,8919747,
65347146,65469562,0,False,residential,Washington Avenue,353.424,2,,,,,,,,,,8937302,
65347150,65347151,0,False,residential,Maddux Drive,69.201,2,,,,,,,,,,8919747,
65347150,65347146,0,False,residential,Maddux Drive,151.339,2,,,,,,,,,,8919747,
65347150,65480318,0,False,residential,Kensington Road,227.619,2,,,,,,,,,,8936254,
65347151,65347154,0,False,residential,Maddux Drive,88.858,2,,,,,,,,,,8919747,
65347151,65347150,0,False,residential,Maddux Drive,69.201,2,,,,,,,,,,8919747,
65347151,65433767,0,False,residential,Bristol Way,214.423,2,,,,,,,,,,8929688,
65347154,65347156,0,False,residential,Maddux Drive,101.266,2,,,,,,,,,,8919747,
65347154,65347151,0,False,residential,Maddux Drive,88.858,2,,,,,,,,,,8919747,
65347154,65439627,0,False,residential,Sussex Way,221.495,2,,,,,,,,,,8930807,
65347156,65347158,0,False,residential,Maddux Drive,153.959,2,,,,,,,,,,8919747,
65347156,65347154,0,False,residential,Maddux Drive,101.266,2,,,,,,,,,,8919747,
65347156,65502497,0,False,residential,Massachusetts Avenue,132.644,,,,,,,,,,,8939217,
65347156,65450902,0,False,residential,Massachusetts Avenue,108.77,,,,,,,,,,,8939217,
65347158,65347161,0,False,residential,Maddux Drive,79.245,2,,,,,,,,,,8919747,
65347158,65347156,0,False,residential,Maddux Drive,153.959,2,,,,,,,,,,8919747,
65347158,65502497,0,False,residential,Hempstead Place,181.4,2,,,,,,,,,,8942458,
65347161,65347158,0,False,residential,Maddux Drive,79.245,2,,,,,,,,,,8919747,
65347161,65515373,0,False,residential,Maryland Street,83.444,2,,,,,,,,,,8942324,
65347161,4825090102,0,False,residential,Maddux Drive,129.329,2,,,,,,,,,,8919747,
65347161,65502500,0,False,residential,Maryland Street,259.574,2,,,,,,,,,,8942324,
65347163,4825090102,0,False,residential,Maddux Drive,8.864,2,,,,,,,,,,8919747,
65347163,65456426,0,True,secondary,Alameda de Las Pulgas,150.089,,,,30 mph,,,,,,,417322507,
65347578,2266468665,0,False,residential,Highland Avenue,57.037,2,,,,,,,,,,8919781,
65347578,2266468675,0,False,secondary,Jefferson Avenue,47.684,,,,,,,,,,,567888629,
65347578,65461490,0,False,secondary,Jefferson Avenue,59.9,,,,,,,,,,,567888629,
65347584,2266468665,0,False,residential,Highland Avenue,21.754,2,,,,,,,,,,8919781,
65347584,65347593,0,False,residential,Highland Avenue,585.415,2,,,,,,,,,,8919781,
65347584,65459364,0,False,residential,Canyon Road,132.913,,,,,,,,,,,8938417,
65347593,65347595,0,False,residential,Highland Avenue,20.368,2,,,,,,,,,,8919781,
65347593,65347584,0,False,residential,Highland Avenue,585.415,2,,,,,,,,,,8919781,
65347593,65419207,0,False,residential,Altamont Way,115.948,,,,,,,,,,,8935842,
65347595,65347593,0,False,residential,Highland Avenue,20.368,2,,,,,,,,,,8919781,
65347595,65347596,0,False,residential,Highland Avenue,160.059,2,,,,,,,,,,8919781,
65347595,2448352085,0,False,residential,Laurel Way,312.412,,,,,,,,,,,8934925,
65347596,65347595,0,False,residential,Highland Avenue,160.059,2,,,,,,,,,,8919781,
65347596,482830157,0,False,tertiary,Jefferson Avenue,59.09,,,,,,,,,,,417084209,
65347596,65454366,0,False,tertiary,Jefferson Avenue,102.929,,,,,,,,,,,417084209,
65348993,541264264,0,True,primary_link,,32.369,1,,,,,,,,,,43196115,
65348993,1109631377,0,False,primary,Main Street,47.807,,,,,,,,,,cloverleaf,397028250,
65349029,65358794,0,True,primary,Veterans Boulevard,389.595,"['6', '5', '4']",,,35 mph,,,,,,,"[435867372, 417353773, 435867373, 417353748, 417353783, 417353758, 417353788, 417323070]",
65349755,1109688335,0,False,tertiary,Charter Street,15.414,,,,,,,,,,,8934434,
65349755,65432965,0,True,secondary,Middlefield Road,134.361,,,,30 mph,,,,,,,"[397030689, 573954483, 397028253]",
65350570,4337589957,0,True,secondary,Industrial Way,102.571,2,,,,,,,,,,"[435867368, 417340598, 417340624]",
65350570,65424632,0,False,secondary,Whipple Avenue,73.269,"['5', '4']",,,25 mph,,,,,,,"[574296538, 417340644, 417329486]",
65350570,65358794,0,True,secondary,Whipple Avenue,182.171,,,,,,,,,,,"[574296537, 538901114, 417340662, 417340671]",
65350570,65391853,0,False,residential,Winslow Street,87.524,,,,,,,,,,,482092769,
65350570,65391853,1,False,residential,Winslow Street,87.962,,,,,,,,,,,"[574296536, 482092768]",
65354800,65354810,0,False,residential,,165.667,,,,,,,,,,,8920363,
65354800,65354810,1,False,residential,,229.267,,,,,,,,,,,443243002,
65354800,65377432,0,False,residential,,43.406,,,,,,,,,,,8923210,
65354810,65354800,0,False,residential,,165.667,,,,,,,,,,,8920363,
65354810,65354800,1,False,residential,,229.267,,,,,,,,,,,443243002,
65354810,4879168551,0,False,residential,,112.741,,,,,,,,,,,496200683,
65355466,365488301,0,True,motorway_link,,230.564,1,,,,,,,,,,8920408,
65355466,65485312,0,True,motorway,Bayshore Freeway,1232.746,4,,,65 mph,,,yes,,,,"[127284801, 127284802, 514310891, 42380380, 42380382]",US 101
65356808,65432205,0,False,tertiary,Main Street,155.053,,,,,,,,,,,8936026,
65356808,272950284,0,True,tertiary,Main Street,107.042,,,,,,,,,,,209962132,
65358454,65466140,0,False,residential,Chesterton Avenue,107.691,,,,,,,,,,,"[8939796, 8920638]",
65358783,65482565,0,False,residential,Buckeye Street,68.494,,,,,,,,,,,8937616,
65358787,65370922,0,False,tertiary,Main Street,27.311,,,,,,,,,,,573865584,
65358787,1109609170,0,True,tertiary_link,,39.252,,,,,,,,,,,95709759,
