u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
54143716,54763019,0,False,residential,North Church Avenue,80.117,,,,,,,,,,,7501485,
54143716,54696035,0,False,residential,"['West Craig Street', 'North Quince Avenue']",148.018,,,,,,,,,,,"[7001322, 7338613]",
54143716,54867523,0,False,residential,"['Driftwood Avenue', 'West Craig Street']",281.1,,,,,,,,,,,"[7001322, 7479644]",
54143720,54143722,0,False,residential,West Craig Street,102.221,,,,,,,,,,,7001327,
54143720,54755322,0,False,residential,North Brierwood Avenue,83.557,,,,,,,,,,,7369140,
54143720,54755320,0,False,residential,North Brierwood Avenue,88.179,,,,,,,,,,,7369140,
54143722,54143720,0,False,residential,West Craig Street,102.221,,,,,,,,,,,7001327,
54143747,54488128,0,False,residential,North Forest Avenue,108.56,,,,,,,,,,,7316769,
54168340,54168341,0,False,residential,,50.246,,,,,,,,,,,7013709,
54168340,54485265,0,False,tertiary,West Terra Vista Drive,90.836,,,,,,,,,,,7520188,
54168340,54971395,0,False,tertiary,West Terra Vista Drive,138.331,,,,,,,,,,,7520188,
54168341,54168340,0,False,residential,,50.246,,,,,,,,,,,7013709,
54168341,54900575,0,False,residential,West Via Lindo Drive,45.344,,,,,,,,,,,7461931,
54168341,54842606,0,False,residential,"['West Via Lindo Drive', 'North Sweet Leaf Avenue']",220.903,,,,,,,,,,,"[7461931, 7416948]",
54168346,54168348,0,False,residential,,78.483,,,,,,,,,,,7013714,
54168346,54576651,0,False,residential,West Calle Vista Drive,102.904,,,,,,,,,,,7253065,
54168346,54486795,0,False,residential,"['North Amberwood Avenue', 'West Calle Vista Drive']",353.248,,,,,,,,,,,"[7253065, 7399451]",
54168348,54168346,0,False,residential,,78.483,,,,,,,,,,,7013714,
54168348,54580828,0,False,residential,"['West Buena Vista Drive', 'North Tamarind Avenue']",146.804,,,,,,,,,,,"[7256384, 7194420]",
54168348,54486795,0,False,residential,West Buena Vista Drive,256.662,,,,,,,,,,,7194420,
54187465,54187466,0,False,residential,,80.712,,,,,,,,,,,7023432,
54187465,54827162,0,False,tertiary,West Sunrise Drive,123.553,,,,30 mph,,,,,,,7408546,
54187465,54580830,0,False,tertiary,West Sunrise Drive,308.927,,,,30 mph,,,,,,,7408546,
54187466,54187465,0,False,residential,,80.712,,,,,,,,,,,7023432,
54187466,54486808,0,False,residential,"['West Calle Vista Drive', 'North Orangewood Avenue']",147.569,,,,,,,,,,,"[7253065, 7446317]",
54187466,54576651,0,False,residential,West Calle Vista Drive,286.568,,,,,,,,,,,7253065,
54204512,54691353,0,False,residential,West Easton Street,67.125,,,,,,,,,,,7334520,
54204512,54684851,0,False,residential,North Alice Avenue,159.364,,,,,,,,,,,7032059,
54204512,54596492,0,False,residential,West Easton Street,237.039,,,,,,,,,,,7334520,
54275107,558939567,0,False,residential,East Easton Street,32.709,,,,,,,,,,,43950262,
54275107,54275109,0,False,residential,,167.062,,,,,,,,,,,7071686,
54275107,54596497,0,False,residential,East Easton Street,211.058,,,,,,,,,,,43950262,
54275109,54868146,0,False,residential,East Chaparral Street,47.392,,,,,,,,,,,7433799,
54275109,54275114,0,False,residential,,293.091,,,,,,,,,,,7071686,
54275109,54275107,0,False,residential,,167.062,,,,,,,,,,,7071686,
