u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
26819598,57796265,0,True,motorway,Eastshore Freeway,631.049,4,,,65 mph,,,yes,,,,"[22719499, 22375686, 22375687]",I 80
26819598,57796266,0,True,motorway_link,,341.31,2,,,,,,,,,,"[392522261, 22374918]",
57785421,57790239,0,False,residential,Sanderling Island,208.309,,,,,,,,,,,7855937,
57785567,57852767,0,True,motorway,Eastshore Freeway,342.675,4,,,65 mph,,,,,,,23632126,I 80
57785580,57785567,0,True,motorway_link,,303.054,"['1', '2']",,,,,,,,,,"[23632128, 392783299]",
57786257,57786266,0,False,residential,,41.674,,,,,,,,,,,7852692,
57786257,57851401,0,False,residential,Clarence Street,40.723,,,,,,,,,,,7861906,
57786257,57851404,0,False,residential,Clarence Street,118.995,,,,,,,,,,,7861908,
57786266,57786257,0,False,residential,,41.674,,,,,,,,,,,7852692,
57786266,301014791,0,False,residential,Grandview Court,66.684,,,,,,,,,,,7871266,
57786266,602423252,0,False,residential,Grandview Court,51.579,,,,,,,,,,,7871266,
57786875,57786896,0,True,motorway_link,,91.976,1,,,,,,,,,,7852723,
57786875,2232363663,0,True,motorway_link,,191.955,1,,,,,,,,,,392783296,
57786896,256020387,0,True,secondary,Hilltop Drive,41.664,2,,,,,,,,,,534667411,
57786896,2231111783,0,True,motorway_link,,23.36,1,,,,,,,,,,534667412,
57786898,2231111783,0,True,secondary,Hilltop Drive,28.453,2,,,,,,,,,,23632928,
57786898,57786923,0,True,motorway_link,,235.309,1,,,,,,,,,,213409754,
57786923,2232377548,0,True,motorway_link,,234.73,1,,,,,,,,,,392783300,
57787468,256011515,0,False,tertiary,,77.502,3,,,,,,,,,,"[394469149, 23632134]",
57787468,256011546,0,True,secondary,Hilltop Drive,186.128,2,,,,,,yes,,,,"[23632930, 23632931]",
57787468,2232363625,0,False,tertiary,Hilltop Drive,91.772,5,,,,,,,,,,392783294,
57789874,57785567,0,True,motorway,Eastshore Freeway,377.027,4,,,65 mph,,,,,,,23632126,I 80
57789934,57791533,0,True,motorway,Eastshore Freeway,488.9,4,,,65 mph,,,,,,,22375689,I 80
57789935,57789934,0,True,motorway_link,,313.419,1,,,,,,,,,,392522263,
57789935,57876904,0,False,secondary,Central Avenue,53.66,,,,30 mph,,,,,,,"[575450764, 575448333]",
57789935,57796266,0,False,secondary,Central Avenue,68.844,,,,30 mph,,,,,,,575450764,
57789939,57789934,0,True,motorway,Eastshore Freeway,661.899,4,,,65 mph,,,yes,,,,"[22375688, 22375689, 7862079]",I 80
57789939,57789935,0,True,motorway_link,,354.371,"['3', '2']",,,,,,,,,,"[146999505, 395390940, 392522260]",
57790239,57790251,0,False,residential,,73.474,,,,,,,,,,,7853051,
57790239,57785421,0,False,residential,Sanderling Island,208.309,,,,,,,,,,,7855937,
57790239,57823841,0,False,residential,Pelican Way,207.072,,,,,,,,,,,7857650,
57790251,57790239,0,False,residential,,73.474,,,,,,,,,,,7853051,
57791522,57796296,0,True,motorway,Eastshore Freeway,267.842,4,,,65 mph,,,,,,,22719501,I 80
57791533,57791522,0,True,motorway,Eastshore Freeway,845.631,4,,,65 mph,,,yes,,,,"[22375689, 22719500, 22719501]",I 80
57791533,240513209,0,True,motorway_link,,333.524,,,,,,,,,,,"[392512018, 392517926]",
57791540,57904271,0,False,residential,Hayes Street,102.283,,,,,,,,,,,7870418,
57791542,57819835,0,False,residential,24th Street,79.645,,,,,,,,,,,7857022,
57791545,57905075,0,False,residential,25th Street,57.691,,,,,,,,,,,7875967,
57791547,57894187,0,False,residential,26th Street,30.627,,,,,,,,,,,7868728,
57791585,57824355,0,False,secondary,McBryde Avenue,18.109,4,,,,,,,,,,392687267,
57791585,57824363,0,False,secondary,McBryde Avenue,83.81,"['5', '4']",,,,,,yes,,,,"[392687267, 415810493, 23634782]",
57792016,57792018,0,False,residential,,50.776,,,,,,,,,,,7853297,
