u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
38503213,38503223,0,True,motorway,Nimitz Freeway,106.572,4,,,65 mph,,,,,,,183248612,I 880
38503223,52987003,0,True,motorway_link,,423.877,1,,,,,,yes,,,,"[30929721, 6320322, 395296646]",
38503223,242584794,0,True,motorway,Nimitz Freeway,699.321,4,,,65 mph,,,,,,,183248612,I 880
38503240,242575619,0,True,motorway_link,,441.123,,,,,,,,,,,6321842,
38503240,1316693137,0,True,motorway,Nimitz Freeway,313.377,"['5', '4']",,,65 mph,,,,,,,"[123867448, 396014442]",I 880
38503247,242460445,0,True,motorway,Nimitz Freeway,310.145,5,,,65 mph,,,,,,,123867441,I 880
52982496,3957354404,0,False,secondary,Lewelling Boulevard,27.348,,,,,,,,,,,238228475,
52982496,343914271,0,True,primary,Embers,354.586,2,,,,,,,,,,"[6394555, 516593700, 516593701]",
52986699,52986701,0,False,residential,,33.821,,,,,,,,,,,6320220,
52986699,53133830,0,False,residential,Seagate Drive,283.274,,,,,,,,,,,6387768,
52986699,354834367,0,False,residential,Seagate Drive,193.308,,,,,,,,,,,6387768,
52986701,52986699,0,False,residential,,33.821,,,,,,,,,,,6320220,
52986701,52986705,0,True,residential,,18.248,,,,,,,,,,roundabout,31714234,
52986705,53119957,0,False,residential,Blue Whale Street,206.831,,,,,,,,,,,6372620,
52986705,52986709,0,True,residential,,21.034,,,,,,,,,,roundabout,31714234,
52986709,53054238,0,False,residential,"['Flagship Street', 'Outrigger Drive']",646.171,,,,,,,,,,,"[6343568, 6329658]",
52986709,52986701,0,True,residential,,27.64,,,,,,,,,,roundabout,31714234,
52986986,242851788,0,True,motorway_link,,350.67,,,,,,,,,,,123867460,
52986986,596003453,0,True,motorway,Castro Valley Freeway,662.768,2,,,,,,,yes,,,"[183248214, 530329630, 183248215]",I 238
52986988,52986986,0,True,motorway,Castro Valley Freeway,30.886,2,,,,,,,,,,6320318,I 238
52986992,52986988,0,True,motorway,Castro Valley Freeway,192.349,2,,,,,,,,,,6320318,I 238
52986992,52998310,0,True,motorway_link,,251.192,1,,,,,,,,,,6322894,
52987003,52987008,0,True,motorway_link,,115.256,3,,,,,,,,,,30929730,
52987008,53001322,0,False,secondary,Washington Avenue,12.697,,,,,,,,,,,28376316,
52987008,2477304423,0,False,secondary,Washington Avenue,103.649,,,,,,,,,,,"[417312840, 28376316, 417312836]",
52987011,52987003,0,True,motorway_link,,278.458,1,,,,,,,,,,31715133,
52987011,52987013,0,True,motorway,Castro Valley Freeway,338.472,"['1', '2']",,,,,,,,,,"[510480857, 123867337]",I 238
52987013,242584794,0,True,motorway,Castro Valley Freeway,233.201,1,,,,,,,,,,123867337,I 238
52987929,53108680,0,False,tertiary,Benedict Drive,78.562,,,,,,,,,,,6366923,
52987929,1343026218,0,False,residential,Benedict Drive,30.836,,,,,,,,,,,183248209,
52987929,354819378,0,False,residential,Sherry Court,89.232,,,,,,,,,,,6407538,
52992004,53108674,0,False,tertiary,Benedict Drive,109.059,,,,,,,,,,,6366923,
52992004,5047420819,0,False,tertiary,,31.319,,,,,,,,,,,473018182,
52992004,53102462,0,False,tertiary,Estudillo Avenue,79.758,5,,,,,,,,,,517170927,
52992004,252108413,0,False,tertiary,Estudillo Avenue,34.491,3,,,,,,,,,,"[517170925, 517170926]",
52994304,2816205958,0,False,secondary,Grand Avenue,4.414,,,,,,,,,,,6397150,
52994304,53063035,0,False,residential,Dolores Avenue,92.445,,,,,,,,,,,6341161,
52994304,53072992,0,False,secondary,Grand Avenue,105.692,,,,,,,,,,,6397150,
52994307,242912764,0,True,motorway,MacArthur Freeway,20.616,4,,,65 mph,,,,,,,45767905,I 580
52994310,1343014222,0,False,tertiary,Grand Avenue,46.254,,,,,,,,,,,416152701,
52994310,242912490,0,True,motorway_link,,28.228,1,,,,,,,,,,395301123,
52994310,53072992,0,False,secondary,Grand Avenue,73.951,,,,,,,,,,,"[6397150, 416152702]",
52996862,3733468243,0,True,secondary,Marina Boulevard,237.731,,,,,,,yes,,,,"[22616660, 31714101, 31714102]",
52998310,53123446,0,False,tertiary,Beatrice Street,44.151,,,,,,,,,,,28376231,
52998310,2427025878,0,False,secondary,Beatrice Street,7.16,,,,,,,,,,,516594906,
53001322,52987008,0,False,secondary,Washington Avenue,12.697,,,,,,,,,,,28376316,
53001322,52987013,0,True,motorway_link,,251.407,1,,,,,,,,,,"[522497131, 6320333]",
53001322,53006532,0,True,secondary,Washington Avenue,224.14,,,,,,,yes,,,,"[392513569, 521786357, 30929713]",
53002038,53094303,0,False,residential,Central Avenue,56.082,,,,,,,,,,,6394872,
53003083,826972757,0,False,tertiary,Delane Drive,25.027,,,,,,,,,,,68835330,
53003083,53091682,0,False,tertiary,Benedict Drive,124.697,,,,,,,,,,,6366923,
53003083,53030766,0,False,tertiary,Benedict Drive,151.887,,,,,,,,,,,6366923,
53003193,3957275134,0,True,motorway_link,,8.228,,,,,,,,,,,392510100,
53003202,3957313994,0,True,secondary,Washington Avenue,149.536,"['5', '2', '4']",,,,,,,,,,"[392513576, 417312834, 392513573]",
53005901,53091882,0,False,residential,Donovan Drive,42.726,,,,,,,,,,,6364397,
53006532,3957275134,0,True,motorway_link,,156.098,1,,,,,,,,,,"[392510105, 6324743]",
53006532,53124758,0,True,secondary,Washington Avenue,77.7,2,,,,,,,,,,"[392513570, 516595831]",
53006542,242443102,0,True,motorway_link,,15.51,1,,,,,,,,,,513704064,
53006542,976346978,0,True,primary,Davis Street,163.37,5,,,,,,,,,,"[60678651, 517156116]",CA 61
53009688,53009689,0,False,residential,Regatta Way,55.588,,,,,,,,,,,6325524,
53009688,53046269,0,False,residential,Regatta Way,30.716,,,,,,,,,,,6335515,
53009688,53054687,0,False,residential,Harbor Way,141.004,,,,,,,,,,,6337968,
53009689,53009688,0,False,residential,Regatta Way,55.588,,,,,,,,,,,6325524,
53009689,53081486,0,False,residential,Baypoint Avenue,60.383,,,,,,,,,,,6354171,
53009689,53016332,0,False,residential,Baypoint Avenue,65.468,,,,,,,,,,,6354171,
53016327,53016332,0,False,residential,Baypoint Avenue,50.867,,,,,,,,,,,6354171,
53016327,53092844,0,False,residential,Baypoint Avenue,53.938,,,,,,,,,,,6354171,
53016327,354825636,0,False,residential,Spinnaker Court,79.563,,,,,,,,,,,6326746,
53016332,53016333,0,False,residential,Rocky Point Court,89.119,,,,,,,,,,,6326749,
53016332,53016327,0,False,residential,Baypoint Avenue,50.867,,,,,,,,,,,6354171,
53016332,53009689,0,False,residential,Baypoint Avenue,65.468,,,,,,,,,,,6354171,
53016333,53016332,0,False,residential,Rocky Point Court,89.119,,,,,,,,,,,6326749,
53016338,53054687,0,False,residential,Harbor Way,47.818,,,,,,,,,,,6337968,
53016338,53016342,0,False,residential,Harbor Way,56.212,,,,,,,,,,,6337968,
53016338,53016339,0,False,residential,Overlook Court,152.827,,,,,,,,,,,6326750,
53016339,53016338,0,False,residential,Overlook Court,152.827,,,,,,,,,,,6326750,
53016342,53016338,0,False,residential,Harbor Way,56.212,,,,,,,,,,,6337968,
53016342,53028945,0,False,residential,Harbor Way,53.318,,,,,,,,,,,6337968,
53016342,53016343,0,False,residential,Pacific View Court,180.061,,,,,,,,,,,6326752,
53016343,53016342,0,False,residential,Pacific View Court,180.061,,,,,,,,,,,6326752,
53016993,53047419,0,False,residential,Corvallis Street,73.178,,,,,,,,,,,6353442,
53016993,53092003,0,False,residential,Corvallis Street,72.619,,,,,,,,,,,6353442,
53016993,53092003,1,False,residential,"['Hanover Street', 'Victor Avenue', 'Georgetown Avenue']",616.489,,,,,,,,,,,"[6326962, 6355419, 6402542]",
53017276,53017278,0,False,residential,Humboldt Drive,164.58,,,,,,,,,,,6327043,
53017276,53154174,0,False,residential,"['Daily Drive', 'Daily Court']",194.235,,,,,,,,,,,"[6404810, 6354927]",
53017276,53057921,0,False,residential,Daily Drive,154.048,,,,,,,,,,,6354927,
53017278,53049655,0,False,residential,Vista Grand Drive,82.361,,,,,,,,,,,6377760,
53017278,53017276,0,False,residential,Humboldt Drive,164.58,,,,,,,,,,,6327043,
53017278,53108680,0,False,residential,Vista Grand Drive,242.259,,,,,,,,,,,6377760,
53018001,53018002,0,False,residential,Cedar Avenue,75.689,,,,,,,,,,,6327200,
53018001,53075900,0,False,residential,"['Hemlock Street', 'Cedar Avenue']",324.784,,,,,,,,,,,"[6327200, 6397927]",
53018001,53074817,0,False,residential,Wiley Street,248.136,,,,,,,,,,,6345565,
53018002,53018003,0,False,residential,Cedar Avenue,75.648,,,,,,,,,,,6327200,
53018002,53018001,0,False,residential,Cedar Avenue,75.689,,,,,,,,,,,6327200,
53018002,53075901,0,False,residential,Acacia Street,248.156,,,,,,,,,,,6402229,
53018003,53018004,0,False,residential,Cedar Avenue,74.632,,,,,,,,,,,6327200,
53018003,53018002,0,False,residential,Cedar Avenue,75.648,,,,,,,,,,,6327200,
53018003,53063753,0,False,residential,Birch Street,248.143,,,,,,,,,,,6341439,
53018004,53018006,0,False,residential,Cedar Avenue,76.66,,,,,,,,,,,6327200,
53018004,53018003,0,False,residential,Cedar Avenue,74.632,,,,,,,,,,,6327200,
53018004,53075902,0,False,residential,Locust Street,248.203,,,,,,,,,,,6400230,
