u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
48857407,48857408,0,False,residential,Wren Way,73.049,,,,,,,,,,,5938354,
48857408,48857407,0,False,residential,Wren Way,73.049,,,,,,,,,,,5938354,
48857408,49252192,0,False,residential,La Noche Drive,92.353,,,,,,,,,,,6044562,
48857408,48857410,0,False,residential,Wren Way,62.874,,,,,,,,,,,5938354,
48857408,49599072,0,False,residential,La Noche Drive,86.844,,,,,,,,,,,6044562,
48857410,48857408,0,False,residential,Wren Way,62.874,,,,,,,,,,,5938354,
48860913,48879556,0,False,residential,Los Vallecitos Boulevard,462.416,,,,,,,,,,,5938619,
48860913,49092305,0,False,residential,Los Vallecitos Boulevard,292.825,,,,,,,,,,,5976598,
48860913,49313817,0,False,residential,Newport Drive,134.883,,,,,,,,,,,5984257,
48871297,49353929,0,False,residential,Huntington Road,95.265,,,,,,,,,,,"[5989090, 5939399]",
48875316,4055744848,0,False,unclassified,Center Drive,680.605,,,,,,,,,,,403200286,
48876876,49105675,0,False,residential,Cascade,61.252,,,,,,,,,,,5987726,
48876876,48876904,0,False,residential,Cascade,66.461,,,,,,,,,,,5987726,
48876876,48876882,0,False,residential,,359.071,,,,,,,,,,,5939783,
48876882,48876909,0,False,residential,,57.506,,,,,,,,,,,5939788,
48876882,48876949,0,False,residential,,66.598,,,,,,,,,,,5939788,
48876882,48876876,0,False,residential,,359.071,,,,,,,,,,,5939783,
48876904,48876876,0,False,residential,Cascade,66.461,,,,,,,,,,,5987726,
48876904,385053957,0,False,residential,Cascade,91.117,,,,,,,,,,,5987726,
48876904,48876909,0,False,residential,,355.372,,,,,,,,,,,5939785,
48876909,48876910,0,False,residential,,38.96,,,,,,,,,,,5939785,
48876909,48876882,0,False,residential,,57.506,,,,,,,,,,,5939788,
48876909,48876904,0,False,residential,,355.372,,,,,,,,,,,5939785,
48876910,48876909,0,False,residential,,38.96,,,,,,,,,,,5939785,
48876910,385053951,0,False,residential,Wade Drive,49.892,,,,,,,,,,,5977240,
48876910,49255243,0,False,residential,Wade Drive,252.191,,,,,,,,,,,5977240,
48876946,48876949,0,False,residential,,188.588,,,,,,,,,,,5939788,
48876946,49255243,0,False,residential,Pyrenees Drive,41.893,,,,,,,,,,,6044168,
48876946,48923483,0,False,residential,Pyrenees Drive,28.797,,,,,,,,,,,6044168,
48876949,48876882,0,False,residential,,66.598,,,,,,,,,,,5939788,
48876949,48876946,0,False,residential,,188.588,,,,,,,,,,,5939788,
48876949,48938615,0,False,residential,Himalaya Drive,59.233,,,,,,,,,,,5961424,
48879556,1764962436,0,False,residential,Descanso Avenue,17.172,,,,,,,,,,,6042785,
48879556,48860913,0,False,residential,Los Vallecitos Boulevard,462.416,,,,,,,,,,,5938619,
48879556,48895650,0,True,secondary,North Las Posas Road,115.602,4,,,,,,,,,,"[32685914, 436261333]",
48891981,48891983,0,True,motorway_link,,355.502,,,,,,,,,,,5940902,
