u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
29856328,175673231,0,False,residential,Meadows Lane,282.311,,,,,,,,,,,16945050,
164707756,164707796,0,False,tertiary,Veronica Springs Road,298.268,,,,,,,,,,,16216298,
164707756,165442802,0,False,tertiary,Modoc Road,127.043,,,,,,,,,,,69720250,
164707796,164707812,0,False,tertiary,Veronica Springs Road,143.075,,,,,,,,,,,16216298,
164707796,164707756,0,False,tertiary,Veronica Springs Road,298.268,,,,,,,,,,,16216298,
164707812,164707796,0,False,tertiary,Veronica Springs Road,143.075,,,,,,,,,,,16216298,
164707812,165337776,0,False,tertiary,Torino Drive,85.101,,,,,,,,,,,16256782,
164707812,373758015,0,False,tertiary,Veronica Springs Road,770.575,,,,,,,,,,,69721291,
164710144,164710153,0,False,residential,Lucinda Lane,333.71,,,,,,,,,,,16216374,
164710144,165552678,0,False,residential,Alamar Avenue,78.044,,,,,,,,,,,373692659,
164710144,165552674,0,False,residential,Alamar Avenue,82.63,,,,,,,,,,,373692659,
164710153,164710155,0,False,residential,Lucinda Lane,52.643,,,,,,,,,,,16216374,
164710153,165319554,0,False,residential,East Calle Laureles,83.745,,,,,,,,,,,16249540,
164710153,164710144,0,False,residential,Lucinda Lane,333.71,,,,,,,,,,,16216374,
164710153,165319558,0,False,residential,East Calle Laureles,70.198,,,,,,,,,,,16249540,
164710155,164710153,0,False,residential,Lucinda Lane,52.643,,,,,,,,,,,16216374,
164710155,164710155,0,False,residential,Lucinda Lane,364.904,,,,,,,,,,,16216380,
164710155,164710155,1,False,residential,Lucinda Lane,364.904,,,,,,,,,,,16216380,
164710302,164710305,0,False,residential,Cook Place,28.63,,,,,,,,,,,16216383,
164710305,164710307,0,False,residential,Cook Place,117.44,,,,,,,,,,,16216383,
164710305,164710302,0,False,residential,Cook Place,28.63,,,,,,,,,,,16216383,
164710305,165374101,0,False,residential,Cass Place,147.479,,,,,,,,,,,16253496,
164710307,164710310,0,False,residential,Cook Place,139.159,,,,,,,,,,,16216383,
164710307,164710305,0,False,residential,Cook Place,117.44,,,,,,,,,,,16216383,
164710307,165378465,0,False,residential,Burns Place,169.299,,,,,,,,,,,16253656,
164710310,164710313,0,False,residential,Cook Place,55.836,,,,,,,,,,,16216383,
164710310,566110128,0,False,residential,Arnold Place,197.484,,,,,,,,,,,16258482,
164710310,164710307,0,False,residential,Cook Place,139.159,,,,,,,,,,,16216383,
164710313,164710310,0,False,residential,Cook Place,55.836,,,,,,,,,,,16216383,
164710510,164710512,0,False,residential,La Jolla Drive,130.877,,,,,,,,,,,16216396,
164710510,164710512,1,False,residential,"['Selrose Lane', 'Medcliff Road']",274.417,,,,,,,,,,,"[16261042, 16250023]",
164710510,164710542,0,False,residential,Medcliff Road,23.58,,,,,,,,,,,16261042,
164710512,164710510,0,False,residential,La Jolla Drive,130.877,,,,,,,,,,,16216396,
164710512,164710510,1,False,residential,"['Selrose Lane', 'Medcliff Road']",274.417,,,,,,,,,,,"[16261042, 16250023]",
164710512,165330205,0,False,residential,Selrose Lane,162.71,,,,,,,,,,,16250023,
164710529,164710542,0,False,residential,La Jolla Drive,62.93,,,,,,,,,,,16216398,
164710542,164710510,0,False,residential,Medcliff Road,23.58,,,,,,,,,,,16261042,
164710542,165502769,0,False,residential,Medcliff Road,56.61,,,,,,,,,,,16261042,
164710542,164710529,0,False,residential,La Jolla Drive,62.93,,,,,,,,,,,16216398,
164710599,165370676,0,False,residential,North Soledad Street,65.98,,,,,,,,,,,16263758,
164710599,165370676,1,False,residential,"['Diana Road', 'Diana Lane']",313.223,,,,,,,,,,,"[16253425, 16216404]",
164710599,165482356,0,False,residential,East Ortega Street,37.353,,,,,,,,,,,16258263,
164710944,164710947,0,False,secondary,East Anapamu Street,158.547,,,,,,,,,,,16216418,
164710944,566113791,0,False,tertiary,West Anapamu Street,158.337,,,,,,,,,,,16254232,
164710944,165379456,0,False,primary,State Street,156.255,,,,,,,,,,,16262917,
164710944,165463708,0,False,primary,State Street,155.432,,,,,,,,,,,16262917,
