u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
90878980,91630381,0,False,residential,Atlantic Place,74.51,,,,,,,,,,,10538446,
90878980,634656794,0,False,residential,Atlantic Place,76.437,,,,,,,,,,,10538446,
90878980,1860614131,0,False,residential,North Cesar E Chavez Drive,302.414,,,,,,,,,,,16261452,
91630381,634656434,0,False,residential,Atlantic Place,74.629,,,,,,,,,,,10538446,
91630381,90878980,0,False,residential,Atlantic Place,74.51,,,,,,,,,,,10538446,
91630381,165147685,0,False,residential,North Bentley Avenue,319.431,,,,,,,,,,,16263469,
164707964,164707969,0,False,residential,Borges Drive,93.4,,,,,,,,,,,16235042,
164707964,164986861,0,False,residential,Borges Drive,204.004,,,,,,,,,,,16235042,
164707964,164865769,0,False,residential,Yoshida Drive,119.382,,,,,,,,,,,106704908,
164707964,164865472,0,False,residential,"['Tabitha Lane', 'Yoshida Drive']",239.31,,,,,,,,,,,"[16226922, 106704908]",
164707969,164707964,0,False,residential,Borges Drive,93.4,,,,,,,,,,,16235042,
164708898,165450330,0,False,residential,Olive Drive,129.006,,,,,,,,,,,16256720,
164708898,165450329,0,False,residential,Olive Drive,88.958,,,,,,,,,,,16256720,
164708898,164708902,0,False,residential,Lindeman Lane,85.799,,,,,,,,,,,16216325,
164708902,165448300,0,False,residential,Hines Lane,48.823,,,,,,,,,,,16256523,
164708902,164708917,0,False,residential,Lindeman Lane,156.418,,,,,,,,,,,16216325,
164708902,164708898,0,False,residential,Lindeman Lane,85.799,,,,,,,,,,,16216325,
164708917,164708902,0,False,residential,Lindeman Lane,156.418,,,,,,,,,,,16216325,
164708917,165604806,0,False,residential,Mariott Road,97.181,,,,,,,,,,,16263389,
164708917,165450330,0,False,residential,Mariott Road,236.165,,,,,,,,,,,16263389,
164709268,165581728,0,False,residential,"['Kate Court', 'Nita Court', 'North East Avenue']",437.605,,,,,,,,,,,"[16259305, 16262650, 16216342]",
164709268,165581728,1,False,residential,McElhany Avenue,79.647,,,,,,,,,,,16264319,
164709268,165440132,0,False,residential,McElhany Avenue,131.874,,,,,,,,,,,16264319,
164709840,164709844,0,False,residential,North School Street,138.327,,,,,,,,,,,16216360,
164709840,165630072,0,False,residential,Harding Avenue,83.04,,,,,,,,,,,16264287,
164709840,165438538,0,False,residential,"['North School Street', 'Vickie Avenue']",288.798,,,,,,,,,,,"[16216360, 16256051]",
164709844,164709848,0,False,residential,North School Street,235.861,,,,,,,,,,,16216360,
164709844,164709840,0,False,residential,North School Street,138.327,,,,,,,,,,,16216360,
164709844,165413785,0,False,residential,Dena Way,76.642,,,,,,,,,,,16264204,
164709848,164709851,0,False,residential,North School Street,81.634,,,,,,,,,,,16216360,
164709848,164709844,0,False,residential,North School Street,235.861,,,,,,,,,,,16216360,
164709848,165413793,0,False,residential,Evergreen Avenue,76.285,,,,,,,,,,,16256537,
164709851,164709848,0,False,residential,North School Street,81.634,,,,,,,,,,,16216360,
164709851,165413775,0,False,residential,McElhany Avenue,85.762,,,,,,,,,,,16264319,
164709851,165630069,0,False,residential,McElhany Avenue,82.562,,,,,,,,,,,16264319,
164709851,165413777,0,False,residential,"['Rose Avenue', 'North School Street']",201.183,,,,,,,,,,,"[16216360, 16259090]",
164709875,164709885,0,False,residential,North School Street,85.734,,,,,,,,,,,16216362,
164709875,165300078,0,False,residential,Jewel Street,299.157,,,,,,,,,,,16249980,
164709875,165486358,0,False,residential,"['North School Street', 'Williams Street']",380.892,,,,,,,,,,,"[16264386, 16216362]",
164709885,164709875,0,False,residential,North School Street,85.734,,,,,,,,,,,16216362,
164709885,165486359,0,False,residential,Cox Lane,298.697,,,,,,,,,,,16262534,
164709885,164709893,0,False,residential,North School Street,87.387,,,,,,,,,,,16216362,
164709893,165445614,0,False,residential,Lee Drive,78.638,,,,,,,,,,,16256434,
164709893,164709885,0,False,residential,North School Street,87.387,,,,,,,,,,,16216362,
164709893,165445618,0,False,residential,Lee Drive,305.001,,,,,,,,,,,16256434,
164709904,165502908,0,False,residential,East Alvin Avenue,133.142,,,,,,,,,,,225303018,
164709904,165537116,0,False,residential,East Alvin Avenue,117.114,,,,,,,,,,,225303018,
164709904,164709912,0,False,residential,North School Street,99.098,,,,,,,,,,,16216364,
164709912,165453516,0,False,residential,Hermosa Street,131.042,,,,,,,,,,,16257042,
164709912,165453512,0,False,residential,Hermosa Street,123.35,,,,,,,,,,,16257042,
164709912,164709918,0,False,residential,North School Street,111.745,,,,,,,,,,,16216364,
164709912,164709904,0,False,residential,North School Street,99.098,,,,,,,,,,,16216364,
164709918,165502910,0,False,residential,East El Camino Street,132.327,,,,,,,,,,,16261915,
164709918,165571558,0,False,residential,East El Camino Street,124.763,,,,,,,,,,,16261915,
164709918,164709926,0,False,residential,North School Street,112.199,,,,,,,,,,,16216364,
164709918,164709912,0,False,residential,North School Street,111.745,,,,,,,,,,,16216364,
164709926,165461765,0,False,residential,East Tunnell Street,131.699,,,,,,,,,,,207009823,
164709926,165461763,0,False,residential,East Tunnell Street,125.672,,,,,,,,,,,207009823,
164709926,164709935,0,False,residential,North School Street,115.67,,,,,,,,,,,16216364,
164709926,164709918,0,False,residential,North School Street,112.199,,,,,,,,,,,16216364,
164709935,164709936,0,False,residential,North School Street,129.793,,,,,,,,,,,16216364,
164709935,165449604,0,False,residential,East Fesler Street,133.149,,,,,,,,,,,16256647,
164709935,165449603,0,False,residential,East Fesler Street,123.397,,,,,,,,,,,16256647,
164709935,164709926,0,False,residential,North School Street,115.67,,,,,,,,,,,16216364,
164709936,164709935,0,False,residential,North School Street,129.793,,,,,,,,,,,16216364,
164709936,165405259,0,False,residential,Mill Street,135.805,,,,,,,,,,,16254713,
164709936,164709945,0,False,residential,North School Street,112.133,,,,,,,,,,,16216364,
164709936,165405252,0,False,residential,Mill Street,123.384,,,,,,,,,,,16254713,
164709945,165323362,0,False,residential,East Chapel Street,134.971,,,,,,,,,,,16249704,
164709945,1805566564,0,False,residential,East Chapel Street,117.599,,,,,,,,,,,16249704,
164709945,164709936,0,False,residential,North School Street,112.133,,,,,,,,,,,16216364,
164710336,164710338,0,False,residential,Daniel Drive,11.615,,,,,,,,,,,16216387,
164710336,1774638254,0,False,residential,Daniel Drive,74.55,,,,,,,,,,,16216387,
164710336,165557701,0,True,residential,Miller Street,149.643,,,,,,,,,,,172075757,
164710338,164710341,0,False,residential,Daniel Drive,55.167,,,,,,,,,,,16216387,
164710338,164710336,0,False,residential,Daniel Drive,11.615,,,,,,,,,,,16216387,
164710338,165557586,0,True,residential,Miller Street,302.551,,,,,,,,,,,166971918,
164710341,164710338,0,False,residential,Daniel Drive,55.167,,,,,,,,,,,16216387,
164710341,165450330,0,False,residential,Olive Drive,84.479,,,,,,,,,,,16256720,
164710341,164710362,0,False,residential,Daniel Drive,309.616,,,,,,,,,,,16216387,
164710362,165571601,0,False,residential,Douglas Way,47.427,,,,,,,,,,,16261919,
164710362,164710375,0,False,residential,Daniel Drive,152.575,,,,,,,,,,,16216387,
164710362,164710341,0,False,residential,Daniel Drive,309.616,,,,,,,,,,,16216387,
164710375,165369129,0,False,residential,Sequoia Drive,101.525,,,,,,,,,,,16253348,
164710375,165607541,0,False,residential,Inger Drive,39.664,,,,,,,,,,,16263514,
164710375,165604806,0,False,residential,Inger Drive,59.353,,,,,,,,,,,16263514,
164710375,164710362,0,False,residential,Daniel Drive,152.575,,,,,,,,,,,16216387,
164711053,165329773,0,False,residential,Paseo Jacaranda,171.114,,,,,,,,,,,16250001,
164711053,165329767,0,False,residential,Paseo Jacaranda,47.766,,,,,,,,,,,16250001,
164711053,164711058,0,False,residential,Calle Mirasol,72.539,,,,,,,,,,,16216422,
164711053,165475152,0,False,residential,"['Via Arbolitos', 'Calle Mirasol']",317.331,,,,,,,,,,,"[16258020, 16216422]",
164711058,164711075,0,False,residential,Calle Mirasol,70.719,,,,,,,,,,,16216422,
164711058,164711053,0,False,residential,Calle Mirasol,72.539,,,,,,,,,,,16216422,
164711058,165329773,0,False,residential,Calle Laureles,246.782,,,,,,,,,,,16253886,
164711075,165381158,0,False,residential,Via Rosa,49.883,,,,,,,,,,,16255498,
164711075,165425736,0,False,residential,"['Calle Mirasol', 'Paseo Palmilla', 'Calle Margarita']",454.021,,,,,,,,,,,"[16261160, 16216422, 16257407]",
164711075,165425736,1,False,residential,Via Rosa,283.268,,,,,,,,,,,16255498,
164711075,164711058,0,False,residential,Calle Mirasol,70.719,,,,,,,,,,,16216422,
164721726,164721750,0,False,residential,,815.834,,,,,,,,,,,16216958,
164721750,164721726,0,False,residential,,815.834,,,,,,,,,,,16216958,
164721750,165387340,0,False,residential,"['E Street', 'Stowell Road']",932.092,,,,,,,,,,,"[16254059, 16254989]",
164725607,164725620,0,True,motorway_link,,371.725,1,,,,,,,,,,16217434,
164725607,165125686,0,True,motorway,El Camino Real,759.707,3,,,65 mph,,,yes,,,,"[185142210, 172050955, 172050957]",US 101
164725620,165528664,0,True,primary,South Bradley Road,10.163,,,,,,,,,,,16259365,
164725620,165609817,0,True,primary,East Main Street,186.005,2,,,,,,,,,,174358390,CA 166
164730462,1226414512,0,False,residential,Veronica Lane,49.263,,,,,,,,,,,16259596,
164730462,164953388,0,False,residential,Murray Drive,131.267,,,,,,,,,,,16231392,
164730462,165534442,0,False,residential,Veronica Lane,189.489,,,,,,,,,,,16259596,
164778480,164778491,0,False,residential,Lewis Road,84.735,,,,,,,,,,,16223291,
164778480,165230751,0,False,residential,Ellen Lane,66.379,,,,,,,,,,,16254120,
164778480,165522921,0,False,residential,"['Ellen Lane', 'Francine Lane']",182.289,,,,,,,,,,,"[16261049, 106472653]",
164778491,164778499,0,False,residential,Lewis Road,54.524,,,,,,,,,,,16223291,
164778491,164778480,0,False,residential,Lewis Road,84.735,,,,,,,,,,,16223291,
164778491,165522921,0,False,residential,Del Sur,77.105,,,,,,,,,,,16259199,
164778491,165522911,0,False,residential,Del Sur,220.706,,,,,,,,,,,16259199,
164778499,1815525440,0,False,residential,Lewis Road,56.044,,,,,,,,,,,16223291,
164778499,164778491,0,False,residential,Lewis Road,54.524,,,,,,,,,,,16223291,
164778499,165242278,0,False,residential,McCoy Lane,152.661,,,,,,,,,,,16245277,
164778499,1224803311,0,False,residential,McCoy Lane,339.298,,,,,,,,,,,39992307,
164778522,164778529,0,False,residential,Lewis Road,57.266,,,,,,,,,,,16223291,
164778522,1815525442,0,False,residential,Lewis Road,53.628,,,,,,,,,,,16223291,
164778522,295037728,0,False,residential,South College Drive,142.379,,,,,,,,,,,106468523,
164778522,1224811357,0,False,residential,South College Drive,176.899,,,,,,,,,,,106468523,
164778529,164778522,0,False,residential,Lewis Road,57.266,,,,,,,,,,,16223291,
164778529,165486602,0,False,residential,Lewis Road,109.928,,,,,,,,,,,16258384,
164778529,165143009,0,False,residential,Bowles Lane,78.051,,,,,,,,,,,16258386,
164778529,165165771,0,False,residential,Bowles Lane,150.506,,,,,,,,,,,16258386,
164780678,164780680,0,False,residential,,182.335,,,,,,,,,,,16223595,
164780678,165396021,0,False,residential,North Railroad Avenue,45.256,,,,,,,,,,,16254308,
164780678,165396019,0,False,residential,North Railroad Avenue,44.924,,,,,,,,,,,16254308,
164780680,164780678,0,False,residential,,182.335,,,,,,,,,,,16223595,
164780680,164780691,0,False,residential,,44.61,,,,,,,,,,,16223597,
164780680,164822561,0,False,residential,Donovan Road,146.072,,,,,,,,,,,16257156,
164780691,164780680,0,False,residential,,44.61,,,,,,,,,,,16223597,
164780691,165445642,0,False,residential,Lee Drive,66.154,,,,,,,,,,,16256437,
164780691,165445641,0,False,residential,Lee Drive,137.229,,,,,,,,,,,16256437,
164800819,164800824,0,False,residential,Bethel Lane,105.653,,,,,,,,,,,16224617,
164800819,165297137,0,False,residential,El Medio Drive,77.282,,,,,,,,,,,16248331,
164800819,1224756053,0,False,residential,Bethel Lane,205.078,,,,,,,,,,,16224617,
164800824,164800819,0,False,residential,Bethel Lane,105.653,,,,,,,,,,,16224617,
164800824,165279494,0,False,residential,Westgate Road,132.856,,,,,,,,,,,16247255,
164800824,164800834,0,False,residential,Bethel Lane,48.687,,,,,,,,,,,16224617,
164800824,165381165,0,False,residential,Westgate Road,282.568,,,,,,,,,,,16253800,
164800834,164800842,0,False,residential,Bethel Lane,66.015,,,,,,,,,,,16224617,
164800834,164800824,0,False,residential,Bethel Lane,48.687,,,,,,,,,,,16224617,
164800834,165297103,0,False,residential,"['Ybarra Avenue', 'Trimera Avenue']",300.492,,,,,,,,,,,"[16260753, 16254958]",
164800842,1192433594,0,False,residential,Bethel Lane,75.196,,,,,,,,,,,16224617,
164800842,164800834,0,False,residential,Bethel Lane,66.015,,,,,,,,,,,16224617,
164800842,1192407413,0,False,residential,Sabrina Court,84.829,,,,,,,,,,,16264531,
164822561,165394477,0,False,residential,Elm Avenue,44.967,,,,,,,,,,,16254247,
164822561,165394476,0,False,residential,Elm Avenue,44.589,,,,,,,,,,,16254247,
164822561,164780680,0,False,residential,Donovan Road,146.072,,,,,,,,,,,16257156,
164822561,164822566,0,False,residential,,120.909,,,,,,,,,,,16225452,
164822566,164822561,0,False,residential,,120.909,,,,,,,,,,,16225452,
164822566,165431539,0,False,residential,North Pine Street,191.069,,,,,,,,,,,16258648,
164822566,165480176,0,False,residential,North Pine Street,119.415,,,,,,,,,,,16258648,
164853914,165382606,0,False,residential,Carlotti Drive,175.112,,,,,,,,,,,16258294,
164853914,165449656,0,False,residential,Carlotti Drive,166.529,,,,,,,,,,,16258294,
164853914,164853928,0,False,residential,Paden Street,44.73,,,,,,,,,,,16226442,
164853914,165449664,0,False,residential,"['Stanford Drive', 'Paden Street']",648.619,,,,,,,,,,,"[16256656, 16226442]",
164853928,164853938,0,False,residential,Paden Street,89.829,,,,,,,,,,,16226442,
164853928,164853914,0,False,residential,Paden Street,44.73,,,,,,,,,,,16226442,
164853928,165526119,0,False,residential,David Sanchez Court,135.868,,,,,,,,,,,16259287,
164853938,164853940,0,False,residential,Paden Street,77.205,,,,,,,,,,,16226442,
164853938,164853928,0,False,residential,Paden Street,89.829,,,,,,,,,,,16226442,
164853938,165535693,0,False,residential,Danijay Way,120.446,,,,,,,,,,,16259620,
164853940,164853942,0,False,residential,Paden Street,75.561,,,,,,,,,,,16226442,
164853940,164853938,0,False,residential,Paden Street,77.205,,,,,,,,,,,16226442,
164853940,165448162,0,False,residential,Jesselle Court,84.462,,,,,,,,,,,16256505,
164853942,164853940,0,False,residential,Paden Street,75.561,,,,,,,,,,,16226442,
164853942,164853983,0,False,residential,"['Lauren Lane', 'Paden Street']",357.502,,,,,,,,,,,"[16226442, 106365559]",
164853942,165120935,0,False,residential,Sasha Way,49.973,,,,,,,,,,,16238265,
164853983,165396193,0,False,residential,Seaward Drive,77.711,,,,,,,,,,,16254321,
164853983,165396189,0,False,residential,Seaward Drive,94.665,,,,,,,,,,,16254321,
164853983,164853942,0,False,residential,"['Paden Street', 'Lauren Lane']",357.502,,,,,,,,,,,"[16226442, 106365559]",
164865464,1226414512,0,False,residential,Seaward Drive,333.378,,,,,,,,,,,16254321,
164865464,164865472,0,False,residential,Carlotti Drive,49.268,,,,,,,,,,,16226910,
164865464,164865769,0,False,residential,Seaward Drive,227.417,,,,,,,,,,,16254321,
164865472,164865479,0,False,residential,Carlotti Drive,156.615,,,,,,,,,,,16226910,
164865472,164865464,0,False,residential,Carlotti Drive,49.268,,,,,,,,,,,16226910,
164865472,164707964,0,False,residential,"['Yoshida Drive', 'Tabitha Lane']",239.31,,,,,,,,,,,"[16226922, 106704908]",
164865479,164953385,0,False,residential,Murray Drive,51.579,,,,,,,,,,,16231392,
164865479,165449656,0,False,residential,Carlotti Drive,201.832,,,,,,,,,,,16226910,
164865479,164865472,0,False,residential,Carlotti Drive,156.615,,,,,,,,,,,16226910,
164865769,164986881,0,False,residential,Seaward Drive,270.571,,,,,,,,,,,16254321,
164865769,164865464,0,False,residential,Seaward Drive,227.417,,,,,,,,,,,16254321,
164865769,164707964,0,False,residential,Yoshida Drive,119.382,,,,,,,,,,,106704908,
164867946,1969351060,0,True,motorway_link,,317.441,,,,,,,,,,,16227028,
164867946,165140325,0,True,motorway,El Camino Real,456.469,3,,,65 mph,,,,,,,170080277,US 101;CA 166
164867972,164867974,0,False,motorway_link,,11.464,,,,,,,,,,,186248375,
164867972,1969351060,0,False,motorway_link,,99.949,,,,,,,,,,,186248375,
164867972,165382351,0,True,secondary,East Donovan Road,87.899,,,,,,,,,,,207000952,
164867974,164867972,0,False,motorway_link,,11.464,,,,,,,,,,,186248375,
164867974,1969351059,0,True,secondary,East Donovan Road,42.383,,,,,,,,,,,207000953,
164870562,1226390110,0,True,motorway_link,,378.693,,,,,,,,,,,16227137,
164870562,165292751,0,True,motorway,El Camino Real,584.383,3,,,65 mph,,,,,,,170080277,US 101;CA 166
164870596,165576403,0,True,primary,North Broadway,137.586,,,,,,,,,,,16264423,CA 135
164905987,165382355,0,False,residential,Lynne Drive,9.552,,,,,,,,,,,16258371,
164905987,165382302,0,True,secondary,East Donovan Road,97.354,,,,,,,,,,,207000953,
164914834,164914823,0,True,motorway_link,,229.698,,,,,,,,,,,16229094,
164914834,164914840,0,False,motorway_link,,52.817,,,,,,,,,,,186248379,
164914840,1226390106,0,False,primary,North Broadway,387.572,,,,,,,yes,,,,"[186248346, 186248347, 185027655]",CA 135
164914840,164914834,0,False,motorway_link,,52.817,,,,,,,,,,,186248379,
164914840,1815570487,0,False,residential,,85.59,,,,,,,,,,,346203997,
164914868,164870596,0,True,primary,North Broadway,25.378,,,,,,,,,,,16264423,CA 135
164914868,1226390106,0,False,primary,North Broadway,67.457,,,,,,,,,,,185027655,CA 135
164914878,164914868,0,True,primary,North Broadway,22.181,,,,,,,,,,,172050960,CA 135
164914878,1226390118,0,True,motorway_link,,98.47,,,,,,,,,,,16248057,
164938385,1192397084,0,False,residential,South Depot Street,46.237,,,,,,,,,,,16230483,
164938385,165628119,0,False,residential,Carmen Lane,104.646,,,,,,,,,,,16264086,
164938385,165497073,0,False,residential,Carmen Lane,46.855,,,,,,,,,,,16264086,
164938385,164938399,0,False,residential,South Depot Street,179.704,,,,,,,,,,,16230483,
164938399,164938424,0,False,residential,South Depot Street,127.577,,,,,,,,,,,16230483,
164938399,164938385,0,False,residential,South Depot Street,179.704,,,,,,,,,,,16230483,
164938399,1192396840,0,False,residential,Flora Way,179.618,,,,,,,,,,,16254873,
164938399,165093093,0,False,residential,Praire Lane,54.45,,,,,,,,,,,16259087,
164938424,164938399,0,False,residential,South Depot Street,127.577,,,,,,,,,,,16230483,
164938424,165408252,0,False,residential,South Depot Street,460.216,,,,,,,,,,,16254833,
164938424,165423039,0,False,residential,Sonya Lane,226.937,,,,,,,,,,,16255555,
164938483,164938486,0,True,residential,,12.982,,,,,,,,,,,16230487,
164938483,165532401,0,True,residential,South College Drive,110.297,,,,,,,,,,,16261413,
164938486,165033109,0,True,residential,,11.808,,,,,,,,,,,16234687,
164949485,165395618,0,False,residential,Skyway Lane,46.489,,,,,,,,,,,16254284,
164949485,1187125463,0,False,residential,Airpark Drive,69.808,,,,,,,,,,,16231132,
164949485,1187125482,0,False,residential,Airpark Drive,40.935,,,,,,,,,,,16259997,
164949495,1187125463,0,False,residential,Airpark Drive,38.616,,,,,,,,,,,16231132,
164949495,165545201,0,False,residential,Airpark Drive,555.891,,,,,,,,,,,167785413,
164953385,164953388,0,False,residential,Murray Drive,77.384,,,,,,,,,,,16231392,
164953385,164865479,0,False,residential,Murray Drive,51.579,,,,,,,,,,,16231392,
164953385,165606030,0,False,residential,Melanie Court,167.973,,,,,,,,,,,16263448,
164953385,165606033,0,False,residential,Melanie Court,136.66,,,,,,,,,,,16263448,
164953388,164953385,0,False,residential,Murray Drive,77.384,,,,,,,,,,,16231392,
164953388,165318092,0,False,residential,Evelyn Court,203.549,,,,,,,,,,,16249478,
164953388,164730462,0,False,residential,Murray Drive,131.267,,,,,,,,,,,16231392,
164953388,165318097,0,False,residential,Evelyn Court,68.174,,,,,,,,,,,16249478,
164961679,295036429,0,True,motorway_link,,285.431,,,,,,,,,,,16231910,
164961679,164961712,0,True,motorway,El Camino Real,773.453,3,,,65 mph,,,yes,,,,"[172050956, 106706501, 45536127]",US 101
164961712,165052787,0,True,motorway,El Camino Real,914.505,3,,,65 mph,,,,,,,185142209,US 101;CA 166
164965711,165387645,0,False,residential,Sunset Avenue,150.666,,,,,,,,,,,16254074,
164986747,164986753,0,False,residential,,50.688,,,,,,,,,,,16232772,
164986747,165522921,0,False,residential,Del Sur,74.128,,,,,,,,,,,16259199,
164986747,165242278,0,False,residential,Crossroad Lane,80.765,,,,,,,,,,,106469785,
164986747,2298621419,0,False,residential,Crossroad Lane,199.198,,,,,,,,,,,106469785,
164986753,164986747,0,False,residential,,50.688,,,,,,,,,,,16232772,
164986753,165330422,0,False,residential,La Gracia,87.917,,,,,,,,,,,16250034,
164986753,165330391,0,False,residential,La Gracia,176.835,,,,,,,,,,,16250034,
164986753,165480588,0,False,residential,Del Sur,100.152,,,,,,,,,,,16259200,
164986861,164986864,0,False,residential,Marian Drive,74.723,,,,,,,,,,,16232778,
164986861,164707964,0,False,residential,Borges Drive,204.004,,,,,,,,,,,16235042,
164986861,165041210,0,False,residential,Borges Drive,36.107,,,,,,,,,,,16235042,
164986864,164986867,0,False,residential,Marian Drive,74.946,,,,,,,,,,,16232778,
164986864,164986861,0,False,residential,Marian Drive,74.723,,,,,,,,,,,16232778,
164986864,295035781,0,False,residential,Brandy Court,187.042,,,,,,,,,,,16260999,
164986867,164986864,0,False,residential,Marian Drive,74.946,,,,,,,,,,,16232778,
164986867,164986881,0,False,residential,Marian Drive,158.804,,,,,,,,,,,16232778,
164986867,165537334,0,False,residential,Kelsey Court,117.152,,,,,,,,,,,16259694,
164986881,295035758,0,False,residential,Seaward Drive,11.822,,,,,,,,,,,16254321,
164986881,164986867,0,False,residential,Marian Drive,158.804,,,,,,,,,,,16232778,
164986881,164865769,0,False,residential,Seaward Drive,270.571,,,,,,,,,,,16254321,
165014080,165014083,0,False,residential,Carmelia Lane,56.257,,,,,,,,,,,16233939,
165014080,165403845,0,False,residential,Carmen Lane,256.016,,,,,,,,,,,16264087,
165014080,165381165,0,False,residential,Carmen Lane,164.926,,,,,,,,,,,16264087,
165014083,165014080,0,False,residential,Carmelia Lane,56.257,,,,,,,,,,,16233939,
165014083,165297103,0,False,residential,Trimera Avenue,36.805,,,,,,,,,,,16260753,
165014083,165297132,0,False,residential,Trimera Avenue,37.64,,,,,,,,,,,16260753,
165022645,165022654,0,False,residential,Marsala Avenue,55.182,,,,,,,,,,,16234242,
165022645,165279534,0,False,residential,Marsala Avenue,85.877,,,,,,,,,,,16234242,
165022645,165508642,0,False,residential,Bunch Court,72.08,,,,,,,,,,,16258939,
165022654,165022669,0,False,residential,Marsala Avenue,51.62,,,,,,,,,,,16234242,
165022654,165022645,0,False,residential,Marsala Avenue,55.182,,,,,,,,,,,16234242,
165022654,165392833,0,False,residential,Tropea Avenue,58.155,,,,,,,,,,,16254194,
165022669,165279494,0,False,residential,Westgate Road,141.652,,,,,,,,,,,16247255,
165022669,1224756066,0,False,residential,Marsala Avenue,328.508,,,,,,,,,,,16234242,
165022669,165022654,0,False,residential,Marsala Avenue,51.62,,,,,,,,,,,16234242,
165022669,3558898899,0,False,residential,Westgate Road,266.677,,,,,,,,,,,16247255,
165022676,165022694,0,False,secondary,West Betteravia Road,200.874,,,,,,,,,,,33194950,
165022676,165022686,0,False,residential,,139.946,,,,,,,,,,,16234250,
165022676,165413420,0,False,secondary,West Betteravia Road,429.766,,,,,,,,,,,33194950,
165022686,165022676,0,False,residential,,139.946,,,,,,,,,,,16234250,
165022694,165022696,0,False,residential,,174.05,,,,,,,,,,,16234253,
